yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300910141,2022,12814,1,4
300910141,2022,9195,1,5
300910141,2022,1804,1,4
300910141,2023,4369,1,4
300910141,2024,2,2,8
300910141,2024,1590,1,0
300910141,2024,4864,1,4
300910141,2024,235,1,4
300910141,2024,2008,2,0
300910141,2024,4745,1,4
300910141,2024,4786,1,4
300910141,2024,9632,1,5
300910186,2022,12815,1,4
300910186,2023,2700,1,4
300910186,2023,2,1,8
300910186,2023,4702,1,4
300910186,2023,8293,1,4
300910186,2023,5856,1,4
300910186,2023,2713,1,5
300910186,2023,918,1,4
300910186,2023,7334,1,4
300910186,2023,5781,1,4
300910186,2023,782,1,4
300910186,2024,2,3,8
300910186,2024,262,1,4
300910186,2024,4097,2,4
300910186,2024,1583,1,4
300910186,2024,4630,1,5
300910186,2024,5355,1,5
300910186,2024,2348,1,4
300990057,2022,2,1,8
300990057,2022,2875,1,4
300990057,2022,4160,1,4
300990057,2023,2,1,8
300990057,2023,7371,1,4
300990057,2023,6417,1,4
300990057,2023,5150,1,4
300990057,2023,9153,1,4
300990057,2023,6236,1,0
300990057,2023,6134,1,0
300990057,2023,12163,1,5
300990057,2023,1652,1,5
300990057,2023,7334,1,4
300990057,2024,2,2,8
300990057,2024,10196,1,4
300990057,2024,1469,1,4
300990057,2024,8023,1,4
300990057,2024,1094,1,4
300990057,2024,9201,1,0
300990057,2024,8847,1,4
300990058,2022,5793,1,4
300990058,2022,678,1,4
300990058,2022,2484,1,5
300990058,2022,5355,1,5
300990058,2022,8802,1,4
300990058,2023,2,1,8
300990058,2023,20,1,4
300990058,2023,8699,1,4
300990058,2023,8514,1,0
300990058,2023,8716,1,4
300990058,2023,1569,1,4
300990058,2023,8555,1,4
300990058,2023,12816,1,0
300990058,2023,12334,1,5
300990058,2023,10264,1,5
300990058,2023,6057,1,4
300990058,2023,11036,1,4
300990058,2024,4696,1,4
300990058,2024,2,2,8
300990058,2024,1624,1,4
300990058,2024,12817,1,4
300990058,2024,3207,1,4
300990058,2024,6335,1,4
300990058,2024,5268,1,5
300990058,2024,4923,1,1
300990058,2024,10811,1,5
300990059,2022,2,3,8
300990059,2023,2,1,8
300990059,2023,1460,1,4
300990059,2023,6746,1,5
300990059,2023,523,1,5
300990059,2023,5587,1,4
300990059,2024,2278,1,4
300990059,2024,8354,1,4
300990059,2024,8739,1,4
300990059,2024,1995,1,5
300990059,2024,4134,1,5
300990059,2024,10038,1,4
300990059,2024,6374,1,4
300990066,2022,2,2,8
300990066,2022,661,1,4
300990066,2022,5793,1,4
300990066,2022,4402,1,4
300990066,2022,11224,1,1
300990066,2022,12818,1,5
300990066,2022,11517,1,5
300990066,2022,11397,1,5
300990066,2022,6096,1,4
300990066,2023,2,2,8
300990066,2023,506,1,4
300990066,2023,6263,1,4
300990066,2023,173,1,4
300990066,2023,12819,1,0
300990066,2023,12041,1,5
300990066,2023,3411,1,5
300990066,2023,1343,1,5
300990066,2023,3180,1,4
300990066,2024,2,2,8
300990066,2024,1278,1,4
300990066,2024,244,1,5
300990066,2024,5870,2,3
300990066,2024,10408,1,5
300990066,2024,11893,1,5
300990066,2024,7669,1,4
300990066,2024,10188,1,4
300990067,2022,2,2,8
300990067,2022,1829,1,4
300990067,2022,2050,1,4
300990067,2022,772,1,4
300990067,2022,6359,1,5
300990067,2022,3345,1,5
300990067,2022,6459,1,4
300990067,2022,653,1,0
300990067,2022,8446,1,4
300990067,2023,4199,1,4
300990067,2023,2,2,8
300990067,2023,3402,1,4
300990067,2023,4496,1,4
300990067,2023,315,1,5
300990067,2023,1985,1,5
300990067,2023,6020,1,5
300990067,2023,12820,1,0
300990067,2023,1871,1,4
300990067,2024,5569,1,5
300990067,2024,10328,1,1
300990067,2024,2,1,8
300990067,2024,8935,1,4
300990067,2024,7748,1,4
300990067,2024,262,1,4
300990067,2024,5419,1,5
300990067,2024,7774,1,5
300990067,2024,4776,1,5
300990067,2024,6271,1,5
300990068,2022,4199,1,4
300990068,2022,649,1,4
300990068,2022,2129,1,4
300990068,2022,1485,1,4
300990068,2022,2403,1,4
300990068,2022,5453,1,5
300990068,2022,10006,1,5
300990068,2022,2634,1,5
300990068,2022,2154,1,5
300990068,2022,4352,1,5
300990068,2023,2,1,8
300990068,2023,4270,1,4
300990068,2023,1891,1,4
300990068,2023,2829,1,5
300990068,2023,11103,1,5
300990068,2023,6637,1,1
300990068,2023,1591,1,5
300990068,2023,10277,1,5
300990068,2023,10403,1,3
300990068,2023,1605,1,1
300990068,2024,3934,1,0
300990068,2024,686,1,4
300990068,2024,2,1,8
300990068,2024,3358,1,4
