yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301510010,2022,4262,1,5
301510010,2022,2451,1,5
301510010,2023,2,1,8
301510010,2023,1992,1,4
301510010,2023,2672,1,4
301510012,2022,2,1,8
301510012,2022,10841,1,5
301510012,2023,117,1,4
301510012,2023,1763,1,4
301510012,2023,146,1,4
301510012,2024,3562,1,4
301510012,2024,1763,1,4
301510013,2022,5032,1,5
301510013,2022,6058,1,4
301510013,2023,2,1,8
301510013,2023,35,1,0
301510013,2023,612,1,5
301510013,2024,2,2,8
301510013,2024,1398,1,0
301510014,2022,2,1,8
301510014,2023,2,1,8
301510014,2023,621,1,4
301510014,2023,11794,1,5
301510014,2023,12940,1,5
301510014,2023,4836,1,4
301510014,2024,2,1,8
301510014,2024,1558,2,0
301510014,2024,3782,1,5
301510014,2024,12792,1,5
301510017,2022,3712,1,0
301510017,2022,21,1,4
301510017,2022,2340,1,0
301510017,2022,9620,1,1
301510017,2022,2714,1,0
301510017,2023,2,3,8
301510017,2023,4482,1,0
301510017,2023,9575,1,4
301510017,2023,2197,1,4
301510017,2024,480,1,4
301510017,2024,6595,1,4
301510017,2024,3733,1,5
301510017,2024,913,1,3
301510017,2024,5510,1,4
301510017,2024,14736,1,4
301510018,2022,2,4,8
301510018,2022,7810,1,4
301510018,2022,1728,1,4
301510018,2022,2590,1,4
301510018,2022,3256,1,0
301510018,2022,1072,1,4
301510018,2022,4881,1,4
301510018,2022,1330,1,4
301510018,2022,2749,1,4
301510018,2022,2876,1,4
301510018,2022,2372,1,4
301510018,2022,7832,1,4
301510018,2022,8071,1,4
301510018,2022,6871,1,4
301510018,2022,30,1,4
301510018,2022,984,1,1
301510018,2022,11517,1,5
301510018,2022,6467,1,5
301510018,2022,10643,1,5
301510018,2022,3354,1,4
301510018,2022,2974,1,4
301510018,2022,2073,1,4
301510018,2023,116,1,4
301510018,2023,2,3,8
301510018,2023,2590,1,4
301510018,2023,4678,1,0
301510018,2023,1853,1,4
301510018,2023,512,1,4
301510018,2023,2770,1,4
301510018,2023,141,1,4
301510018,2023,8085,1,4
301510018,2023,3910,1,4
301510018,2023,2339,1,4
301510018,2023,35,1,0
301510018,2023,7326,1,4
301510018,2023,1874,1,4
301510018,2023,1110,1,4
301510018,2023,4613,1,4
301510018,2023,6246,1,4
301510018,2023,1952,1,5
301510018,2023,7296,1,5
301510018,2023,9577,1,4
301510018,2023,3452,1,4
301510018,2023,1774,1,4
301510018,2024,6864,1,5
301510018,2024,8782,1,1
301510018,2024,10028,1,5
301510018,2024,1802,1,4
301510018,2024,3867,1,4
301510018,2024,6554,1,4
301510018,2024,327,1,4
301510018,2024,2,3,8
301510018,2024,4491,1,4
301510018,2024,1222,1,4
301510018,2024,13562,1,4
301510018,2024,8720,1,4
301510018,2024,8981,1,4
301510018,2024,9271,1,5
301510018,2024,6778,1,5
301510032,2023,3230,1,5
301510032,2024,6803,1,4
301510039,2023,9082,1,4
301510046,2023,2,2,8
301510046,2023,1635,1,4
301510046,2023,2908,1,4
301510046,2023,240,1,4
301510046,2023,11103,1,5
301510046,2023,3450,1,5
301510046,2023,11796,1,5
301510046,2023,2013,1,4
301510046,2023,6735,1,4
