yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106810038,2022,2,2,8
106810038,2022,1270,1,4
106810038,2022,2748,1,4
106810038,2022,1468,1,4
106810038,2022,1124,1,2
106810038,2022,8290,1,4
106810038,2022,1250,1,4
106810038,2022,1521,1,4
106810038,2022,1293,1,0
106810038,2022,3819,1,4
106810038,2022,880,1,4
106810038,2022,513,1,4
106810038,2022,1736,1,4
106810038,2022,798,1,4
106810038,2022,1154,1,4
106810038,2022,4202,2,0
106810038,2022,3561,1,4
106810038,2022,430,1,4
106810038,2022,1916,1,4
106810038,2022,3006,1,4
106810038,2022,676,1,4
106810038,2022,2612,1,4
106810038,2022,2892,1,0
106810038,2022,393,3,4
106810038,2022,4150,1,4
106810038,2022,1323,1,4
106810038,2022,2883,1,5
106810038,2022,12469,1,1
106810038,2022,1922,1,2
106810038,2022,1597,1,4
106810038,2022,1598,1,4
106810038,2022,3122,1,4
106810038,2022,9446,1,4
106810038,2022,109,1,4
106810038,2022,4416,1,0
106810038,2022,1149,1,4
106810038,2022,154,1,4
106810038,2023,2,12,8
106810038,2023,2591,1,4
106810038,2023,621,1,4
106810038,2023,1270,1,4
106810038,2023,8254,1,4
106810038,2023,12,1,4
106810038,2023,506,1,4
106810038,2023,402,1,4
106810038,2023,1468,2,4
106810038,2023,660,2,4
106810038,2023,2750,1,4
106810038,2023,2752,1,4
106810038,2023,4397,1,0
106810038,2023,140,1,2
106810038,2023,1936,1,2
106810038,2023,2526,1,4
106810038,2023,1220,2,4
106810038,2023,1250,1,4
106810038,2023,411,1,2
106810038,2023,486,1,4
106810038,2023,2603,1,0
106810038,2023,1293,1,0
106810038,2023,3742,1,4
106810038,2023,880,1,4
106810038,2023,513,3,4
106810038,2023,667,1,4
106810038,2023,2207,1,4
106810038,2023,1191,1,4
106810038,2023,1154,1,4
106810038,2023,969,1,4
106810038,2023,430,1,4
106810038,2023,2987,1,4
106810038,2023,6437,1,4
106810038,2023,1916,1,4
106810038,2023,3006,2,4
106810038,2023,2758,1,4
106810038,2023,392,1,4
106810038,2023,393,5,4
106810038,2023,1614,1,4
106810038,2023,9619,1,5
106810038,2023,1797,1,5
106810038,2023,3991,1,5
106810038,2023,3524,1,5
106810038,2023,5802,1,5
106810038,2023,94,1,4
106810038,2023,997,1,4
106810038,2023,7971,1,4
106810038,2023,3173,1,4
106810038,2023,1451,1,4
106810038,2023,3122,1,4
106810038,2023,2848,1,4
106810038,2023,1924,1,4
106810038,2023,387,1,4
106810038,2023,2162,1,4
106810038,2023,1149,1,4
106810038,2023,356,1,4
106810038,2024,6195,1,4
106810038,2024,2283,1,4
106810038,2024,2201,1,4
106810038,2024,482,1,4
106810038,2024,11099,1,4
106810038,2024,1250,1,4
106810038,2024,6415,1,4
106810038,2024,1293,3,0
106810038,2024,9231,1,4
106810038,2024,3956,1,4
106810038,2024,2,3,8
106810038,2024,880,1,4
106810038,2024,1566,2,4
106810038,2024,1339,1,4
106810038,2024,2207,1,4
106810038,2024,1154,1,4
106810038,2024,544,1,2
106810038,2024,673,1,4
106810038,2024,7990,1,4
106810038,2024,3579,1,4
106810038,2024,893,1,4
106810038,2024,2765,1,4
106810038,2024,437,1,4
106810038,2024,1577,1,4
106810038,2024,2612,1,4
106810038,2024,1538,3,4
106810038,2024,520,1,4
106810038,2024,1301,1,0
106810038,2024,2958,1,4
106810038,2024,11448,1,5
106810038,2024,3732,1,5
106810038,2024,1797,1,5
106810038,2024,3712,1,0
106810038,2024,1655,1,5
106810038,2024,5372,1,4
106810038,2024,850,1,4
106810038,2024,3122,2,4
106810038,2024,7558,1,4
106810038,2024,1657,1,4
106810038,2024,1371,1,4
106810038,2024,1117,1,4
106810038,2024,618,1,4
106810038,2024,2140,1,0
106810038,2024,2748,1,4
106810038,2024,12470,1,4
106810038,2024,1468,1,4
106810038,2024,1511,1,4
106810038,2024,660,1,4
106810038,2024,3551,1,4
106810047,2022,2,4,8
106810047,2022,6433,1,4
106810047,2022,503,1,4
106810047,2022,119,1,4
106810047,2022,2431,1,4
106810047,2022,506,1,4
106810047,2022,2078,1,4
106810047,2022,8270,1,4
106810047,2022,663,1,4
106810047,2022,378,1,4
106810047,2022,2526,1,4
106810047,2022,8290,1,4
106810047,2022,366,1,4
106810047,2022,879,1,4
106810047,2022,2279,1,4
106810047,2022,1295,1,4
106810047,2022,1858,1,4
106810047,2022,12471,1,4
106810047,2022,2207,1,4
106810047,2022,798,1,4
106810047,2022,338,1,4
106810047,2022,2149,1,4
106810047,2022,2108,1,4
106810047,2022,144,1,4
106810047,2022,2892,2,0
106810047,2022,1323,1,4
106810047,2022,4566,1,4
106810047,2022,7860,1,0
106810047,2022,6708,1,4
106810047,2022,3056,1,4
106810047,2022,1802,1,4
106810047,2022,3721,1,4
106810047,2022,3567,1,4
106810047,2022,4990,1,4
106810047,2022,2974,1,4
106810047,2022,3496,1,4
106810047,2022,2413,1,4
106810047,2023,375,1,4
106810047,2023,2,5,8
106810047,2023,1505,1,4
106810047,2023,621,1,4
106810047,2023,11107,1,4
106810047,2023,1217,1,4
106810047,2023,2750,1,4
106810047,2023,1105,1,4
106810047,2023,12472,1,4
106810047,2023,1856,1,4
106810047,2023,2526,1,4
106810047,2023,3953,1,4
106810047,2023,1126,1,4
106810047,2023,776,1,4
106810047,2023,3094,1,4
106810047,2023,1423,1,4
106810047,2023,1650,1,4
106810047,2023,2247,2,4
106810047,2023,1478,1,4
106810047,2023,634,1,4
106810047,2023,839,1,2
106810047,2023,144,2,4
106810047,2023,8558,1,4
106810047,2023,8127,1,4
106810047,2023,977,1,4
106810047,2023,393,1,4
106810047,2023,443,1,4
106810047,2023,4027,1,4
106810047,2023,3486,1,4
106810047,2023,989,1,3
106810047,2023,5966,1,5
106810047,2023,9122,1,5
106810047,2023,7406,1,4
106810047,2023,150,1,4
106810047,2023,3056,1,4
106810047,2023,1371,1,4
106810047,2023,2848,1,4
106810047,2023,3587,2,4
106810047,2023,3219,1,4
106810047,2023,355,1,4
106810047,2023,6558,1,4
106810047,2023,229,1,4
106810047,2023,1551,1,4
106810047,2023,2075,1,4
106810047,2024,8254,1,4
106810047,2024,626,1,4
106810047,2024,537,1,4
106810047,2024,482,1,4
106810047,2024,8290,1,4
106810047,2024,2418,1,4
106810047,2024,2921,1,4
106810047,2024,12473,1,4
106810047,2024,5554,1,4
106810047,2024,513,1,4
106810047,2024,665,1,4
106810047,2024,11039,1,4
106810047,2024,12474,1,4
106810047,2024,8127,1,4
106810047,2024,2892,1,0
106810047,2024,393,1,4
106810047,2024,1201,1,4
106810047,2024,3991,1,5
106810047,2024,2155,1,5
106810047,2024,97,2,4
106810047,2024,3056,1,4
106810047,2024,2,2,8
106810047,2024,2137,1,4
106810047,2024,3122,1,4
106810047,2024,589,1,2
106810047,2024,3721,1,4
106810047,2024,1543,1,4
106810047,2024,2848,1,4
106810047,2024,5311,1,4
106810047,2024,3585,1,4
106810047,2024,3996,1,4
106810047,2024,387,1,4
106810047,2024,2590,1,4
106810047,2024,1375,2,4
106810047,2024,599,1,4
106810047,2024,4185,1,4
106810047,2024,2075,1,4
106810047,2024,6560,1,4
106810047,2024,3376,1,4
106810047,2024,503,1,4
106810047,2024,621,1,4
106810047,2024,1329,1,4
106810056,2022,1463,1,4
106810056,2022,2198,1,4
106810056,2022,2,2,8
106810056,2022,7460,1,4
106810056,2022,10072,1,4
106810056,2022,621,1,4
106810056,2022,2431,1,4
106810056,2022,1674,1,4
106810056,2022,1708,1,4
106810056,2022,362,1,4
106810056,2022,3537,1,4
106810056,2022,1886,1,4
106810056,2022,2752,1,4
106810056,2022,7094,1,4
106810056,2022,9896,1,4
106810056,2022,1912,1,4
106810056,2022,8290,1,4
106810056,2022,366,1,4
106810056,2022,2418,1,4
106810056,2022,1126,1,4
106810056,2022,2603,1,0
106810056,2022,880,1,4
106810056,2022,25,1,4
106810056,2022,7561,1,4
106810056,2022,1736,1,4
106810056,2022,798,1,4
106810056,2022,2189,1,4
106810056,2022,3387,1,4
106810056,2022,4454,1,0
106810056,2022,1155,1,4
106810056,2022,1094,1,4
106810056,2022,2108,1,4
106810056,2022,1362,1,4
106810056,2022,6321,1,4
106810056,2022,1577,1,4
106810056,2022,8558,1,4
106810056,2022,3290,1,4
106810056,2022,2612,1,4
106810056,2022,2805,1,4
106810056,2022,443,1,4
106810056,2022,382,1,4
106810056,2022,10152,1,5
106810056,2022,224,1,1
106810056,2022,3210,1,5
106810056,2022,522,1,5
106810056,2022,2155,1,5
106810056,2022,3122,1,4
106810056,2022,1240,1,0
106810056,2022,1207,1,4
106810056,2022,657,1,4
106810056,2022,5535,1,4
106810056,2023,740,1,4
106810056,2023,1071,1,4
106810056,2023,1645,1,4
106810056,2023,8243,1,4
106810056,2023,2,9,8
106810056,2023,1083,1,4
106810056,2023,6433,1,4
106810056,2023,621,2,4
106810056,2023,1329,1,4
106810056,2023,1460,1,4
106810056,2023,1708,1,4
106810056,2023,2238,1,4
106810056,2023,2748,1,4
106810056,2023,1468,1,4
106810056,2023,3766,1,4
106810056,2023,796,1,4
106810056,2023,482,1,4
106810056,2023,7495,2,4
106810056,2023,1912,1,4
106810056,2023,5294,1,4
106810056,2023,3953,1,4
106810056,2023,8290,2,4
106810056,2023,173,1,4
106810056,2023,956,1,4
106810056,2023,2921,1,4
106810056,2023,2603,1,0
106810056,2023,1421,1,4
106810056,2023,380,1,4
106810056,2023,1319,1,4
106810056,2023,1736,1,4
106810056,2023,3113,1,4
106810056,2023,9257,1,4
106810056,2023,1650,1,4
106810056,2023,707,1,4
106810056,2023,4202,1,0
106810056,2023,1077,1,4
106810056,2023,468,1,4
106810056,2023,1576,1,4
106810056,2023,1794,1,4
106810056,2023,8559,1,4
106810056,2023,829,1,4
106810056,2023,1677,1,4
106810056,2023,2892,1,0
106810056,2023,393,1,4
106810056,2023,1432,2,4
106810056,2023,129,1,4
106810056,2023,12475,1,5
106810056,2023,9296,1,1
106810056,2023,8409,1,4
106810056,2023,3055,1,4
106810056,2023,7406,1,4
106810056,2023,97,1,4
106810056,2023,3122,1,4
106810056,2023,2408,1,4
106810056,2023,3178,1,4
106810056,2023,3973,1,4
106810056,2023,8214,1,4
106810056,2023,4543,1,4
106810056,2023,2348,1,4
106810056,2023,2456,1,4
106810056,2023,5535,2,4
106810056,2023,152,1,4
106810056,2023,1375,1,4
106810056,2023,327,1,4
106810056,2024,11152,1,4
106810056,2024,7094,1,4
106810056,2024,11335,1,4
106810056,2024,3458,1,4
106810056,2024,3459,1,4
106810056,2024,1359,1,4
106810056,2024,156,1,4
106810056,2024,2174,1,4
106810056,2024,3979,1,4
106810056,2024,880,1,4
106810056,2024,1504,2,4
106810056,2024,513,2,4
106810056,2024,2206,1,4
106810056,2024,12476,1,4
106810056,2024,697,1,4
106810056,2024,1094,1,4
106810056,2024,2309,1,4
106810056,2024,2891,1,4
106810056,2024,2892,1,0
106810056,2024,2805,1,4
106810056,2024,1432,2,4
106810056,2024,2,2,8
106810056,2024,2212,1,4
106810056,2024,5966,1,5
106810056,2024,12477,1,5
106810056,2024,150,1,4
106810056,2024,1657,1,4
106810056,2024,2848,1,4
106810056,2024,1117,1,4
106810056,2024,3180,1,4
106810056,2024,618,1,4
106810056,2024,2974,1,4
106810056,2024,1175,1,4
106810056,2024,844,1,4
106810056,2024,1756,1,4
106810056,2024,2075,1,4
106810056,2024,11996,1,4
106810056,2024,8864,1,4
106810056,2024,784,1,4
106810056,2024,2489,1,4
106810056,2024,11447,1,4
106810065,2022,2,1,8
106810065,2022,688,1,4
