yop_kodu,year,lise_id,yerlesen_sayisi,school_type
405210026,2022,828,1,4
405210026,2022,3425,1,4
405210026,2023,1911,1,0
405210026,2023,242,1,4
405210026,2023,521,1,4
405210026,2024,6826,1,4
405210026,2024,5510,1,4
405210044,2022,2,2,8
405210044,2022,4949,1,4
405210044,2022,5844,1,4
405210044,2022,1601,1,4
405210044,2023,2,2,8
405210044,2023,381,1,4
405210044,2023,1095,1,4
405210044,2023,4082,1,5
405210044,2024,2,1,8
405210044,2024,3145,1,4
405210044,2024,11501,1,5
405210044,2024,4082,1,5
405210053,2022,2,3,8
405210053,2022,8662,1,4
405210053,2022,746,1,4
405210053,2022,2212,1,4
405210053,2022,1492,1,4
405210053,2022,7635,1,0
405210053,2022,4031,1,4
405210053,2022,8851,1,4
405210053,2023,1645,1,4
405210053,2023,2,3,8
405210053,2023,3715,1,4
405210053,2023,3385,1,4
405210053,2023,8064,1,4
405210053,2023,179,1,4
405210053,2023,2348,1,4
405210053,2023,3059,1,4
405210053,2024,2,2,8
405210053,2024,12263,1,4
405210053,2024,11770,1,4
405210053,2024,9992,1,5
405210053,2024,3843,1,5
405210053,2024,10032,1,4
405210053,2024,3373,2,4
405210053,2024,6395,1,4
405210062,2022,2,1,8
405210062,2022,3853,1,4
405210062,2022,10516,1,5
405210062,2023,2,2,8
405210062,2023,1779,1,0
405210062,2023,13033,1,4
405210062,2023,7281,1,4
405210062,2024,2,2,8
405210062,2024,13030,1,4
405210062,2024,6031,1,4
405210062,2024,6154,1,4
405210062,2024,8443,1,4
405210071,2022,2,2,8
405210071,2022,4843,1,4
405210071,2022,6602,1,5
405210071,2022,14099,1,1
405210071,2023,2,1,8
405210071,2023,7833,1,4
405210071,2023,10906,1,5
405210071,2024,483,1,8
405210071,2024,2,1,8
405210071,2024,1590,1,0
405210071,2024,3599,1,4
405210071,2024,5285,1,4
405210071,2024,13672,1,4
405210098,2022,5460,1,4
405210098,2022,8531,1,4
405210098,2022,6256,1,5
405210098,2022,13686,1,5
405210098,2022,1499,1,4
405210098,2023,4397,1,0
405210098,2023,4163,1,4
405210098,2023,6245,1,4
405210098,2023,227,1,4
405210098,2023,620,1,4
405210098,2024,2,2,8
405210098,2024,14100,1,0
405210098,2024,5280,1,4
405210098,2024,6822,1,4
405210098,2024,1430,1,4
405210105,2022,4597,1,4
405210105,2022,2,3,8
405210105,2022,8478,1,4
405210105,2022,4251,1,4
405210105,2022,4018,1,4
405210105,2022,1447,1,4
405210105,2022,6158,1,4
405210105,2022,6689,1,5
405210105,2023,2,3,8
405210105,2023,4700,1,4
405210105,2023,8047,1,4
405210105,2023,3045,1,4
405210105,2023,9472,1,5
405210105,2023,8590,1,1
405210105,2023,4790,1,5
405210105,2023,7054,1,4
405210105,2024,11804,1,4
405210105,2024,12688,1,4
405210105,2024,2,1,8
405210105,2024,718,1,4
405210105,2024,1647,1,4
405210105,2024,13771,1,4
405210105,2024,7281,1,4
405210105,2024,9104,1,1
405210105,2024,13735,1,4
405210114,2022,4597,1,4
405210114,2022,1907,1,4
405210114,2022,13771,1,4
405210114,2022,2279,1,4
405210114,2022,12348,1,4
405210114,2022,765,1,4
405210114,2022,3639,1,5
405210114,2022,9008,1,5
405210114,2022,14056,1,4
