yop_kodu,year,lise_id,yerlesen_sayisi,school_type
100610013,2022,2,3,8
100610013,2022,1505,1,4
100610013,2022,2817,1,4
100610013,2022,2526,1,4
100610013,2022,2820,2,4
100610013,2022,2336,1,4
100610013,2022,1387,1,4
100610013,2022,1740,1,4
100610013,2022,2231,1,4
100610013,2022,126,1,4
100610013,2022,6655,1,5
100610013,2022,3470,1,4
100610013,2022,1005,2,4
100610013,2022,832,1,4
100610013,2022,1879,1,4
100610013,2022,2655,1,2
100610013,2022,6558,1,4
100610013,2023,2049,1,4
100610013,2023,2,4,8
100610013,2023,2431,1,4
100610013,2023,5674,1,4
100610013,2023,1418,1,4
100610013,2023,231,1,4
100610013,2023,1403,1,4
100610013,2023,10880,1,4
100610013,2023,1525,1,4
100610013,2023,141,1,4
100610013,2023,1360,1,4
100610013,2023,2464,1,4
100610013,2023,814,1,4
100610013,2023,515,1,2
100610013,2023,2758,1,4
100610013,2023,2468,1,4
100610013,2023,977,1,4
100610013,2023,7263,1,4
100610013,2023,7178,1,3
100610013,2023,6343,1,5
100610013,2023,6655,1,5
100610013,2023,1311,1,4
100610013,2023,4140,1,4
100610013,2023,1069,1,0
100610022,2022,788,1,4
100610022,2022,2,5,8
100610022,2022,118,1,0
100610022,2022,11772,1,4
100610022,2022,1043,1,4
100610022,2022,3154,1,4
100610022,2022,12729,1,4
100610022,2022,8011,1,4
100610022,2022,3402,1,4
100610022,2022,3263,1,4
100610022,2022,5722,1,4
100610022,2022,1275,1,4
100610022,2022,2201,1,4
100610022,2022,5376,1,4
100610022,2022,2663,1,4
100610022,2022,1622,1,4
100610022,2022,1317,1,4
100610022,2022,4590,1,4
100610022,2022,1942,1,4
100610022,2022,1125,1,4
100610022,2022,265,1,4
100610022,2022,5362,1,4
100610022,2022,2603,1,0
100610022,2022,2464,3,4
100610022,2022,3531,1,4
100610022,2022,2820,1,4
100610022,2022,1424,1,4
100610022,2022,8092,1,4
100610022,2022,1297,1,4
100610022,2022,3407,1,4
100610022,2022,4202,1,0
100610022,2022,968,1,4
100610022,2022,3595,1,0
100610022,2022,890,1,4
100610022,2022,2828,1,4
100610022,2022,1388,1,4
100610022,2022,4468,1,4
100610022,2022,269,1,0
100610022,2022,1133,1,4
100610022,2022,1577,1,4
100610022,2022,3290,1,4
100610022,2022,1109,1,2
100610022,2022,896,1,2
100610022,2022,1874,1,4
100610022,2022,1258,2,0
100610022,2022,2692,1,4
100610022,2022,3486,1,4
100610022,2022,3658,1,4
100610022,2022,1259,1,4
100610022,2022,2267,1,5
100610022,2022,6288,1,5
100610022,2022,5763,1,5
100610022,2022,4132,1,3
100610022,2022,10729,1,5
100610022,2022,5770,1,5
100610022,2022,1051,1,2
100610022,2022,6685,1,4
100610022,2022,1081,1,4
100610022,2022,3249,1,2
100610022,2022,6084,1,4
100610022,2022,1804,1,4
100610022,2022,3495,1,4
100610022,2022,5347,1,4
100610022,2022,3847,1,4
100610022,2022,1880,1,4
100610022,2023,3030,1,4
100610022,2023,4654,1,4
100610022,2023,856,1,4
100610022,2023,2,8,8
100610022,2023,1906,1,2
100610022,2023,3701,1,4
100610022,2023,2431,1,4
100610022,2023,1072,1,4
100610022,2023,1418,1,4
100610022,2023,863,1,4
100610022,2023,2903,1,2
100610022,2023,331,1,4
100610022,2023,1559,1,4
100610022,2023,3479,1,4
100610022,2023,10880,3,4
100610022,2023,1091,1,4
100610022,2023,195,1,4
100610022,2023,2464,2,4
100610022,2023,2820,3,4
100610022,2023,5282,1,4
100610022,2023,2607,1,4
100610022,2023,1297,1,4
100610022,2023,1408,1,4
100610022,2023,969,1,4
100610022,2023,3595,1,0
100610022,2023,1095,1,4
100610022,2023,7928,1,4
100610022,2023,3206,1,4
100610022,2023,1794,1,4
100610022,2023,1483,1,4
100610022,2023,126,1,4
100610022,2023,2290,1,4
100610022,2023,1258,1,0
100610022,2023,1280,1,0
100610022,2023,2672,1,4
100610022,2023,982,1,4
100610022,2023,1137,1,5
100610022,2023,2734,1,5
100610022,2023,4102,1,5
100610022,2023,6655,1,5
100610022,2023,4229,1,5
100610022,2023,5827,1,5
100610022,2023,2644,1,5
100610022,2023,7432,1,5
100610022,2023,3917,1,4
100610022,2023,4441,1,0
100610022,2023,7117,1,4
100610022,2023,1005,1,4
100610022,2023,1598,2,4
100610022,2023,850,1,4
100610022,2023,6394,1,4
100610022,2023,3415,1,4
100610022,2023,1263,1,4
100610022,2023,1146,1,4
100610022,2023,453,1,4
100610022,2023,1012,1,2
100610022,2023,1880,2,4
100610022,2023,1315,1,4
100610022,2024,1912,1,4
100610022,2024,1788,1,4
100610022,2024,1126,1,4
100610022,2024,391,1,4
100610022,2024,2820,1,4
100610022,2024,13360,1,4
100610022,2024,4207,1,0
100610022,2024,578,1,4
100610022,2024,1840,1,0
100610022,2024,969,1,4
100610022,2024,2,6,8
100610022,2024,3595,1,0
100610022,2024,2339,1,4
100610022,2024,183,1,4
100610022,2024,766,1,4
100610022,2024,1258,1,0
100610022,2024,901,1,2
100610022,2024,7182,1,4
100610022,2024,1259,1,4
100610022,2024,5778,1,5
100610022,2024,3428,1,3
100610022,2024,1396,1,4
100610022,2024,1876,1,5
100610022,2024,4262,1,5
100610022,2024,5394,1,4
100610022,2024,3917,1,4
100610022,2024,921,1,4
100610022,2024,1005,1,4
100610022,2024,1164,1,4
100610022,2024,3122,2,4
100610022,2024,2429,1,4
100610022,2024,1803,1,4
100610022,2024,1072,1,4
100610022,2024,1245,1,4
100610022,2024,1751,1,4
100610022,2024,3496,1,4
100610022,2024,1207,1,4
100610022,2024,3868,1,4
100610022,2024,1456,1,4
100610022,2024,457,1,4
100610022,2024,4463,1,4
