yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203910018,2022,1175,1,4
203910018,2022,5160,1,4
203910018,2022,4347,1,4
203910018,2023,2,1,8
203910018,2023,4637,1,4
203910018,2023,1586,1,4
203910018,2024,2746,1,4
203910018,2024,5874,1,0
203910018,2024,5251,1,0
203910018,2024,11516,1,5
203910027,2022,11154,1,1
203910027,2022,6430,1,1
203910027,2022,4934,1,1
203910027,2022,4873,1,5
203910027,2022,7744,1,1
203910027,2022,3345,1,5
203910027,2022,4758,1,1
203910027,2022,11358,1,1
203910027,2022,1695,1,1
203910027,2023,5251,1,0
203910027,2023,3677,1,5
203910027,2023,4827,1,1
203910027,2023,7744,1,1
203910027,2023,11173,1,1
203910027,2023,3369,1,5
203910027,2023,6825,1,5
203910027,2023,5602,1,5
203910027,2023,2837,1,4
203910027,2024,2917,1,4
203910027,2024,2459,1,0
203910027,2024,10621,1,1
203910027,2024,9724,1,1
203910027,2024,6430,1,1
203910027,2024,736,1,4
203910027,2024,11539,1,5
203910036,2022,505,1,2
203910036,2022,2595,1,4
203910036,2022,5398,1,4
203910036,2022,2541,1,2
203910036,2022,5165,1,2
203910036,2022,5102,1,4
203910036,2022,6430,1,1
203910036,2022,5827,1,5
203910036,2023,2,1,8
203910036,2023,2982,2,0
203910036,2023,1517,1,4
203910036,2023,1685,1,4
203910036,2023,2617,1,2
203910036,2023,6050,1,1
203910036,2024,2,2,8
203910036,2024,857,1,4
203910036,2024,865,1,4
203910036,2024,509,1,4
203910036,2024,3399,1,4
203910036,2024,5244,1,2
203910045,2022,10775,1,0
203910045,2022,2233,1,5
203910045,2023,6430,1,1
203910045,2023,4757,1,1
203910045,2024,854,1,2
203910045,2024,2,1,8
203910054,2022,2,1,8
203910054,2022,2534,1,2
203910054,2022,2868,1,2
203910054,2022,4621,1,0
203910054,2023,2533,1,2
203910054,2023,899,1,2
203910054,2023,5210,2,1
203910054,2023,2641,1,3
203910054,2024,2868,1,2
203910054,2024,2553,1,2
203910054,2024,7469,1,5
203910054,2024,11522,1,3
203910054,2024,4794,1,4
203910054,2024,2658,1,2
203910054,2024,8440,1,2
203910054,2024,2659,1,2
203910099,2022,2539,1,2
203910099,2022,3382,1,4
203910099,2022,4621,1,0
203910099,2022,2581,1,2
203910099,2022,2583,1,2
203910099,2022,7446,1,1
203910099,2023,10775,1,0
203910099,2023,6508,1,4
203910099,2023,2553,1,2
203910099,2023,11623,1,5
203910099,2023,3636,1,3
203910099,2023,5210,1,1
203910099,2023,924,1,2
203910099,2024,5244,1,2
203910099,2024,1059,1,4
203910099,2024,5245,2,4
203910099,2024,5246,1,2
203910099,2024,1021,1,2
203910099,2024,2553,1,2
203910099,2024,5210,1,1
203910099,2024,11257,1,5
203910099,2024,3970,1,2
203910106,2022,3631,1,4
203910106,2022,5259,1,3
203910106,2022,11177,1,3
203910106,2023,11214,1,3
203910106,2023,11178,1,3
203910106,2023,5293,1,2
203910106,2024,2727,1,4
203910106,2024,6351,1,5
203910106,2024,11192,1,1
203910115,2022,2546,1,4
203910115,2022,2553,1,2
203910115,2022,11698,1,1
203910115,2022,1952,1,5
203910115,2023,2553,1,2
203910115,2023,893,1,4
203910115,2023,899,1,2
203910115,2023,11649,1,3
203910115,2023,1066,1,4
203910115,2024,5059,1,2
203910115,2024,2670,1,2
203910115,2024,10280,1,1
203910115,2024,5725,1,3
203910115,2024,2583,1,2
203910115,2024,6050,1,1
203910115,2024,1012,1,2
203910124,2022,2,2,8
203910124,2022,2592,1,2
203910124,2022,2488,1,4
203910124,2022,5398,1,4
203910124,2022,1402,1,4
203910124,2022,5053,1,2
203910124,2022,3600,1,4
203910124,2022,2352,1,1
203910124,2022,11193,1,3
203910124,2022,10621,3,1
203910124,2022,3385,1,4
203910124,2022,957,1,4
203910124,2022,4797,1,4
203910124,2022,5555,1,1
203910124,2022,5252,1,4
203910124,2022,11154,1,1
203910124,2022,4295,1,0
203910124,2022,5169,1,4
203910124,2022,10417,1,5
203910124,2022,7513,1,5
203910124,2022,4934,3,1
203910124,2022,10717,1,5
203910124,2022,4935,1,5
203910124,2022,3234,1,5
203910124,2022,5290,1,5
203910124,2022,5564,1,5
203910124,2022,10962,5,5
203910124,2022,10492,1,5
203910124,2022,10321,1,5
203910124,2022,11161,1,5
203910124,2022,2444,1,1
203910124,2022,10512,1,5
203910124,2022,5710,1,1
203910124,2022,1746,1,5
203910124,2022,9003,1,5
203910124,2022,11216,1,5
203910124,2022,2780,1,5
203910124,2022,6167,2,5
203910124,2022,11194,1,3
203910124,2022,4829,1,1
