yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208310043,2022,2,1,8
208310043,2022,1781,1,4
208310043,2022,4113,1,4
208310043,2022,4363,1,4
208310043,2022,1034,1,4
208310043,2022,555,1,5
208310043,2022,9112,1,5
208310043,2023,2,1,8
208310043,2023,1906,1,2
208310043,2023,9112,1,5
208310043,2023,4651,1,5
208310043,2023,3127,1,4
208310043,2024,2,1,8
208310043,2024,2304,1,4
208310043,2024,12381,1,4
208310043,2024,584,1,5
208310043,2024,9112,1,5
208310044,2022,2,1,8
208310044,2022,9240,1,4
208310044,2022,8513,1,4
208310044,2022,3425,1,4
208310044,2022,11545,1,0
208310044,2022,1034,1,4
208310044,2022,7720,1,4
208310044,2022,11652,1,3
208310044,2022,3685,1,5
208310044,2022,9112,1,5
208310044,2022,3474,1,4
208310044,2023,2,2,8
208310044,2023,951,1,4
208310044,2023,1173,1,4
208310044,2023,2262,1,4
208310044,2023,886,1,4
208310044,2023,35,1,0
208310044,2023,7251,1,4
208310044,2023,10981,1,5
208310044,2023,5509,1,0
208310044,2023,2584,1,2
208310044,2024,3009,1,5
208310044,2024,6591,1,5
208310044,2024,13326,1,4
208310044,2024,3181,1,4
208310044,2024,483,1,8
208310044,2024,2,1,8
208310044,2024,1525,1,4
208310044,2024,1032,1,4
208310044,2024,7720,1,4
208310044,2024,2776,1,5
208310044,2024,6045,1,5
208310044,2024,5179,1,5
208310047,2022,2,7,8
208310047,2022,5131,1,0
208310047,2022,2817,1,4
208310047,2022,7031,1,4
208310047,2022,8709,1,4
208310047,2022,3226,1,4
208310047,2022,2937,1,4
208310047,2022,1575,1,4
208310047,2022,6325,1,5
208310047,2022,9099,1,5
208310047,2022,6591,2,5
208310047,2022,7269,2,5
208310047,2022,3259,1,5
208310047,2022,3470,1,4
208310047,2022,5590,1,4
208310047,2022,2362,1,4
208310047,2022,5854,1,4
208310047,2023,8877,1,4
208310047,2023,2,14,8
208310047,2023,806,2,4
208310047,2023,1935,1,4
208310047,2023,3475,1,4
208310047,2023,1467,1,4
208310047,2023,2801,1,4
208310047,2023,8292,1,4
208310047,2023,1385,1,4
208310047,2023,2547,1,4
208310047,2023,4623,1,4
208310047,2023,8926,1,4
208310047,2023,6929,1,0
208310047,2023,3388,1,4
208310047,2023,886,2,4
208310047,2023,6755,1,4
208310047,2023,1974,1,4
208310047,2023,3288,1,0
208310047,2023,1032,1,4
208310047,2023,2956,1,4
208310047,2023,7933,1,4
208310047,2023,35,2,0
208310047,2023,162,1,4
208310047,2023,14631,1,4
208310047,2023,5564,1,5
208310047,2023,9548,1,5
208310047,2023,5232,1,5
208310047,2023,6614,1,5
208310047,2023,8595,1,1
208310047,2023,9685,1,1
208310047,2023,584,1,5
208310047,2023,7269,3,5
208310047,2023,10447,1,5
208310047,2023,11982,2,5
208310047,2023,13044,1,5
208310047,2023,9187,1,1
208310047,2023,5670,1,5
208310047,2023,14342,1,1
208310047,2023,1749,1,5
208310047,2023,9130,1,4
208310047,2023,5358,1,4
208310047,2023,3526,1,4
208310047,2023,2429,1,4
208310047,2023,1751,1,4
208310047,2023,3181,1,4
208310047,2024,2275,1,4
208310047,2024,7699,1,5
208310047,2024,3259,1,5
208310049,2022,2,5,8
208310049,2022,5875,1,4
208310049,2022,3614,1,4
208310049,2022,4525,1,4
208310049,2022,11784,1,4
208310049,2022,962,1,4
208310049,2022,886,1,4
208310049,2022,2208,1,4
208310049,2022,675,1,4
208310049,2022,7720,1,4
208310049,2022,8129,1,4
208310049,2022,2615,2,4
208310049,2022,4028,1,5
208310049,2022,2994,2,5
208310049,2022,2831,1,5
208310049,2022,2629,1,3
208310049,2022,6591,1,5
208310049,2022,7699,1,5
208310049,2022,10009,1,5
208310049,2022,10576,1,5
208310049,2022,7531,1,5
208310049,2022,1343,1,5
208310049,2022,3490,1,3
208310049,2022,4367,1,4
208310049,2022,7117,1,4
208310049,2022,3181,2,4
208310049,2022,5854,1,4
208310049,2024,8701,1,4
208310049,2024,8302,1,0
208310049,2024,4857,1,4
208310049,2024,7844,1,4
208310049,2024,2208,1,4
208310049,2024,3425,1,4
208310049,2024,6917,1,4
208310049,2024,1032,2,4
208310049,2024,12381,1,4
208310049,2024,5889,1,5
208310049,2024,483,1,8
208310049,2024,8963,1,4
208310049,2024,1536,1,4
208310049,2024,4706,1,4
208310049,2024,4802,1,0
208310049,2024,2615,1,4
208310049,2024,5724,1,5
208310049,2024,6467,1,5
208310049,2024,6369,1,5
208310049,2024,3131,1,5
208310049,2024,5232,2,5
208310049,2024,2,11,8
208310049,2024,555,1,5
208310049,2024,14001,1,3
208310049,2024,5298,1,5
208310049,2024,6591,1,5
208310049,2024,13116,1,5
208310049,2024,7269,1,5
208310049,2024,7699,1,5
208310049,2024,10009,1,5
208310049,2024,4081,1,5
208310049,2024,5670,1,5
208310049,2024,5820,1,4
208310049,2024,10495,1,3
208310049,2024,5382,1,5
208310049,2024,11250,1,5
208310049,2024,5221,1,3
208310049,2024,13161,1,5
208310049,2024,2832,1,5
208310049,2024,3259,1,5
208310049,2024,10026,1,5
208310049,2024,9223,1,4
208310049,2024,2429,1,4
208310049,2024,12581,1,4
208310049,2024,8201,1,4
208310049,2024,3181,1,4
208310049,2024,2741,1,4
208310049,2024,655,1,0
208310049,2024,12886,1,4
208310049,2024,4123,1,4
208310049,2024,5142,1,4
208310049,2024,5607,1,4
208310049,2024,11784,1,4
208310053,2022,2,1,8
208310053,2022,5142,1,4
208310053,2022,2415,1,4
208310053,2022,2874,1,4
208310053,2022,4113,1,4
208310053,2022,4665,2,4
208310053,2022,1790,1,4
208310053,2022,9504,1,4
208310053,2022,5614,1,5
208310053,2022,7677,1,5
208310053,2022,3491,1,4
208310053,2022,10938,1,1
208310053,2024,7269,1,5
