yop_kodu,year,lise_id,yerlesen_sayisi,school_type
204010015,2022,2,12,8
204010015,2022,13056,1,4
204010015,2022,7264,1,4
204010015,2022,945,3,4
204010015,2022,3476,1,4
204010015,2022,5142,1,4
204010015,2022,6334,1,4
204010015,2022,2817,1,4
204010015,2022,3317,1,4
204010015,2022,4113,1,4
204010015,2022,3420,1,2
204010015,2022,11784,2,4
204010015,2022,1702,1,4
204010015,2022,1023,1,2
204010015,2022,2544,1,4
204010015,2022,514,1,4
204010015,2022,2772,1,4
204010015,2022,11306,1,0
204010015,2022,4063,1,4
204010015,2022,3226,1,4
204010015,2022,3388,1,4
204010015,2022,5378,1,4
204010015,2022,11600,2,2
204010015,2022,886,1,4
204010015,2022,887,1,4
204010015,2022,969,1,4
204010015,2022,2208,1,4
204010015,2022,11545,4,0
204010015,2022,6089,1,4
204010015,2022,1034,1,4
204010015,2022,7720,1,4
204010015,2022,7933,1,4
204010015,2022,2992,1,4
204010015,2022,2615,1,4
204010015,2022,985,1,5
204010015,2022,6643,1,3
204010015,2022,10405,1,5
204010015,2022,10434,1,5
204010015,2022,4409,1,5
204010015,2022,1982,1,5
204010015,2022,9099,2,5
204010015,2022,413,1,3
204010015,2022,2831,1,5
204010015,2022,3720,1,5
204010015,2022,7230,1,3
204010015,2022,5179,1,5
204010015,2022,8154,1,5
204010015,2022,7607,1,3
204010015,2022,14001,1,3
204010015,2022,7955,1,5
204010015,2022,10573,1,5
204010015,2022,11936,1,5
204010015,2022,7269,1,5
204010015,2022,10447,2,5
204010015,2022,11982,1,5
204010015,2022,9112,1,5
204010015,2022,5122,1,5
204010015,2022,1896,1,5
204010015,2022,10423,1,5
204010015,2022,4651,2,5
204010015,2022,5308,1,5
204010015,2022,2832,1,5
204010015,2022,10101,1,3
204010015,2022,523,1,5
204010015,2022,2648,1,5
204010015,2022,52,1,4
204010015,2022,1324,1,4
204010015,2022,2013,1,4
204010015,2022,1000,1,4
204010015,2022,681,1,4
204010015,2022,10035,1,4
204010015,2022,287,1,4
204010015,2022,3078,1,4
204010015,2022,6633,1,4
204010015,2022,227,1,4
204010015,2022,3474,2,4
204010015,2022,11247,1,4
204010015,2022,10938,1,1
204010015,2022,1989,1,4
204010015,2022,656,1,4
204010015,2022,6147,1,4
204010015,2022,1683,1,4
204010015,2023,2588,1,2
204010015,2023,2,25,8
204010015,2023,945,1,4
204010015,2023,1886,1,4
204010015,2023,1018,1,2
204010015,2023,4451,1,4
204010015,2023,2903,1,2
204010015,2023,8030,1,4
204010015,2023,813,1,4
204010015,2023,6661,1,2
204010015,2023,4173,1,4
204010015,2023,11784,3,4
204010015,2023,7209,1,4
204010015,2023,7031,1,4
204010015,2023,2464,1,4
204010015,2023,12714,1,0
204010015,2023,2465,1,4
204010015,2023,965,1,4
204010015,2023,4063,1,4
204010015,2023,11600,1,2
204010015,2023,969,1,4
204010015,2023,3425,2,4
204010015,2023,4363,1,4
204010015,2023,1032,1,4
204010015,2023,3227,1,4
204010015,2023,2340,1,0
204010015,2023,3446,1,4
204010015,2023,5889,1,5
204010015,2023,1630,1,4
204010015,2023,1198,1,4
204010015,2023,1258,1,0
204010015,2023,3914,1,2
204010015,2023,2343,1,5
204010015,2023,14042,1,5
204010015,2023,9548,1,5
204010015,2023,9508,1,5
204010015,2023,9099,3,5
204010015,2023,5232,2,5
204010015,2023,6644,1,3
