yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300310023,2022,2,3,8
300310023,2022,5004,1,0
300310023,2022,2820,1,4
300310023,2022,12161,1,5
300310023,2022,473,1,4
300310023,2022,4778,1,4
300310023,2022,1547,1,4
300310023,2022,1871,1,4
300310023,2023,2,4,8
300310023,2023,5572,1,4
300310023,2023,4040,1,4
300310023,2023,5793,1,4
300310023,2023,4385,1,4
300310023,2023,1834,1,0
300310023,2023,2631,1,3
300310023,2023,1628,1,4
300310023,2023,1546,1,4
300310023,2023,5274,1,4
300310023,2024,4461,1,4
300310023,2024,10038,1,4
300310023,2024,452,1,4
300310023,2024,1756,1,4
300310023,2024,1462,1,4
300310023,2024,4199,1,4
300310023,2024,2,1,8
300310023,2024,70,1,4
300310023,2024,813,1,4
300310023,2024,26,1,4
300310023,2024,6302,1,4
300310023,2024,2993,1,5
300310129,2022,7280,1,4
300310129,2022,6089,1,4
300310129,2022,12437,1,1
300310129,2022,5762,1,5
300310129,2023,2,4,8
300310129,2023,11964,1,4
300310129,2023,1942,1,4
300310129,2023,4645,1,4
300310129,2023,7167,1,5
300310129,2023,1869,1,5
300310129,2023,6313,1,4
300310129,2024,570,1,4
300310129,2024,2975,1,4
300310129,2024,2,1,8
300310129,2024,3031,1,4
300310129,2024,5792,1,4
300310129,2024,5564,1,5
300310129,2024,7697,1,5
300310129,2024,12106,1,5
300310129,2024,296,1,4
300310129,2024,1548,1,4
300310147,2022,2,1,8
300310147,2022,1730,1,4
300310147,2022,1866,1,4
300310147,2022,7728,1,4
300310147,2022,1033,1,4
300310147,2022,12711,1,4
300310147,2022,5133,1,5
300310147,2022,1100,1,4
300310147,2022,6154,1,4
300310147,2022,3679,1,4
300310147,2023,458,1,4
300310147,2023,2,5,8
300310147,2023,2475,1,4
300310147,2023,9678,1,5
300310147,2023,11388,1,5
300310147,2023,10828,1,5
300310147,2024,6824,1,3
300310147,2024,10318,1,5
300310147,2024,2096,1,5
300310147,2024,1325,1,4
300310147,2024,6942,1,4
300310147,2024,3689,1,4
300310147,2024,2,2,8
300310147,2024,4815,1,0
300310147,2024,1889,1,4
300310147,2024,1483,1,4
