yop_kodu,year,lise_id,yerlesen_sayisi,school_type
111510497,2022,2,1,8
111510497,2022,2765,2,4
111510497,2022,694,1,4
111510497,2022,1175,1,4
111510497,2022,1180,1,4
111510497,2022,1398,1,0
111510497,2022,535,1,4
111510497,2022,660,1,4
111510497,2022,663,1,4
111510497,2022,1936,1,2
111510497,2022,1444,1,4
111510497,2022,1337,1,4
111510497,2022,2819,1,4
111510497,2022,1224,1,4
111510497,2022,1277,3,4
111510497,2022,2843,1,4
111510497,2022,1791,1,4
111510497,2022,891,1,4
111510497,2022,673,1,4
111510497,2022,1279,1,4
111510497,2022,1198,1,4
111510497,2022,3209,1,5
111510497,2022,7774,1,5
111510497,2022,7682,1,5
111510497,2022,1896,1,5
111510497,2022,1305,1,5
111510497,2022,4169,1,5
111510497,2022,1283,1,4
111510497,2022,1724,1,4
111510497,2022,1369,1,4
111510497,2022,1601,1,4
111510497,2022,1119,2,4
111510497,2022,1207,1,4
111510497,2022,249,1,4
111510497,2022,657,1,4
111510497,2022,1169,1,2
111510497,2022,7148,1,4
111510497,2023,2917,2,4
111510497,2023,2,7,8
111510497,2023,118,1,0
111510497,2023,2393,1,4
111510497,2023,942,2,2
111510497,2023,1647,1,4
111510497,2023,2815,1,4
111510497,2023,660,1,4
111510497,2023,863,1,4
111510497,2023,663,1,4
111510497,2023,463,1,4
111510497,2023,237,1,2
111510497,2023,1337,1,4
111510497,2023,2819,1,4
111510497,2023,7561,1,4
111510497,2023,3908,1,4
111510497,2023,578,1,4
111510497,2023,1279,2,4
111510497,2023,2029,1,4
111510497,2023,1132,2,0
111510497,2023,2823,1,5
111510497,2023,8371,1,1
111510497,2023,1847,1,5
111510497,2023,282,2,1
111510497,2023,10989,1,5
111510497,2023,7752,1,5
111510497,2023,1896,1,5
111510497,2023,2291,1,5
111510497,2023,6620,1,5
111510497,2023,6310,1,5
111510497,2023,1283,1,4
111510497,2023,638,1,4
111510497,2023,704,1,4
111510497,2023,1542,1,4
111510497,2023,1900,1,4
111510497,2023,1544,1,4
111510497,2023,1119,1,4
111510497,2023,6908,1,4
111510497,2023,4416,1,0
111510497,2023,656,1,4
111510497,2023,1660,1,4
111510497,2024,3188,1,4
111510497,2024,5736,1,4
111510497,2024,578,1,4
111510497,2024,3302,1,4
111510497,2024,1132,1,0
111510497,2024,266,1,4
111510497,2024,1433,2,4
111510497,2024,1135,1,4
111510497,2024,3726,1,5
111510497,2024,3466,1,5
111510497,2024,2,4,8
111510497,2024,3856,1,5
111510497,2024,1894,1,5
111510497,2024,2807,1,5
111510497,2024,5802,1,5
111510497,2024,3469,1,4
111510497,2024,1283,1,4
111510497,2024,3721,1,4
111510497,2024,151,1,4
111510497,2024,5660,1,4
111510497,2024,2362,1,4
111510497,2024,1175,1,4
111510497,2024,936,1,4
111510497,2024,2945,1,4
111510497,2024,863,1,4
111510497,2024,663,2,4
111510497,2024,1218,1,4
111510497,2024,3483,1,4
111510497,2024,1277,1,4
111510497,2024,8074,1,4
111510628,2022,2,2,8
111510628,2022,2950,1,4
