yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102510017,2022,70,1,4
102510017,2022,5820,1,4
102510017,2022,5156,1,2
102510017,2022,4838,1,4
102510017,2022,3263,1,4
102510017,2022,4515,1,4
102510017,2022,4703,1,4
102510017,2022,2934,1,4
102510017,2022,1611,1,4
102510017,2022,609,1,4
102510017,2022,4533,1,4
102510017,2022,4277,1,4
102510017,2022,2805,1,4
102510017,2022,3665,1,4
102510017,2022,4470,1,2
102510017,2022,3522,1,5
102510017,2022,4280,1,5
102510017,2022,5711,1,5
102510017,2022,680,1,5
102510017,2022,5092,1,2
102510017,2022,6450,1,4
102510017,2022,4712,1,4
102510017,2022,58,1,4
102510017,2022,5310,1,4
102510017,2022,3452,1,4
102510017,2022,811,1,4
102510017,2022,570,1,4
102510017,2022,4663,1,4
102510017,2022,5781,1,4
102510017,2022,657,1,4
102510017,2022,2788,1,4
102510017,2023,2744,1,4
102510017,2023,2,6,8
102510017,2023,4581,1,4
102510017,2023,533,1,4
102510017,2023,2078,1,4
102510017,2023,1808,1,4
102510017,2023,4524,1,2
102510017,2023,16,1,0
102510017,2023,5517,1,4
102510017,2023,4084,1,4
102510017,2023,627,1,4
102510017,2023,19,1,4
102510017,2023,813,1,4
102510017,2023,4498,1,4
102510017,2023,411,1,2
102510017,2023,959,1,2
102510017,2023,6099,1,2
102510017,2023,1529,1,4
102510017,2023,890,1,4
102510017,2023,650,1,4
102510017,2023,393,1,4
102510017,2023,4588,1,4
102510017,2023,11404,1,1
102510017,2023,2093,1,5
102510017,2023,6566,1,5
102510017,2023,1898,1,4
102510017,2023,7693,1,4
102510017,2023,5861,1,4
102510017,2023,1987,1,4
102510017,2023,1547,1,4
102510017,2023,3452,1,4
102510017,2023,656,2,4
102510017,2023,3297,1,4
102510017,2023,1880,1,4
102510017,2023,153,1,4
102510026,2022,2,2,8
102510026,2022,1214,1,4
102510026,2022,4417,1,4
102510026,2022,138,1,4
102510026,2022,739,1,4
102510026,2022,215,1,4
102510026,2022,175,1,4
102510026,2022,4524,1,2
102510026,2022,1886,1,4
102510026,2022,1810,1,4
102510026,2022,1019,2,4
102510026,2022,4268,1,4
102510026,2022,4956,1,4
102510026,2022,627,1,4
102510026,2022,1811,1,4
102510026,2022,1358,1,4
102510026,2022,7270,1,4
102510026,2022,11427,1,4
102510026,2022,4176,1,4
102510026,2022,9253,1,4
102510026,2022,3441,1,4
102510026,2022,609,1,4
102510026,2022,2858,1,4
102510026,2022,125,1,4
102510026,2022,3387,1,4
102510026,2022,893,1,4
102510026,2022,4706,1,4
102510026,2022,2805,1,4
102510026,2022,1980,1,4
102510026,2022,106,1,5
102510026,2022,1952,1,5
102510026,2022,1342,1,5
102510026,2022,6188,1,5
102510026,2022,5752,1,5
102510026,2022,3660,1,4
102510026,2022,730,1,4
102510026,2022,1005,1,4
102510026,2022,5093,1,4
102510026,2022,2429,1,4
102510026,2022,7128,1,4
102510026,2022,1878,1,4
102510026,2022,4674,1,4
102510026,2022,3920,1,4
102510026,2022,1498,1,4
102510026,2022,4415,1,0
102510026,2022,4416,1,0
102510026,2022,4310,1,0
102510026,2022,5046,1,4
102510026,2022,1209,1,4
102510026,2022,410,1,4
102510026,2023,1290,1,4
102510026,2023,2979,1,4
102510026,2023,939,1,4
102510026,2023,2,9,8
102510026,2023,377,1,4
102510026,2023,5458,1,4
102510026,2023,5313,1,4
102510026,2023,4268,1,4
102510026,2023,537,1,4
102510026,2023,378,1,4
102510026,2023,7212,1,4
102510026,2023,1811,1,4
102510026,2023,2259,1,0
102510026,2023,4796,1,4
102510026,2023,4755,1,2
102510026,2023,2819,1,4
102510026,2023,6198,1,4
