yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107110015,2022,516,1,4
107110015,2023,2533,1,2
107110015,2023,1782,1,4
107110015,2023,23,1,4
107110015,2023,5101,1,4
107110015,2023,9186,1,1
107110015,2023,3353,1,4
107110015,2023,2824,1,4
107110015,2023,1872,1,4
107110015,2023,153,1,4
107110015,2024,215,1,4
107110015,2024,392,1,4
107110024,2022,693,2,4
107110024,2022,793,1,4
107110024,2022,168,1,4
107110024,2022,11,2,4
107110024,2022,119,3,4
107110024,2022,169,1,4
107110024,2022,215,1,4
107110024,2022,643,1,4
107110024,2022,705,3,2
107110024,2022,537,1,4
107110024,2022,140,3,2
107110024,2022,301,1,4
107110024,2022,3952,1,4
107110024,2022,6023,3,2
107110024,2022,170,1,4
107110024,2022,378,1,4
107110024,2022,8280,1,4
107110024,2022,172,1,4
107110024,2022,2665,1,4
107110024,2022,299,1,4
107110024,2022,262,4,4
107110024,2022,141,1,4
107110024,2022,423,1,4
107110024,2022,124,2,4
107110024,2022,83,1,4
107110024,2022,845,1,2
107110024,2022,3908,1,4
107110024,2022,696,1,4
107110024,2022,308,2,4
107110024,2022,516,2,4
107110024,2022,698,1,2
107110024,2022,142,1,4
107110024,2022,2559,1,2
107110024,2022,5266,1,4
107110024,2022,766,1,4
107110024,2022,700,1,2
107110024,2022,146,1,4
107110024,2022,604,1,4
107110024,2022,11087,1,1
107110024,2022,582,1,5
107110024,2022,7564,1,1
107110024,2022,10980,1,3
107110024,2022,701,1,5
107110024,2022,3468,1,3
107110024,2022,5926,1,5
107110024,2022,559,2,4
107110024,2022,52,1,4
107110024,2022,53,1,4
107110024,2022,8635,1,4
107110024,2022,109,3,4
107110024,2022,5311,1,4
107110024,2022,591,1,4
107110024,2022,592,1,4
107110024,2022,8,1,2
107110024,2022,229,1,4
107110024,2022,657,1,4
107110024,2022,152,2,4
107110024,2022,153,5,4
107110024,2023,9,1,2
107110024,2023,693,2,4
107110024,2023,168,1,4
107110024,2023,70,1,4
107110024,2023,119,5,4
107110024,2023,533,1,4
107110024,2023,169,1,4
107110024,2023,1782,1,4
107110024,2023,2078,1,4
107110024,2023,13,2,4
107110024,2023,3715,1,4
107110024,2023,77,1,4
107110024,2023,140,2,2
107110024,2023,6023,2,2
107110024,2023,378,1,4
107110024,2023,171,1,4
107110024,2023,462,1,4
107110024,2023,2665,1,4
107110024,2023,6704,1,4
107110024,2023,262,2,4
107110024,2023,141,1,4
107110024,2023,124,2,4
107110024,2023,308,1,4
107110024,2023,5387,1,4
107110024,2023,369,1,4
107110024,2023,142,1,4
107110024,2023,310,1,4
107110024,2023,269,1,0
107110024,2023,2559,1,2
107110024,2023,198,1,4
107110024,2023,5266,2,4
107110024,2023,897,1,4
107110024,2023,163,1,4
107110024,2023,442,1,4
107110024,2023,146,1,4
107110024,2023,604,4,4
107110024,2023,518,1,4
107110024,2023,6209,1,4
107110024,2023,2958,2,4
107110024,2023,127,1,4
107110024,2023,1390,1,4
107110024,2023,129,1,4
107110024,2023,40,1,4
107110024,2023,582,1,5
107110024,2023,5749,1,3
107110024,2023,7713,1,5
107110024,2023,3353,1,4
107110024,2023,711,2,4
107110024,2023,7595,1,4
107110024,2023,149,3,4
107110024,2023,346,1,4
107110024,2023,703,1,2
107110024,2023,652,1,4
107110024,2023,749,1,4
107110024,2023,779,1,4
107110024,2023,347,1,4
107110024,2023,850,1,4
107110024,2023,2928,1,4
107110024,2023,759,1,4
107110024,2023,109,2,4
107110024,2023,5229,1,5
107110024,2023,733,1,4
107110024,2023,851,1,4
107110024,2023,152,1,4
107110024,2023,153,1,4
107110024,2024,76,1,4
107110024,2024,276,1,4
107110024,2024,140,1,2
107110024,2024,378,1,4
107110024,2024,10982,1,4
107110024,2024,2665,1,4
107110024,2024,1383,1,4
107110024,2024,411,1,2
107110024,2024,262,1,4
107110024,2024,141,1,4
107110024,2024,116,1,4
107110024,2024,358,3,4
107110024,2024,744,1,4
107110024,2024,124,1,4
107110024,2024,609,1,4
107110024,2024,632,1,4
107110024,2024,308,1,4
107110024,2024,494,1,4
107110024,2024,239,1,4
107110024,2024,697,1,4
107110024,2024,142,1,4
107110024,2024,10,1,4
107110024,2024,310,1,4
107110024,2024,143,1,4
107110024,2024,198,1,4
107110024,2024,700,1,2
107110024,2024,604,1,4
107110024,2024,518,3,4
107110024,2024,2958,1,4
107110024,2024,1390,1,4
107110024,2024,551,1,5
107110024,2024,10984,1,5
107110024,2024,2,1,8
107110024,2024,582,1,5
107110024,2024,11059,1,3
107110024,2024,10648,1,3
107110024,2024,6684,1,4
107110024,2024,711,1,4
107110024,2024,149,2,4
107110024,2024,730,1,4
107110024,2024,652,2,4
107110024,2024,56,1,4
107110024,2024,476,1,4
107110024,2024,168,2,4
107110024,2024,109,1,4
107110024,2024,5311,1,4
107110024,2024,2655,1,2
107110024,2024,206,1,4
107110024,2024,713,1,4
107110024,2024,99,1,4
107110024,2024,8,1,2
107110024,2024,356,1,4
107110024,2024,119,2,4
107110024,2024,1782,1,4
107110024,2024,215,1,4
107110024,2024,120,1,4
107110033,2022,2979,1,4
107110033,2022,7335,1,4
107110033,2022,2,3,8
107110033,2022,5621,1,4
107110033,2022,1708,1,4
107110033,2022,642,1,4
107110033,2022,7052,1,4
107110033,2022,415,1,4
107110033,2022,77,1,4
107110033,2022,4493,1,4
107110033,2022,7142,1,4
107110033,2022,537,1,4
107110033,2022,170,1,4
107110033,2022,378,2,4
107110033,2022,8280,1,4
107110033,2022,333,1,4
107110033,2022,3458,1,4
107110033,2022,302,1,4
107110033,2022,10612,1,4
107110033,2022,1563,1,4
107110033,2022,299,1,4
107110033,2022,21,1,4
107110033,2022,334,1,4
107110033,2022,6855,1,4
107110033,2022,2921,1,4
107110033,2022,81,1,4
107110033,2022,6451,1,4
107110033,2022,305,1,4
107110033,2022,306,1,4
107110033,2022,11018,1,4
107110033,2022,4574,1,4
107110033,2022,8324,1,4
107110033,2022,1873,2,4
107110033,2022,430,1,4
107110033,2022,86,1,4
107110033,2022,3464,1,4
107110033,2022,437,1,4
107110033,2022,311,1,4
107110033,2022,35,1,0
107110033,2022,3279,1,4
107110033,2022,185,1,4
107110033,2022,7855,1,4
107110033,2022,36,1,4
107110033,2022,442,1,4
107110033,2022,146,1,4
107110033,2022,604,1,4
107110033,2022,1432,1,4
107110033,2022,127,1,4
107110033,2022,128,1,4
107110033,2022,3280,1,4
107110033,2022,995,1,5
107110033,2022,778,1,5
107110033,2022,10429,1,5
107110033,2022,10999,1,3
107110033,2022,6439,1,5
107110033,2022,9494,1,5
107110033,2022,346,2,4
107110033,2022,779,2,4
107110033,2022,4206,1,4
107110033,2022,1117,1,4
107110033,2022,1544,1,4
107110033,2022,2194,1,4
107110033,2022,618,1,4
107110033,2022,7070,1,4
107110033,2022,355,1,4
107110033,2022,65,1,4
107110033,2023,12756,1,4
107110033,2023,6715,1,4
107110033,2023,116,1,4
107110033,2023,641,1,4
107110033,2023,2,8,8
107110033,2023,7372,1,4
107110033,2023,771,1,4
107110033,2023,8466,1,4
107110033,2023,175,1,4
107110033,2023,416,1,4
107110033,2023,643,1,4
107110033,2023,139,1,4
107110033,2023,11152,1,4
107110033,2023,7609,1,4
107110033,2023,537,1,4
107110033,2023,3159,1,4
107110033,2023,627,1,4
107110033,2023,19,2,4
107110033,2023,171,1,4
107110033,2023,8280,1,4
107110033,2023,1443,1,4
107110033,2023,365,1,4
107110033,2023,357,1,4
107110033,2023,486,1,4
107110033,2023,334,1,4
107110033,2023,12929,1,4
107110033,2023,80,1,4
107110033,2023,2984,1,4
107110033,2023,5039,1,4
107110033,2023,1154,1,4
107110033,2023,431,3,4
107110033,2023,433,1,4
107110033,2023,1915,1,4
107110033,2023,437,1,4
107110033,2023,33,1,4
107110033,2023,35,1,0
107110033,2023,676,1,4
107110033,2023,146,1,4
107110033,2023,1432,1,4
107110033,2023,2403,1,4
107110033,2023,40,1,4
107110033,2023,11930,1,5
107110033,2023,5926,1,5
107110033,2023,1236,1,4
107110033,2023,3353,1,4
107110033,2023,8625,1,4
107110033,2023,346,1,4
107110033,2023,13070,1,4
107110033,2023,1826,3,4
107110033,2023,2838,1,4
107110033,2023,350,1,4
107110033,2023,5311,2,4
107110033,2023,723,1,4
107110033,2023,7267,1,4
107110033,2023,355,2,4
107110033,2023,229,1,4
107110033,2023,657,1,4
107110033,2023,152,1,4
107110033,2023,65,2,4
107110033,2024,789,1,4
107110033,2024,490,1,4
107110033,2024,2207,1,4
107110033,2024,308,1,4
107110033,2024,726,1,4
107110033,2024,2375,1,0
107110033,2024,5351,1,4
107110033,2024,285,1,4
107110033,2024,8954,1,4
107110033,2024,679,1,4
107110033,2024,788,1,4
107110033,2024,128,1,4
107110033,2024,988,1,5
107110033,2024,244,1,5
107110033,2024,7774,1,5
107110033,2024,1655,1,5
107110033,2024,5802,1,5
107110033,2024,6506,1,4
107110033,2024,12080,1,4
107110033,2024,7105,1,4
107110033,2024,400,1,4
107110033,2024,4813,1,4
107110033,2024,64,1,4
107110033,2024,1661,1,4
107110033,2024,2,3,8
107110033,2024,276,1,4
107110033,2024,662,1,4
107110033,2024,378,1,4
107110033,2024,8033,1,4
107110033,2024,3458,1,4
107110042,2022,10,1,4
107110042,2022,2,4,8
107110042,2022,1646,1,4
107110042,2022,192,1,4
107110042,2022,215,1,4
107110042,2022,377,1,4
107110042,2022,1441,1,4
107110042,2022,276,1,4
107110042,2022,796,1,4
107110042,2022,1810,1,4
107110042,2022,9240,1,4
107110042,2022,1356,1,4
