yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107210014,2022,505,1,2
107210014,2022,2,13,8
107210014,2022,1507,1,4
107210014,2022,2703,1,4
107210014,2022,4237,1,4
107210014,2022,4344,1,4
107210014,2022,786,1,4
107210014,2022,3795,1,4
107210014,2022,5281,1,4
107210014,2022,7556,1,4
107210014,2022,2552,1,0
107210014,2022,6273,1,4
107210014,2022,2517,1,4
107210014,2022,6595,1,4
107210014,2022,8724,1,4
107210014,2022,35,1,0
107210014,2022,4648,2,1
107210014,2022,9734,2,5
107210014,2022,9209,1,5
107210014,2022,6212,1,5
107210014,2022,9094,1,5
107210014,2022,9508,1,5
107210014,2022,1488,2,5
107210014,2022,9766,1,1
107210014,2022,10928,1,1
107210014,2022,10708,1,1
107210014,2022,10937,1,5
107210014,2022,4334,1,5
107210014,2022,9125,1,5
107210014,2022,1632,1,4
107210014,2022,12344,1,4
107210014,2022,1055,1,4
107210014,2022,7222,1,4
107210014,2022,5428,1,4
107210014,2022,6281,1,0
107210014,2022,8229,1,4
107210014,2022,608,1,4
107210014,2023,2,14,8
107210014,2023,5334,1,4
107210014,2023,3629,1,4
107210014,2023,6315,1,4
107210014,2023,7495,1,4
107210014,2023,6039,1,2
107210014,2023,3773,1,4
107210014,2023,4765,1,4
107210014,2023,4683,1,4
107210014,2023,9654,1,4
107210014,2023,2303,1,5
107210014,2023,5785,1,0
107210014,2023,11561,1,1
107210014,2023,7379,3,3
107210014,2023,6679,1,5
107210014,2023,5419,1,5
107210014,2023,6229,1,5
107210014,2023,1488,2,5
107210014,2023,14908,1,1
107210014,2023,11581,1,1
107210014,2023,6573,1,5
107210014,2023,7342,1,5
107210014,2023,635,2,1
107210014,2023,3509,1,5
107210014,2023,11192,1,1
107210014,2023,8172,1,1
107210014,2023,7631,1,5
107210014,2023,6621,1,5
107210014,2023,6593,1,5
107210014,2023,4750,1,4
107210014,2023,3708,1,4
107210014,2023,2486,1,4
107210014,2023,12959,1,4
107210014,2023,5155,1,4
107210014,2023,6281,1,0
107210014,2024,7108,1,0
107210014,2024,1883,1,4
107210014,2024,956,1,4
107210014,2024,7265,1,4
107210014,2024,5036,1,4
107210014,2024,8066,1,4
107210014,2024,1566,1,4
107210014,2024,5251,1,0
107210014,2024,2303,4,5
107210014,2024,3254,1,4
107210014,2024,483,1,8
107210014,2024,1388,1,4
107210014,2024,4917,1,4
107210014,2024,2308,1,4
107210014,2024,12369,1,4
107210014,2024,979,1,4
107210014,2024,2479,1,4
107210014,2024,4756,1,4
107210014,2024,4648,1,1
107210014,2024,11561,1,1
107210014,2024,1764,2,5
107210014,2024,2,10,8
107210014,2024,5207,1,5
107210014,2024,8610,1,1
107210014,2024,9035,1,1
107210014,2024,7668,1,5
107210014,2024,4263,1,4
107210014,2024,1986,1,4
107210014,2024,1606,1,4
107210014,2024,7064,1,4
107210014,2024,1208,1,4
107210014,2024,2486,1,4
107210014,2024,7006,1,4
107210014,2024,1502,1,0
107210014,2024,5300,1,4
107210014,2024,9871,1,4
107210014,2024,4905,1,4
107210014,2024,863,1,4
107210014,2024,4743,1,4
107210023,2022,1935,1,4
107210023,2022,4728,1,4
107210023,2022,1402,1,4
107210023,2022,3380,1,4
107210023,2022,2743,1,4
107210023,2022,1855,1,4
107210023,2022,3361,1,4
107210023,2022,4796,1,4
107210023,2022,786,1,4
107210023,2022,3383,1,2
107210023,2022,1528,1,4
107210023,2022,2244,1,4
107210023,2022,647,1,4
107210023,2022,8080,1,4
107210023,2022,6040,1,4
107210023,2022,4884,1,0
107210023,2022,967,1,4
107210023,2022,4361,1,4
107210023,2022,3444,1,4
107210023,2022,1576,1,4
107210023,2022,898,1,4
107210023,2022,10887,1,5
107210023,2022,5028,1,5
107210023,2022,10929,1,5
107210023,2022,5453,1,5
107210023,2022,1680,1,5
107210023,2022,10242,1,1
107210023,2022,4758,1,1
107210023,2022,12220,1,1
107210023,2022,3170,1,4
107210023,2022,107,1,4
107210023,2022,2312,1,4
107210023,2022,7192,1,4
107210023,2022,10620,1,4
107210023,2022,2785,1,4
107210023,2022,928,1,2
107210023,2022,3801,1,4
107210023,2022,5194,1,4
107210023,2022,5727,1,4
107210023,2022,1696,1,4
107210023,2022,8440,1,2
107210023,2023,2,9,8
107210023,2023,6508,1,4
107210023,2023,3338,1,4
107210023,2023,1940,1,4
107210023,2023,6278,1,4
107210023,2023,1735,1,4
107210023,2023,6027,1,4
107210023,2023,5485,1,4
107210023,2023,6283,1,4
107210023,2023,7187,1,4
107210023,2023,6284,1,4
107210023,2023,8530,1,4
107210023,2023,7210,1,4
107210023,2023,4884,1,0
107210023,2023,468,1,4
107210023,2023,160,1,4
107210023,2023,847,1,4
107210023,2023,5353,1,4
107210023,2023,2900,1,4
107210023,2023,3969,1,4
107210023,2023,6267,1,5
107210023,2023,5825,1,5
107210023,2023,10610,1,5
107210023,2023,5453,1,5
107210023,2023,1985,1,5
107210023,2023,5508,1,4
107210023,2023,2452,1,4
107210023,2023,5227,1,4
107210023,2023,1055,1,4
107210023,2023,2474,1,4
107210023,2023,4106,1,4
107210023,2023,4394,1,4
107210023,2023,8440,1,2
107210023,2024,3252,1,4
107210023,2024,647,1,4
107210023,2024,6040,1,4
107210023,2024,5785,1,0
107210023,2024,2668,1,4
107210023,2024,1993,1,4
107210023,2024,4361,1,4
107210023,2024,5341,1,4
107210023,2024,1109,1,2
107210023,2024,4745,1,4
107210023,2024,2,9,8
107210023,2024,7991,1,4
107210023,2024,4322,1,4
107210023,2024,1918,1,4
107210023,2024,2862,1,4
107210023,2024,5525,1,5
107210023,2024,5062,1,5
107210023,2024,777,1,5
107210023,2024,92,1,5
107210023,2024,4757,1,1
107210023,2024,3433,1,5
107210023,2024,5943,1,4
107210023,2024,10719,1,5
107210023,2024,10694,1,5
107210023,2024,6647,1,4
107210023,2024,6660,1,4
107210023,2024,5195,1,5
107210023,2024,3125,1,4
107210023,2024,5155,1,4
107210023,2024,5713,1,1
107210023,2024,2274,1,4
107210023,2024,1683,1,4
107210023,2024,1507,1,4
107210023,2024,863,1,4
107210023,2024,405,1,0
107210023,2024,4744,1,4
107210023,2024,4765,1,4
107210023,2024,3777,2,4
107210032,2022,4372,1,4
107210032,2022,2,1,8
107210032,2022,4311,1,4
107210032,2022,2594,1,2
107210032,2022,1882,1,4
107210032,2022,4314,1,4
107210032,2022,743,1,4
107210032,2022,5597,1,4
107210032,2022,4376,1,4
107210032,2022,6040,1,4
107210032,2022,4884,1,0
107210032,2022,1685,1,4
107210032,2022,3254,1,4
107210032,2022,160,1,4
107210032,2022,2518,1,4
107210032,2022,6052,1,4
107210032,2022,10834,1,5
107210032,2022,1143,1,2
107210032,2022,1501,1,4
107210032,2022,9585,1,4
107210032,2022,2274,1,4
107210032,2023,2,1,8
107210032,2023,3378,1,4
107210032,2023,2488,1,4
107210032,2023,1863,1,4
107210032,2023,1555,1,4
107210032,2023,4286,1,4
107210032,2023,2107,1,4
107210032,2023,8080,1,4
107210032,2023,5955,1,4
107210032,2023,5785,1,0
107210032,2023,2862,1,4
107210032,2023,848,1,4
107210032,2023,5615,1,5
107210032,2023,10674,1,3
107210032,2023,1492,1,4
107210032,2023,7874,1,4
107210032,2023,922,1,2
107210032,2023,2070,1,4
107210032,2023,5772,1,4
107210032,2023,6037,1,4
107210032,2023,640,1,4
107210032,2024,8094,1,4
107210032,2024,4455,1,4
107210032,2024,3700,1,5
107210032,2024,11216,1,5
107210032,2024,1234,1,5
107210032,2024,4758,1,1
107210032,2024,4850,1,4
107210032,2024,5508,1,4
107210032,2024,2837,1,4
107210032,2024,5712,1,4
107210032,2024,10947,1,4
107210032,2024,7459,1,4
107210032,2024,1999,1,4
107210032,2024,2,2,8
107210032,2024,794,1,4
107210032,2024,2792,1,4
107210032,2024,1940,1,4
107210032,2024,8297,1,4
107210032,2024,1942,1,4
107210032,2024,1713,1,4
107210041,2022,2,3,8
107210041,2022,6348,1,4
107210041,2022,4512,1,4
107210041,2022,4675,1,4
107210041,2022,331,1,4
107210041,2022,3199,1,4
107210041,2022,1757,1,4
107210041,2022,6699,1,4
107210041,2022,6954,1,4
107210041,2022,2376,1,0
107210041,2022,6158,1,4
107210041,2022,1302,1,0
107210041,2022,4193,1,4
107210041,2022,7222,1,4
107210041,2022,3888,1,4
107210041,2022,7299,1,4
107210041,2022,2975,1,4
107210041,2022,356,1,4
107210041,2022,1661,1,4
107210041,2023,2,2,8
107210041,2023,11251,1,4
107210041,2023,4449,1,4
107210041,2023,4701,1,4
107210041,2023,3316,1,4
107210041,2023,2754,1,4
107210041,2023,2397,1,4
107210041,2023,4961,1,4
107210041,2023,3797,1,4
107210041,2023,8319,1,4
107210041,2023,1426,1,4
107210041,2023,2668,1,4
107210041,2023,1154,1,4
107210041,2023,4361,1,4
107210041,2023,1717,1,4
107210041,2023,3,1,4
107210041,2023,2308,1,4
107210041,2023,3071,1,4
107210041,2023,1720,1,4
107210041,2023,10741,1,5
107210041,2023,6075,1,4
107210041,2023,1366,1,4
107210041,2023,11819,1,4
107210041,2023,1877,1,4
107210041,2023,2363,1,4
107210041,2024,4912,1,4
107210041,2024,3110,1,4
107210041,2024,1758,1,4
107210041,2024,1194,1,4
107210041,2024,497,1,4
107210041,2024,1994,1,4
107210041,2024,10327,1,5
107210041,2024,4938,1,1
107210041,2024,1769,1,4
107210041,2024,6372,1,4
107210041,2024,2,2,8
107210041,2024,7683,1,4
107210041,2024,1011,1,2
107210041,2024,3180,1,4
107210041,2024,2194,1,4
107210041,2024,8849,1,4
107210041,2024,4751,1,4
107210041,2024,6487,1,4
107210041,2024,2368,1,4
107210041,2024,943,1,4
107210041,2024,4743,1,4
107210041,2024,4343,1,0
107210041,2024,4314,1,4
107210041,2024,6605,2,4
107210068,2022,2,4,8
107210068,2022,6476,1,4
107210068,2022,6460,1,4
107210068,2022,4112,1,4
107210068,2022,3334,1,4
107210068,2022,4142,1,2
107210068,2022,4763,1,4
107210068,2022,2597,1,4
107210068,2022,3629,1,4
107210068,2022,2284,1,4
107210068,2022,5431,1,4
107210068,2022,3613,1,4
107210068,2022,3159,1,4
107210068,2022,3359,1,4
107210068,2022,5161,1,4
107210068,2022,1940,1,4
107210068,2022,4269,1,4
107210068,2022,6098,1,4
107210068,2022,3988,1,0
107210068,2022,4765,1,4
107210068,2022,4176,2,4
107210068,2022,4961,1,4
107210068,2022,2955,1,4
107210068,2022,4421,1,4
107210068,2022,4528,1,4
107210068,2022,1714,1,4
107210068,2022,5101,1,4
107210068,2022,4884,2,0
107210068,2022,5917,1,4
107210068,2022,2442,1,4
107210068,2022,839,1,2
107210068,2022,1818,1,4
107210068,2022,2128,1,4
107210068,2022,847,1,4
107210068,2022,392,1,4
107210068,2022,2132,1,4
107210068,2022,4521,1,4
107210068,2022,10942,1,5
107210068,2022,4409,1,5
107210068,2022,9099,1,5
107210068,2022,9686,1,5
107210068,2022,4830,1,5
107210068,2022,1492,1,4
107210068,2022,6647,2,4
107210068,2022,2098,1,4
107210068,2022,5372,1,4
107210068,2022,3790,1,4
107210068,2022,2838,1,4
107210068,2022,2943,1,4
107210068,2022,204,1,4
107210068,2022,10688,1,4
107210068,2022,2271,1,4
107210068,2022,3709,1,4
107210068,2022,3329,1,2
107210068,2022,6037,1,4
107210068,2022,1169,1,2
107210068,2023,2,10,8
107210068,2023,5407,1,4
107210068,2023,5073,1,4
107210068,2023,4763,1,4
107210068,2023,943,1,4
107210068,2023,2320,1,4
107210068,2023,1517,1,4
107210068,2023,3308,1,4
107210068,2023,78,1,4
107210068,2023,1559,1,4
107210068,2023,3200,1,4
107210068,2023,4043,1,4
107210068,2023,1735,1,4
107210068,2023,1561,1,4
107210068,2023,1704,2,4
107210068,2023,1857,1,4
107210068,2023,9724,1,1
107210068,2023,4783,1,4
107210068,2023,6519,1,4
107210068,2023,3140,1,4
107210068,2023,1566,1,4
107210068,2023,1424,1,4
107210068,2023,5101,1,4
107210068,2023,8094,1,4
107210068,2023,6954,1,4
107210068,2023,6218,1,4
107210068,2023,87,1,4
107210068,2023,5577,1,4
107210068,2023,2290,1,4
107210068,2023,2862,1,4
107210068,2023,901,1,2
107210068,2023,5505,1,5
107210068,2023,7438,1,3
107210068,2023,2642,1,1
107210068,2023,12354,1,5
107210068,2023,998,1,4
107210068,2023,6647,1,4
107210068,2023,5508,1,4
107210068,2023,2098,1,4
107210068,2023,736,1,4
107210068,2023,7192,1,4
107210068,2023,3012,1,4
107210068,2023,4509,1,4
107210068,2023,1602,1,4
107210068,2023,2516,1,4
107210068,2023,3355,1,4
107210068,2023,2812,1,4
107210068,2023,731,1,2
107210068,2023,1696,1,4
107210068,2023,2363,1,4
107210068,2023,8440,1,2
107210068,2023,154,1,4
107210068,2024,2792,1,4
107210068,2024,3550,2,4
107210068,2024,3316,1,4
107210068,2024,5482,1,4
107210068,2024,644,1,4
107210068,2024,3359,1,4
107210068,2024,405,1,0
107210068,2024,1735,1,4
107210068,2024,389,1,4
107210068,2024,2244,2,4
107210068,2024,3268,1,4
107210068,2024,4784,1,4
107210068,2024,3777,1,4
107210068,2024,4376,1,4
107210068,2024,3898,1,4
107210068,2024,3276,1,0
107210068,2024,5917,1,4
107210068,2024,3254,2,4
107210068,2024,160,1,4
107210068,2024,2308,1,4
107210068,2024,4322,1,4
107210068,2024,2,3,8
107210068,2024,978,1,4
107210068,2024,1874,1,4
107210068,2024,2862,1,4
107210068,2024,2132,1,4
107210068,2024,4521,1,4
107210068,2024,11259,1,1
107210068,2024,4861,1,5
