yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107410012,2022,641,1,4
107410012,2022,693,1,4
107410012,2022,7162,1,4
107410012,2022,2,5,8
107410012,2022,4111,1,4
107410012,2022,2590,1,4
107410012,2022,4815,1,0
107410012,2022,362,1,4
107410012,2022,945,1,4
107410012,2022,508,1,4
107410012,2022,3693,1,4
107410012,2022,140,1,2
107410012,2022,2664,2,4
107410012,2022,5100,1,2
107410012,2022,695,1,4
107410012,2022,1124,1,2
107410012,2022,3631,1,4
107410012,2022,2526,1,4
107410012,2022,237,1,2
107410012,2022,879,1,4
107410012,2022,4163,1,4
107410012,2022,5055,1,2
107410012,2022,26,1,4
107410012,2022,963,1,4
107410012,2022,7620,1,2
107410012,2022,5164,1,2
107410012,2022,846,1,2
107410012,2022,883,1,4
107410012,2022,966,1,4
107410012,2022,3115,1,0
107410012,2022,516,1,4
107410012,2022,2709,1,4
107410012,2022,6641,1,2
107410012,2022,971,1,2
107410012,2022,2670,1,2
107410012,2022,310,1,4
107410012,2022,2610,1,4
107410012,2022,1232,1,4
107410012,2022,2989,1,4
107410012,2022,2758,1,4
107410012,2022,2560,2,4
107410012,2022,547,1,4
107410012,2022,7240,1,2
107410012,2022,977,1,4
107410012,2022,978,1,4
107410012,2022,1874,1,4
107410012,2022,518,1,4
107410012,2022,980,1,2
107410012,2022,900,1,4
107410012,2022,2958,1,4
107410012,2022,1110,1,4
107410012,2022,11299,1,3
107410012,2022,89,1,5
107410012,2022,5176,1,1
107410012,2022,1045,1,3
107410012,2022,10585,1,3
107410012,2022,2637,1,5
107410012,2022,9188,1,5
107410012,2022,714,1,3
107410012,2022,2153,1,1
107410012,2022,2644,1,5
107410012,2022,523,1,5
107410012,2022,524,1,5
107410012,2022,560,2,4
107410012,2022,4672,1,2
107410012,2022,2581,1,2
107410012,2022,2649,2,2
107410012,2022,606,1,4
107410012,2022,4461,1,4
107410012,2022,2825,2,2
107410012,2022,2652,1,4
107410012,2022,476,1,4
107410012,2022,1145,1,2
107410012,2022,2784,1,4
107410012,2022,5228,1,2
107410012,2022,387,1,4
107410012,2022,933,1,2
107410012,2022,1012,1,2
107410012,2022,399,1,4
107410012,2022,1013,2,2
107410012,2022,571,1,4
107410012,2022,2659,1,2
107410012,2022,5034,1,4
107410012,2023,6662,1,4
107410012,2023,2,6,8
107410012,2023,2589,1,4
107410012,2023,168,1,4
107410012,2023,3154,1,4
107410012,2023,3221,1,2
107410012,2023,1400,1,4
107410012,2023,1178,1,4
107410012,2023,1509,1,4
107410012,2023,944,1,4
107410012,2023,508,1,4
107410012,2023,263,1,2
107410012,2023,865,1,4
107410012,2023,3420,1,2
107410012,2023,6649,1,4
107410012,2023,826,1,2
107410012,2023,2665,1,4
107410012,2023,4976,1,4
107410012,2023,2526,1,4
107410012,2023,871,1,2
107410012,2023,872,1,4
107410012,2023,875,1,2
107410012,2023,3250,1,4
107410012,2023,8297,1,4
107410012,2023,262,1,4
107410012,2023,3615,1,4
107410012,2023,879,1,4
107410012,2023,609,1,4
107410012,2023,963,1,4
107410012,2023,6624,1,2
107410012,2023,838,1,4
107410012,2023,1814,1,4
107410012,2023,2607,1,4
107410012,2023,368,1,4
107410012,2023,886,1,4
107410012,2023,2608,1,4
107410012,2023,6530,1,2
107410012,2023,3205,1,4
107410012,2023,269,1,0
107410012,2023,143,1,4
107410012,2023,1916,1,4
107410012,2023,4219,1,2
107410012,2023,1577,1,4
107410012,2023,1109,1,2
107410012,2023,700,1,2
107410012,2023,2612,1,4
107410012,2023,978,1,4
107410012,2023,2519,1,5
107410012,2023,6643,1,3
107410012,2023,7471,1,5
107410012,2023,13049,1,1
107410012,2023,5749,1,3
107410012,2023,708,1,5
107410012,2023,11004,1,3
107410012,2023,994,1,5
107410012,2023,2883,1,5
107410012,2023,11204,1,5
107410012,2023,3732,1,5
107410012,2023,995,1,5
107410012,2023,4135,1,3
107410012,2023,5846,1,5
107410012,2023,6025,1,5
107410012,2023,5221,1,3
107410012,2023,1050,1,3
107410012,2023,7253,1,3
107410012,2023,5802,1,5
107410012,2023,1922,1,2
107410012,2023,2649,1,2
107410012,2023,916,1,4
107410012,2023,149,1,4
107410012,2023,3627,1,4
107410012,2023,922,1,2
107410012,2023,850,1,4
107410012,2023,2652,1,4
107410012,2023,4809,1,4
107410012,2023,1657,1,4
107410012,2023,3473,1,2
107410012,2023,2784,1,4
107410012,2023,2655,1,2
107410012,2023,1547,1,4
107410012,2023,1013,1,2
107410012,2023,3329,1,2
107410012,2023,5243,1,2
107410012,2023,571,2,4
107410012,2023,2788,1,4
107410012,2023,7239,1,2
107410012,2023,1065,1,4
107410012,2024,1884,1,4
107410012,2024,1021,1,2
107410012,2024,953,1,4
107410012,2024,5201,1,2
107410012,2024,876,1,2
107410012,2024,4796,1,4
107410012,2024,4271,1,2
107410012,2024,880,1,4
107410012,2024,1566,2,4
107410012,2024,1736,1,4
107410012,2024,855,1,4
107410012,2024,6624,1,2
107410012,2024,838,1,4
107410012,2024,883,2,4
107410012,2024,1030,1,2
107410012,2024,892,1,2
107410012,2024,2609,1,2
107410012,2024,2559,2,2
107410012,2024,5889,1,5
107410012,2024,766,1,4
107410012,2024,700,1,2
107410012,2024,1504,1,4
107410012,2024,2612,1,4
107410012,2024,2613,1,2
107410012,2024,2958,2,4
107410012,2024,2616,1,4
107410012,2024,902,1,4
107410012,2024,3230,1,5
107410012,2024,1688,1,5
107410012,2024,5258,1,5
107410012,2024,2831,1,5
107410012,2024,9357,1,5
107410012,2024,2,6,8
107410012,2024,5122,1,5
107410012,2024,2644,1,5
107410012,2024,3524,1,5
107410012,2024,560,1,4
107410012,2024,1001,1,2
107410012,2024,652,1,4
107410012,2024,246,1,0
107410012,2024,779,1,4
107410012,2024,850,1,4
107410012,2024,3496,1,4
107410012,2024,940,1,4
107410012,2024,1498,1,4
107410012,2024,596,1,4
107410012,2024,3453,1,2
107410012,2024,6304,1,2
107410012,2024,941,1,2
107410012,2024,6282,1,3
107410012,2024,3438,1,4
107410012,2024,1124,2,2
107410021,2022,1904,1,4
107410021,2022,2,4,8
107410021,2022,2394,1,4
107410021,2022,16,1,0
107410021,2022,2283,1,4
107410021,2022,871,1,2
107410021,2022,1022,1,2
107410021,2022,6669,1,4
107410021,2022,956,1,4
107410021,2022,380,1,4
107410021,2022,124,1,4
107410021,2022,5363,1,4
107410021,2022,3442,1,4
107410021,2022,1889,1,4
107410021,2022,1532,1,0
107410021,2022,2231,2,4
107410021,2022,2560,1,4
107410021,2022,2612,1,4
107410021,2022,1110,1,4
107410021,2022,13050,1,1
107410021,2022,10300,1,3
107410021,2022,3732,1,5
107410021,2022,6618,1,5
107410021,2022,5180,1,5
107410021,2022,13051,1,1
107410021,2022,3281,2,5
107410021,2022,1799,1,4
107410021,2022,3970,1,2
107410021,2022,3149,1,4
107410021,2022,406,1,2
107410021,2022,1004,1,4
107410021,2022,1598,1,4
107410021,2022,638,1,4
107410021,2022,2652,1,4
107410021,2022,4267,1,4
107410021,2022,1756,1,4
107410021,2023,505,1,2
107410021,2023,2,6,8
107410021,2023,2431,1,4
107410021,2023,535,1,4
107410021,2023,660,1,4
107410021,2023,18,1,4
107410021,2023,1124,1,2
107410021,2023,2770,1,4
107410021,2023,960,1,2
107410021,2023,1319,1,4
107410021,2023,1650,1,4
107410021,2023,2336,1,4
107410021,2023,1388,1,4
107410021,2023,432,1,4
107410021,2023,2231,1,4
107410021,2023,393,1,4
107410021,2023,1745,1,4
107410021,2023,1039,1,2
107410021,2023,10570,1,5
107410021,2023,9285,1,3
107410021,2023,10573,1,5
107410021,2023,909,1,3
107410021,2023,7715,1,5
107410021,2023,10420,1,3
107410021,2023,10567,1,5
107410021,2023,52,1,4
107410021,2023,749,1,4
107410021,2023,246,1,0
107410021,2023,1008,1,4
107410021,2023,4198,2,4
107410021,2023,2974,1,4
107410021,2023,716,1,4
107410021,2023,1066,2,4
107410021,2023,1756,1,4
107410021,2024,7638,1,4
107410021,2024,2958,1,4
107410021,2024,2759,1,5
107410021,2024,2326,1,5
107410021,2024,5127,1,5
107410021,2024,922,1,2
107410021,2024,3496,1,4
107410039,2022,856,1,4
107410039,2022,2,1,8
107410039,2022,940,1,4
107410039,2022,480,1,4
107410039,2022,1909,1,4
107410039,2022,7559,1,4
107410039,2022,120,2,4
107410039,2022,1217,1,4
107410039,2022,946,1,2
107410039,2022,140,1,2
107410039,2022,867,1,4
107410039,2022,6649,1,4
107410039,2022,3404,1,4
107410039,2022,2664,1,4
