yop_kodu,year,lise_id,yerlesen_sayisi,school_type
210000185,2022,2,1,8
210000185,2022,5072,1,4
210000185,2022,3630,1,4
210000185,2022,3912,1,4
210000185,2022,3389,1,4
210000185,2022,4588,1,4
210000185,2022,2621,1,5
210000185,2022,10069,1,5
210000185,2022,4473,1,5
210000185,2022,4444,1,4
210000185,2023,2,1,8
210000185,2023,5072,1,4
210000185,2023,5874,1,0
210000185,2023,1296,1,4
210000185,2023,4685,1,4
210000185,2023,2805,1,4
210000185,2023,2067,1,4
210000185,2023,5922,1,4
210000185,2023,5671,1,5
210000185,2023,9198,1,5
210000185,2023,1149,1,4
210000185,2024,4580,1,4
210000185,2024,2,1,8
210000185,2024,5874,1,0
210000185,2024,2540,1,4
210000185,2024,877,1,2
210000185,2024,2603,1,0
210000185,2024,1027,1,2
210000185,2024,4348,1,4
210000185,2024,4393,1,5
210000199,2022,2,2,8
210000199,2022,5874,1,0
210000199,2022,4348,1,4
210000199,2022,2611,1,4
210000199,2022,242,1,4
210000199,2022,1743,1,4
210000199,2022,4946,1,5
210000199,2022,4733,1,5
210000199,2022,777,2,5
210000199,2022,5014,1,5
210000199,2022,5272,1,5
210000199,2022,2646,1,5
210000199,2022,11261,1,3
210000199,2023,2,8,8
210000199,2023,11220,1,5
210000199,2023,10227,1,4
210000199,2023,865,1,4
210000199,2023,3308,1,4
210000199,2023,5337,1,4
210000199,2023,4528,1,4
210000199,2023,1585,1,4
210000199,2023,4626,1,5
210000199,2023,5419,1,5
210000199,2023,11159,1,5
210000199,2023,11498,1,5
210000199,2023,5438,1,5
210000199,2023,6028,1,5
210000199,2023,11442,1,5
210000199,2023,4393,1,5
210000199,2023,5237,1,3
210000199,2023,4792,1,5
210000199,2023,5474,1,5
210000199,2023,10862,1,5
210000199,2023,6527,1,5
210000199,2023,346,1,4
210000199,2023,347,1,4
210000199,2023,5017,1,4
210000199,2023,5383,1,4
210000199,2023,3399,1,4
210000199,2023,4463,1,4
210000199,2023,4925,1,4
210000199,2024,2957,1,4
210000199,2024,518,1,4
210000199,2024,4588,2,4
210000199,2024,5296,1,4
210000199,2024,12461,1,5
210000199,2024,11159,1,5
210000199,2024,4350,1,5
210000199,2024,5369,1,5
210000199,2024,4946,2,5
210000199,2024,5438,3,5
210000199,2024,2,5,8
210000199,2024,10856,1,5
210000199,2024,10508,1,1
210000199,2024,777,1,5
210000199,2024,11348,1,5
210000199,2024,2713,1,5
210000199,2024,5657,1,5
210000199,2024,5443,1,5
210000199,2024,4393,1,5
210000199,2024,7445,1,5
210000199,2024,5734,1,5
210000199,2024,10075,1,4
210000199,2024,12462,1,1
210000199,2024,10016,1,5
210000199,2024,11169,1,5
210000199,2024,5726,1,5
210000199,2024,3218,1,4
210000199,2024,4397,2,0
210000199,2024,8490,1,4
210000199,2024,3159,1,4
210000199,2024,6388,1,0
210000199,2024,3288,1,0
210000199,2024,2611,1,4
210000206,2022,4803,1,5
210000206,2022,10501,1,5
210000206,2022,4733,1,5
210000206,2022,5443,1,5
210000206,2022,5726,1,5
210000206,2022,5187,1,5
210000206,2022,5383,1,4
210000206,2022,4444,1,4
210000206,2023,2,1,8
210000206,2023,4490,1,2
210000206,2023,4588,1,4
210000206,2023,902,1,4
210000206,2023,1796,1,5
210000206,2023,3213,1,5
210000206,2023,3626,1,3
210000206,2023,2487,1,4
210000206,2024,2979,1,4
210000206,2024,5072,1,4
210000206,2024,509,1,4
210000206,2024,173,1,4
210000206,2024,5078,1,2
210000220,2022,2,2,8
210000220,2022,5376,1,4
210000220,2022,2435,1,0
210000220,2022,2621,1,5
210000220,2022,4946,1,5
210000220,2022,4733,1,5
210000220,2022,11570,1,3
210000220,2022,3213,1,5
210000220,2022,5217,1,3
210000220,2022,5272,1,5
210000220,2022,2646,1,5
210000220,2023,2,3,8
210000220,2023,4217,1,4
210000220,2023,4455,1,4
210000220,2023,4588,1,4
210000220,2023,8147,1,5
210000220,2023,2621,2,5
210000220,2023,12463,1,1
210000220,2023,4874,1,5
210000220,2023,2695,1,5
210000220,2023,5272,1,5
210000220,2023,4473,1,5
210000220,2023,4792,1,5
210000220,2023,7211,1,5
210000220,2023,10862,1,5
210000220,2024,4803,1,5
210000220,2024,4203,1,3
210000220,2024,5438,1,5
210000220,2024,11701,1,5
210000220,2024,3610,2,5
210000220,2024,7445,1,5
210000220,2024,11836,1,5
210000227,2022,2979,2,4
210000227,2022,2,1,8
210000227,2022,2597,1,4
210000227,2022,1275,1,4
210000227,2022,1104,1,4
210000227,2022,865,1,4
210000227,2022,5376,3,4
210000227,2022,3308,1,4
210000227,2022,3159,1,4
210000227,2022,1089,1,4
210000227,2022,79,1,4
210000227,2022,4418,1,4
210000227,2022,1027,1,2
210000227,2022,3301,1,4
210000227,2022,672,1,4
210000227,2022,579,1,4
210000227,2022,8958,1,4
210000227,2022,392,1,4
210000227,2022,4348,1,4
210000227,2022,1743,1,4
210000227,2022,11517,1,5
210000227,2022,2621,1,5
210000227,2022,6535,1,5
210000227,2022,4279,1,5
210000227,2022,4733,1,5
210000227,2022,3610,1,5
210000227,2022,3449,1,5
210000227,2022,4661,1,5
210000227,2022,3213,1,5
210000227,2022,4808,1,5
210000227,2022,1600,1,4
210000227,2022,2825,1,2
210000227,2022,1801,1,4
210000227,2022,5712,1,4
210000227,2022,4383,1,4
210000227,2022,4992,1,4
210000227,2022,1756,1,4
210000227,2023,2,9,8
210000227,2023,5199,1,2
210000227,2023,5302,1,4
210000227,2023,643,1,4
210000227,2023,5874,1,0
210000227,2023,1518,1,4
210000227,2023,865,1,4
210000227,2023,5075,1,4
210000227,2023,2770,1,4
210000227,2023,4418,1,4
210000227,2023,540,1,4
210000227,2023,4978,1,4
210000227,2023,145,1,4
210000227,2023,1585,1,4
210000227,2023,11527,1,3
210000227,2023,6271,1,5
210000227,2023,2762,1,4
210000227,2023,930,1,4
210000227,2023,3866,1,4
210000227,2023,10511,1,4
210000227,2023,5383,1,4
210000227,2023,1063,1,2
210000227,2023,4444,1,4
210000227,2024,5072,1,4
210000227,2024,2748,1,4
210000227,2024,7209,1,4
210000227,2024,6121,1,4
210000227,2024,2621,1,5
210000227,2024,4444,1,4
210000241,2023,2,1,8
210000241,2023,7163,1,4
210000241,2023,1398,1,0
210000241,2023,3159,1,4
210000241,2023,3298,1,4
210000241,2023,11715,1,3
210000241,2023,10964,1,1
210000241,2023,2508,1,4
210000241,2024,2,2,8
210000241,2024,5818,1,5
210000241,2024,4901,1,4
210000241,2024,1165,1,4
210000248,2023,2,3,8
210000248,2023,5811,1,0
210000248,2023,1518,1,4
210000248,2023,4402,1,4
210000248,2023,3226,1,4
210000248,2023,8325,1,4
210000248,2023,5296,1,4
210000248,2023,777,1,5
210000248,2023,9179,1,5
210000248,2023,2695,1,5
210000248,2023,5800,1,5
210000248,2023,5152,1,5
210000248,2023,6525,1,5
210000248,2023,5474,1,5
210000248,2023,10862,1,5
210000248,2023,2382,1,4
210000248,2023,7391,1,5
210000248,2023,5383,1,4
210000248,2024,758,1,5
210000248,2024,6258,1,5
210000248,2024,5213,1,5
210000248,2024,9118,1,1
210000248,2024,10016,2,5
210000248,2024,6525,1,5
210000248,2024,5726,1,5
210000248,2024,2646,3,5
210000248,2024,4901,1,4
210000248,2024,4461,1,4
210000248,2024,2,2,8
210000248,2024,4695,1,4
210000248,2024,3630,1,4
210000248,2024,4436,1,4
210000248,2024,1743,1,4
210000248,2024,4588,1,4
210000248,2024,10945,1,5
210000248,2024,4803,1,5
210000248,2024,5544,1,5
210000262,2023,2,2,8
210000262,2023,5049,1,2
210000262,2023,509,1,4
210000262,2023,518,1,4
210000262,2023,5152,1,5
210000262,2023,2646,1,5
210000262,2024,6535,1,5
210000262,2024,3213,1,5
210000262,2024,11169,1,5
210000262,2024,1628,1,4
210000262,2024,3218,1,4
210000269,2023,2,3,8
210000269,2023,4588,1,4
210000269,2023,899,1,2
210000269,2023,902,1,4
210000269,2023,2621,1,5
210000269,2023,4350,1,5
210000269,2023,4803,1,5
210000269,2023,4946,1,5
210000269,2023,4203,1,3
210000269,2023,5438,1,5
210000269,2023,6258,1,5
210000269,2023,2713,1,5
210000269,2023,5272,1,5
210000269,2023,5152,2,5
210000269,2023,2646,2,5
210000269,2023,4792,1,5
210000269,2024,10501,1,5
210000269,2024,777,1,5
210000269,2024,5213,1,5
210000269,2024,5546,1,5
210000269,2024,10016,1,5
210000269,2024,2646,2,5
210000269,2024,3399,1,4
210000269,2024,2,1,8
210000269,2024,10227,1,4
210000269,2024,5296,1,4
210000269,2024,902,1,4
210000269,2024,11159,2,5
210000269,2024,4803,2,5
210000269,2024,4946,1,5
210000269,2024,4203,1,3
210000283,2023,2,4,8
210000283,2023,2283,1,4
210000283,2023,2540,1,4
210000283,2023,5203,1,2
210000283,2023,3738,1,4
210000283,2023,994,1,5
210000283,2023,4901,1,4
210000283,2024,483,1,8
210000283,2024,2,1,8
210000283,2024,2176,1,4
210000283,2024,1743,1,4
210000283,2024,4350,1,5
210000283,2024,3213,1,5
210000297,2023,3630,1,4
210000297,2023,1758,1,4
210000297,2023,2611,1,4
210000297,2023,902,1,4
210000297,2023,4661,1,5
210000297,2023,3213,1,5
210000297,2023,11836,1,5
210000297,2023,655,1,0
210000297,2023,153,1,4
210000297,2024,2,1,8
210000297,2024,4348,1,4
210000297,2024,4752,1,3
210000297,2024,4946,1,5
210000297,2024,5726,1,5
210000304,2023,2,4,8
210000304,2023,4417,1,4
210000304,2023,119,1,4
210000304,2023,1518,1,4
210000304,2023,2540,1,4
210000304,2023,3159,1,4
210000304,2023,3630,1,4
210000304,2023,1787,1,4
210000304,2023,1743,1,4
210000304,2023,1745,1,4
210000304,2023,5527,1,5
210000304,2023,5369,1,5
210000304,2023,4874,1,5
210000304,2023,12464,1,3
210000304,2023,5390,1,3
210000304,2023,2695,1,5
210000304,2023,5443,1,5
