yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109510014,2024,706,1,4
109510014,2024,7857,1,4
109510014,2024,1158,1,4
109510014,2024,6958,1,4
109510014,2024,8843,1,4
109510014,2024,5229,1,5
109510014,2024,1167,1,4
109510014,2024,2273,1,4
109510014,2024,1016,1,4
109510014,2024,1083,1,4
109510014,2024,1647,1,4
109510014,2024,4400,1,4
109510014,2024,10209,1,0
109510014,2024,8488,1,4
109510014,2024,5995,1,4
109510014,2024,4043,1,4
109510014,2024,21,1,4
109510086,2022,2349,1,4
109510086,2022,7620,1,2
109510086,2023,572,1,4
109510086,2023,271,1,2
109510086,2024,2665,1,4
109510086,2024,5846,1,5
109510086,2024,711,1,4
109510095,2023,2540,1,4
109510095,2023,271,1,2
109510095,2024,261,1,4
109510095,2024,2610,1,4
109510095,2024,206,1,4
109510111,2022,2,4,8
109510111,2022,11,1,4
109510111,2022,8007,1,4
109510111,2022,819,2,4
109510111,2022,1647,1,4
109510111,2022,377,2,4
109510111,2022,18,1,4
109510111,2022,262,1,4
109510111,2022,4145,1,4
109510111,2022,12970,1,4
109510111,2022,1736,1,4
109510111,2022,5654,1,4
109510111,2022,1477,1,4
109510111,2022,12971,1,4
109510111,2022,8096,1,4
109510111,2022,12972,1,4
109510111,2022,437,1,4
109510111,2022,35,1,0
109510111,2022,7857,1,4
109510111,2022,12857,1,4
109510111,2022,382,1,4
109510111,2022,6206,1,4
109510111,2022,553,1,5
109510111,2022,9198,1,5
109510111,2022,12823,1,5
109510111,2022,7332,1,4
109510111,2022,1236,1,4
109510111,2022,3547,1,4
109510111,2022,7048,1,4
109510111,2022,12052,1,4
109510111,2022,5593,1,4
109510111,2022,9876,1,4
109510111,2022,599,1,4
109510111,2022,7058,1,4
109510111,2022,11854,1,4
109510111,2022,2042,1,4
109510111,2023,2,5,8
109510111,2023,1083,1,4
109510111,2023,11,1,4
109510111,2023,70,1,4
109510111,2023,1647,1,4
109510111,2023,4400,1,4
109510111,2023,192,1,4
109510111,2023,1939,1,4
109510111,2023,1330,1,4
109510111,2023,14,1,0
109510111,2023,3871,1,4
109510111,2023,8275,1,4
109510111,2023,172,1,4
109510111,2023,194,1,4
109510111,2023,334,1,4
109510111,2023,8510,1,4
109510111,2023,156,1,4
109510111,2023,6855,1,4
109510111,2023,2857,1,4
109510111,2023,222,1,4
109510111,2023,1319,1,4
109510111,2023,9757,1,4
109510111,2023,6985,1,4
109510111,2023,3652,1,4
109510111,2023,9603,1,4
109510111,2023,6878,1,4
109510111,2023,86,1,4
109510111,2023,1447,1,4
109510111,2023,547,1,4
109510111,2023,12857,2,4
109510111,2023,604,1,4
109510111,2023,1198,1,4
109510111,2023,8355,1,4
109510111,2023,382,1,4
109510111,2023,129,1,4
109510111,2023,8742,1,1
109510111,2023,10094,1,5
109510111,2023,553,1,5
109510111,2023,3449,1,5
109510111,2023,45,1,5
109510111,2023,9743,1,4
109510111,2023,11128,1,4
109510111,2023,8409,1,4
109510111,2023,206,1,4
109510111,2023,1167,1,4
109510111,2023,137,1,4
109510111,2023,717,1,4
109510111,2023,783,1,4
109510111,2023,288,1,4
109510111,2024,5646,1,4
109510111,2024,264,1,4
109510111,2024,12090,1,4
109510111,2024,4469,1,4
109510111,2024,31,1,4
109510111,2024,616,1,4
109510111,2024,311,1,4
109510111,2024,604,1,4
109510111,2024,382,1,4
109510111,2024,10432,1,5
109510111,2024,1705,1,4
109510111,2024,295,1,5
109510111,2024,6921,1,5
109510111,2024,344,1,4
109510111,2024,7406,1,4
109510111,2024,590,1,4
109510111,2024,639,1,4
109510111,2024,12844,1,4
109510111,2024,59,1,4
109510111,2024,9384,1,4
109510111,2024,852,1,4
109510111,2024,483,1,8
109510111,2024,2,5,8
109510111,2024,1647,1,4
109510111,2024,4400,1,4
109510111,2024,1939,1,4
109510111,2024,796,1,4
109510111,2024,7142,1,4
109510138,2022,174,1,4
109510138,2022,116,1,4
109510138,2022,2,1,8
109510138,2022,2745,1,4
109510138,2022,168,2,4
109510138,2022,70,1,4
109510138,2022,119,2,4
109510138,2022,533,2,4
109510138,2022,12,1,4
109510138,2022,1808,1,4
109510138,2022,643,2,4
109510138,2022,218,1,4
109510138,2022,826,1,2
109510138,2022,2665,1,4
109510138,2022,1475,1,4
109510138,2022,262,1,4
109510138,2022,141,1,4
109510138,2022,80,1,4
109510138,2022,23,2,4
109510138,2022,610,1,4
109510138,2022,102,2,4
109510138,2022,290,1,4
109510138,2022,544,1,2
109510138,2022,5316,1,4
109510138,2022,468,1,4
109510138,2022,310,1,4
109510138,2022,198,1,4
109510138,2022,547,1,4
109510138,2022,145,1,4
109510138,2022,604,1,4
109510138,2022,6209,1,4
109510138,2022,127,1,4
109510138,2022,42,1,5
109510138,2022,12832,1,3
109510138,2022,226,1,5
109510138,2022,6957,2,4
109510138,2022,53,1,4
109510138,2022,703,1,2
109510138,2022,730,2,4
109510138,2022,682,1,4
109510138,2022,5935,1,4
109510138,2022,350,1,4
109510138,2022,151,2,4
109510138,2022,165,2,4
109510138,2022,99,1,4
109510138,2022,8,1,2
109510138,2022,2163,1,4
109510138,2022,1063,1,2
109510138,2022,152,1,4
109510138,2022,153,3,4
109510138,2023,174,1,4
109510138,2023,168,1,4
109510138,2023,11,2,4
109510138,2023,70,1,4
109510138,2023,119,3,4
109510138,2023,138,1,4
109510138,2023,1333,1,4
109510138,2023,642,1,4
109510138,2023,1939,1,4
109510138,2023,215,1,4
109510138,2023,76,1,4
109510138,2023,378,1,4
109510138,2023,826,2,2
109510138,2023,237,2,2
109510138,2023,262,3,4
109510138,2023,141,1,4
109510138,2023,22,1,4
109510138,2023,358,2,4
109510138,2023,124,1,4
109510138,2023,609,1,4
109510138,2023,845,2,2
109510138,2023,103,1,4
109510138,2023,633,1,4
109510138,2023,369,1,4
109510138,2023,468,1,4
109510138,2023,1231,1,4
109510138,2023,35,1,0
109510138,2023,1536,1,4
109510138,2023,312,1,4
109510138,2023,604,1,4
109510138,2023,518,2,4
109510138,2023,11063,1,3
109510138,2023,582,2,5
109510138,2023,7116,1,1
109510138,2023,4410,1,5
109510138,2023,12004,1,5
109510138,2023,6439,1,5
109510138,2023,2649,1,2
109510138,2023,730,2,4
109510138,2023,652,1,4
109510138,2023,638,1,4
109510138,2023,850,1,4
109510138,2023,704,1,4
109510138,2023,350,1,4
109510138,2023,151,1,4
109510138,2023,109,2,4
109510138,2023,595,1,4
109510138,2023,152,2,4
109510138,2023,153,1,4
109510138,2023,154,1,4
109510138,2024,643,1,4
109510138,2024,663,1,4
109510138,2024,826,1,2
109510138,2024,869,1,4
109510138,2024,78,1,4
109510138,2024,10982,1,4
109510138,2024,2349,1,4
109510138,2024,237,1,2
109510138,2024,1475,1,4
109510138,2024,21,1,4
109510138,2024,1212,1,4
109510138,2024,262,3,4
109510138,2024,358,1,4
109510138,2024,124,1,4
109510138,2024,1231,1,4
109510138,2024,2610,1,4
109510138,2024,678,1,4
109510138,2024,442,1,4
109510138,2024,518,1,4
109510138,2024,244,1,5
109510138,2024,11061,1,3
109510138,2024,693,1,4
109510138,2024,225,1,5
109510138,2024,12088,1,3
109510138,2024,730,2,4
109510138,2024,7458,1,4
109510138,2024,151,2,4
109510138,2024,6971,1,4
109510138,2024,109,1,4
109510138,2024,152,1,4
109510138,2024,852,1,4
109510138,2024,168,1,4
109510138,2024,119,2,4
109510138,2024,1178,1,4
109510138,2024,687,1,4
109510138,2024,13,1,4
109510138,2024,1104,1,4
109510147,2022,2,3,8
109510147,2022,3376,1,4
109510147,2022,138,1,4
109510147,2022,658,1,4
109510147,2022,1939,1,4
109510147,2022,261,1,4
109510147,2022,7052,1,4
109510147,2022,377,1,4
109510147,2022,6752,1,4
109510147,2022,1330,1,4
109510147,2022,231,1,4
109510147,2022,416,1,4
109510147,2022,643,1,4
109510147,2022,234,2,4
109510147,2022,12290,1,4
109510147,2022,77,1,4
109510147,2022,6704,1,4
109510147,2022,1786,1,4
109510147,2022,12973,1,4
109510147,2022,12074,1,4
109510147,2022,208,1,4
109510147,2022,827,1,4
109510147,2022,6669,1,4
109510147,2022,334,1,4
109510147,2022,124,1,4
