yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108010013,2022,7808,1,4
108010013,2022,2,5,8
108010013,2022,1043,1,4
108010013,2022,12683,1,4
108010013,2022,1671,1,4
108010013,2022,2022,1,4
108010013,2022,8685,1,4
108010013,2022,1560,1,4
108010013,2022,1075,1,4
108010013,2022,3956,1,4
108010013,2022,7067,1,4
108010013,2022,12684,1,4
108010013,2022,3462,1,4
108010013,2022,9661,1,4
108010013,2022,1254,1,4
108010013,2022,2339,1,4
108010013,2022,8947,1,4
108010013,2022,126,1,4
108010013,2022,2758,1,4
108010013,2022,2468,1,4
108010013,2022,3024,1,4
108010013,2022,3853,1,4
108010013,2022,2067,4,4
108010013,2022,1280,2,0
108010013,2022,12685,1,5
108010013,2022,12686,1,4
108010013,2022,5472,1,5
108010013,2022,12144,1,1
108010013,2022,11185,1,3
108010013,2022,12687,1,1
108010013,2022,3211,1,5
108010013,2022,8401,1,1
108010013,2022,2156,1,5
108010013,2022,524,1,5
108010013,2022,6927,1,4
108010013,2022,4170,1,4
108010013,2022,803,1,4
108010013,2022,3101,1,4
108010013,2022,1241,1,4
108010013,2022,2849,1,4
108010013,2022,7660,1,4
108010013,2022,9140,1,4
108010013,2022,9376,1,4
108010013,2022,1069,1,0
108010013,2023,788,1,4
108010013,2023,2,12,8
108010013,2023,8255,1,4
108010013,2023,2888,2,4
108010013,2023,8681,1,4
108010013,2023,1887,1,4
108010013,2023,1731,1,4
108010013,2023,7077,1,4
108010013,2023,1443,1,4
108010013,2023,954,1,4
108010013,2023,1075,2,4
108010013,2023,221,1,4
108010013,2023,1360,1,4
108010013,2023,2476,1,4
108010013,2023,2844,1,4
108010013,2023,1817,1,4
108010013,2023,1096,1,4
108010013,2023,3579,2,4
108010013,2023,10053,1,0
108010013,2023,2400,1,2
108010013,2023,2512,1,4
108010013,2023,2067,2,4
108010013,2023,1039,1,2
108010013,2023,4614,1,4
108010013,2023,989,1,3
108010013,2023,1111,1,1
108010013,2023,4649,1,1
108010013,2023,6549,1,5
108010013,2023,10576,1,5
108010013,2023,4152,1,1
108010013,2023,4262,1,5
108010013,2023,2507,1,4
108010013,2023,526,1,4
108010013,2023,12387,1,4
108010013,2023,452,1,4
108010013,2023,2362,1,4
108010013,2023,2073,1,4
108010013,2024,1853,1,4
108010013,2024,1830,1,4
108010013,2024,5386,1,4
108010013,2024,1557,2,4
108010013,2024,1105,1,4
108010013,2024,2686,1,4
108010013,2024,695,1,4
108010013,2024,7791,1,4
108010013,2024,6180,1,4
108010013,2024,6774,1,4
108010013,2024,788,1,4
108010013,2024,11892,1,4
108010013,2024,1191,1,4
108010013,2024,8534,1,4
108010013,2024,2532,1,4
108010013,2024,5957,1,4
108010013,2024,2821,1,4
108010013,2024,890,1,4
108010013,2024,1254,1,4
108010013,2024,6700,1,4
108010013,2024,1133,1,4
108010013,2024,665,1,4
108010013,2024,650,1,4
108010013,2024,1301,1,0
108010013,2024,6925,1,5
108010013,2024,988,1,5
108010013,2024,3466,1,5
108010013,2024,994,1,5
108010013,2024,9677,1,5
108010013,2024,4996,1,5
108010013,2024,3211,2,5
108010013,2024,10423,1,5
108010013,2024,856,1,4
108010013,2024,4833,1,4
108010013,2024,11143,1,4
108010013,2024,2716,1,4
108010013,2024,1455,1,4
108010013,2024,2387,1,4
108010013,2024,1247,1,4
108010013,2024,2827,1,4
108010013,2024,12025,1,4
108010013,2024,1456,2,4
108010013,2024,2297,1,4
108010013,2024,12688,1,4
108010013,2024,1151,1,4
108010013,2024,2,11,8
108010013,2024,503,1,4
108010013,2024,1084,1,4
108010013,2024,1398,1,0
108010022,2022,788,1,4
108010022,2022,2,3,8
108010022,2022,507,1,4
108010022,2022,1181,1,4
108010022,2022,377,1,4
108010022,2022,8875,1,4
108010022,2022,6334,1,4
108010022,2022,8881,1,4
108010022,2022,378,1,4
108010022,2022,1443,1,4
108010022,2022,1338,1,4
108010022,2022,8910,1,4
108010022,2022,6494,1,4
108010022,2022,7928,1,4
108010022,2022,2129,1,4
108010022,2022,1133,1,4
108010022,2022,3853,1,4
108010022,2022,1111,2,1
108010022,2022,2513,1,5
108010022,2022,1932,1,5
108010022,2022,3147,1,5
108010022,2022,12689,1,5
108010022,2022,6189,1,5
108010022,2022,12617,1,1
108010022,2022,3211,2,5
108010022,2022,11957,1,5
108010022,2022,4652,1,1
108010022,2022,2156,1,5
108010022,2022,11394,1,4
108010022,2022,3415,1,4
108010022,2022,1803,2,4
108010022,2022,1618,1,4
108010022,2022,8820,1,4
108010022,2022,1287,1,4
108010022,2022,3847,1,4
108010022,2022,2256,1,4
108010022,2023,788,1,4
108010022,2023,1645,1,4
108010022,2023,67,1,4
108010022,2023,2,16,8
108010022,2023,8009,1,4
108010022,2023,4158,1,4
108010022,2023,1182,1,4
108010022,2023,1403,1,4
108010022,2023,1419,1,4
108010022,2023,4679,1,4
108010022,2023,951,1,4
108010022,2023,2183,1,4
108010022,2023,5349,1,4
108010022,2023,3441,1,4
108010022,2023,12265,1,4
108010022,2023,6264,1,4
108010022,2023,1096,2,4
108010022,2023,1133,1,4
108010022,2023,126,1,4
108010022,2023,35,1,0
108010022,2023,2796,1,4
108010022,2023,3024,1,4
108010022,2023,2290,2,4
108010022,2023,1258,1,0
108010022,2023,747,1,4
108010022,2023,5042,1,4
108010022,2023,1869,1,5
108010022,2023,2625,2,5
108010022,2023,10560,1,1
108010022,2023,11687,1,3
108010022,2023,1049,1,3
108010022,2023,6927,1,4
108010022,2023,7254,1,4
108010022,2023,227,1,4
108010022,2023,9876,1,4
108010022,2024,2434,1,4
108010022,2024,510,1,4
108010022,2024,10982,1,4
108010022,2024,2686,1,4
108010022,2024,3724,1,4
108010022,2024,12690,1,4
108010022,2024,11384,1,4
108010022,2024,1094,1,4
108010022,2024,969,1,4
108010022,2024,8116,1,4
108010022,2024,2978,1,4
108010022,2024,1109,1,2
108010022,2024,1258,2,0
108010022,2024,987,1,5
108010022,2024,989,2,3
108010022,2024,4330,1,5
108010022,2024,3466,1,5
108010022,2024,10519,1,5
108010022,2024,12691,1,3
108010022,2024,3991,1,5
108010022,2024,3211,2,5
108010022,2024,788,1,4
108010022,2024,10423,2,5
108010022,2024,1049,2,3
108010022,2024,1324,1,4
108010022,2024,1365,1,4
108010022,2024,2782,1,4
108010022,2024,1004,1,4
108010022,2024,1851,1,4
108010022,2024,10038,1,4
108010022,2024,4183,1,4
108010022,2024,1804,1,4
108010022,2024,2,7,8
108010022,2024,2388,1,4
108010022,2024,2585,1,4
108010022,2024,152,1,4
108010022,2024,1175,1,4
108010022,2024,2431,1,4
108010022,2024,2873,1,4
108010022,2024,1853,1,4
108010022,2024,1217,1,4
108010031,2022,1727,1,4
108010031,2022,788,2,4
108010031,2022,4199,1,4
108010031,2022,67,1,4
108010031,2022,2,5,8
108010031,2022,7891,1,4
108010031,2022,625,1,4
108010031,2022,1400,1,4
108010031,2022,4954,1,4
108010031,2022,2841,1,2
108010031,2022,480,1,4
108010031,2022,2888,2,4
108010031,2022,1468,1,4
108010031,2022,627,1,4
108010031,2022,4040,1,4
108010031,2022,1941,1,4
108010031,2022,4286,1,4
108010031,2022,1125,1,4
108010031,2022,808,1,4
108010031,2022,5412,1,4
108010031,2022,2088,1,4
108010031,2022,3531,1,4
108010031,2022,764,1,4
108010031,2022,12692,1,0
108010031,2022,9928,1,4
108010031,2022,696,1,4
108010031,2022,634,1,4
108010031,2022,1320,1,0
108010031,2022,5402,1,4
108010031,2022,2131,1,4
108010031,2022,1874,1,4
108010031,2022,2290,1,4
108010031,2022,1280,2,0
108010031,2022,12298,1,5
108010031,2022,2503,1,4
108010031,2022,3151,1,4
108010031,2022,2715,1,4
108010031,2022,927,2,4
108010031,2022,3690,1,4
108010031,2022,5347,1,4
108010031,2022,5745,1,4
108010031,2022,1965,1,4
108010031,2022,3934,1,0
108010031,2022,4697,1,4
108010031,2023,788,2,4
108010031,2023,375,1,4
108010031,2023,2,10,8
108010031,2023,4581,1,4
108010031,2023,1333,2,4
108010031,2023,5514,1,4
108010031,2023,2704,1,0
108010031,2023,2370,1,4
108010031,2023,628,1,4
108010031,2023,2181,1,4
108010031,2023,2689,1,0
108010031,2023,122,1,4
108010031,2023,4645,1,4
108010031,2023,1704,1,4
108010031,2023,3252,1,4
108010031,2023,3531,1,4
108010031,2023,2820,1,4
108010031,2023,3287,1,4
108010031,2023,290,1,4
108010031,2023,8536,1,4
108010031,2023,1571,1,4
108010031,2023,3388,1,4
108010031,2023,5402,1,4
108010031,2023,3579,1,4
108010031,2023,895,1,4
108010031,2023,5706,1,0
108010031,2023,3665,1,4
108010031,2023,2290,1,4
108010031,2023,2614,1,2
108010031,2023,1280,2,0
108010031,2023,580,1,4
108010031,2023,6969,1,5
108010031,2023,556,1,5
108010031,2023,1164,1,4
108010031,2023,1803,1,4
108010031,2023,4233,1,4
108010031,2023,5745,1,4
108010031,2023,5198,2,2
108010031,2023,6538,1,4
108010031,2024,1553,1,2
108010031,2024,331,1,4
108010031,2024,4252,1,4
108010031,2024,1020,1,0
108010031,2024,5677,1,4
108010031,2024,2417,1,4
108010031,2024,1222,1,4
108010031,2024,2530,1,4
108010031,2024,6408,1,4
108010031,2024,764,1,4
108010031,2024,788,1,4
108010031,2024,5005,1,4
108010031,2024,2936,1,4
108010031,2024,381,1,4
108010031,2024,4980,1,4
108010031,2024,1094,1,4
108010031,2024,840,1,4
108010031,2024,7492,1,4
108010031,2024,3579,2,4
108010031,2024,674,1,0
108010031,2024,517,1,4
108010031,2024,2,3,8
108010031,2024,5706,1,0
108010031,2024,4225,1,4
108010031,2024,8978,1,4
108010031,2024,2217,1,4
108010031,2024,1280,1,0
108010031,2024,520,1,4
108010031,2024,2568,1,5
108010031,2024,4008,1,5
108010031,2024,11984,1,5
108010031,2024,10671,1,5
108010031,2024,2902,1,4
108010031,2024,7668,1,5
108010031,2024,638,1,4
108010031,2024,1803,1,4
108010031,2024,7076,1,4
108010031,2024,931,1,4
108010031,2024,2654,1,4
108010031,2024,4750,1,4
108010031,2024,135,1,4
108010031,2024,3608,1,4
108010031,2024,1456,1,4
108010031,2024,3154,1,4
108010031,2024,1375,1,4
108010031,2024,2333,1,0
108010031,2024,10018,1,4
108010031,2024,4374,1,4
108010031,2024,1516,1,4
108010058,2022,174,1,4
108010058,2022,788,2,4
108010058,2022,7162,1,4
108010058,2022,2,8,8
108010058,2022,2746,1,4
108010058,2022,1807,1,4
108010058,2022,1122,1,4
108010058,2022,2791,1,0
108010058,2022,1829,1,4
108010058,2022,1275,1,4
108010058,2022,1441,1,4
108010058,2022,2752,1,4
108010058,2022,2283,1,4
108010058,2022,947,1,2
108010058,2022,663,1,4
108010058,2022,171,1,4
108010058,2022,1443,1,4
108010058,2022,695,1,4
108010058,2022,1912,1,4
108010058,2022,539,1,0
108010058,2022,953,1,4
108010058,2022,5609,1,4
108010058,2022,1834,1,0
108010058,2022,237,1,2
108010058,2022,878,1,4
108010058,2022,334,1,4
108010058,2022,954,1,4
108010058,2022,1075,1,4
108010058,2022,1420,1,4
108010058,2022,1126,1,4
108010058,2022,265,1,4
108010058,2022,2603,1,0
108010058,2022,960,1,2
108010058,2022,1360,1,4
108010058,2022,3285,1,4
108010058,2022,3531,1,4
108010058,2022,514,1,4
108010058,2022,2606,1,2
108010058,2022,2795,1,4
108010058,2022,308,1,4
108010058,2022,883,2,4
108010058,2022,1107,1,4
108010058,2022,4454,1,0
108010058,2022,1154,1,4
108010058,2022,3944,1,4
108010058,2022,889,1,0
108010058,2022,578,1,4
108010058,2022,4551,1,4
108010058,2022,142,1,4
108010058,2022,1387,1,4
108010058,2022,1095,1,4
108010058,2022,890,1,4
108010058,2022,1388,1,4
108010058,2022,1133,1,4
108010058,2022,1577,1,4
108010058,2022,2231,1,4
108010058,2022,126,1,4
108010058,2022,2989,1,4
108010058,2022,977,1,4
108010058,2022,1538,1,4
108010058,2022,1363,1,4
108010058,2022,2290,1,4
108010058,2022,1280,4,0
108010058,2022,1390,1,4
108010058,2022,2694,1,5
108010058,2022,1112,1,5
108010058,2022,1045,1,3
108010058,2022,2734,1,5
108010058,2022,2759,1,5
108010058,2022,2291,1,5
108010058,2022,11687,1,3
108010058,2022,1049,1,3
108010058,2022,1655,1,5
108010058,2022,6865,1,4
108010058,2022,1236,1,4
108010058,2022,1324,2,4
108010058,2022,915,1,4
108010058,2022,55,1,4
108010058,2022,922,1,2
108010058,2022,638,1,4
108010058,2022,850,1,4
108010058,2022,6622,1,4
108010058,2022,2825,1,2
108010058,2022,2070,1,4
108010058,2022,2408,1,4
108010058,2022,1145,1,2
108010058,2022,930,2,4
108010058,2022,2849,1,4
108010058,2022,2194,1,4
108010058,2022,1618,1,4
108010058,2022,569,1,4
108010058,2022,1147,1,2
108010058,2022,1119,2,4
108010058,2022,387,1,4
108010058,2022,1120,1,4
108010058,2022,5198,1,2
108010058,2022,2527,1,4
108010058,2022,1991,1,4
108010058,2023,1331,1,4
108010058,2023,2,18,8
108010058,2023,2077,1,4
108010058,2023,11772,1,4
108010058,2023,806,1,4
108010058,2023,2431,1,4
108010058,2023,5674,1,4
108010058,2023,508,1,4
108010058,2023,659,1,4
108010058,2023,5359,1,4
108010058,2023,3381,1,4
108010058,2023,946,1,2
108010058,2023,2497,1,4
108010058,2023,2903,1,2
108010058,2023,6023,1,2
108010058,2023,378,1,4
108010058,2023,2438,1,4
108010058,2023,2500,1,4
108010058,2023,1443,1,4
108010058,2023,1884,1,4
108010058,2023,2770,1,4
108010058,2023,1834,1,0
108010058,2023,237,1,2
108010058,2023,122,1,4
108010058,2023,1385,1,4
108010058,2023,1566,1,4
108010058,2023,23,1,4
108010058,2023,609,1,4
108010058,2023,2820,1,4
108010058,2023,1424,1,4
108010058,2023,3442,1,4
108010058,2023,1534,1,4
108010058,2023,2607,1,4
