yop_kodu,year,lise_id,yerlesen_sayisi,school_type
204610248,2022,2,4,8
204610248,2022,1567,1,5
204610248,2022,1181,1,4
204610248,2022,889,1,0
204610248,2022,1133,1,4
204610248,2022,126,1,4
204610248,2022,895,1,4
204610248,2022,2468,1,4
204610248,2022,6625,1,5
204610248,2022,1281,1,5
204610248,2022,7119,1,5
204610248,2022,2628,1,5
204610248,2022,10346,1,5
204610248,2022,7342,1,5
204610248,2022,1958,1,5
204610248,2022,1603,1,4
204610248,2022,1150,2,4
204610248,2023,1806,1,0
204610248,2023,2,2,8
204610248,2023,1567,2,5
204610248,2023,1831,1,4
204610248,2023,951,1,4
204610248,2023,1092,1,4
204610248,2023,368,1,4
204610248,2023,1944,1,4
204610248,2023,1095,1,4
204610248,2023,126,1,4
204610248,2023,10417,1,5
204610248,2023,987,1,5
204610248,2023,1137,2,5
204610248,2023,12780,1,1
204610248,2023,1954,1,1
204610248,2023,3430,1,5
204610248,2023,3808,1,5
204610248,2023,1146,1,4
204610248,2024,13356,1,5
204610248,2024,2,2,8
204610248,2024,126,1,4
204610248,2024,5327,1,3
204610248,2024,6625,1,5
204610248,2024,9682,1,5
204610248,2024,10346,1,5
204610248,2024,6288,1,5
204610248,2024,11829,1,5
204610257,2022,2,1,8
204610257,2022,1403,1,4
204610257,2022,865,1,4
204610257,2022,1572,1,4
204610257,2022,126,1,4
204610257,2022,1037,1,2
204610257,2022,2570,1,3
204610257,2022,6627,1,5
204610257,2022,915,1,4
204610257,2023,2,2,8
204610257,2023,2177,1,4
204610257,2023,1095,1,4
204610257,2023,2468,1,4
204610257,2023,987,1,5
204610257,2023,2493,1,3
204610257,2023,12021,1,5
204610257,2023,2579,1,3
204610257,2023,13767,1,5
204610257,2024,2,1,8
204610257,2024,1938,1,4
204610257,2024,1137,1,5
204610257,2024,1932,1,5
204610257,2024,10675,1,5
204610257,2024,1344,1,4
204610257,2024,1901,1,4
204610257,2024,569,1,4
204610266,2022,1331,1,4
