yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108210011,2022,2587,2,2
108210011,2022,2,3,8
108210011,2022,857,1,4
108210011,2022,941,1,2
108210011,2022,2431,1,4
108210011,2022,2594,1,2
108210011,2022,3403,1,4
108210011,2022,2595,1,4
108210011,2022,1070,5,4
108210011,2022,862,1,2
108210011,2022,2538,1,2
108210011,2022,659,1,4
108210011,2022,2539,2,2
108210011,2022,120,1,4
108210011,2022,720,1,2
108210011,2022,4268,1,4
108210011,2022,2511,1,2
108210011,2022,5160,1,4
108210011,2022,4451,1,4
108210011,2022,5053,1,2
108210011,2022,6649,1,4
108210011,2022,6156,1,4
108210011,2022,5248,1,2
108210011,2022,1106,1,4
108210011,2022,2543,1,2
108210011,2022,3382,1,4
108210011,2022,1704,1,4
108210011,2022,1611,1,4
108210011,2022,959,1,2
108210011,2022,3502,1,4
108210011,2022,1227,1,4
108210011,2022,3225,1,4
108210011,2022,1697,2,2
108210011,2022,2606,1,2
108210011,2022,3442,1,4
108210011,2022,2502,1,4
108210011,2022,2669,2,4
108210011,2022,2555,1,2
108210011,2022,3738,1,4
108210011,2022,578,1,4
108210011,2022,969,1,4
108210011,2022,6641,1,2
108210011,2022,1575,3,4
108210011,2022,971,2,2
108210011,2022,893,1,4
108210011,2022,126,1,4
108210011,2022,974,2,2
108210011,2022,3824,1,4
108210011,2022,6032,1,2
108210011,2022,162,1,4
108210011,2022,1928,2,4
108210011,2022,6052,1,4
108210011,2022,900,1,4
108210011,2022,5490,1,4
108210011,2022,13144,1,5
108210011,2022,4028,1,5
108210011,2022,13024,1,3
108210011,2022,2191,1,5
108210011,2022,3639,1,5
108210011,2022,2471,1,5
108210011,2022,2567,1,3
108210011,2022,2446,1,5
108210011,2022,2677,1,3
108210011,2022,2780,1,5
108210011,2022,908,1,3
108210011,2022,2357,1,3
108210011,2022,4229,1,5
108210011,2022,2635,1,3
108210011,2022,6658,2,3
108210011,2022,4220,1,3
108210011,2022,5222,1,3
108210011,2022,2579,1,3
108210011,2022,4556,1,4
108210011,2022,4639,1,4
108210011,2022,5192,1,2
108210011,2022,1617,1,4
108210011,2022,4749,2,2
108210011,2022,1164,1,4
108210011,2022,925,1,4
108210011,2022,4754,1,4
108210011,2022,931,1,4
108210011,2022,10376,2,1
108210011,2022,934,2,2
108210011,2022,935,1,2
108210011,2022,1999,1,4
108210011,2022,3847,1,4
108210011,2022,1062,1,2
108210011,2022,938,1,4
108210011,2022,4780,2,2
108210011,2022,1064,1,4
108210011,2022,1067,2,2
108210011,2022,5071,1,2
108210011,2023,2587,1,2
108210011,2023,2,8,8
108210011,2023,1728,1,4
108210011,2023,2459,1,0
108210011,2023,3403,2,4
108210011,2023,2595,1,4
108210011,2023,1070,1,4
108210011,2023,2596,1,4
108210011,2023,2538,2,2
108210011,2023,2539,1,2
108210011,2023,3316,1,4
108210011,2023,120,1,4
108210011,2023,263,2,2
108210011,2023,2320,1,4
108210011,2023,4746,1,2
108210011,2023,2414,1,4
108210011,2023,948,1,4
108210011,2023,2903,1,2
108210011,2023,3420,1,2
108210011,2023,2542,1,2
108210011,2023,3200,1,4
108210011,2023,875,1,2
108210011,2023,2544,1,4
108210011,2023,877,1,2
108210011,2023,1836,2,0
108210011,2023,1025,2,2
108210011,2023,3063,1,0
108210011,2023,2820,1,4
108210011,2023,6624,1,2
108210011,2023,1914,1,4
108210011,2023,967,1,4
108210011,2023,1029,1,2
108210011,2023,5323,1,4
108210011,2023,2554,1,2
108210011,2023,2555,2,2
108210011,2023,3738,1,4
108210011,2023,1076,1,2
108210011,2023,2880,1,2
108210011,2023,2248,1,4
108210011,2023,1299,1,4
108210011,2023,893,1,4
108210011,2023,974,2,2
108210011,2023,1109,1,2
108210011,2023,7240,1,2
108210011,2023,897,1,4
108210011,2023,3228,1,4
108210011,2023,4226,1,2
108210011,2023,1980,1,4
108210011,2023,2561,1,2
108210011,2023,901,1,2
108210011,2023,1688,1,5
108210011,2023,7421,1,3
108210011,2023,10484,1,5
108210011,2023,10367,1,5
108210011,2023,905,1,3
108210011,2023,3707,1,5
108210011,2023,10502,1,3
108210011,2023,7216,2,3
108210011,2023,5298,1,5
108210011,2023,2679,1,3
108210011,2023,11166,1,3
108210011,2023,7597,1,3
108210011,2023,3348,1,5
108210011,2023,5220,1,3
108210011,2023,2642,1,1
108210011,2023,556,1,5
108210011,2023,10428,1,1
108210011,2023,5226,1,3
108210011,2023,2581,1,2
108210011,2023,1162,1,2
108210011,2023,2473,1,2
108210011,2023,999,2,4
108210011,2023,917,4,4
108210011,2023,4461,1,4
108210011,2023,923,2,2
108210011,2023,3248,1,4
108210011,2023,2651,1,2
108210011,2023,2652,1,4
108210011,2023,6648,1,4
108210011,2023,2653,1,2
108210011,2023,10376,2,1
108210011,2023,2657,2,2
108210011,2023,4083,1,2
108210011,2023,5293,1,2
108210011,2023,731,1,2
108210011,2023,6923,1,4
108210011,2023,1062,1,2
108210011,2023,5198,1,2
108210011,2023,8,1,2
108210011,2023,4780,1,2
108210011,2023,1015,1,2
108210011,2024,1509,1,4
108210011,2024,2538,2,2
108210011,2024,3476,1,4
108210011,2024,659,1,4
108210011,2024,2539,1,2
108210011,2024,5099,1,4
108210011,2024,3693,1,4
108210011,2024,3264,1,2
108210011,2024,4644,1,2
108210011,2024,826,1,2
108210011,2024,3311,1,0
108210011,2024,6364,1,4
108210011,2024,1317,1,4
108210011,2024,1702,1,4
108210011,2024,853,1,0
108210011,2024,955,1,2
108210011,2024,957,1,4
108210011,2024,3616,1,4
108210011,2024,4077,1,4
108210011,2024,6301,1,2
108210011,2024,3252,1,4
108210011,2024,2,2,8
108210011,2024,6624,1,2
108210011,2024,882,2,4
108210011,2024,5253,1,0
108210011,2024,885,1,2
108210011,2024,2669,1,4
108210011,2024,1030,1,2
108210011,2024,1076,1,2
108210011,2024,1031,1,2
108210011,2024,898,1,4
108210011,2024,981,1,4
108210011,2024,3611,1,2
108210011,2024,900,1,4
108210011,2024,1980,2,4
108210011,2024,10527,1,5
108210011,2024,1042,1,5
108210011,2024,1098,1,5
108210011,2024,7216,4,3
108210011,2024,2780,1,5
108210011,2024,1957,1,5
108210011,2024,1985,1,5
108210011,2024,11250,1,5
108210011,2024,1906,1,2
108210011,2024,5182,1,3
108210011,2024,2642,1,1
108210011,2024,3642,2,2
108210011,2024,999,4,4
108210011,2024,2582,1,2
108210011,2024,916,1,4
108210011,2024,917,1,4
108210011,2024,2652,1,4
108210011,2024,928,1,2
108210011,2024,5094,1,2
108210011,2024,3401,1,2
108210011,2024,6050,1,1
108210011,2024,10392,1,5
108210011,2024,934,1,2
108210011,2024,3921,1,4
108210011,2024,1062,1,2
108210011,2024,4780,1,2
108210011,2024,1067,2,2
108210011,2024,2814,1,2
108210011,2024,4449,1,4
108210011,2024,3403,1,4
108210029,2022,5836,1,4
108210029,2022,2049,1,4
108210029,2022,4487,1,4
108210029,2022,2,7,8
108210029,2022,2902,1,4
108210029,2022,2949,1,0
108210029,2022,3378,1,4
108210029,2022,1508,1,4
108210029,2022,1070,1,4
108210029,2022,742,1,4
108210029,2022,3476,1,4
108210029,2022,2597,1,4
108210029,2022,1510,1,4
108210029,2022,5791,1,4
108210029,2022,1473,2,4
108210029,2022,1941,2,4
108210029,2022,5277,1,4
108210029,2022,1786,1,4
108210029,2022,1913,1,4
108210029,2022,2955,1,4
108210029,2022,962,1,4
108210029,2022,3633,1,4
108210029,2022,1532,1,0
108210029,2022,3910,1,4
108210029,2022,1077,1,4
108210029,2022,3913,1,4
108210029,2022,2422,1,4
108210029,2022,9734,1,5
108210029,2022,12309,1,5
108210029,2022,6962,2,5
108210029,2022,2093,1,5
108210029,2022,10905,1,5
108210029,2022,7689,1,5
108210029,2022,4049,1,4
108210029,2022,1600,1,4
108210029,2022,927,1,4
108210029,2022,929,1,4
108210029,2022,6742,1,4
108210029,2022,1999,1,4
108210029,2022,2827,1,4
108210029,2022,6538,1,4
108210029,2022,4463,1,4
108210029,2022,1209,1,4
108210029,2023,5312,1,4
108210029,2023,3482,1,4
108210029,2023,2885,1,4
108210029,2023,2,9,8
108210029,2023,5299,1,4
108210029,2023,2735,1,4
108210029,2023,2458,1,0
108210029,2023,2200,2,4
108210029,2023,1508,1,4
108210029,2023,659,1,4
108210029,2023,1468,1,4
108210029,2023,3316,1,4
108210029,2023,7554,1,4
108210029,2023,1471,1,4
108210029,2023,2475,1,4
108210029,2023,2542,1,2
108210029,2023,4499,1,4
108210029,2023,2261,1,4
108210029,2023,2552,1,0
108210029,2023,4858,1,5
108210029,2023,2669,1,4
108210029,2023,7026,1,4
108210029,2023,3755,1,4
108210029,2023,6954,1,4
108210029,2023,4917,1,4
108210029,2023,895,1,4
108210029,2023,2611,1,4
108210029,2023,2131,1,4
108210029,2023,1980,2,4
108210029,2023,5296,1,4
108210029,2023,13144,1,5
108210029,2023,10527,1,5
108210029,2023,2510,1,5
108210029,2023,10747,1,3
108210029,2023,4151,1,5
108210029,2023,1958,2,5
108210029,2023,2642,1,1
108210029,2023,6152,1,5
108210029,2023,929,1,4
108210029,2023,934,1,2
108210029,2023,3679,1,4
108210029,2024,5829,1,5
108210029,2024,6834,1,4
108210029,2024,1507,1,4
108210029,2024,1508,1,4
108210029,2024,2747,1,4
108210029,2024,3318,1,4
108210029,2024,2057,1,4
108210029,2024,1523,1,4
108210029,2024,4346,1,4
108210029,2024,1913,1,4
108210029,2024,788,1,4
108210029,2024,4784,1,4
108210029,2024,3285,1,4
108210029,2024,576,1,4
108210029,2024,2821,1,4
108210029,2024,578,1,4
108210029,2024,3444,1,4
108210029,2024,1195,1,4
108210029,2024,4179,1,4
108210029,2024,1916,1,4
108210029,2024,7393,1,4
108210029,2024,1806,1,0
108210029,2024,3704,1,4
108210029,2024,4802,1,0
108210029,2024,1585,1,4
108210029,2024,1980,3,4
108210029,2024,4325,1,4
108210029,2024,1448,1,4
108210029,2024,1844,1,5
108210029,2024,9680,1,5
108210029,2024,6690,1,5
108210029,2024,2740,1,4
108210029,2024,4698,1,4
108210029,2024,3671,1,4
108210029,2024,569,1,4
108210029,2024,3355,1,4
108210029,2024,3083,1,4
108210029,2024,1501,1,4
108210029,2024,2979,1,4
108210029,2024,2,8,8
108210029,2024,2902,1,4
108210029,2024,2814,1,2
108210029,2024,1269,1,4
108210047,2022,458,1,4
108210047,2022,2,1,8
108210047,2022,1084,1,4
108210047,2022,3403,1,4
108210047,2022,1509,1,4
108210047,2022,2539,1,2
108210047,2022,1864,1,4
108210047,2022,5538,1,4
108210047,2022,12031,1,4
108210047,2022,3925,1,4
108210047,2022,5754,1,4
108210047,2022,4521,1,4
108210047,2022,4,1,5
108210047,2022,3619,1,5
108210047,2022,12021,1,5
108210047,2022,2582,1,2
108210047,2022,5395,1,4
108210047,2022,6703,1,4
108210047,2022,2787,1,2
108210047,2022,1062,1,2
108210047,2022,4110,1,2
108210047,2023,2,2,8
108210047,2023,4728,1,4
108210047,2023,7434,1,0
108210047,2023,875,1,2
108210047,2023,1971,1,4
108210047,2023,3633,1,4
108210047,2023,5350,1,4
108210047,2023,890,1,4
108210047,2023,1575,1,4
108210047,2023,3912,1,4
108210047,2023,1874,1,4
108210047,2023,11680,1,1
108210047,2023,1162,1,2
108210047,2023,4833,1,4
108210047,2023,2782,1,4
108210047,2023,1598,1,4
108210047,2023,4749,1,2
108210047,2023,704,1,4
108210047,2023,3654,1,4
108210047,2023,6538,1,4
108210047,2024,2903,1,2
108210047,2024,1319,1,4
108210065,2022,5836,1,4
108210065,2022,2329,1,4
108210065,2022,1332,1,4
108210065,2022,1268,1,4
108210065,2022,2701,1,4
108210065,2022,1908,1,4
108210065,2022,659,1,4
108210065,2022,2414,2,4
108210065,2022,866,3,4
108210065,2022,2768,2,4
108210065,2022,1088,1,4
108210065,2022,2686,1,4
108210065,2022,2753,1,4
108210065,2022,4359,1,4
108210065,2022,2544,1,4
108210065,2022,2324,1,4
108210065,2022,3500,1,4
108210065,2022,1697,1,2
108210065,2022,2548,1,4
108210065,2022,1076,1,2
108210065,2022,3254,1,4
108210065,2022,1892,1,4
108210065,2022,2377,1,4
108210065,2022,1578,1,4
108210065,2022,2309,1,4
108210065,2022,2891,1,4
108210065,2022,2805,1,4
108210065,2022,2910,1,4
108210065,2022,10527,1,5
108210065,2022,6799,1,5
108210065,2022,10505,1,5
108210065,2022,6655,1,5
108210065,2022,1957,1,5
108210065,2022,414,1,5
108210065,2022,2967,1,5
108210065,2022,4793,1,4
108210065,2022,722,1,4
108210065,2022,1599,1,4
108210065,2022,2138,1,2
108210065,2022,3415,1,4
108210065,2022,6222,1,4
108210065,2022,3001,1,4
108210065,2022,6086,1,4
108210065,2022,228,1,4
108210065,2022,6623,1,4
108210065,2022,1169,1,2
108210065,2022,1501,1,4
108210065,2022,1082,1,2
108210065,2023,3311,1,0
108210065,2023,2,11,8
108210065,2023,4449,1,4
108210065,2023,2751,1,4
108210065,2023,4237,1,4
108210065,2023,951,1,4
108210065,2023,5294,1,4
108210065,2023,2753,1,4
108210065,2023,1526,1,4
108210065,2023,2603,1,0
108210065,2023,3481,1,2
108210065,2023,814,1,4
108210065,2023,882,1,4
108210065,2023,1914,1,4
108210065,2023,1094,1,4
108210065,2023,1975,1,4
108210065,2023,3204,1,4
108210065,2023,2890,1,4
108210065,2023,2672,1,4
108210065,2023,1039,3,2
108210065,2023,4,1,5
108210065,2023,4079,1,3
108210065,2023,13225,1,5
108210065,2023,3639,1,5
108210065,2023,6126,1,5
108210065,2023,1049,1,3
108210065,2023,4090,1,3
108210065,2023,7253,1,3
108210065,2023,4212,1,0
108210065,2023,3305,1,4
108210065,2023,768,1,4
108210065,2023,5888,1,4
108210065,2023,1263,1,4
108210065,2023,1011,1,2
108210065,2023,6742,1,4
108210065,2023,731,1,2
108210065,2023,1014,1,4
108210065,2023,2163,1,4
108210065,2023,1457,1,4
108210065,2023,3016,1,4
108210065,2024,1807,1,4
108210065,2024,1473,1,4
108210065,2024,6273,1,4
108210065,2024,2672,1,4
108210065,2024,3645,1,5
108210065,2024,1540,1,5
108210065,2024,1265,1,4
108210074,2022,2,1,8
108210074,2022,1121,1,4
108210074,2022,1780,1,4
108210074,2022,1509,1,4
108210074,2022,943,1,4
108210074,2022,1510,1,4
108210074,2022,1473,1,4
108210074,2022,2461,1,4
108210074,2022,3716,1,4
108210074,2022,1387,1,4
108210074,2022,973,1,2
108210074,2022,382,1,4
108210074,2022,2779,1,5
108210074,2022,4182,1,5
108210074,2022,11568,1,1
108210074,2022,7350,1,5
108210074,2022,638,1,4
108210074,2022,6634,2,4
108210074,2022,1547,1,4
108210074,2022,10376,1,1
108210074,2023,2,1,8
108210074,2023,1084,1,4
108210074,2023,866,3,4
108210074,2023,3674,1,4
108210074,2023,871,1,2
108210074,2023,2351,1,4
108210074,2023,2720,1,4
108210074,2023,4819,1,4
108210074,2023,1257,1,4
108210074,2023,1591,1,5
108210074,2023,2798,1,3
108210074,2023,2346,1,5
108210074,2023,561,1,4
108210074,2023,6660,1,4
108210074,2023,528,1,4
108210074,2023,3329,1,2
108210074,2023,1101,1,4
108210074,2023,1066,1,4
108210074,2023,1067,1,2
108210074,2024,2872,1,4
108210074,2024,539,1,0
108210074,2024,144,1,4
108210074,2024,3510,1,4
108210074,2024,1145,1,2
108210074,2024,1011,1,2
108210074,2024,716,1,4
108210074,2024,1965,1,4
108210083,2022,1904,1,4
108210083,2022,1806,1,0
108210083,2022,2,5,8
108210083,2022,8662,1,4
108210083,2022,3334,1,4
108210083,2022,2023,1,4
108210083,2022,3020,1,4
108210083,2022,7537,1,0
108210083,2022,2490,1,4
108210083,2022,3613,1,4
108210083,2022,1473,1,4
108210083,2022,3674,1,4
108210083,2022,1562,1,4
108210083,2022,2417,1,4
108210083,2022,6610,1,2
108210083,2022,2725,1,0
108210083,2022,1612,1,4
108210083,2022,3926,1,4
108210083,2022,1575,1,4
108210083,2022,4072,2,4
108210083,2022,4647,1,4
108210083,2022,2422,1,4
108210083,2022,3389,1,4
108210083,2022,1745,1,4
108210083,2022,3697,1,5
108210083,2022,2780,1,5
108210083,2022,1079,1,0
108210083,2022,6075,1,4
108210083,2022,3582,1,4
108210083,2022,1770,1,4
108210083,2022,1053,1,0
108210083,2022,3962,1,4
108210083,2022,6202,1,4
108210083,2022,7023,1,4
108210083,2022,1502,1,0
108210083,2022,2392,1,4
108210083,2023,1806,1,0
108210083,2023,2,9,8
108210083,2023,3010,1,4
108210083,2023,3376,1,4
108210083,2023,1908,1,4
108210083,2023,3314,1,4
108210083,2023,5620,1,0
108210083,2023,3893,1,4
108210083,2023,3630,1,4
108210083,2023,951,1,4
108210083,2023,3593,1,4
108210083,2023,1942,1,4
108210083,2023,763,1,4
108210083,2023,1227,1,4
108210083,2023,1612,1,4
108210083,2023,466,1,4
108210083,2023,3676,1,4
108210083,2023,1973,1,4
108210083,2023,1575,1,4
108210083,2023,7393,2,4
108210083,2023,1980,2,4
108210083,2023,7216,1,3
108210083,2023,414,1,5
108210083,2023,6932,1,5
108210083,2023,7011,1,5
108210083,2023,1595,1,4
108210083,2023,6250,1,4
108210083,2023,925,1,4
108210083,2023,3136,1,4
108210083,2023,2527,2,4
108210083,2024,5294,1,4
108210083,2024,5775,1,4
108210083,2024,1561,1,4
108210083,2024,4866,1,4
108210083,2024,1227,1,4
108210083,2024,5005,1,4
108210083,2024,1974,1,4
108210083,2024,4275,1,4
108210083,2024,1575,1,4
108210083,2024,1,1,4
108210083,2024,2432,1,4
108210083,2024,1578,1,4
108210083,2024,1764,1,5
108210083,2024,2994,1,5
108210083,2024,13257,1,1
108210083,2024,6126,1,5
108210083,2024,1825,1,4
108210083,2024,4281,1,4
108210083,2024,925,1,4
108210083,2024,7222,1,4
108210083,2024,5772,1,4
108210083,2024,1806,1,0
108210083,2024,9815,1,0
108210083,2024,1999,2,4
108210083,2024,3219,1,4
108210083,2024,2660,1,4
108210083,2024,2527,1,4
108210083,2024,1151,1,4
108210083,2024,2106,1,4
108210083,2024,4892,1,4
108210083,2024,2,4,8
108210083,2024,2949,2,0
108210083,2024,4284,1,4
108210083,2024,5099,1,4
108210083,2024,4864,1,4
108210083,2024,3308,1,4
108210092,2022,3401,1,2
108210092,2022,2814,1,2
108210092,2022,1177,1,4
108210092,2022,3403,2,4
108210092,2022,724,1,4
108210092,2022,3476,2,4
108210092,2022,659,2,4
108210092,2022,2415,1,4
108210092,2022,866,1,4
108210092,2022,2461,1,4
108210092,2022,411,1,2
108210092,2022,3750,1,4
108210092,2022,4755,1,2
108210092,2022,1025,1,2
108210092,2022,3481,1,2
108210092,2022,6610,1,2
108210092,2022,1697,2,2
108210092,2022,3738,1,4
108210092,2022,6641,1,2
108210092,2022,1975,1,4
108210092,2022,1109,1,2
108210092,2022,1257,1,4
108210092,2022,7393,1,4
108210092,2022,6210,1,2
108210092,2022,1980,1,4
108210092,2022,2672,2,4
108210092,2022,2561,1,2
108210092,2022,12036,1,5
108210092,2022,1952,1,5
108210092,2022,2191,1,5
108210092,2022,4103,1,5
108210092,2022,2642,1,1
108210092,2022,2643,1,1
108210092,2022,1324,1,4
108210092,2022,999,1,4
108210092,2022,2839,1,4
108210092,2022,7128,1,4
108210092,2022,2653,2,2
108210092,2022,7436,1,4
108210092,2022,2913,1,4
