yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108310028,2022,1211,1,4
108310028,2022,2,2,8
108310028,2022,6433,1,4
108310028,2022,1807,1,4
108310028,2022,1908,1,4
108310028,2022,1509,1,4
108310028,2022,2176,1,4
108310028,2022,600,1,4
108310028,2022,862,1,2
108310028,2022,508,1,4
108310028,2022,3476,1,4
108310028,2022,5334,1,4
108310028,2022,2050,1,4
108310028,2022,6772,1,4
108310028,2022,6123,1,4
108310028,2022,2844,1,4
108310028,2022,1612,1,4
108310028,2022,5315,1,2
108310028,2022,8537,1,4
108310028,2022,1031,1,2
108310028,2022,3863,2,4
108310028,2022,1108,1,2
108310028,2022,1916,1,4
108310028,2022,2422,1,4
108310028,2022,2672,2,4
108310028,2022,5525,1,5
108310028,2022,1951,1,5
108310028,2022,4,1,5
108310028,2022,9107,1,1
108310028,2022,2780,1,5
108310028,2022,6020,1,5
108310028,2022,12749,1,3
108310028,2022,9125,1,5
108310028,2022,1492,1,4
108310028,2022,2473,1,2
108310028,2022,1603,1,4
108310028,2022,1989,1,4
108310028,2022,2850,1,4
108310028,2023,5836,1,4
108310028,2023,1806,1,0
108310028,2023,2,6,8
108310028,2023,1807,1,4
108310028,2023,1908,1,4
108310028,2023,6834,1,4
108310028,2023,4123,1,4
108310028,2023,659,1,4
108310028,2023,2539,1,2
108310028,2023,1784,1,4
108310028,2023,5359,1,4
108310028,2023,1621,1,4
108310028,2023,5313,1,4
108310028,2023,405,1,0
108310028,2023,1406,1,4
108310028,2023,2461,1,4
108310028,2023,173,1,4
108310028,2023,878,1,4
108310028,2023,2204,1,4
108310028,2023,4143,1,4
108310028,2023,3616,1,4
108310028,2023,3908,1,4
108310028,2023,2605,1,4
108310028,2023,5955,1,4
108310028,2023,466,1,4
108310028,2023,3603,1,4
108310028,2023,3255,1,4
108310028,2023,1133,1,4
108310028,2023,2672,3,4
108310028,2023,1588,1,5
108310028,2023,2780,1,5
108310028,2023,6658,1,3
108310028,2023,12838,1,5
108310028,2023,7253,1,3
108310028,2023,1963,1,4
108310028,2023,2070,1,4
108310028,2023,1285,1,4
108310028,2023,10393,1,1
108310028,2023,4031,1,4
108310028,2023,1314,1,4
108310028,2024,3613,1,4
108310028,2024,378,1,4
108310028,2024,7434,1,0
108310028,2024,2259,1,0
108310028,2024,1884,1,4
108310028,2024,2688,1,4
108310028,2024,5201,1,2
108310028,2024,876,1,2
108310028,2024,2204,3,4
108310028,2024,4527,1,4
108310028,2024,1213,1,4
108310028,2024,3063,1,0
108310028,2024,2605,2,4
108310028,2024,3255,1,4
108310028,2024,672,1,4
108310028,2024,1575,1,4
108310028,2024,519,1,4
108310028,2024,1980,1,4
108310028,2024,2672,2,4
108310028,2024,6134,1,0
108310028,2024,7182,1,4
108310028,2024,2,8,8
108310028,2024,5444,1,5
108310028,2024,11166,1,3
108310028,2024,3929,1,5
108310028,2024,5221,1,3
108310028,2024,10926,1,5
108310028,2024,1498,1,4
108310028,2024,1999,1,4
108310028,2024,4780,1,2
108310028,2024,3869,1,4
108310028,2024,2814,1,2
108310028,2024,7136,1,4
108310028,2024,600,1,4
108310028,2024,1330,1,4
108310028,2024,6022,1,4
108310028,2024,1073,1,4
108310037,2022,3456,2,4
108310037,2022,2,1,8
108310037,2022,8969,1,4
108310037,2022,1908,2,4
108310037,2022,762,1,4
108310037,2022,3018,1,4
108310037,2022,862,1,2
108310037,2022,13211,1,0
108310037,2022,3478,1,4
108310037,2022,2050,2,4
108310037,2022,5002,1,4
108310037,2022,3139,1,4
108310037,2022,2793,1,4
108310037,2022,4515,1,4
108310037,2022,3160,1,4
108310037,2022,5304,1,4
108310037,2022,3271,1,4
108310037,2022,2225,1,4
108310037,2022,2085,1,4
108310037,2022,6732,2,4
108310037,2022,8520,1,4
108310037,2022,1386,1,4
108310037,2022,1092,2,4
108310037,2022,10689,1,4
108310037,2022,3112,1,4
108310037,2022,9730,1,4
108310037,2022,1572,1,4
108310037,2022,1408,1,4
108310037,2022,1974,1,4
108310037,2022,6320,1,4
108310037,2022,8107,1,4
108310037,2022,7492,1,4
108310037,2022,6134,1,0
