yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301810010,2022,35,2,0
301810010,2023,2,1,8
301810010,2023,2284,1,4
301810010,2023,3593,1,4
301810010,2023,1126,1,4
301810010,2023,2008,1,0
301810010,2024,2,1,8
301810010,2024,10982,1,4
301810010,2024,3987,1,4
301810010,2024,2920,1,4
301810010,2024,2921,1,4
301810010,2024,5081,1,3
301810010,2024,3991,1,5
301810010,2024,8215,1,4
301810011,2023,255,1,4
301810012,2022,2331,1,4
301810012,2022,9760,1,4
301810012,2023,2,1,8
301810012,2023,7900,1,4
301810012,2023,8155,1,5
301810012,2023,11046,1,5
301810012,2024,2,4,8
301810012,2024,3652,1,4
301810012,2024,3790,1,4
301810013,2022,6803,1,4
301810013,2022,6305,1,4
301810013,2022,677,1,4
301810013,2023,2619,1,5
301810013,2023,9161,1,5
301810013,2023,5681,1,5
301810013,2023,11499,1,5
301810013,2024,8066,1,4
301810013,2024,6726,1,4
301810013,2024,2339,1,4
301810013,2024,3241,1,5
301810013,2024,6746,1,5
301810013,2024,12813,1,1
301810013,2024,64,1,4
301810014,2023,7025,1,4
301810015,2022,508,1,4
301810015,2022,700,1,2
301810015,2022,994,1,5
301810015,2022,6580,1,5
301810015,2023,2,2,8
301810015,2023,2590,1,4
301810015,2023,1178,1,4
301810015,2023,2982,1,0
301810015,2023,511,1,4
301810015,2023,3387,1,4
301810015,2023,2154,1,5
301810015,2023,5067,1,3
301810015,2023,10704,1,5
301810031,2023,4635,1,4
301810059,2024,4515,1,4
