yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108810023,2022,2,2,8
108810023,2022,3612,1,4
108810023,2022,4908,1,2
108810023,2022,4489,1,2
108810023,2022,1635,1,4
108810023,2022,4782,1,4
108810023,2022,2438,1,4
108810023,2022,1702,1,4
108810023,2022,1857,1,4
108810023,2022,1186,1,4
108810023,2022,2244,1,4
108810023,2022,3274,1,4
108810023,2022,6408,1,4
108810023,2022,1424,1,4
108810023,2022,2986,1,4
108810023,2022,6699,1,4
108810023,2022,2860,1,4
108810023,2022,6641,1,2
108810023,2022,2988,1,4
108810023,2022,4278,1,4
108810023,2022,2377,1,4
108810023,2022,2231,1,4
108810023,2022,2308,1,4
108810023,2022,4348,1,4
108810023,2022,2216,1,4
108810023,2022,1036,1,2
108810023,2022,1280,1,0
108810023,2022,2218,1,4
108810023,2022,3639,1,5
108810023,2022,6381,1,5
108810023,2022,6778,1,5
108810023,2022,14407,1,5
108810023,2022,11820,1,3
108810023,2022,5191,1,4
108810023,2022,4580,1,4
108810023,2022,5772,1,4
108810023,2022,4139,1,4
108810023,2022,3689,1,4
108810023,2022,4993,1,4
108810023,2022,2075,1,4
108810023,2023,1290,1,4
108810023,2023,2,3,8
108810023,2023,4908,1,2
108810023,2023,4449,1,4
108810023,2023,217,1,4
108810023,2023,3379,1,4
108810023,2023,11532,2,4
108810023,2023,7554,1,4
108810023,2023,2435,1,0
108810023,2023,2540,1,4
108810023,2023,948,1,4
108810023,2023,1406,1,4
108810023,2023,1788,1,4
108810023,2023,262,1,4
108810023,2023,955,1,2
108810023,2023,4176,2,4
108810023,2023,4289,1,4
108810023,2023,6254,1,4
108810023,2023,6436,1,4
108810023,2023,1254,1,4
108810023,2023,1036,1,2
108810023,2023,10864,1,5
108810023,2023,2713,1,5
108810023,2023,7965,1,5
108810023,2023,7577,1,5
108810023,2023,4263,1,4
108810023,2023,1492,1,4
108810023,2023,561,1,4
108810023,2023,3434,1,4
108810023,2023,3396,1,4
108810023,2023,7683,1,4
108810023,2023,6202,1,4
108810023,2023,4139,1,4
108810023,2023,4750,1,4
108810023,2023,5347,1,4
108810023,2023,3528,2,4
108810023,2023,4992,1,4
108810023,2023,2977,1,4
108810023,2024,10337,1,5
108810023,2024,11943,1,3
108810032,2022,458,1,4
108810032,2022,3455,1,4
108810032,2022,2,6,8
108810032,2022,5132,1,4
108810032,2022,1175,1,4
108810032,2022,621,1,4
108810032,2022,11832,1,4
108810032,2022,1807,1,4
108810032,2022,1518,1,4
108810032,2022,5376,1,4
108810032,2022,5160,1,4
108810032,2022,948,1,4
108810032,2022,1854,1,4
108810032,2022,663,1,4
108810032,2022,1911,1,0
108810032,2022,5294,1,4
108810032,2022,4344,1,4
108810032,2022,873,2,2
108810032,2022,4286,1,4
108810032,2022,4797,1,4
108810032,2022,3441,1,4
108810032,2022,1319,1,4
108810032,2022,2802,1,2
108810032,2022,633,1,4
108810032,2022,3275,1,4
108810032,2022,4532,1,4
108810032,2022,4455,1,4
108810032,2022,6641,1,2
108810032,2022,160,1,4
108810032,2022,1,1,4
108810032,2022,4296,1,4
108810032,2022,2621,1,5
108810032,2022,9179,1,5
108810032,2022,7733,1,5
108810032,2022,1615,1,5
108810032,2022,5658,1,5
108810032,2022,5191,1,4
108810032,2022,681,1,4
108810032,2022,2652,1,4
108810032,2022,3918,1,4
108810032,2022,4091,1,4
108810032,2022,6094,1,4
108810032,2022,936,1,4
108810032,2022,3453,1,2
108810032,2022,2105,1,4
108810032,2022,3737,1,2
108810032,2023,505,1,2
108810032,2023,3268,1,4
108810032,2023,856,1,4
108810032,2023,8243,1,4
108810032,2023,2,6,8
108810032,2023,12091,1,4
108810032,2023,4112,1,4
108810032,2023,1908,1,4
108810032,2023,4375,1,2
108810032,2023,1019,1,4
108810032,2023,6023,1,2
108810032,2023,2686,1,4
108810032,2023,4344,2,4
108810032,2023,2526,1,4
108810032,2023,871,1,2
108810032,2023,237,1,2
108810032,2023,2877,1,4
108810032,2023,3924,1,4
108810032,2023,879,1,4
108810032,2023,5908,1,4
108810032,2023,2756,1,4
108810032,2023,576,1,4
108810032,2023,846,1,2
108810032,2023,4292,1,4
108810032,2023,8325,1,4
108810032,2023,6743,1,4
108810032,2023,2611,1,4
108810032,2023,1036,2,2
108810032,2023,902,1,4
108810032,2023,5746,1,5
108810032,2023,413,1,3
108810032,2023,2712,1,5
108810032,2023,5137,1,5
108810032,2023,11408,1,3
108810032,2023,11436,1,5
108810032,2023,2644,1,5
108810032,2023,5743,1,3
108810032,2023,3261,1,4
108810032,2023,6026,1,5
108810032,2023,7191,1,4
108810032,2023,5093,1,4
108810032,2023,1923,1,4
108810032,2023,5311,1,4
108810032,2023,1147,1,2
108810032,2023,399,1,4
108810032,2023,5243,1,2
108810032,2023,327,1,4
108810032,2024,2370,1,4
108810032,2024,7434,1,0
108810032,2024,4720,1,4
108810032,2024,1184,1,4
108810032,2024,6278,1,4
108810032,2024,4176,1,4
108810032,2024,3710,1,4
108810032,2024,4784,1,4
108810032,2024,1736,1,4
108810032,2024,707,1,4
108810032,2024,4395,1,4
108810032,2024,5315,1,2
108810032,2024,8934,1,4
108810032,2024,579,1,4
108810032,2024,6823,1,4
108810032,2024,1581,1,4
108810032,2024,2218,1,4
108810032,2024,5628,1,4
108810032,2024,6930,1,4
108810032,2024,9969,1,5
108810032,2024,10388,1,3
108810032,2024,3268,1,4
108810032,2024,3434,1,4
108810032,2024,4106,1,4
108810032,2024,4674,1,4
108810032,2024,4370,1,4
108810032,2024,5727,1,4
108810032,2024,3329,1,2
108810032,2024,5231,1,2
108810032,2024,2,2,8
108810032,2024,4761,1,4
108810032,2024,1907,1,4
108810032,2024,6433,1,4
108810032,2024,8667,1,4
108810032,2024,5021,1,4
108810041,2022,2,3,8
108810041,2022,4111,1,4
108810041,2022,2904,1,4
108810041,2022,1506,1,4
108810041,2022,1352,1,4
108810041,2022,8667,2,4
108810041,2022,794,1,4
108810041,2022,7443,1,4
108810041,2022,3436,1,4
108810041,2022,6079,1,4
108810041,2022,1776,2,4
108810041,2022,4817,1,4
108810041,2022,13214,1,4
108810041,2022,948,1,4
108810041,2022,1941,1,4
108810041,2022,7270,1,4
108810041,2022,539,1,0
108810041,2022,6178,1,4
108810041,2022,4819,1,4
108810041,2022,8513,1,4
108810041,2022,12261,1,4
108810041,2022,9820,1,2
108810041,2022,513,1,4
108810041,2022,5911,1,4
108810041,2022,6254,1,4
108810041,2022,4146,1,4
108810041,2022,158,1,4
108810041,2022,493,1,4
108810041,2022,4273,1,4
108810041,2022,1945,1,4
108810041,2022,7174,1,4
108810041,2022,1718,1,4
108810041,2022,4521,1,4
108810041,2022,1586,1,4
