yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112711099,2022,2938,1,4
112711099,2022,10,1,4
112711099,2022,6687,1,4
112711099,2022,2,5,8
112711099,2022,2902,1,4
112711099,2022,1567,1,5
112711099,2022,4041,1,4
112711099,2022,2814,1,2
112711099,2022,1779,1,0
112711099,2022,2873,1,4
112711099,2022,2275,1,4
112711099,2022,6751,1,4
112711099,2022,1085,1,4
112711099,2022,1508,1,4
112711099,2022,2867,1,4
112711099,2022,1510,1,4
112711099,2022,4560,1,0
112711099,2022,4571,1,4
112711099,2022,1073,1,4
112711099,2022,4718,1,4
112711099,2022,2663,1,4
112711099,2022,4958,1,4
112711099,2022,1836,1,0
112711099,2022,5596,1,4
112711099,2022,1277,1,4
112711099,2022,2477,1,4
112711099,2022,2088,1,4
112711099,2022,4799,1,4
112711099,2022,9538,1,4
112711099,2022,1575,1,4
112711099,2022,1716,1,4
112711099,2022,2376,1,0
112711099,2022,7393,1,4
112711099,2022,975,1,4
112711099,2022,6157,2,4
112711099,2022,3257,1,4
112711099,2022,1743,1,4
112711099,2022,1039,1,2
112711099,2022,12652,1,5
112711099,2022,13144,1,5
112711099,2022,2994,1,5
112711099,2022,6503,1,5
112711099,2022,6126,1,5
112711099,2022,6793,1,5
112711099,2022,5473,1,5
112711099,2022,3348,1,5
112711099,2022,6691,2,5
112711099,2022,6509,1,5
112711099,2022,1767,1,5
112711099,2022,1963,1,4
112711099,2022,3597,1,0
112711099,2022,2736,1,4
112711099,2022,1600,1,4
112711099,2022,1164,1,4
112711099,2022,2650,1,2
112711099,2022,4338,1,4
112711099,2022,6470,1,4
112711099,2022,4038,1,4
112711099,2022,6994,1,4
112711099,2022,5833,1,4
112711099,2022,2140,1,0
112711099,2022,4062,1,4
112711099,2022,325,1,4
112711099,2022,1501,2,4
112711099,2022,1375,1,4
112711099,2023,1904,1,4
112711099,2023,2885,1,4
112711099,2023,2,19,8
112711099,2023,3844,1,4
112711099,2023,1779,1,0
112711099,2023,2458,1,0
112711099,2023,6751,1,4
112711099,2023,5620,1,0
112711099,2023,600,1,4
112711099,2023,4249,1,4
112711099,2023,6716,1,4
112711099,2023,170,1,4
112711099,2023,5903,1,4
112711099,2023,6480,1,4
112711099,2023,2688,1,4
112711099,2023,1525,1,4
112711099,2023,4218,2,4
112711099,2023,962,1,4
112711099,2023,1227,1,4
112711099,2023,4685,1,4
112711099,2023,8088,1,4
112711099,2023,3676,1,4
