yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112010621,2022,2978,1,4
112010621,2022,2,6,8
112010621,2022,7724,1,4
112010621,2022,8014,1,4
112010621,2022,1853,1,4
112010621,2022,378,1,4
112010621,2022,7906,1,4
112010621,2022,115,1,4
112010621,2022,7270,1,4
112010621,2022,4253,1,4
112010621,2022,1475,1,4
112010621,2022,2439,1,4
112010621,2022,3750,1,4
112010621,2022,8699,1,4
112010621,2022,2843,1,4
112010621,2022,3285,1,4
112010621,2022,1612,1,4
112010621,2022,5387,1,4
112010621,2022,3485,2,4
112010621,2022,1580,1,4
112010621,2022,1584,1,4
112010621,2022,6009,1,4
112010621,2022,40,1,4
112010621,2022,8584,1,5
112010621,2022,7471,1,5
112010621,2022,90,1,5
112010621,2022,5740,1,5
112010621,2022,3466,1,5
112010621,2022,10872,1,5
112010621,2022,3927,1,5
112010621,2022,6342,1,5
112010621,2022,6778,1,5
112010621,2022,1591,1,5
112010621,2022,11190,1,5
112010621,2022,2759,1,5
112010621,2022,226,1,5
112010621,2022,5181,1,5
112010621,2022,4777,2,5
112010621,2022,5127,1,5
112010621,2022,2824,1,4
112010621,2022,638,1,4
112010621,2022,2838,1,4
112010621,2022,4223,1,4
112010621,2022,2699,1,4
112010621,2022,5772,1,4
112010621,2022,4267,1,4
112010621,2022,3813,1,4
112010621,2022,228,1,4
112010621,2022,1287,1,4
112010621,2022,1871,1,4
112010621,2022,3375,3,4
112010621,2022,3059,1,4
112010621,2022,2273,1,4
112010621,2023,191,1,4
112010621,2023,856,1,4
112010621,2023,2,11,8
112010621,2023,5385,1,4
112010621,2023,1590,1,0
112010621,2023,232,1,4
112010621,2023,9071,1,4
112010621,2023,4515,1,4
112010621,2023,875,1,2
112010621,2023,302,1,4
112010621,2023,8063,1,4
112010621,2023,1566,1,4
112010621,2023,2476,1,4
112010621,2023,8311,1,4
112010621,2023,1814,1,4
112010621,2023,3407,2,4
112010621,2023,578,1,4
112010621,2023,3755,1,4
112010621,2023,1575,1,4
112010621,2023,847,1,4
112010621,2023,2989,1,4
112010621,2023,35,1,0
112010621,2023,1687,1,4
112010621,2023,1390,1,4
112010621,2023,2519,1,5
112010621,2023,9965,1,3
112010621,2023,2779,1,5
112010621,2023,7285,1,5
112010621,2023,3367,1,3
112010621,2023,8153,1,1
112010621,2023,6279,1,5
112010621,2023,7220,1,5
112010621,2023,4924,1,5
112010621,2023,586,1,5
112010621,2023,2637,2,5
112010621,2023,7427,2,5
112010621,2023,7341,1,5
112010621,2023,5181,1,5
112010621,2023,5445,1,3
112010621,2023,4758,1,1
112010621,2023,10634,1,5
112010621,2023,2897,1,4
112010621,2023,406,1,2
112010621,2023,3193,1,4
112010621,2023,2699,1,4
112010621,2023,135,1,4
112010621,2023,229,1,4
112010621,2023,3016,1,4
112010621,2023,3127,1,4
112010621,2024,1863,1,4
112010621,2024,537,1,4
112010621,2024,114,1,4
112010621,2024,19,1,4
112010621,2024,572,1,4
112010621,2024,1382,1,4
112010621,2024,1787,1,4
112010621,2024,367,1,4
112010621,2024,3778,1,4
112010621,2024,725,1,4
112010621,2024,1331,1,4
112010621,2024,7917,1,4
112010621,2024,11384,1,4
112010621,2024,3114,1,4
112010621,2024,2207,1,4
112010621,2024,3738,1,4
112010621,2024,5540,1,4
112010621,2024,6713,1,4
112010621,2024,2710,1,4
112010621,2024,4917,1,4
112010621,2024,8733,1,5
112010621,2024,191,1,4
112010621,2024,266,1,4
112010621,2024,2989,1,4
112010621,2024,4480,1,0
112010621,2024,1874,1,4
112010621,2024,1745,1,4
112010621,2024,10504,1,5
112010621,2024,2425,1,4
112010621,2024,3230,1,5
112010621,2024,7244,1,5
112010621,2024,2568,1,5
112010621,2024,2,11,8
112010621,2024,2712,1,5
112010621,2024,583,1,5
112010621,2024,13328,1,5
112010621,2024,6663,1,3
112010621,2024,7427,1,5
112010621,2024,2644,1,5
112010621,2024,5636,1,5
112010621,2024,5569,1,5
112010621,2024,10663,1,5
112010621,2024,6310,1,5
112010621,2024,2590,1,4
112010621,2024,10567,3,5
112010621,2024,3882,1,4
112010621,2024,473,1,4
112010621,2024,735,1,4
112010621,2024,2782,1,4
112010621,2024,1451,1,4
112010621,2024,1372,1,4
112010621,2024,833,1,4
112010621,2024,3670,1,4
112010621,2024,4267,1,4
112010621,2024,3893,1,4
112010621,2024,2741,1,4
112010621,2024,1549,1,4
112010621,2024,1999,1,4
112010621,2024,1938,1,4
112010621,2024,1853,1,4
112010621,2024,1468,1,4
112070670,2022,2049,1,4
112070670,2022,2,3,8
112070670,2022,3844,1,4
112070670,2022,2950,1,4
112070670,2022,1882,1,4
112070670,2022,3834,1,4
112070670,2022,863,1,4
112070670,2022,5376,1,4
112070670,2022,1936,1,2
112070670,2022,3772,1,4
112070670,2022,879,1,4
112070670,2022,4255,1,4
112070670,2022,1812,1,4
112070670,2022,2206,1,4
112070670,2022,514,1,4
112070670,2022,4115,1,2
112070670,2022,2549,1,2
112070670,2022,882,1,4
