yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107910016,2022,4728,1,4
107910016,2022,3270,1,0
107910016,2022,4675,1,4
107910016,2022,5143,1,4
107910016,2022,1563,1,4
107910016,2022,2988,1,4
107910016,2022,4256,1,4
107910016,2022,1431,1,0
107910016,2022,2098,1,4
107910016,2023,2,4,8
107910016,2023,1787,1,4
107910016,2023,4478,1,4
107910016,2023,4521,1,4
107910016,2023,5287,1,3
107910016,2023,9424,1,5
107910016,2023,5031,1,5
107910016,2023,1602,1,4
107910016,2023,5148,1,4
107910016,2023,2487,1,4
107910016,2024,4294,1,0
107910016,2024,2988,1,4
107910016,2024,1431,3,0
107910016,2024,4823,1,4
107910016,2024,5297,1,5
107910016,2024,10825,1,5
107910016,2024,10454,1,3
107910016,2024,107,2,4
107910016,2024,1010,1,4
107910016,2024,1060,1,4
107910016,2024,3268,1,4
107910016,2024,1863,1,4
107910016,2024,2370,1,4
107910016,2024,3309,1,4
107910016,2024,5149,1,4
107910016,2024,4882,1,0
107910016,2024,647,1,4
107910016,2024,4478,1,4
107910025,2022,1462,1,4
107910025,2022,3268,1,4
107910025,2022,2,4,8
107910025,2022,1509,1,4
107910025,2022,363,1,4
107910025,2022,2792,1,4
107910025,2022,1516,1,4
107910025,2022,2414,1,4
107910025,2022,3309,1,4
107910025,2022,6377,1,4
107910025,2022,1555,1,4
107910025,2022,4252,1,4
107910025,2022,5003,1,4
107910025,2022,4314,1,4
107910025,2022,2242,1,4
107910025,2022,1787,1,4
107910025,2022,4253,1,4
107910025,2022,1563,1,4
107910025,2022,8297,1,4
107910025,2022,4645,1,4
107910025,2022,3942,1,4
107910025,2022,3362,1,4
107910025,2022,4403,1,4
107910025,2022,12323,1,4
107910025,2022,3225,1,4
107910025,2022,6284,1,4
107910025,2022,4964,1,4
107910025,2022,6719,1,4
107910025,2022,4317,1,4
107910025,2022,1717,1,4
107910025,2022,649,1,4
107910025,2022,2128,1,4
107910025,2022,1033,1,4
107910025,2022,2377,1,4
107910025,2022,4425,1,4
107910025,2022,3072,1,4
107910025,2022,4256,1,4
107910025,2022,1431,1,0
107910025,2022,1745,1,4
107910025,2022,2030,1,4
107910025,2022,6100,1,5
107910025,2022,10622,1,5
107910025,2022,3390,1,5
107910025,2022,6247,1,5
107910025,2022,5028,1,5
107910025,2022,1140,1,5
107910025,2022,3245,1,5
107910025,2022,4333,1,5
107910025,2022,11889,1,5
107910025,2022,7329,1,5
107910025,2022,5031,1,5
107910025,2022,4711,1,4
107910025,2022,8632,1,4
107910025,2022,2783,1,4
107910025,2022,502,1,4
107910025,2022,166,1,4
107910025,2022,3355,1,4
107910025,2022,1060,1,4
107910025,2022,1548,1,4
107910025,2022,4750,2,4
107910025,2022,5727,1,4
107910025,2022,3708,1,4
107910025,2022,1696,1,4
107910025,2022,6471,1,4
107910025,2022,1248,1,4
107910025,2022,1965,1,4
107910025,2022,608,1,4
107910025,2022,2977,1,4
107910025,2023,4597,2,4
107910025,2023,3268,1,4
107910025,2023,2,11,8
107910025,2023,5300,1,4
107910025,2023,3378,1,4
107910025,2023,1619,1,4
107910025,2023,2792,1,4
107910025,2023,3316,1,4
107910025,2023,1808,1,4
107910025,2023,1469,1,4
107910025,2023,19,1,4
107910025,2023,4679,1,4
107910025,2023,6605,1,4
107910025,2023,1787,1,4
107910025,2023,4959,1,4
107910025,2023,4499,1,4
107910025,2023,1563,1,4
107910025,2023,3772,1,4
107910025,2023,4645,1,4
107910025,2023,6561,1,4
107910025,2023,6417,1,4
107910025,2023,2261,1,4
107910025,2023,3042,1,4
107910025,2023,1913,1,4
107910025,2023,4255,1,4
107910025,2023,2244,1,4
107910025,2023,4288,1,4
107910025,2023,367,1,4
107910025,2023,4421,1,4
107910025,2023,5057,1,2
107910025,2023,3114,1,4
107910025,2023,2126,1,4
107910025,2023,6396,1,4
107910025,2023,1076,1,2
107910025,2023,4435,1,0
107910025,2023,10266,1,4
107910025,2023,126,1,4
107910025,2023,8733,1,5
107910025,2023,1431,1,0
107910025,2023,7182,1,4
107910025,2023,9424,1,5
107910025,2023,6351,1,5
107910025,2023,5750,1,5
107910025,2023,4789,1,5
107910025,2023,9620,1,1
107910025,2023,1955,1,5
107910025,2023,748,1,5
107910025,2023,2761,1,5
107910025,2023,10915,1,5
107910025,2023,4997,1,5
107910025,2023,12382,1,1
107910025,2023,1492,1,4
107910025,2023,2505,2,4
107910025,2023,1877,1,4
107910025,2023,2943,1,4
107910025,2023,2715,1,4
107910025,2023,1602,1,4
107910025,2023,1060,1,4
107910025,2023,1696,1,4
107910025,2023,10279,1,4
107910025,2023,4283,1,4
107910025,2023,2163,1,4
107910025,2024,6973,1,4
107910025,2024,5481,1,4
107910025,2024,5158,1,4
107910025,2024,1854,1,4
107910025,2024,4313,1,4
107910025,2024,1220,1,4
107910025,2024,1318,1,0
107910025,2024,12383,1,4
107910025,2024,389,1,4
107910025,2024,5447,1,4
107910025,2024,2,5,8
107910025,2024,4798,1,4
107910025,2024,2124,1,4
107910025,2024,6306,1,4
107910025,2024,5955,1,4
107910025,2024,4478,1,4
107910025,2024,4455,1,4
107910025,2024,4362,1,4
107910025,2024,6264,1,4
107910025,2024,649,1,4
107910025,2024,4422,1,4
107910025,2024,4373,2,4
107910025,2024,160,1,4
107910025,2024,4917,1,4
107910025,2024,1431,1,0
107910025,2024,7448,1,4
107910025,2024,5761,1,1
107910025,2024,4669,1,5
107910025,2024,11290,1,5
107910025,2024,12384,1,5
107910025,2024,4260,1,5
107910025,2024,4263,1,4
107910025,2024,4953,1,4
107910025,2024,3963,1,4
107910025,2024,4541,1,0
107910025,2024,1607,1,4
107910025,2024,11540,1,5
107910025,2024,8650,1,0
107910025,2024,4444,1,4
107910025,2024,6243,1,4
107910025,2024,5829,1,5
107910025,2024,3378,1,4
107910025,2024,4374,1,4
107910025,2024,5302,1,4
107910043,2022,4024,1,4
107910043,2023,6256,1,5
107910043,2023,5532,1,5
107910043,2024,4786,1,4
107910043,2024,11301,1,3
107910043,2024,2486,1,4
107910043,2024,2,1,8
107910043,2024,4359,1,4
107910043,2024,2350,1,4
107910043,2024,4912,1,4
107910043,2024,3382,1,4
107910043,2024,2530,1,4
107910043,2024,5250,1,4
107910043,2024,4319,1,4
107910052,2022,4252,1,4
107910052,2022,5102,1,4
107910052,2022,4422,1,4
107910052,2022,5340,1,4
107910052,2022,2479,1,4
107910052,2022,5750,1,5
107910052,2022,4652,1,1
107910052,2022,10687,1,3
107910052,2023,2,2,8
107910052,2023,3357,1,4
107910052,2023,2792,1,4
107910052,2023,2370,1,4
107910052,2023,2490,1,4
107910052,2023,1104,1,4
107910052,2023,1073,1,4
107910052,2023,4255,1,4
107910052,2023,6040,1,4
107910052,2023,1815,1,4
107910052,2023,5782,1,4
107910052,2023,5340,1,4
107910052,2023,4587,1,4
107910052,2023,2988,1,4
107910052,2023,847,1,4
107910052,2023,1431,1,0
107910052,2023,4426,1,5
107910052,2023,9102,1,5
107910052,2023,4789,1,5
107910052,2023,995,1,5
107910052,2023,2780,1,5
107910052,2023,11312,1,3
107910052,2023,11221,1,3
107910052,2023,5031,1,5
107910052,2023,6576,1,4
107910052,2024,9820,1,2
107910052,2024,3777,1,4
107910052,2024,4292,1,4
107910052,2024,967,1,4
107910052,2024,4362,1,4
107910052,2024,2609,1,2
107910052,2024,1159,1,5
107910052,2024,5890,1,5
107910052,2024,286,1,5
