yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112110044,2022,3644,3,4
112110044,2022,4157,1,4
112110044,2022,2701,2,4
112110044,2022,1807,2,4
112110044,2022,2873,1,4
112110044,2022,4075,1,4
112110044,2022,6749,1,4
112110044,2022,5515,2,4
112110044,2022,720,2,2
112110044,2022,1559,1,4
112110044,2022,2601,2,4
112110044,2022,2440,1,4
112110044,2022,4077,1,4
112110044,2022,7079,1,4
112110044,2022,2669,1,4
112110044,2022,2339,1,4
112110044,2022,6236,1,0
112110044,2022,1630,1,4
112110044,2022,6210,1,2
112110044,2022,1039,1,2
112110044,2022,2619,1,5
112110044,2022,12368,1,5
112110044,2022,10541,1,3
112110044,2022,12174,1,5
112110044,2022,10262,1,5
112110044,2022,5331,1,4
112110044,2022,5372,1,4
112110044,2022,3867,1,4
112110044,2022,1618,1,4
112110044,2022,2037,1,4
112110044,2022,1606,2,4
112110044,2022,1501,2,4
112110044,2023,1504,1,4
112110044,2023,2,6,8
112110044,2023,1043,1,4
112110044,2023,4157,1,4
112110044,2023,1271,1,4
112110044,2023,4524,1,2
112110044,2023,276,1,4
112110044,2023,2526,1,4
112110044,2023,808,2,4
112110044,2023,5321,1,4
112110044,2023,7213,1,4
112110044,2023,647,1,4
112110044,2023,1296,1,4
112110044,2023,1697,1,2
112110044,2023,3716,1,4
112110044,2023,4273,1,4
112110044,2023,1974,1,4
112110044,2023,2127,1,4
112110044,2023,3806,1,4
112110044,2023,1134,1,4
112110044,2023,1200,1,4
112110044,2023,6863,1,5
112110044,2023,1985,1,5
112110044,2023,13580,1,3
112110044,2023,6597,1,5
112110044,2023,4793,1,4
112110044,2023,6779,1,4
112110044,2023,5933,1,4
112110044,2023,166,1,4
112110044,2023,4742,1,4
112110044,2023,2271,1,4
112110044,2023,1989,1,4
112110044,2023,6623,1,4
112110044,2023,4062,1,4
112110044,2023,2718,1,4
112110062,2022,1905,1,4
112110062,2022,2,4,8
112110062,2022,3644,3,4
112110062,2022,3401,1,2
112110062,2022,4399,1,4
112110062,2022,1178,1,4
112110062,2022,1271,2,4
112110062,2022,4075,1,4
112110062,2022,720,3,2
112110062,2022,2542,1,2
112110062,2022,6845,1,4
112110062,2022,2601,1,4
112110062,2022,2526,1,4
112110062,2022,2324,1,4
112110062,2022,1025,1,2
112110062,2022,3405,1,4
112110062,2022,2771,1,2
112110062,2022,3253,1,4
112110062,2022,2669,1,4
112110062,2022,3205,3,4
112110062,2022,1109,1,2
112110062,2022,1763,1,4
112110062,2022,5344,1,4
112110062,2022,6210,1,2
112110062,2022,2672,1,4
112110062,2022,2561,1,2
112110062,2022,2694,1,5
112110062,2022,6101,1,5
112110062,2022,7196,1,5
112110062,2022,6863,1,5
112110062,2022,3509,1,5
112110062,2022,4334,2,5
112110062,2022,5192,1,2
112110062,2022,930,1,4
112110062,2022,1606,3,4
112110062,2022,5293,1,2
112110062,2022,1248,1,4
112110062,2022,4780,1,2
112110062,2022,1501,1,4
112110062,2023,5836,2,4
112110062,2023,6662,1,4
112110062,2023,1905,1,4
112110062,2023,2,3,8
112110062,2023,7891,1,4
112110062,2023,3401,1,2
112110062,2023,1271,1,4
112110062,2023,5514,1,4
112110062,2023,4489,2,2
112110062,2023,3403,1,4
112110062,2023,508,1,4
112110062,2023,659,1,4
112110062,2023,1018,1,2
112110062,2023,537,1,4
112110062,2023,2601,1,4
112110062,2023,411,1,2
112110062,2023,2705,1,4
112110062,2023,4143,1,4
112110062,2023,808,1,4
112110062,2023,4218,1,4
112110062,2023,2207,1,4
112110062,2023,2669,3,4
112110062,2023,428,1,4
112110062,2023,3205,2,4
112110062,2023,604,1,4
112110062,2023,4896,1,5
112110062,2023,6806,1,3
112110062,2023,11133,1,3
112110062,2023,2404,1,5
112110062,2023,9173,1,1
112110062,2023,3642,1,2
112110062,2023,5331,1,4
112110062,2023,1986,1,4
112110062,2023,768,1,4
112110062,2023,476,1,4
112110062,2023,1117,1,4
112110062,2023,1804,1,4
112110062,2023,1606,2,4
112110062,2023,6623,5,4
112110062,2023,1501,1,4
112110062,2024,2601,1,4
112110062,2024,1943,2,4
112110062,2024,2547,1,4
112110062,2024,6610,1,2
