yop_kodu,year,lise_id,yerlesen_sayisi,school_type
409610204,2022,11850,1,1
409610204,2022,4411,1,4
409610204,2023,2030,1,4
409610204,2023,4555,1,5
409610204,2024,5730,1,5
409610213,2023,2,1,8
409610213,2023,1042,1,5
409610213,2023,10237,1,5
409610213,2024,2,1,8
409610222,2024,12683,1,4
409610231,2022,3500,1,4
409610231,2022,2523,1,1
409610231,2023,2,1,8
409610231,2023,2507,1,4
409610231,2024,2,1,8
409610231,2024,4863,1,0
409610231,2024,5285,1,4
409610231,2024,11534,1,5
409610231,2024,1287,1,4
409610249,2023,5272,1,5
409610249,2024,1499,1,4
409610319,2022,2,1,8
409610319,2023,2,1,8
409610319,2024,2,1,8
409610328,2022,5522,1,4
409610328,2022,6442,1,4
409610328,2023,4360,1,4
409610328,2023,29,1,4
409610328,2024,13323,1,4
409610328,2024,4307,1,4
409610328,2024,3151,1,4
409610328,2024,567,1,4
409610337,2023,2372,1,4
409610346,2022,2,1,8
409610346,2022,5075,1,4
409610346,2022,4279,1,5
409610346,2022,10724,1,5
409610346,2022,5031,1,5
409610346,2023,2,1,8
409610346,2023,8500,1,4
409610346,2023,2211,1,4
409610346,2023,917,1,4
409610346,2023,5803,1,0
409610355,2022,4645,1,4
409610355,2022,11556,1,5
409610355,2023,2,1,8
409610355,2023,5750,1,5
409610355,2024,2,1,8
409610355,2024,14564,1,0
409610355,2024,2148,1,4
409610355,2024,673,1,4
409610355,2024,3876,1,4
409610355,2024,2484,1,5
409610355,2024,3568,1,4
409610364,2022,2,1,8
409610364,2022,11784,1,4
409610364,2022,1677,1,4
409610364,2023,5724,1,5
409610364,2023,8156,1,5
409610364,2023,5638,1,4
409610364,2024,4125,1,4
409610364,2024,4519,1,4
409610364,2024,6110,1,5
409610364,2024,8619,1,4
409610364,2024,4850,1,4
409610364,2024,3763,1,4
409610479,2022,2,1,8
409610479,2022,4002,1,4
409610479,2023,4279,1,5
409610479,2023,5638,1,4
409610479,2024,2,1,8
409610479,2024,5007,1,4
409610479,2024,3843,1,5
409610488,2022,2,1,8
409610488,2023,2,1,8
409610522,2023,2,1,8
409610522,2023,1760,1,4
409610522,2023,4770,1,4
409610522,2023,850,1,4
409610522,2023,6859,1,4
409610531,2022,4456,1,4
409610531,2022,6360,1,5
409610531,2023,1222,1,4
409610531,2023,6823,1,4
409610531,2024,3598,1,4
409610531,2024,9707,1,4
409610531,2024,5410,1,4
409610531,2024,3042,1,4
409610531,2024,3426,1,0
409610549,2022,1587,1,5
409610549,2022,10946,1,5
409610549,2022,10406,1,5
409610549,2023,12756,1,4
409610549,2023,2949,1,0
409610549,2023,4901,1,4
409610549,2024,2,2,8
409610549,2024,1820,1,4
409610549,2024,14006,1,5
409610549,2024,297,1,4
409610567,2022,1552,1,4
409610636,2024,2,1,8
409610650,2024,7755,1,4
409610678,2024,275,1,5
409610720,2024,6086,1,4
409610720,2024,5148,1,4
409610720,2024,5159,1,2
409610720,2024,4450,1,4
409610720,2024,948,1,4
409610720,2024,956,1,4
409610720,2024,5202,1,2
409610720,2024,5110,1,3
409610720,2024,5176,1,1
409610720,2024,6420,1,5
409610741,2024,2665,1,4
409610783,2024,2,1,8
409610783,2024,2783,1,4
409610804,2024,10476,1,5
409610804,2024,1287,1,4
