yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301310047,2022,1337,1,4
301310047,2022,297,1,4
301310047,2023,2431,1,4
301310047,2023,1088,1,4
301310047,2023,984,1,1
301310047,2023,12905,1,1
301310047,2023,246,1,0
301310056,2022,2,2,8
301310056,2022,660,1,4
301310056,2022,1942,1,4
301310056,2022,5042,1,4
301310056,2022,4970,1,5
301310056,2022,7770,1,3
301310056,2023,2,1,8
301310056,2023,2433,1,4
301310056,2023,863,1,4
301310056,2023,4476,1,4
301310056,2023,1942,1,4
301310056,2023,4290,1,4
301310056,2023,12832,1,3
301310056,2023,2974,1,4
301310056,2023,1756,1,4
301310056,2024,400,1,4
301310056,2024,2393,1,4
301310056,2024,12700,1,4
301310056,2024,4098,1,4
301310056,2024,1581,1,4
301310056,2024,4325,1,4
301310056,2024,6360,1,5
301310056,2024,1008,1,4
301310056,2024,4022,1,4
301310065,2022,5047,1,4
301310065,2022,2,6,8
301310065,2022,660,1,4
301310065,2022,378,1,4
301310065,2022,5035,1,4
301310065,2022,628,1,4
301310065,2022,791,1,4
301310065,2022,634,1,4
301310065,2022,3407,1,4
301310065,2022,430,2,4
301310065,2022,142,1,4
301310065,2022,11007,1,4
301310065,2022,2008,1,0
301310065,2022,144,1,4
301310065,2022,4885,1,4
301310065,2022,5706,1,0
301310065,2022,3207,1,4
301310065,2022,1874,1,4
301310065,2022,1280,1,0
301310065,2022,5042,1,4
301310065,2022,1110,1,4
301310065,2022,11383,1,5
301310065,2022,5388,1,5
301310065,2022,1588,1,5
301310065,2022,13972,1,5
301310065,2022,6025,1,5
301310065,2022,1598,1,4
301310065,2022,6394,1,4
301310065,2022,592,1,4
301310065,2022,2508,1,4
301310065,2023,10,1,4
301310065,2023,2,6,8
301310065,2023,13568,1,0
301310065,2023,1906,1,2
301310065,2023,508,1,4
301310065,2023,261,1,4
301310065,2023,660,1,4
301310065,2023,378,2,4
301310065,2023,5793,1,4
301310065,2023,5841,1,4
301310065,2023,2181,1,4
301310065,2023,1523,2,4
301310065,2023,5654,1,4
301310065,2023,6349,1,4
301310065,2023,5560,1,4
301310065,2023,4319,1,4
301310065,2023,5380,1,4
301310065,2023,4802,1,0
301310065,2023,1390,1,4
301310065,2023,7860,1,0
301310065,2023,13973,1,5
301310065,2023,10869,1,5
301310065,2023,554,1,5
301310065,2023,7697,1,5
301310065,2023,2152,2,5
301310065,2023,3347,1,5
301310065,2023,10025,1,5
301310065,2023,7085,1,5
301310065,2023,1365,1,4
301310065,2023,3470,1,4
301310065,2023,638,1,4
301310065,2023,6252,1,4
301310065,2023,1756,1,4
301310065,2024,3602,2,4
301310065,2024,1107,1,4
301310065,2024,3657,1,4
301310065,2024,671,1,4
301310065,2024,6602,1,5
301310065,2024,708,1,5
301310065,2024,3697,1,5
301310065,2024,5123,1,5
301310065,2024,2637,1,5
301310065,2024,6360,1,5
301310065,2024,2,1,8
301310065,2024,6690,1,5
301310065,2024,3846,1,4
301310065,2024,11484,1,4
301310065,2024,4022,1,4
301310065,2024,4141,1,4
301310065,2024,8864,1,4
301310065,2024,1468,1,4
301310065,2024,1866,1,4
301310065,2024,773,1,4
301310065,2024,1222,1,4
301310065,2024,4979,1,4
301310074,2022,3326,1,5
301310074,2022,2194,1,4
301310074,2022,352,1,0
301310074,2023,2,2,8
301310074,2023,4105,1,4
301310074,2023,1374,1,4
301310083,2022,1211,1,4
301310083,2022,7434,1,0
301310083,2022,3953,1,4
301310083,2022,1132,1,0
301310083,2022,146,1,4
301310083,2022,4091,1,4
301310083,2022,137,1,4
301310083,2022,657,1,4
301310083,2023,2,2,8
301310083,2023,403,1,4
301310083,2023,8307,1,4
301310083,2023,7116,1,1
301310083,2023,704,1,4
301310083,2023,352,1,0
301310083,2023,2974,1,4
301310083,2024,2,2,8
301310083,2024,10115,1,4
301310083,2024,6325,1,5
301310083,2024,4355,1,4
301310083,2024,11034,1,4
301310083,2024,4543,1,4
301310083,2024,229,1,4
301310092,2022,4199,1,4
301310092,2022,2,1,8
301310092,2022,694,1,4
301310092,2022,1103,1,4
301310092,2022,11455,1,4
301310092,2022,658,1,4
301310092,2022,1181,1,4
301310092,2022,535,1,4
301310092,2022,2752,1,4
301310092,2022,139,1,4
301310092,2022,333,1,4
