yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110210039,2022,793,1,4
110210039,2022,169,1,4
110210039,2022,418,1,4
110210039,2022,1515,1,4
110210039,2022,331,1,4
110210039,2022,5863,1,4
110210039,2022,539,1,0
110210039,2022,3924,1,4
110210039,2022,21,1,4
110210039,2022,264,1,4
110210039,2022,84,1,4
110210039,2022,631,1,4
110210039,2022,183,2,4
110210039,2022,5107,1,2
110210039,2022,6209,1,4
110210039,2022,559,1,4
110210039,2022,843,1,2
110210039,2022,1237,1,5
110210039,2022,637,1,4
110210039,2022,722,1,4
110210039,2022,681,1,4
110210039,2022,749,1,4
110210039,2022,246,1,0
110210039,2022,151,1,4
110210039,2022,591,1,4
110210039,2022,592,1,4
110210039,2022,453,1,4
110210039,2022,781,1,4
110210039,2022,640,2,4
110210039,2023,10,1,4
110210039,2023,2,1,8
110210039,2023,2594,1,2
110210039,2023,1444,1,4
110210039,2023,264,2,4
110210039,2023,26,1,4
110210039,2023,2605,1,4
110210039,2023,102,1,4
110210039,2023,707,2,4
110210039,2023,1194,1,4
110210039,2023,5782,1,4
110210039,2023,547,1,4
110210039,2023,848,1,4
110210039,2023,521,1,4
110210039,2023,11495,1,5
110210039,2023,7577,1,5
110210039,2023,843,1,2
110210039,2023,52,1,4
110210039,2023,53,1,4
110210039,2023,447,1,4
110210039,2023,3417,1,4
110210039,2023,408,1,4
110210039,2023,595,1,4
110210039,2023,1013,1,2
110210039,2023,717,1,4
110210039,2023,640,1,4
110210039,2023,851,1,4
110210039,2023,110,2,4
110210039,2024,328,1,4
110210039,2024,121,1,4
110210039,2024,7165,1,4
110210039,2024,4127,1,4
110210057,2022,855,1,4
110210057,2022,793,1,4
110210057,2022,625,1,4
110210057,2022,119,1,4
110210057,2022,1782,1,4
110210057,2022,2665,1,4
110210057,2022,411,2,2
110210057,2022,5863,1,4
110210057,2022,237,3,2
110210057,2022,2771,1,2
110210057,2022,6624,1,2
110210057,2022,2605,1,4
110210057,2022,253,1,4
110210057,2022,846,1,2
110210057,2022,183,1,4
110210057,2022,35,1,0
110210057,2022,547,2,4
110210057,2022,145,2,4
110210057,2022,518,1,4
110210057,2022,6209,2,4
110210057,2022,848,1,4
110210057,2022,521,1,4
110210057,2022,7471,1,5
110210057,2022,4132,1,3
110210057,2022,559,1,4
110210057,2022,843,1,2
110210057,2022,149,1,4
110210057,2022,562,1,2
110210057,2022,2138,1,2
110210057,2022,1013,1,2
110210057,2022,99,1,4
110210057,2022,8,1,2
110210057,2022,456,1,4
110210057,2022,640,2,4
110210057,2023,855,2,4
110210057,2023,2746,1,4
110210057,2023,3611,1,2
110210057,2023,3061,1,4
110210057,2023,263,1,2
110210057,2023,643,1,4
110210057,2023,3693,1,4
110210057,2023,6023,1,2
110210057,2023,812,1,4
110210057,2023,539,1,0
110210057,2023,262,1,4
110210057,2023,1186,1,4
110210057,2023,26,1,4
110210057,2023,2771,1,2
110210057,2023,6624,1,2
110210057,2023,1194,2,4
110210057,2023,699,1,4
110210057,2023,310,1,4
110210057,2023,2559,1,2
110210057,2023,183,1,4
110210057,2023,547,1,4
110210057,2023,392,1,4
110210057,2023,4821,1,4
110210057,2023,897,2,4
110210057,2023,2671,1,2
110210057,2023,518,1,4
110210057,2023,9494,1,5
110210057,2023,6957,1,4
110210057,2023,730,1,4
110210057,2023,681,1,4
110210057,2023,749,1,4
110210057,2023,850,1,4
110210057,2023,2838,1,4
110210057,2023,1013,1,2
110210057,2023,717,1,4
110210057,2023,456,1,4
110210057,2023,640,2,4
110210057,2024,215,1,4
110210057,2024,12924,1,4
110210057,2024,1515,1,4
110210057,2024,276,1,4
110210057,2024,537,1,4
110210057,2024,1383,1,4
110210057,2024,358,1,4
110210057,2024,426,2,4
110210057,2024,846,1,2
110210057,2024,1194,1,4
110210057,2024,793,1,4
110210057,2024,468,1,4
110210057,2024,183,2,4
110210057,2024,242,1,4
110210057,2024,6209,1,4
110210057,2024,848,1,4
110210057,2024,755,1,3
110210057,2024,412,1,3
110210057,2024,384,1,1
110210057,2024,12088,1,3
110210057,2024,12823,1,5
110210057,2024,2,1,8
110210057,2024,7,1,4
110210057,2024,559,1,4
110210057,2024,49,1,4
110210057,2024,1237,1,5
110210057,2024,7467,1,4
110210057,2024,683,1,4
110210057,2024,759,1,4
110210057,2024,591,1,4
110210057,2024,592,1,4
110210057,2024,453,1,4
110210057,2024,168,1,4
110210057,2024,399,2,4
110210057,2024,2163,2,4
110210057,2024,7098,1,4
110210057,2024,640,1,4
110210057,2024,2105,1,4
110210057,2024,2746,1,4
110210057,2024,119,1,4
110210057,2024,533,1,4
110210057,2024,819,1,4
110210057,2024,724,1,4
110210075,2022,2,2,8
110210075,2022,940,1,4
110210075,2022,5021,1,4
110210075,2022,539,1,0
110210075,2022,3924,1,4
110210075,2022,6624,1,2
110210075,2022,1129,1,4
110210075,2022,1194,2,4
110210075,2022,515,1,2
110210075,2022,1,1,4
110210075,2022,2308,1,4
110210075,2022,547,1,4
110210075,2022,5107,1,2
110210075,2022,11495,1,5
110210075,2022,10262,1,5
110210075,2022,2649,1,2
110210075,2022,3215,1,4
110210075,2022,3790,1,4
110210075,2022,640,1,4
110210075,2023,3611,1,2
110210075,2023,2594,1,2
110210075,2023,4547,1,4
110210075,2023,2665,1,4
110210075,2023,411,1,2
110210075,2023,631,1,4
110210075,2023,609,1,4
110210075,2023,845,1,2
110210075,2023,6624,1,2
110210075,2023,2605,1,4
110210075,2023,1482,1,4
110210075,2023,183,1,4
110210075,2023,700,1,2
110210075,2023,5326,1,4
110210075,2023,11301,2,3
110210075,2023,921,1,4
110210075,2023,10874,1,4
110210075,2023,3687,1,4
110210075,2023,1013,1,2
110210075,2023,5231,1,2
110210075,2024,547,1,4
110210075,2024,456,1,4
110210075,2024,640,1,4
110210075,2024,331,1,4
110210075,2024,826,1,2
110210075,2024,539,1,0
110210075,2024,2464,1,4
110210075,2024,845,1,2
110210075,2024,2419,1,4
110210075,2024,5520,1,4
110210075,2024,1446,1,4
110210084,2022,2142,2,4
110210084,2022,2,1,8
110210084,2022,12226,1,4
110210084,2022,1332,1,4
110210084,2022,2746,1,4
110210084,2022,11,1,4
110210084,2022,625,1,4
110210084,2022,3138,1,4
110210084,2022,14,1,0
110210084,2022,6868,1,4
110210084,2022,19,2,4
110210084,2022,331,2,4
110210084,2022,9243,1,4
110210084,2022,6902,1,4
110210084,2022,3161,1,4
110210084,2022,1624,1,4
110210084,2022,539,1,0
110210084,2022,357,1,4
110210084,2022,264,1,4
110210084,2022,631,1,4
110210084,2022,489,1,4
110210084,2022,1229,1,4
110210084,2022,846,1,2
110210084,2022,707,1,4
110210084,2022,670,1,4
110210084,2022,180,1,4
110210084,2022,1194,1,4
110210084,2022,30,1,4
110210084,2022,198,1,4
110210084,2022,183,1,4
110210084,2022,547,3,4
110210084,2022,4821,1,4
110210084,2022,313,1,4
110210084,2022,4470,1,2
110210084,2022,6209,1,4
110210084,2022,2909,1,4
110210084,2022,521,1,4
110210084,2022,202,1,1
110210084,2022,6957,2,4
110210084,2022,7332,1,4
110210084,2022,7,1,4
110210084,2022,7482,1,4
110210084,2022,1450,1,4
110210084,2022,681,1,4
110210084,2022,3827,1,4
110210084,2022,5372,1,4
110210084,2022,3811,2,4
110210084,2022,7980,1,4
110210084,2022,593,1,4
110210084,2022,1286,1,2
110210084,2022,3002,1,0
110210084,2022,6385,1,0
110210084,2022,2163,1,4
110210084,2022,640,2,4
110210084,2023,458,1,4
110210084,2023,174,1,4
110210084,2023,2,3,8
110210084,2023,5895,1,4
110210084,2023,625,1,4
110210084,2023,761,1,4
110210084,2023,7585,1,4
110210084,2023,6639,1,4
110210084,2023,9816,1,4
110210084,2023,3037,1,4
110210084,2023,4512,1,4
110210084,2023,19,2,4
110210084,2023,812,1,4
110210084,2023,5377,1,4
110210084,2023,7122,1,4
110210084,2023,7270,1,4
110210084,2023,4960,1,4
110210084,2023,262,1,4
110210084,2023,6773,1,4
110210084,2023,6198,1,4
110210084,2023,7078,1,4
110210084,2023,631,1,4
110210084,2023,632,1,4
110210084,2023,9335,1,4
110210084,2023,489,1,4
110210084,2023,846,1,2
110210084,2023,707,2,4
110210084,2023,670,1,4
110210084,2023,1194,1,4
110210084,2023,435,1,4
110210084,2023,183,4,4
110210084,2023,5107,1,2
110210084,2023,651,2,4
110210084,2023,2909,2,4
110210084,2023,1237,1,5
110210084,2023,637,1,4
110210084,2023,722,1,4
110210084,2023,749,4,4
110210084,2023,2838,1,4
110210084,2023,2839,1,4
110210084,2023,759,1,4
110210084,2023,5772,1,4
110210084,2023,3417,3,4
110210084,2023,717,3,4
110210084,2023,851,1,4
110210084,2023,8447,1,4
110210084,2024,77,1,4
110210084,2024,7142,1,4
110210084,2024,19,1,4
110210084,2024,7212,1,4
110210084,2024,539,1,0
110210084,2024,1444,1,4
110210084,2024,2667,1,4
110210084,2024,208,1,4
110210084,2024,238,1,2
110210084,2024,6773,1,4
110210084,2024,7278,1,4
110210084,2024,6805,1,4
110210084,2024,426,1,4
110210084,2024,8527,1,4
110210084,2024,707,1,4
110210084,2024,2126,1,4
110210084,2024,183,1,4
110210084,2024,2376,1,0
110210084,2024,7176,1,4
110210084,2024,470,1,4
110210084,2024,559,1,4
110210084,2024,793,1,4
110210084,2024,49,1,4
110210084,2024,7386,1,2
110210084,2024,1237,1,5
110210084,2024,3762,1,4
110210084,2024,712,1,4
110210084,2024,653,1,0
110210084,2024,3473,1,2
110210084,2024,324,1,4
110210084,2024,12573,1,4
110210084,2024,591,1,4
110210084,2024,2,1,8
110210084,2024,408,1,4
110210084,2024,4109,1,4
110210084,2024,456,2,4
110210084,2024,822,1,4
110210084,2024,410,1,4
110210084,2024,625,1,4
110210084,2024,533,1,4
110210084,2024,819,1,4
110210084,2024,6639,1,4
110210084,2024,1442,1,4
110210093,2022,641,1,4
110210093,2022,176,2,0
110210093,2022,16,1,0
110210093,2022,7681,1,4
110210093,2022,6087,1,4
110210093,2022,3161,1,4
110210093,2022,411,1,2
110210093,2022,539,1,0
110210093,2022,6198,1,4
110210093,2022,423,1,4
110210093,2022,26,1,4
110210093,2022,845,1,2
110210093,2022,489,1,4
110210093,2022,3253,1,4
110210093,2022,754,1,4
110210093,2022,6985,1,4
110210093,2022,696,1,4
110210093,2022,670,1,4
110210093,2022,1194,1,4
110210093,2022,142,1,4
110210093,2022,7544,1,4
110210093,2022,269,1,0
110210093,2022,183,3,4
110210093,2022,34,1,4
110210093,2022,547,1,4
110210093,2022,145,1,4
110210093,2022,5107,2,2
110210093,2022,242,1,4
110210093,2022,7174,1,4
110210093,2022,651,1,4
110210093,2022,518,1,4
110210093,2022,6209,1,4
110210093,2022,521,1,4
110210093,2022,7188,1,5
110210093,2022,559,1,4
110210093,2022,7595,1,4
110210093,2022,149,1,4
110210093,2022,703,1,2
110210093,2022,730,1,4
110210093,2022,681,2,4
110210093,2022,749,1,4
110210093,2022,134,1,0
110210093,2022,3417,1,4
110210093,2022,685,1,2
110210093,2022,2655,1,2
110210093,2022,4310,1,0
110210093,2022,152,1,4
110210093,2023,9,1,2
110210093,2023,174,1,4
110210093,2023,2,1,8
110210093,2023,2746,1,4
110210093,2023,13248,1,4
110210093,2023,377,1,4
110210093,2023,120,1,4
110210093,2023,175,1,4
110210093,2023,76,1,4
110210093,2023,5313,1,4
110210093,2023,114,1,4
110210093,2023,19,1,4
110210093,2023,331,1,4
110210093,2023,1383,1,4
110210093,2023,631,1,4
110210093,2023,489,1,4
110210093,2023,696,1,4
110210093,2023,290,1,4
110210093,2023,103,1,4
110210093,2023,670,1,4
110210093,2023,180,1,4
110210093,2023,1890,1,4
110210093,2023,2376,1,0
110210093,2023,547,1,4
110210093,2023,145,1,4
110210093,2023,4821,1,4
110210093,2023,604,1,4
110210093,2023,6209,1,4
110210093,2023,848,1,4
110210093,2023,106,1,5
110210093,2023,6957,1,4
110210093,2023,559,4,4
110210093,2023,12103,1,4
110210093,2023,653,1,0
110210093,2023,1262,1,4
110210093,2023,1204,1,4
110210093,2023,3811,1,4
110210093,2023,3152,1,4
110210093,2023,3417,3,4
110210093,2023,528,1,4
110210093,2023,6385,2,0
110210093,2023,2163,1,4
110210093,2023,456,1,4
110210093,2023,640,2,4
110210093,2023,154,1,4
110210093,2024,663,1,4
110210093,2024,3161,1,4
110210093,2024,1383,1,4
110210093,2024,6606,1,4
110210093,2024,1444,1,4
110210093,2024,7066,1,4
110210093,2024,84,1,4
110210093,2024,26,1,4
110210093,2024,696,1,4
110210093,2024,103,1,4
110210093,2024,1290,1,4
110210093,2024,707,2,4
110210093,2024,1194,1,4
110210093,2024,309,1,4
110210093,2024,436,1,4
110210093,2024,5782,1,4
110210093,2024,198,1,4
110210093,2024,547,2,4
110210093,2024,3824,1,4
110210093,2024,5107,1,2
110210093,2024,897,1,4
110210093,2024,855,1,4
110210093,2024,129,1,4
110210093,2024,11105,1,5
110210093,2024,6674,1,0
110210093,2024,637,1,4
110210093,2024,722,1,4
110210093,2024,730,1,4
110210093,2024,2838,1,4
110210093,2024,6394,1,4
110210093,2024,13728,1,4
110210093,2024,109,1,4
110210093,2024,2,2,8
110210093,2024,592,1,4
110210093,2024,11013,1,0
110210093,2024,2655,1,2
110210093,2024,408,1,4
110210093,2024,1013,1,2
110210093,2024,2904,1,4
110210093,2024,2746,1,4
110210093,2024,1333,2,4
110210093,2024,76,1,4
110210093,2024,276,1,4
110210109,2022,2,2,8
110210109,2022,1332,1,4
110210109,2022,2904,1,4
110210109,2022,15,1,4
110210109,2022,5313,2,4
110210109,2022,276,1,4
110210109,2022,3037,1,4
110210109,2022,9243,1,4
110210109,2022,538,1,4
110210109,2022,7270,1,4
110210109,2022,7165,1,4
110210109,2022,12383,1,4
110210109,2022,208,1,4
110210109,2022,196,1,4
110210109,2022,9925,1,4
110210109,2022,3044,1,4
110210109,2022,183,1,4
110210109,2022,87,1,4
110210109,2022,7176,1,4
110210109,2022,767,1,4
110210109,2022,651,1,4
110210109,2022,4240,1,4
110210109,2022,521,1,4
110210109,2022,5326,1,4
110210109,2022,4850,1,4
110210109,2022,11128,1,4
110210109,2022,8798,1,4
110210109,2022,5849,1,4
110210109,2022,1450,1,4
110210109,2022,2838,1,4
110210109,2022,6874,1,4
110210109,2022,8427,1,4
110210109,2022,3417,1,4
110210109,2022,591,1,4
110210109,2022,408,1,4
110210109,2022,2163,1,4
110210109,2022,770,1,4
110210109,2022,1168,1,4
110210109,2022,3833,1,4
110210109,2023,9,1,2
110210109,2023,2142,1,4
110210109,2023,793,2,4
110210109,2023,2,1,8
110210109,2023,1332,1,4
110210109,2023,231,1,4
110210109,2023,3037,1,4
110210109,2023,824,1,4
110210109,2023,4729,1,4
110210109,2023,7077,1,4
110210109,2023,7065,1,4
110210109,2023,173,1,4
110210109,2023,539,1,0
110210109,2023,1444,1,4
110210109,2023,1529,1,4
110210109,2023,7113,1,2
110210109,2023,631,1,4
110210109,2023,305,1,4
110210109,2023,196,1,4
110210109,2023,707,2,4
110210109,2023,670,1,4
110210109,2023,4127,2,4
110210109,2023,7174,1,4
110210109,2023,3839,1,4
110210109,2023,2909,1,4
110210109,2023,4130,1,5
110210109,2023,559,1,4
110210109,2023,53,1,4
110210109,2023,818,1,4
110210109,2023,447,1,4
110210109,2023,681,1,4
110210109,2023,749,1,4
110210109,2023,3101,1,4
110210109,2023,165,1,4
110210109,2023,3080,1,4
110210109,2023,7106,1,4
110210109,2023,3002,1,0
110210109,2023,4598,1,0
110210109,2024,331,3,4
110210109,2024,629,1,4
110210109,2024,79,1,4
110210109,2024,7169,1,4
110210109,2024,1229,1,4
110210109,2024,492,1,4
110210109,2024,633,1,4
110210109,2024,670,2,4
110210109,2024,183,1,4
110210109,2024,4127,1,4
110210109,2024,793,2,4
110210109,2024,547,1,4
110210109,2024,4821,1,4
110210109,2024,12524,1,4
110210109,2024,7174,1,4
110210109,2024,4240,1,4
110210109,2024,848,1,4
110210109,2024,6930,1,4
110210109,2024,1450,1,4
110210109,2024,590,1,4
110210109,2024,3417,1,4
110210109,2024,1332,1,4
110210109,2024,592,2,4
110210109,2024,3586,1,4
110210109,2024,781,1,4
110210109,2024,2163,1,4
110210109,2024,640,3,4
110210109,2024,11804,1,4
110210109,2024,2904,1,4
110210109,2024,761,1,4
110210109,2024,1333,1,4
110210109,2024,12932,1,4
110210109,2024,121,1,4
110210109,2024,19,1,4
110210118,2022,2,3,8
110210118,2022,625,1,4
110210118,2022,2177,1,4
110210118,2022,7559,1,4
110210118,2022,231,1,4
110210118,2022,2490,1,4
110210118,2022,7065,1,4
110210118,2022,411,1,2
110210118,2022,2279,1,4
110210118,2022,6624,1,2
110210118,2022,5556,1,4
110210118,2022,183,1,4
110210118,2022,438,1,4
110210118,2022,5025,1,4
110210118,2022,7588,1,4
110210118,2022,134,1,0
110210118,2022,12071,1,4
110210118,2022,593,1,4
110210118,2022,781,1,4
110210118,2023,2,1,8
110210118,2023,6219,1,4
110210118,2023,3138,1,4
110210118,2023,643,1,4
110210118,2023,3037,1,4
110210118,2023,9243,1,4
110210118,2023,1383,1,4
110210118,2023,7270,1,4
110210118,2023,1444,1,4
110210118,2023,6561,1,4
110210118,2023,6198,1,4
110210118,2023,2397,1,4
110210118,2023,4434,1,4
110210118,2023,4127,2,4
110210118,2023,4821,1,4
110210118,2023,6447,1,4
110210118,2023,637,1,4
110210118,2023,590,1,4
110210118,2023,821,1,4
110210118,2023,4265,1,4
110210118,2024,264,1,4
110210118,2024,7415,1,4
110210118,2024,647,1,4
110210118,2024,313,1,4
110210118,2024,162,1,4
110210118,2024,5326,1,4
110210118,2024,7871,1,1
110210118,2024,1237,2,5
110210118,2024,759,1,4
110210118,2024,1751,1,4
110210118,2024,2,1,8
110210118,2024,2163,1,4
110210118,2024,1644,1,4
110210118,2024,6724,1,4
110210118,2024,2428,1,4
110210118,2024,12765,1,4
110210118,2024,16,1,0
110210118,2024,4512,1,4
110210118,2024,7122,1,4
110210118,2024,664,1,4
110210127,2022,2,1,8
110210127,2022,7141,1,4
110210127,2022,3089,1,4
110210127,2022,19,1,4
110210127,2022,331,1,4
110210127,2022,12472,1,4
110210127,2022,5483,1,4
110210127,2022,302,1,4
110210127,2022,6296,1,4
110210127,2022,264,1,4
110210127,2022,633,1,4
110210127,2022,4532,1,4
110210127,2022,4127,1,4
110210127,2022,184,1,4
110210127,2022,547,2,4
110210127,2022,1953,1,5
110210127,2022,6622,1,4
110210127,2022,595,1,4
110210127,2022,5727,1,4
110210127,2022,6385,1,0
110210127,2023,2,1,8
110210127,2023,819,1,4
110210127,2023,19,1,4
110210127,2023,539,1,0
110210127,2023,6773,1,4
110210127,2023,305,1,4
110210127,2023,8085,1,4
110210127,2023,1194,1,4
110210127,2023,29,1,4
110210127,2023,4468,1,4
110210127,2023,183,2,4
110210127,2023,995,1,5
110210127,2023,6957,2,4
110210127,2023,3055,1,4
110210127,2023,1081,1,4
110210127,2023,759,1,4
110210127,2023,6385,1,0
110210127,2023,717,1,4
110210127,2023,1288,1,2
110210127,2024,789,1,4
110210127,2024,648,1,4
110210127,2024,2605,1,4
110210127,2024,180,1,4
110210127,2024,1873,1,4
110210127,2024,5782,1,4
110210127,2024,183,1,4
110210127,2024,470,1,4
110210127,2024,2909,1,4
110210127,2024,800,1,5
110210127,2024,5301,1,4
110210127,2024,3827,2,4
110210127,2024,4673,1,4
110210127,2024,2,1,8
110210127,2024,2904,1,4
110210127,2024,459,1,4
110210127,2024,15,1,4
110210127,2024,7270,1,4
110210127,2024,1075,1,4
110210127,2024,6978,1,4
110210136,2022,2,1,8
110210136,2022,819,1,4
110210136,2022,1163,1,4
110210136,2022,9753,1,4
110210136,2022,359,1,4
110210136,2022,426,1,4
110210136,2022,6985,1,4
110210136,2022,707,1,4
110210136,2022,3097,1,4
110210136,2022,1194,1,4
110210136,2022,34,1,4
110210136,2022,4821,1,4
110210136,2022,4322,1,4
110210136,2022,3072,1,4
110210136,2022,651,1,4
110210136,2022,2909,1,4
110210136,2022,14576,1,5
110210136,2022,2628,1,5
110210136,2022,9198,1,5
110210136,2022,559,1,4
110210136,2022,8798,1,4
110210136,2022,1450,2,4
110210136,2022,681,2,4
110210136,2022,2838,1,4
110210136,2022,591,1,4
110210136,2022,387,1,4
110210136,2022,6385,1,0
110210136,2022,640,1,4
110210136,2022,822,1,4
110210136,2023,2,1,8
110210136,2023,328,1,4
110210136,2023,8246,1,4
110210136,2023,3984,1,4
110210136,2023,7371,1,4
110210136,2023,19,1,4
110210136,2023,331,1,4
110210136,2023,9243,1,4
110210136,2023,539,1,0
110210136,2023,5484,1,4
110210136,2023,3751,1,4
110210136,2023,80,1,4
110210136,2023,26,1,4
