yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300510048,2022,2,1,8
300510048,2022,8958,1,4
300510048,2022,2611,1,4
300510048,2022,1431,1,0
300510048,2022,11315,1,5
300510048,2022,682,1,4
300510048,2022,59,1,4
300510048,2022,5713,1,1
300510048,2023,2,2,8
300510048,2023,1505,1,4
300510048,2023,5882,1,4
300510048,2023,2464,1,4
300510048,2023,5612,1,4
300510048,2023,3595,1,0
300510048,2023,3412,1,3
300510048,2023,4486,1,4
300510048,2023,8655,1,4
300510048,2024,1930,1,4
300510048,2024,1904,1,4
300510048,2024,4487,1,4
300510048,2024,2,1,8
300510048,2024,4855,1,4
300510048,2024,2336,1,4
300510048,2024,2992,1,4
300510048,2024,5212,1,5
300510075,2022,533,1,4
300510075,2022,4583,1,4
300510075,2022,7495,1,4
300510075,2022,1521,1,4
300510075,2022,2688,1,4
300510075,2022,1736,1,4
300510075,2022,5266,1,4
300510075,2022,5726,1,5
300510075,2022,457,1,4
300510075,2023,458,1,4
300510075,2023,2,6,8
300510075,2023,365,1,4
300510075,2023,2954,1,4
300510075,2023,520,1,4
300510075,2023,10765,1,5
300510075,2023,1005,1,4
300510075,2023,4354,1,4
300510075,2024,3268,1,4
300510075,2024,2,2,8
300510075,2024,5341,1,4
300510075,2024,3469,1,4
300510075,2024,1541,1,4
300510075,2024,9859,1,5
300510075,2024,570,1,4
300510093,2022,7479,1,4
300510093,2022,1293,1,0
300510093,2022,5777,1,0
300510093,2022,1586,1,4
300510093,2022,11316,1,5
300510093,2022,7237,1,5
300510093,2022,5441,1,5
300510093,2022,605,1,1
300510093,2022,1119,1,4
300510093,2022,3219,1,4
300510093,2022,6558,1,4
300510093,2023,2,1,8
300510093,2023,533,1,4
300510093,2023,537,1,4
300510093,2023,121,1,4
300510093,2023,3273,1,4
300510093,2023,35,1,0
300510093,2023,6657,1,5
300510093,2023,682,1,4
300510093,2023,4617,1,4
300510093,2023,571,1,4
300510093,2023,110,1,4
300510093,2024,6073,1,5
300510093,2024,11317,1,1
300510093,2024,5666,1,5
300510093,2024,3416,1,4
300510093,2024,1924,1,4
300510093,2024,571,1,4
300510093,2024,2788,1,4
300510093,2024,1289,1,4
300510093,2024,2,1,8
300510093,2024,660,1,4
300510093,2024,1106,1,4
300510093,2024,1172,1,4
300510093,2024,2208,1,4
300510093,2024,8338,1,4
300510093,2024,4408,1,4
300510093,2024,42,1,5
300510136,2022,1331,1,4
300510136,2022,7894,1,4
300510136,2022,11318,1,4
300510136,2022,156,2,4
300510136,2022,6264,1,4
300510136,2022,432,1,4
300510136,2022,6236,1,0
300510136,2022,612,1,5
300510136,2022,346,1,4
300510136,2022,3689,1,4
300510136,2022,1169,1,2
300510136,2023,2,4,8
300510136,2023,4200,1,0
300510136,2023,301,1,4
300510136,2023,4960,1,4
300510136,2023,4765,1,4
300510136,2023,1296,1,4
300510136,2023,1574,1,4
300510136,2023,437,1,4
300510136,2023,6335,1,4
300510136,2023,5511,1,4
300510136,2024,2348,1,4
300510136,2024,2,1,8
300510136,2024,4622,1,4
300510136,2024,6985,1,4
300510136,2024,4116,1,4
300510136,2024,11319,1,5
300510136,2024,11320,1,5
300510136,2024,3645,1,5
300510136,2024,2974,1,4
300510215,2022,793,1,4
300510215,2022,2,1,8
300510215,2022,480,1,4
300510215,2022,5157,1,2
300510215,2022,378,1,4
300510215,2022,2665,1,4
300510215,2022,877,1,2
300510215,2022,123,1,4
300510215,2022,124,1,4
300510215,2022,10118,1,4
300510215,2022,2560,1,4
300510215,2022,1632,1,4
300510215,2022,2408,1,4
300510215,2022,1756,1,4
300510215,2023,2982,1,0
300510215,2023,5053,1,2
300510215,2023,2602,1,4
300510215,2023,838,1,4
300510215,2023,966,1,4
300510215,2023,2613,1,2
300510215,2023,518,1,4
300510215,2023,980,1,2
300510215,2023,5502,1,5
300510215,2023,11321,1,3
300510215,2023,7770,1,3
300510215,2023,922,1,2
300510215,2023,2656,1,1
300510215,2024,10152,1,5
300510215,2024,1045,1,3
300510215,2024,11322,1,3
300510215,2024,11323,1,3
300510215,2024,5293,1,2
300510215,2024,4110,1,2
300510215,2024,2,1,8
300510215,2024,2982,1,0
300510215,2024,3265,1,2
300510215,2024,2665,1,4
300510215,2024,5399,1,2
300510215,2024,4796,1,4
300510215,2024,1566,1,4
300510215,2024,7229,1,3
300510242,2022,2,6,8
300510242,2022,1474,1,4
300510242,2022,7578,1,0
300510242,2022,338,1,4
300510242,2022,634,1,4
300510242,2022,5042,1,4
300510242,2022,9280,1,5
300510242,2022,4307,1,4
300510242,2022,1604,1,4
300510242,2022,1546,2,4
300510242,2022,3452,1,4
300510242,2022,1871,1,4
300510242,2022,3125,1,4
300510242,2022,2585,1,4
300510242,2023,2,7,8
300510242,2023,3336,1,4
300510242,2023,512,1,4
300510242,2023,1913,1,4
300510242,2023,1839,1,4
300510242,2023,8536,1,4
300510242,2023,381,1,4
300510242,2023,3068,1,4
300510242,2023,3255,1,4
300510242,2023,4406,1,4
300510242,2023,2008,1,0
300510242,2023,840,1,4
300510242,2023,2491,1,4
300510242,2023,1874,1,4
300510242,2023,11324,1,5
300510242,2023,6342,1,5
300510242,2023,5699,1,5
300510242,2023,11325,1,5
300510242,2023,7332,1,4
300510242,2024,2464,1,4
300510242,2024,6254,1,4
300510242,2024,3426,1,0
300510242,2024,674,1,0
300510242,2024,1447,1,4
300510242,2024,975,1,4
300510242,2024,6474,1,4
300510242,2024,6258,1,5
300510242,2024,11326,1,5
300510242,2024,270,1,5
300510242,2024,1290,1,4
300510242,2024,6291,1,5
300510242,2024,5531,1,5
300510242,2024,6427,1,5
300510242,2024,3660,1,4
300510242,2024,833,1,4
300510242,2024,4185,1,4
300510242,2024,2,2,8
300510242,2024,4581,1,4
300510242,2024,3379,1,4
300510242,2024,1518,1,4
300510242,2024,4252,1,4
300510242,2024,572,1,4
300510242,2024,1611,1,4
300510278,2022,2,1,8
300510278,2022,5080,1,4
300510278,2022,6671,1,5
300510278,2022,5419,1,5
300510278,2022,4331,1,5
300510278,2022,7237,1,5
300510278,2022,2625,1,5
300510278,2022,4369,1,4
300510278,2022,3937,1,4
300510278,2023,2,3,8
300510278,2023,520,1,4
300510278,2023,1994,1,4
300510278,2023,10284,1,5
300510278,2023,4541,1,0
300510278,2023,212,1,4
300510278,2024,11327,1,5
300510278,2024,4853,1,4
300510278,2024,1460,1,4
300510278,2024,1684,1,4
300510278,2024,956,1,4
300510278,2024,6061,1,5
300510278,2024,5706,1,0
300510278,2024,4737,1,4
300510278,2024,6503,1,5
300510278,2024,11328,1,5
300510296,2022,11329,1,4
300510296,2022,9253,1,4
300510296,2022,792,1,4
300510296,2022,3081,1,4
300510296,2022,6252,1,4
300510296,2022,7012,1,4
300510296,2023,2,4,8
300510296,2023,8270,1,4
300510296,2023,4040,1,4
300510296,2023,3772,1,4
300510296,2023,3113,1,4
300510296,2023,2443,1,4
300510296,2023,11330,1,5
300510296,2023,7576,1,5
300510296,2023,11331,1,4
300510296,2023,355,1,4
300510296,2024,3302,1,4
300510296,2024,6236,1,0
300510296,2024,10152,1,5
300510296,2024,11332,1,5
300510296,2024,11333,1,1
300510296,2024,11334,1,1
300510296,2024,3929,1,5
300510296,2024,1616,1,5
300510296,2024,8618,1,4
300510296,2024,4599,1,4
300510296,2024,2,2,8
300510296,2024,5894,1,4
300510296,2024,11335,1,4
300510296,2024,5023,1,4
300510296,2024,3111,1,4
300510296,2024,7319,1,0
300510296,2024,6456,1,4
300510296,2024,11336,1,4
300510312,2022,2,1,8
300510312,2022,867,1,4
300510312,2022,1295,1,4
300510312,2022,888,1,2
300510312,2022,1575,1,4
300510312,2022,2421,1,4
300510312,2022,2988,1,4
300510312,2022,4078,1,2
300510312,2022,10721,1,5
300510312,2022,43,1,1
300510312,2022,7773,1,3
300510312,2022,10292,1,5
300510312,2022,4809,1,4
300510312,2022,713,1,4
300510312,2023,3157,1,4
300510312,2023,1357,1,0
300510312,2023,4344,1,4
300510312,2023,3111,1,4
300510312,2023,631,1,4
300510312,2023,4883,1,4
300510312,2023,11306,1,0
300510312,2023,2126,1,4
300510312,2023,1231,1,4
300510312,2023,4098,1,4
300510312,2023,5107,1,2
300510312,2023,2729,1,0
300510312,2023,10721,1,5
300510312,2023,8750,1,1
300510312,2023,11263,1,3
300510312,2023,7798,1,5
300510312,2023,5097,1,2
300510312,2024,2,2,8
300510312,2024,6417,1,4
300510312,2024,880,1,4
300510312,2024,5494,1,5
300510312,2024,2649,1,2
300510312,2024,561,1,4
300510312,2024,11337,1,4
300510312,2024,733,1,4
300510393,2022,3385,1,4
300510393,2022,1132,1,0
300510393,2022,10652,1,5
300510393,2022,2634,1,5
300510393,2022,10828,1,5
300510393,2022,5702,1,5
300510393,2022,4878,1,4
300510393,2022,4635,1,4
300510393,2022,5034,1,4
300510393,2023,1727,1,4
300510393,2023,2,2,8
300510393,2023,8934,1,4
300510393,2023,3234,1,5
300510393,2023,11338,1,3
300510393,2023,778,1,5
300510393,2023,11339,1,5
300510393,2023,2824,1,4
300510393,2023,8647,1,4
300510393,2024,1464,1,4
300510393,2024,2,3,8
300510393,2024,1874,1,4
300510393,2024,10501,1,5
300510393,2024,11340,1,5
300510393,2024,11341,1,5
300510393,2024,2837,1,4
300510393,2024,7766,1,4
300510427,2022,4658,1,2
300510427,2022,11342,1,0
300510427,2022,5207,1,5
300510427,2022,2995,1,5
300510427,2022,10289,1,5
300510427,2022,6342,1,5
300510427,2022,11343,1,5
300510427,2022,7716,1,5
300510427,2022,11344,1,0
300510427,2022,7428,1,2
300510427,2023,2,1,8
300510427,2023,8733,1,5
300510427,2023,10417,1,5
300510427,2023,11345,1,5
300510427,2023,1869,1,5
300510427,2023,4948,1,3
300510427,2023,1591,1,5
300510427,2023,2326,1,5
300510427,2023,5224,1,5
300510427,2023,10828,1,5
300510427,2024,3626,1,3
300510427,2024,10420,1,3
300510427,2024,11043,1,4
300510427,2024,2,2,8
300510427,2024,2704,1,0
300510427,2024,4994,1,4
300510427,2024,2992,1,4
300510427,2024,4595,1,5
300510427,2024,5564,1,5
300510427,2024,2628,1,5
300510427,2024,5871,1,3
300510445,2023,2,3,8
300510445,2023,3732,1,5
300510445,2023,1243,1,4
300510445,2024,3909,1,4
