yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110310011,2022,2,1,8
110310011,2022,1509,1,4
110310011,2022,1520,1,4
110310011,2022,1733,1,4
110310011,2022,4465,1,4
110310011,2022,5483,1,4
110310011,2022,5201,1,2
110310011,2022,6018,1,4
110310011,2022,515,1,2
110310011,2022,1944,1,4
110310011,2022,1133,1,4
110310011,2022,5106,1,0
110310011,2022,4995,1,4
110310011,2022,6618,1,5
110310011,2022,11153,1,5
110310011,2022,4302,1,5
110310011,2022,556,1,5
110310011,2022,4263,1,4
110310011,2022,2925,1,4
110310011,2022,5330,1,4
110310011,2022,3936,1,4
110310011,2023,2,4,8
110310011,2023,4759,1,4
110310011,2023,3379,1,4
110310011,2023,2370,1,4
110310011,2023,9455,1,4
110310011,2023,4269,1,4
110310011,2023,4499,1,4
110310011,2023,1702,1,4
110310011,2023,3925,1,4
110310011,2023,1571,1,4
110310011,2023,6264,1,4
110310011,2023,5340,1,4
110310011,2023,2377,1,4
110310011,2023,5344,1,4
110310011,2023,3639,1,5
110310011,2023,4263,1,4
110310011,2023,2652,1,4
110310011,2023,1696,1,4
110310011,2024,2544,1,4
110310011,2024,11898,1,4
110310011,2024,1574,1,4
110310011,2024,407,1,4
110310011,2024,6390,1,5
110310011,2024,162,1,4
110310011,2024,6150,1,5
110310011,2024,2494,1,5
110310011,2024,10755,1,1
110310011,2024,4672,1,2
110310011,2024,1705,1,4
110310011,2024,2740,1,4
110310011,2024,5727,1,4
110310011,2024,2,1,8
110310011,2024,1573,2,4
110310011,2024,5829,1,5
110310011,2024,3357,1,4
110310011,2024,5462,1,4
110310011,2024,15021,1,4
110310011,2024,1561,1,4
110310029,2022,13295,1,4
110310029,2022,1504,1,4
110310029,2022,2,4,8
110310029,2022,1807,1,4
110310029,2022,12057,1,4
110310029,2022,3309,1,4
110310029,2022,4499,1,4
110310029,2022,1702,1,4
110310029,2022,3925,1,4
110310029,2022,4532,1,4
110310029,2022,1716,1,4
110310029,2022,6397,1,4
110310029,2022,13447,1,5
110310029,2022,7777,1,5
110310029,2022,3372,1,4
110310029,2022,6202,1,4
110310029,2022,3932,1,4
110310029,2022,4310,1,0
110310029,2023,2,4,8
110310029,2023,10611,1,4
110310029,2023,2284,1,4
110310029,2023,2414,1,4
110310029,2023,4315,1,4
110310029,2023,8092,1,4
110310029,2023,2821,1,4
110310029,2023,1686,1,4
110310029,2023,1574,1,4
110310029,2023,3913,1,4
110310029,2023,1718,1,4
110310029,2023,5890,1,5
110310029,2023,3431,1,1
110310029,2023,5032,1,5
110310029,2023,3866,1,4
110310029,2023,2657,1,2
110310029,2023,10335,1,4
110310029,2023,8446,1,4
110310029,2024,3875,1,4
110310029,2024,3603,1,4
110310029,2024,4317,1,4
110310029,2024,2821,1,4
110310029,2024,5234,1,5
110310029,2024,5270,1,5
110310029,2024,2573,1,5
110310029,2024,10780,1,5
110310029,2024,2312,1,4
110310029,2024,3762,1,4
110310029,2024,4487,1,4
110310029,2024,1287,1,4
110310029,2024,4725,1,4
110310029,2024,2,2,8
110310029,2024,6386,1,4
110310029,2024,5877,1,4
110310029,2024,1940,1,4
110310029,2024,5294,1,4
110310029,2024,6204,1,4
110310029,2024,3066,1,0
110310038,2022,1464,1,4
110310038,2022,2,3,8
110310038,2022,5643,1,4
110310038,2022,3436,1,4
110310038,2022,5897,1,4
110310038,2022,4720,1,4
110310038,2022,6378,1,4
110310038,2022,9910,1,4
110310038,2022,5447,1,4
110310038,2022,5362,1,4
110310038,2022,4532,2,4
110310038,2022,4533,1,4
110310038,2022,1716,1,4
110310038,2022,3912,1,4
110310038,2022,1036,1,2
110310038,2022,6256,1,5
110310038,2022,4006,1,5
110310038,2022,9550,1,5
110310038,2022,3666,1,5
110310038,2022,10753,1,5
110310038,2022,6268,1,5
110310038,2022,2736,1,4
110310038,2022,2654,1,4
110310038,2023,3268,1,4
110310038,2023,2,4,8
110310038,2023,4908,1,2
110310038,2023,4763,1,4
110310038,2023,1863,1,4
110310038,2023,3550,1,4
110310038,2023,1810,1,4
110310038,2023,2526,1,4
110310038,2023,389,1,4
110310038,2023,4797,1,4
110310038,2023,2477,1,4
110310038,2023,2148,1,4
110310038,2023,2060,1,4
110310038,2023,4361,1,4
110310038,2023,4362,1,4
110310038,2023,3444,1,4
110310038,2023,1033,1,4
110310038,2023,3366,1,5
110310038,2023,5063,1,5
110310038,2023,10449,1,5
110310038,2023,3294,1,5
110310038,2023,4580,1,4
110310038,2023,5479,1,4
110310038,2024,3593,1,4
110310038,2024,3201,1,4
110310038,2024,1529,1,4
110310038,2024,5007,1,4
110310038,2024,5106,1,0
110310038,2024,6642,1,4
110310038,2024,3876,1,4
110310038,2024,5381,1,4
110310038,2024,291,1,4
110310038,2024,2692,1,4
110310038,2024,5038,1,4
110310038,2024,4901,1,4
110310038,2024,1596,1,4
110310038,2024,2837,1,4
110310038,2024,3295,1,4
110310038,2024,3689,1,4
110310038,2024,1206,1,4
110310038,2024,1774,1,4
110310038,2024,2,2,8
110310038,2024,5300,1,4
110310038,2024,1070,1,4
110310038,2024,5334,1,4
110310038,2024,2277,1,4
110310038,2024,5483,1,4
110310038,2024,5149,1,4
110310047,2022,2,7,8
110310047,2022,4581,1,4
110310047,2022,4449,1,4
110310047,2022,866,1,4
110310047,2022,1558,1,0
110310047,2022,5278,1,4
110310047,2022,743,2,4
110310047,2022,1623,1,4
