yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
202210028,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Felsefe,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,3.0,4.0,6.0,"376,39653","317,43647","315,00063","419,29006","393,38585","370,24315",28.372,55.982,79.022,105.477,303.050,260.279,3.0,3.0,4.0,True,True,True,3
202210046,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Tarih,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,5.0,8.0,6.0,"461,60859","423,02969","443,80980","472,37601","482,23984","465,43048",963.0,456.0,1.621,1.578,7.691,4.632,5.0,7.0,4.0,True,True,True,3
202210064,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Türk Dili ve Edebiyatı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,5.0,8.0,6.0,"451,40067","382,30613","399,58175","470,88529","452,15278","436,78260",1.035,1.85,6.503,2.443,41.076,32.433,5.0,6.0,5.0,True,True,True,3
202210073,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Felsefe,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,17.0,17.0,25.0,"206,11727","202,02652","184,84455","333,35903","279,20722","312,52475",235.609,579.363,273.495,1.480.358,1.542.539,1.647.335,13.0,17.0,16.0,True,True,True,3
202210082,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Tarih,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,25.0,34.0,25.0,"247,65548","217,81650","252,13703","447,34881","363,25984","431,99579",2.947,75.555,8.108,845.187,1.172.603,837.294,25.0,28.0,25.0,True,True,True,3
202210091,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Türk Dili ve Edebiyatı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,30.0,34.0,25.0,"264,36063","273,38950","273,41135","359,85270","348,13275","361,04129",84.444,115.69,106.239,663.400,569.076,619.075,30.0,34.0,25.0,True,True,True,3
202210152,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,5.0,10.0,11.0,"371,60448","361,18987","342,77849","386,99921","384,01609","375,59137",82.468,73.495,69.229,116.744,127.591,147.253,5.0,9.0,10.0,True,True,True,3
202210161,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,25.0,42.0,50.0,"267,36587","257,60909","254,80614","357,21633","339,14316","323,53523",154.78,200.892,219.147,681.715,797.525,771.784,25.0,42.0,50.0,True,True,True,3
202210188,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Sosyal Hizmet,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,5.0,10.0,9.0,"337,56488","308,19524","309,22381","360,24164","355,06752","323,75363",146.223,145.298,218.172,219.231,357.611,292.368,5.0,8.0,8.0,True,True,True,3
202210197,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Sosyal Hizmet,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,25.0,42.0,42.0,"249,98350","174,66632","191,04689","317,18269","297,94033","304,09203",309.593,427.213,323.238,877.848,1.824.871,1.601.396,25.0,30.0,42.0,True,True,True,3
202210213,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Ekonomi,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,5.0,8.0,11.0,"372,11750","359,34573","332,26700","396,96279","378,95947","359,96728",63.02,84.224,100.968,115.505,132.695,183.110,5.0,7.0,10.0,True,True,True,3
202210222,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Ekonomi,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,25.0,34.0,50.0,"273,17828","254,05086","248,26776","319,97600","329,47053","317,77881",295.593,242.302,246.051,624.395,838.232,853.762,25.0,34.0,50.0,True,True,True,3
