university,yop_kodu,year,il,tercih_sayisi
istanbul_29_mayis_universitesi,202210028,2022,ANKARA,4
istanbul_29_mayis_universitesi,202210028,2022,BALIKESİR,1
istanbul_29_mayis_universitesi,202210028,2022,BOLU,1
istanbul_29_mayis_universitesi,202210028,2022,BURSA,1
istanbul_29_mayis_universitesi,202210028,2022,İSTANBUL,23
istanbul_29_mayis_universitesi,202210028,2022,KONYA,1
istanbul_29_mayis_universitesi,202210028,2022,ORDU,1
istanbul_29_mayis_universitesi,202210028,2022,SAKARYA,1
istanbul_29_mayis_universitesi,202210028,2022,YALOVA,1
istanbul_29_mayis_universitesi,202210028,2023,ANKARA,3
istanbul_29_mayis_universitesi,202210028,2023,İSTANBUL,24
istanbul_29_mayis_universitesi,202210028,2024,İSTANBUL,21
istanbul_29_mayis_universitesi,202210046,2022,ANKARA,13
istanbul_29_mayis_universitesi,202210046,2022,AYDIN,1
istanbul_29_mayis_universitesi,202210046,2022,ESKİŞEHİR,2
istanbul_29_mayis_universitesi,202210046,2022,İSTANBUL,27
istanbul_29_mayis_universitesi,202210046,2023,ANKARA,8
istanbul_29_mayis_universitesi,202210046,2023,İSTANBUL,26
istanbul_29_mayis_universitesi,202210046,2023,TRABZON,2
istanbul_29_mayis_universitesi,202210046,2024,ANKARA,4
istanbul_29_mayis_universitesi,202210046,2024,İSTANBUL,60
istanbul_29_mayis_universitesi,202210046,2024,KOCAELİ,1
istanbul_29_mayis_universitesi,202210064,2022,ANKARA,3
istanbul_29_mayis_universitesi,202210064,2022,İSTANBUL,27
istanbul_29_mayis_universitesi,202210064,2022,KONYA,1
istanbul_29_mayis_universitesi,202210064,2023,ANKARA,3
istanbul_29_mayis_universitesi,202210064,2023,ANTALYA,3
istanbul_29_mayis_universitesi,202210064,2023,BOLU,1
istanbul_29_mayis_universitesi,202210064,2023,ESKİŞEHİR,4
istanbul_29_mayis_universitesi,202210064,2023,ISPARTA,1
istanbul_29_mayis_universitesi,202210064,2023,İSTANBUL,37
istanbul_29_mayis_universitesi,202210064,2023,İZMİR,6
istanbul_29_mayis_universitesi,202210064,2024,İSTANBUL,92
istanbul_29_mayis_universitesi,202210064,2024,KOCAELİ,2
istanbul_29_mayis_universitesi,202210073,2022,ANKARA,1
istanbul_29_mayis_universitesi,202210073,2022,BURSA,1
istanbul_29_mayis_universitesi,202210073,2022,ISPARTA,1
istanbul_29_mayis_universitesi,202210073,2022,İSTANBUL,115
istanbul_29_mayis_universitesi,202210073,2022,İZMİR,1
istanbul_29_mayis_universitesi,202210073,2022,KOCAELİ,3
istanbul_29_mayis_universitesi,202210073,2022,ORDU,1
istanbul_29_mayis_universitesi,202210073,2022,SAKARYA,1
istanbul_29_mayis_universitesi,202210073,2022,YALOVA,1
istanbul_29_mayis_universitesi,202210073,2023,ANKARA,4
istanbul_29_mayis_universitesi,202210073,2023,BİLECİK,1
istanbul_29_mayis_universitesi,202210073,2023,BOLU,1
istanbul_29_mayis_universitesi,202210073,2023,BURSA,1
istanbul_29_mayis_universitesi,202210073,2023,ÇANAKKALE,2
istanbul_29_mayis_universitesi,202210073,2023,DENİZLİ,10
istanbul_29_mayis_universitesi,202210073,2023,ERZURUM,3
istanbul_29_mayis_universitesi,202210073,2023,ESKİŞEHİR,15
istanbul_29_mayis_universitesi,202210073,2023,İSTANBUL,109
istanbul_29_mayis_universitesi,202210073,2023,İZMİR,1
istanbul_29_mayis_universitesi,202210073,2023,KIRKLARELİ,1
istanbul_29_mayis_universitesi,202210073,2023,KOCAELİ,1
istanbul_29_mayis_universitesi,202210073,2023,KÜTAHYA,3
istanbul_29_mayis_universitesi,202210073,2023,SAKARYA,2
istanbul_29_mayis_universitesi,202210073,2023,TEKİRDAĞ,2
istanbul_29_mayis_universitesi,202210073,2023,YALOVA,1
istanbul_29_mayis_universitesi,202210073,2023,ZONGULDAK,1
istanbul_29_mayis_universitesi,202210073,2024,İSTANBUL,16
istanbul_29_mayis_universitesi,202210073,2024,SİVAS,1
