university,yop_kodu,year,program,tercih_sayisi
istanbul_29_mayis_universitesi,202210028,2022,Felsefe,7
istanbul_29_mayis_universitesi,202210028,2022,Fizik,3
istanbul_29_mayis_universitesi,202210028,2022,Hukuk,1
istanbul_29_mayis_universitesi,202210028,2022,İlahiyat,9
istanbul_29_mayis_universitesi,202210028,2022,İlahiyat (M.T.O.K.),5
istanbul_29_mayis_universitesi,202210028,2022,Psikoloji,8
istanbul_29_mayis_universitesi,202210028,2022,Sınıf Öğretmenliği,1
istanbul_29_mayis_universitesi,202210028,2023,Felsefe,18
istanbul_29_mayis_universitesi,202210028,2023,İletişim,1
istanbul_29_mayis_universitesi,202210028,2023,İletişim ve Tasarımı,1
istanbul_29_mayis_universitesi,202210028,2023,Reklamcılık,2
istanbul_29_mayis_universitesi,202210028,2023,Sanat Tarihi,2
istanbul_29_mayis_universitesi,202210028,2023,Sosyoloji,2
istanbul_29_mayis_universitesi,202210028,2023,Türk Dili ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210028,2024,Bilim Tarihi,2
istanbul_29_mayis_universitesi,202210028,2024,Ekonomi,2
istanbul_29_mayis_universitesi,202210028,2024,Ekonomi Ve Finans,2
istanbul_29_mayis_universitesi,202210028,2024,Felsefe,15
istanbul_29_mayis_universitesi,202210028,2024,Film Tasarımı Ve Yönetimi,1
istanbul_29_mayis_universitesi,202210028,2024,Halkla İlişkiler Ve Reklamcılık,1
istanbul_29_mayis_universitesi,202210028,2024,İktisat,3
istanbul_29_mayis_universitesi,202210028,2024,İlahiyat,1
istanbul_29_mayis_universitesi,202210028,2024,İşletme,3
istanbul_29_mayis_universitesi,202210028,2024,Kültür Ve İletişim Bilimleri,1
istanbul_29_mayis_universitesi,202210028,2024,Okul Öncesi Öğretmenliği,1
istanbul_29_mayis_universitesi,202210028,2024,Psikoloji,2
istanbul_29_mayis_universitesi,202210028,2024,"Radyo, Televizyon Ve Sinema",1
istanbul_29_mayis_universitesi,202210028,2024,Rehberlik Ve Psikolojik Danışmanlık,2
istanbul_29_mayis_universitesi,202210028,2024,Siyaset Bilimi Ve Kamu Yönetimi,3
istanbul_29_mayis_universitesi,202210028,2024,Siyaset Bilimi Ve Uluslararası İlişkiler,2
istanbul_29_mayis_universitesi,202210028,2024,Sosyal Hizmet,2
istanbul_29_mayis_universitesi,202210028,2024,Sosyoloji,4
istanbul_29_mayis_universitesi,202210028,2024,Tarih,5
istanbul_29_mayis_universitesi,202210028,2024,Türk Dili Ve Edebiyatı,3
istanbul_29_mayis_universitesi,202210028,2024,Türkçe Öğretmenliği,2
istanbul_29_mayis_universitesi,202210028,2024,Uluslararası İlişkiler,2
istanbul_29_mayis_universitesi,202210028,2024,Uluslararası Ticaret Ve İşletmecilik,1
istanbul_29_mayis_universitesi,202210028,2024,Yeni Medya Ve İletişim,2
istanbul_29_mayis_universitesi,202210046,2022,Arapça Mütercim ve Tercümanlık (Fakülte),2
istanbul_29_mayis_universitesi,202210046,2022,Arkeoloji ve Sanat Tarihi,1
istanbul_29_mayis_universitesi,202210046,2022,Medya ve Görsel Sanatlar,1
istanbul_29_mayis_universitesi,202210046,2022,Siyaset Bilimi ve Uluslararası İlişkiler,1
istanbul_29_mayis_universitesi,202210046,2022,Tarih,35
istanbul_29_mayis_universitesi,202210046,2022,Türk Dili ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2022,Türk Dili ve Edebiyatı Öğretmenliği,1
istanbul_29_mayis_universitesi,202210046,2022,Yeni Medya ve İletişim,1
istanbul_29_mayis_universitesi,202210046,2023,Felsefe,1
istanbul_29_mayis_universitesi,202210046,2023,Halkla İlişkiler ve Reklamcılık (Fakülte),2
istanbul_29_mayis_universitesi,202210046,2023,İletişim,1
istanbul_29_mayis_universitesi,202210046,2023,İngilizce Mütercim ve Tercümanlık (Fakülte),1
istanbul_29_mayis_universitesi,202210046,2023,İspanyol Dili ve Edebiyatı,2
istanbul_29_mayis_universitesi,202210046,2023,"Radyo, Televizyon ve Sinema",1
istanbul_29_mayis_universitesi,202210046,2023,Tarih,18
istanbul_29_mayis_universitesi,202210046,2023,Türk Dili ve Edebiyatı,5
istanbul_29_mayis_universitesi,202210046,2023,Türkçe Öğretmenliği,2
istanbul_29_mayis_universitesi,202210046,2023,Yeni Medya ve İletişim,2
istanbul_29_mayis_universitesi,202210046,2023,Yönetim Bilişim Sistemleri (Fakülte),1
istanbul_29_mayis_universitesi,202210046,2024,Arapça Mütercim Ve Tercümanlık,1
istanbul_29_mayis_universitesi,202210046,2024,Ekonometri,1
istanbul_29_mayis_universitesi,202210046,2024,Ekonomi,1
istanbul_29_mayis_universitesi,202210046,2024,Fransız Dili Ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2024,Gazetecilik,1
istanbul_29_mayis_universitesi,202210046,2024,Halkla İlişkiler Ve Tanıtım,1
istanbul_29_mayis_universitesi,202210046,2024,İktisat,3
istanbul_29_mayis_universitesi,202210046,2024,İlahiyat,4
istanbul_29_mayis_universitesi,202210046,2024,İletişim,1
istanbul_29_mayis_universitesi,202210046,2024,İngilizce Öğretmenliği,1
istanbul_29_mayis_universitesi,202210046,2024,İslami İlimler,2
istanbul_29_mayis_universitesi,202210046,2024,İspanyol Dili Ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2024,İtalyan Dili Ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2024,İç Mimarlık Ve Çevre Tasarımı,1
istanbul_29_mayis_universitesi,202210046,2024,İşletme,2
istanbul_29_mayis_universitesi,202210046,2024,Japon Dili Ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2024,Kore Dili Ve Edebiyatı,1
istanbul_29_mayis_universitesi,202210046,2024,Kültür Ve İletişim Bilimleri,1
istanbul_29_mayis_universitesi,202210046,2024,Lojistik Yönetimi,2
istanbul_29_mayis_universitesi,202210046,2024,Maliye,1
istanbul_29_mayis_universitesi,202210046,2024,Protohistorya Ve Ön Asya Arkeolojisi,1
istanbul_29_mayis_universitesi,202210046,2024,Psikoloji,4
istanbul_29_mayis_universitesi,202210046,2024,"Radyo, Televizyon Ve Sinema",2
