yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2022,bir_kontenjana_talip_olan_aday_sayisi_2023,bir_kontenjana_talip_olan_aday_sayisi_2024,ilk_uc_sirada_tercih_eden_sayisi_2022,ilk_uc_sirada_tercih_eden_sayisi_2023,ilk_uc_sirada_tercih_eden_sayisi_2024,ilk_uc_sirada_tercih_eden_orani_2022,ilk_uc_sirada_tercih_eden_orani_2023,ilk_uc_sirada_tercih_eden_orani_2024,ilk_uc_tercih_olarak_yerlesen_sayisi_2022,ilk_uc_tercih_olarak_yerlesen_sayisi_2023,ilk_uc_tercih_olarak_yerlesen_sayisi_2024,ilk_uc_tercih_olarak_yerlesen_orani_2022,ilk_uc_tercih_olarak_yerlesen_orani_2023,ilk_uc_tercih_olarak_yerlesen_orani_2024
202210028,"32,0","9,3","8,2",23.0,14.0,14.0,"24,0","37,8","28,6",3.0,3.0,4.0,"100,0","100,0","100,0"
202210046,"25,8","9,3","10,0",40.0,19.0,12.0,"31,0","25,7","15,0",4.0,5.0,5.0,"80,0","71,4","71,4"
202210064,"14,2","4,6","9,1",22.0,11.0,10.0,"31,0","29,7","13,7",4.0,5.0,3.0,"80,0","83,3","50,0"
202210073,"1,9","3,8","0,6",11.0,25.0,10.0,"34,4","38,5","55,6",9.0,15.0,6.0,"69,2","88,2","85,7"
202210082,"4,6","4,1","1,2",30.0,43.0,16.0,"26,1","30,7","35,6",14.0,25.0,11.0,"56,0","89,3","68,8"
202210091,"4,4","5,1","1,8",44.0,66.0,26.0,"33,1","37,7","38,2",24.0,32.0,11.0,"80,0","94,1","84,6"
202210152,"27,6","9,4","12,4",30.0,24.0,32.0,"21,7","25,5","25,8",2.0,4.0,4.0,"40,0","44,4","44,4"
202210161,"6,8","4,0","2,9",66.0,75.0,77.0,"39,1","45,2","52,4",24.0,40.0,46.0,"96,0","95,2","90,2"
202210188,"25,8","5,2","12,9",33.0,12.0,29.0,"25,6","23,1","25,0",3.0,6.0,3.0,"60,0","75,0","37,5"
202210197,"5,6","2,6","2,4",59.0,44.0,52.0,"41,8","40,4","51,0",21.0,22.0,32.0,"84,0","73,3","91,4"
202210213,"12,8","6,1","15,4",12.0,11.0,35.0,"18,8","22,4","22,7",3.0,3.0,4.0,"60,0","42,9","44,4"
202210222,"6,0","4,0","2,5",49.0,54.0,66.0,"32,9","39,4","50,8",17.0,30.0,43.0,"68,0","88,2","95,6"
202210249,"46,9","19,5","23,1",96.0,28.0,63.0,"22,7","13,0","22,7",3.0,5.0,6.0,"33,3","45,5","50,0"
202210258,"9,5","8,5","3,7",183.0,195.0,120.0,"37,6","45,0","51,3",43.0,41.0,62.0,"84,3","80,4","96,9"
202210320,"9,9","13,3","11,2",13.0,41.0,13.0,"18,8","28,1","12,9",6.0,6.0,1.0,"85,7","60,0","12,5"
202210322,"2,4","5,3","1,5",32.0,182.0,32.0,"35,2","66,9","51,6",19.0,48.0,17.0,"59,4","94,1","89,5"
202210329,"31,1","16,8","31,5",137.0,162.0,159.0,"55,0","56,6","50,5",8.0,16.0,9.0,"100,0","100,0","100,0"
202210330,"3,1","2,1","3,7",84.0,106.0,107.0,"64,6","66,3","56,0",41.0,73.0,47.0,"97,6","96,1","92,2"
202210333,"23,7","8,2","16,5",45.0,31.0,38.0,"27,1","34,4","23,0",6.0,10.0,5.0,"85,7","100,0","55,6"
202210334,"6,7","3,1","2,1",107.0,77.0,59.0,"42,3","49,4","56,2",24.0,41.0,46.0,"63,2","80,4","90,2"
202210335,"11,3","18,8","15,9",13.0,49.0,33.0,"16,5","23,7","20,8",3.0,5.0,2.0,"42,9","50,0","22,2"
202210336,"4,3","4,2","1,9",54.0,114.0,50.0,"32,9","53,3","52,1",20.0,42.0,17.0,"57,1","82,4","77,3"
202210338,"18,3","10,1","15,5",65.0,72.0,72.0,"16,2","23,0","15,5",11.0,5.0,4.0,"50,0","17,9","15,4"
202210339,"5,1","4,6","3,1",270.0,337.0,168.0,"42,7","47,9","33,8",90.0,112.0,93.0,"73,2","73,2","72,1"
202210340,"32,8","12,6","14,4",61.0,41.0,81.0,"46,6","40,6","51,3",4.0,5.0,10.0,"100,0","71,4","100,0"
202210341,"4,9","3,1","1,8",60.0,69.0,67.0,"58,8","64,5","67,7",19.0,32.0,50.0,"90,5","94,1","90,9"
