yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
202210028,34.0,27.0,43.0,38.0,45.0,53.0,11.0,9.0,11.0
202210046,43.0,36.0,43.0,77.0,108.0,53.0,9.0,6.0,11.0
202210064,31.0,55.0,46.0,89.0,89.0,50.0,6.0,9.0,12.0
202210073,125.0,158.0,166.0,187.0,250.0,218.0,10.0,9.0,10.0
202210082,290.0,348.0,264.0,310.0,324.0,336.0,12.0,12.0,11.0
202210091,354.0,271.0,224.0,366.0,545.0,376.0,12.0,8.0,9.0
202210152,64.0,117.0,137.0,56.0,75.0,79.0,13.0,15.0,15.0
202210161,258.0,362.0,422.0,342.0,646.0,778.0,10.0,9.0,8.0
202210188,44.0,119.0,89.0,76.0,73.0,79.0,9.0,15.0,13.0
202210197,242.0,281.0,362.0,358.0,439.0,646.0,10.0,9.0,9.0
202210213,47.0,68.0,124.0,73.0,76.0,92.0,9.0,11.0,14.0
202210222,270.0,323.0,521.0,330.0,493.0,679.0,11.0,10.0,10.0
202210249,114.0,139.0,151.0,102.0,77.0,89.0,13.0,15.0,15.0
202210258,629.0,580.0,701.0,595.0,644.0,835.0,12.0,11.0,11.0
202210320,82.0,116.0,114.0,86.0,100.0,54.0,12.0,13.0,16.0
202210322,430.0,573.0,411.0,338.0,651.0,597.0,13.0,11.0,10.0
202210329,52.0,78.0,47.0,140.0,258.0,145.0,7.0,6.0,6.0
202210330,323.0,748.0,396.0,685.0,1076.0,828.0,8.0,10.0,8.0
202210333,79.0,99.0,109.0,89.0,117.0,59.0,11.0,11.0,16.0
202210334,552.0,720.0,390.0,360.0,504.0,618.0,15.0,14.0,9.0
202210335,136.0,99.0,151.0,32.0,117.0,41.0,19.0,11.0,19.0
202210336,492.0,598.0,629.0,348.0,626.0,595.0,14.0,12.0,12.0
202210338,321.0,404.0,391.0,207.0,244.0,233.0,15.0,15.0,15.0
202210339,1904.0,2071.0,2164.0,1048.0,1601.0,1916.0,15.0,14.0,13.0
202210340,24.0,62.0,58.0,72.0,82.0,110.0,6.0,10.0,8.0
202210341,126.0,180.0,248.0,378.0,636.0,760.0,6.0,5.0,6.0
202210342,39.0,45.0,95.0,57.0,99.0,121.0,10.0,8.0,11.0
202210343,216.0,293.0,505.0,288.0,523.0,815.0,10.0,9.0,9.0
202210344,61.0,56.0,65.0,83.0,160.0,127.0,10.0,6.0,8.0
202210345,291.0,425.0,385.0,525.0,799.0,839.0,9.0,8.0,8.0
202210346,15.0,20.0,60.0,57.0,52.0,36.0,5.0,7.0,15.0
202210347,222.0,135.0,105.0,186.0,273.0,135.0,13.0,8.0,11.0
202210348,62.0,126.0,164.0,106.0,42.0,52.0,9.0,18.0,18.0
202210349,342.0,320.0,639.0,570.0,592.0,681.0,9.0,8.0,12.0
202210350,85.0,79.0,84.0,83.0,113.0,84.0,12.0,10.0,12.0
202210351,420.0,442.0,455.0,492.0,566.0,553.0,11.0,11.0,11.0
202210358,73.0,146.0,92.0,47.0,70.0,76.0,15.0,16.0,13.0
202210365,380.0,640.0,596.0,220.0,584.0,412.0,15.0,13.0,14.0
202210372,82.0,115.0,106.0,62.0,101.0,62.0,14.0,13.0,15.0
202210379,577.0,775.0,704.0,239.0,449.0,304.0,17.0,15.0,17.0
202210386,42.0,98.0,92.0,102.0,118.0,100.0,7.0,11.0,12.0
202210393,383.0,475.0,594.0,433.0,749.0,630.0,11.0,9.0,12.0
202210400,114.0,114.0,92.0,30.0,102.0,76.0,19.0,13.0,13.0
202210407,544.0,692.0,185.0,272.0,532.0,199.0,16.0,14.0,12.0
