yop_kodu,year,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
106510014,2025,8.5,5.9,1.44
106510023,2025,9.0,7.4,1.22
106510032,2025,10.4,7.8,1.33
106510041,2025,9.5,6.5,1.46
106510059,2025,5.9,3.7,1.59
106510068,2025,8.8,7.4,1.19
106510077,2025,8.0,8.2,0.98
106510086,2025,7.2,4.9,1.47
106510087,2025,9.5,6.6,1.44
106510088,2025,5.9,3.4,1.74
106510089,2025,6.3,5.1,1.24
106510090,2025,6.9,8.0,0.86
106510105,2025,9.2,5.2,1.77
200110026,2025,8.3,5.2,1.6
200110044,2025,7.2,1.7,4.24
200110053,2025,8.1,5.8,1.4
200110071,2025,4.0,1.4,2.86
200110114,2025,7.6,2.0,3.8
200110123,2025,8.2,7.4,1.11
200110141,2025,7.7,5.6,1.38
200110159,2025,7.1,3.6,1.97
200110168,2025,7.0,2.5,2.8
200110177,2025,7.7,3.3,2.33
200110265,2025,11.5,3.6,3.19
200110274,2025,7.2,8.4,0.86
200110283,2025,8.6,6.1,1.41
200190026,2025,9.4,8.3,1.13
200190027,2025,8.0,3.3,2.42
200190040,2025,7.7,2.2,3.5
200190050,2025,8.6,2.1,4.1
200190051,2025,7.5,4.1,1.83
200190052,2025,7.8,1.8,4.33
200190053,2025,7.4,7.0,1.06
200190054,2025,5.5,6.2,0.89
200190056,2025,8.2,7.2,1.14
200190057,2025,7.1,2.0,3.55
200190095,2025,9.1,6.1,1.49
200190102,2025,8.8,2.5,3.52
200190109,2025,10.1,6.6,1.53
200190116,2025,8.0,2.5,3.2
200190123,2025,7.5,2.3,3.26
200190130,2025,7.4,3.6,2.06
200190137,2025,7.6,4.7,1.62
200190144,2025,5.7,3.2,1.78
301410015,2025,9.4,10.8,0.87
301410027,2025,13.6,13.0,1.05
301410035,2025,14.3,19.3,0.74
301410036,2025,9.3,8.8,1.06
301410038,2025,10.5,6.4,1.64
301410045,2025,10.3,4.6,2.24
301410052,2025,7.1,2.5,2.84
301410059,2025,6.7,2.3,2.91
301410066,2025,15.4,10.3,1.5
110410019,2025,9.3,6.6,1.41
110410037,2025,9.7,6.9,1.41
110410046,2025,11.6,8.1,1.43
110410073,2025,9.9,7.3,1.36
110410223,2025,8.8,7.0,1.26
110410225,2025,12.2,9.9,1.23
110410244,2025,8.1,5.6,1.45
110410251,2025,8.4,5.8,1.45
110410258,2025,8.5,7.8,1.09
110410272,2025,11.7,8.2,1.43
110410307,2025,8.8,8.3,1.06
110410314,2025,7.9,10.5,0.75
110410321,2025,8.6,8.7,0.99
110410335,2025,10.6,7.7,1.38
110410342,2025,10.5,8.3,1.27
100210017,2025,13.0,6.0,2.17
100210026,2025,13.6,8.9,1.53
100210035,2025,8.9,5.9,1.51
100210044,2025,9.1,4.5,2.02
100210053,2025,9.9,7.4,1.34
100210062,2025,8.8,5.0,1.76
100210071,2025,10.4,10.9,0.95
100210089,2025,8.2,4.4,1.86
100210098,2025,9.3,8.3,1.12
100210105,2025,11.8,10.1,1.17
100210114,2025,10.4,3.6,2.89
100210132,2025,9.4,4.9,1.92
100210141,2025,9.0,4.9,1.84
100210168,2025,12.2,13.0,0.94
100210177,2025,7.8,7.6,1.03
100210186,2025,9.0,3.6,2.5
100210195,2025,10.7,6.3,1.7
100210202,2025,9.9,6.3,1.57
100210283,2025,5.5,3.4,1.62
100210308,2025,10.8,6.9,1.57
100210317,2025,10.1,3.6,2.81
100210326,2025,13.6,10.2,1.33
100210353,2025,12.2,17.7,0.69
100210362,2025,11.6,18.2,0.64
100290057,2025,10.7,9.4,1.14
100290058,2025,10.5,5.8,1.81
100290059,2025,10.5,12.3,0.85
100290060,2025,9.5,4.0,2.38
100290069,2025,8.1,3.9,2.08
100290086,2025,10.1,4.7,2.15
100290088,2025,9.1,6.1,1.49
100290095,2025,14.0,13.0,1.08
100290165,2025,10.7,15.6,0.69
100290172,2025,8.6,7.9,1.09
100290179,2025,9.1,6.4,1.42
100410015,2025,10.7,8.5,1.26
100410024,2025,10.4,8.0,1.3
100410033,2025,10.3,3.4,3.03
100410042,2025,10.6,4.5,2.36
100410069,2025,10.9,7.8,1.4
100410078,2025,9.6,6.4,1.5
100410103,2025,11.5,10.2,1.13
100410112,2025,11.1,9.9,1.12
100410121,2025,9.8,7.7,1.27
100410139,2025,9.9,4.9,2.02
100410148,2025,10.2,6.0,1.7
100410157,2025,9.9,6.2,1.6
100410166,2025,11.2,10.6,1.06
100410175,2025,10.6,8.5,1.25
100410184,2025,9.9,8.3,1.19
100410193,2025,10.1,9.7,1.04
100410218,2025,14.2,11.4,1.25
100410236,2025,13.6,13.3,1.02
100410324,2025,7.6,6.0,1.27
100410493,2025,12.5,11.0,1.14
100410563,2025,14.1,10.8,1.31
100410572,2025,14.2,13.9,1.02
100410599,2025,13.5,13.5,1.0
100410615,2025,13.2,12.9,1.02
100410624,2025,14.0,11.3,1.24
100410633,2025,14.1,11.7,1.21
100410651,2025,12.0,12.5,0.96
100410669,2025,12.8,11.4,1.12
100410678,2025,12.9,8.1,1.59
100410687,2025,13.5,9.0,1.5
100410696,2025,13.8,10.0,1.38
100410712,2025,12.7,12.9,0.98
100410784,2025,7.6,7.3,1.04
100410809,2025,10.1,9.8,1.03
100410818,2025,10.2,8.8,1.16
100410827,2025,8.9,4.0,2.23
100410836,2025,10.7,11.3,0.95
100410924,2025,10.6,7.1,1.49
100410933,2025,10.9,11.4,0.96
100410978,2025,9.9,7.5,1.32
100410987,2025,9.3,7.8,1.19
100490191,2025,9.3,6.9,1.35
100490197,2025,9.4,7.7,1.22
100490202,2025,10.9,10.5,1.04
100490203,2025,11.0,8.2,1.34
100490204,2025,10.2,9.9,1.03
100490212,2025,8.5,19.0,0.45
100490213,2025,6.3,3.0,2.1
100490215,2025,10.2,8.8,1.16
100490216,2025,11.1,10.4,1.07
100490218,2025,10.5,9.1,1.15
100490219,2025,9.1,8.6,1.06
100490220,2025,10.4,6.2,1.68
100490222,2025,11.2,9.2,1.22
100490242,2025,9.8,9.3,1.05
100490249,2025,11.5,8.1,1.42
100490256,2025,10.4,5.9,1.76
100490277,2025,10.3,8.8,1.17
100490284,2025,8.9,3.1,2.87
100490291,2025,9.2,2.0,4.6
100490298,2025,11.6,9.5,1.22
100490305,2025,11.1,8.3,1.34
112610315,2025,9.9,7.5,1.32
112610333,2025,9.8,8.3,1.18
112610509,2025,10.7,12.5,0.86
112610554,2025,10.1,10.8,0.94
112610942,2025,9.6,7.9,1.22
112690178,2025,11.2,15.4,0.73
112690221,2025,11.6,16.0,0.72
100510023,2025,11.1,6.6,1.68
100510032,2025,10.4,3.3,3.15
100510041,2025,10.9,4.3,2.53
100510077,2025,14.5,6.7,2.16
100510086,2025,10.2,6.8,1.5
100510095,2025,12.8,8.0,1.6
100510129,2025,9.6,4.8,2.0
100510138,2025,9.7,5.2,1.87
100510174,2025,11.5,11.0,1.05
100510183,2025,10.1,6.2,1.63
100510208,2025,11.3,10.3,1.1
100510217,2025,9.5,4.2,2.26
100510235,2025,12.2,18.1,0.67
100510253,2025,9.6,3.2,3.0
100510262,2025,9.6,4.7,2.04
100590058,2025,11.1,9.3,1.19
100590061,2025,13.7,17.7,0.77
100590064,2025,9.8,3.6,2.72
100590075,2025,11.5,11.7,0.98
100590077,2025,10.4,6.6,1.58
100590078,2025,10.1,8.6,1.17
100590083,2025,10.0,4.8,2.08
100590084,2025,8.8,6.9,1.28
100590085,2025,10.6,2.8,3.79
100590120,2025,11.8,11.1,1.06
100590127,2025,9.9,8.7,1.14
100590141,2025,11.2,16.8,0.67
100590148,2025,10.0,7.6,1.32
100590162,2025,11.1,9.8,1.13
300650205,2025,11.2,6.7,1.67
300650206,2025,5.3,1.0,5.3
300650207,2025,8.4,9.0,0.93
300650208,2025,9.2,4.7,1.96
100710012,2025,5.9,3.3,1.79
100710021,2025,8.8,6.7,1.31
100710039,2025,8.2,11.3,0.73
100710048,2025,7.8,3.3,2.36
100710057,2025,9.1,6.5,1.4
100710066,2025,8.3,6.7,1.24
100710075,2025,7.8,4.4,1.77
100710084,2025,8.6,7.6,1.13
100710093,2025,8.8,8.0,1.1
100710109,2025,9.2,7.6,1.21
100710118,2025,8.0,5.6,1.43
100710127,2025,7.9,2.9,2.72
100710145,2025,7.0,6.3,1.11
100710154,2025,8.6,8.1,1.06
100710163,2025,7.9,7.0,1.13
100710181,2025,7.9,6.6,1.2
100710199,2025,8.2,7.9,1.04
100710206,2025,8.2,5.6,1.46
100710215,2025,7.0,4.2,1.67
100710224,2025,12.4,11.0,1.13
100710233,2025,9.0,6.5,1.38
100710242,2025,11.5,8.5,1.35
100710251,2025,9.4,8.4,1.12
100710278,2025,6.4,4.5,1.42
100710287,2025,10.3,8.0,1.29
100710296,2025,7.8,8.6,0.91
100710427,2025,8.4,7.2,1.17
100710436,2025,9.7,10.0,0.97
100710445,2025,8.1,5.7,1.42
100710463,2025,8.1,4.6,1.76
100710472,2025,11.4,5.1,2.24
100710481,2025,6.5,4.3,1.51
100710499,2025,6.0,5.0,1.2
100710506,2025,7.2,5.2,1.38
100710524,2025,8.0,6.1,1.31
100710533,2025,7.6,4.4,1.73
100710542,2025,8.8,8.4,1.05
100710551,2025,7.6,4.3,1.77
100710569,2025,8.6,5.2,1.65
100710578,2025,8.6,8.8,0.98
100710587,2025,8.9,5.4,1.65
100710596,2025,8.5,8.2,1.04
100710603,2025,8.3,6.8,1.22
100710612,2025,8.7,4.9,1.78
100710648,2025,7.4,5.4,1.37
100710657,2025,7.6,4.2,1.81
100710675,2025,7.7,6.1,1.26
100710684,2025,10.6,13.1,0.81
100710693,2025,8.5,6.9,1.23
100710745,2025,8.1,3.7,2.19
100710754,2025,6.7,5.3,1.26
100710815,2025,4.4,2.3,1.91
100710824,2025,6.3,4.6,1.37
100710833,2025,8.9,6.1,1.46
100710869,2025,6.3,2.7,2.33
100710878,2025,7.0,8.6,0.81
100711019,2025,8.1,8.0,1.01
100711037,2025,8.5,5.3,1.6
100711046,2025,7.7,6.4,1.2
100711055,2025,7.9,3.9,2.03
100711064,2025,11.2,1.0,11.2
100711082,2025,7.6,4.2,1.81
100711091,2025,6.3,3.5,1.8
100711107,2025,6.7,8.3,0.81
100711125,2025,7.1,6.0,1.18
100711134,2025,7.1,8.4,0.85
100711161,2025,9.0,10.4,0.87
100711188,2025,8.7,8.6,1.01
100711197,2025,8.0,6.6,1.21
100711204,2025,8.1,7.2,1.12
100790319,2025,6.4,2.8,2.29
100790320,2025,7.6,5.1,1.49
100790323,2025,8.0,6.3,1.27
100790327,2025,8.8,7.4,1.19
100790329,2025,8.4,7.0,1.2
100790413,2025,7.7,4.7,1.64
100790414,2025,8.8,7.3,1.21
100790417,2025,7.4,4.1,1.8
100790418,2025,8.9,7.8,1.14
100790419,2025,8.8,6.1,1.44
100790473,2025,7.1,4.1,1.73
100790475,2025,7.5,7.0,1.07
100790478,2025,8.1,8.9,0.91
100790530,2025,9.2,2.9,3.17
100790531,2025,8.4,5.9,1.42
100790539,2025,11.0,4.0,2.75
100790567,2025,7.0,4.2,1.67
100790574,2025,8.3,5.0,1.66
100790588,2025,9.4,3.0,3.13
100790609,2025,7.9,8.5,0.93
100810011,2025,10.3,6.4,1.61
100810047,2025,14.3,9.3,1.54
100810065,2025,15.6,13.0,1.2
100810092,2025,11.9,10.3,1.16
100810135,2025,10.6,8.4,1.26
100810144,2025,10.2,4.3,2.37
100810162,2025,11.5,11.0,1.05
100810171,2025,11.1,5.3,2.09
100810189,2025,13.8,12.0,1.15
100810205,2025,11.7,7.4,1.58
100810268,2025,10.8,7.9,1.37
100810286,2025,10.1,4.8,2.1
100810311,2025,14.1,12.1,1.17
100810347,2025,11.2,6.6,1.7
100810356,2025,11.0,6.6,1.67
100810365,2025,10.8,9.1,1.19
100810374,2025,10.0,9.8,1.02
100810383,2025,12.8,13.1,0.98
100810408,2025,9.2,6.8,1.35
100810417,2025,10.6,6.4,1.66
100810426,2025,9.7,4.0,2.42
100810435,2025,10.4,9.1,1.14
100810462,2025,11.4,5.5,2.07
100810471,2025,10.8,8.0,1.35
100810498,2025,10.4,7.8,1.33
100810505,2025,10.1,6.9,1.46
100810514,2025,9.8,8.1,1.21
100810523,2025,12.4,7.5,1.65
100810532,2025,11.0,8.9,1.24
100810541,2025,11.1,10.9,1.02
100890057,2025,9.3,7.8,1.19
100890059,2025,10.6,8.3,1.28
100890060,2025,11.4,10.1,1.13
100890063,2025,11.0,13.1,0.84
100890064,2025,10.3,7.2,1.43
100890073,2025,10.1,2.9,3.48
100890083,2025,11.4,10.4,1.1
100890090,2025,9.5,7.9,1.2
100890104,2025,10.9,9.1,1.2
100890118,2025,11.9,16.5,0.72
110510018,2025,10.8,9.1,1.19
110510036,2025,12.5,9.8,1.28
110510045,2025,11.1,11.7,0.95
110510081,2025,8.8,6.8,1.29
110510133,2025,10.2,7.3,1.4
110510142,2025,8.2,7.3,1.12
110510151,2025,12.1,13.2,0.92
110510169,2025,6.9,5.6,1.23
110590018,2025,10.9,7.3,1.49
110590019,2025,10.7,9.8,1.09
110590020,2025,12.8,11.6,1.1
110590022,2025,9.9,7.9,1.25
110590031,2025,9.8,8.7,1.13
110590032,2025,11.8,9.7,1.22
110590033,2025,11.1,11.5,0.97
110590034,2025,9.3,6.5,1.43
110590035,2025,11.9,16.4,0.73
110590037,2025,10.2,6.9,1.48
110590038,2025,7.3,6.8,1.07
110590039,2025,9.5,10.1,0.94
110590040,2025,10.7,13.6,0.79
110590041,2025,11.3,11.6,0.97
110590067,2025,9.1,6.0,1.52
110590068,2025,8.7,6.0,1.45
110590085,2025,9.1,8.1,1.12
110590092,2025,9.5,8.2,1.16
110590099,2025,9.8,9.6,1.02
110590106,2025,9.7,8.8,1.1
110590113,2025,9.2,7.7,1.19
210100171,2025,6.9,7.3,0.95
210100178,2025,7.2,6.9,1.04
210100185,2025,8.2,7.2,1.14
210100192,2025,7.4,2.9,2.55
210100199,2025,8.7,7.8,1.12
210100206,2025,6.7,3.9,1.72
210100213,2025,9.1,5.0,1.82
210100220,2025,7.0,2.0,3.5
210100255,2025,9.6,4.7,2.04
210100262,2025,8.6,4.2,2.05
210100269,2025,10.4,16.8,0.62
210100276,2025,8.9,2.3,3.87
210100283,2025,9.8,8.0,1.23
210100290,2025,8.1,2.6,3.12
210100297,2025,11.8,9.2,1.28
210100304,2025,11.2,3.0,3.73
210100311,2025,7.3,5.6,1.3
210100318,2025,6.2,2.5,2.48
210100339,2025,9.7,16.0,0.61
210100346,2025,7.7,4.2,1.83
202910199,2025,10.5,9.6,1.09
202910206,2025,9.6,2.0,4.8
202910251,2025,10.1,5.7,1.77
202910463,2025,10.8,9.0,1.2
202910481,2025,12.2,7.0,1.74
202910506,2025,9.7,12.3,0.79
202910524,2025,7.5,4.5,1.67
202910675,2025,12.5,15.2,0.82
202910736,2025,6.3,4.0,1.57
202910763,2025,11.3,9.8,1.15
202910799,2025,5.6,2.1,2.67
202910806,2025,8.2,1.6,5.12
202911001,2025,12.1,11.5,1.05
202911425,2025,10.3,10.8,0.95
202911434,2025,8.7,2.0,4.35
202911452,2025,10.9,8.8,1.24
202911461,2025,11.3,2.0,5.65
202911497,2025,10.6,16.0,0.66
202911504,2025,10.9,4.1,2.66
202990166,2025,9.9,6.8,1.46
202990167,2025,9.4,1.1,8.55
202990168,2025,8.9,5.3,1.68
202990169,2025,7.8,4.5,1.73
202990170,2025,9.9,8.5,1.16
202990171,2025,9.3,4.0,2.33
202990183,2025,10.6,8.5,1.25
202990190,2025,9.6,3.9,2.46
202990197,2025,11.5,8.0,1.44
202990204,2025,11.3,4.5,2.51
202990211,2025,9.5,7.4,1.28
202990218,2025,10.1,2.4,4.21
202990225,2025,9.7,7.2,1.35
202990232,2025,7.8,2.7,2.89
202990239,2025,9.7,7.4,1.31
202990246,2025,9.0,3.8,2.37
202990253,2025,11.8,12.5,0.94
202990260,2025,11.7,9.7,1.21
202990267,2025,9.3,4.0,2.33
202990274,2025,11.5,10.0,1.15
202990288,2025,11.3,12.5,0.9
202990295,2025,9.6,1.0,9.6
202990302,2025,12.8,6.9,1.86
202990323,2025,9.9,7.3,1.36
202990330,2025,8.3,2.0,4.15
202990337,2025,9.7,15.0,0.65
202990358,2025,8.0,12.2,0.66
202990365,2025,9.0,6.7,1.34
100910028,2025,13.9,9.3,1.49
100910037,2025,11.2,8.5,1.32
100910046,2025,10.4,7.4,1.41
100910055,2025,10.5,3.9,2.69
100910064,2025,10.6,4.4,2.41
100910082,2025,11.6,8.6,1.35
100910143,2025,11.1,11.7,0.95
100910152,2025,10.5,9.6,1.09
100910204,2025,10.5,5.3,1.98
100910231,2025,9.6,7.5,1.28
100910249,2025,10.7,7.1,1.51
100910258,2025,10.5,8.5,1.24
100910267,2025,9.7,3.9,2.49
100910285,2025,11.9,11.3,1.05
100990017,2025,10.4,5.5,1.89
100990022,2025,11.8,9.8,1.2
100990029,2025,11.6,12.6,0.92
