yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
100110027,"2,8",1.0,"3,2",0.0,"0,0"
100110036,"9,5",24.0,"7,0",9.0,"25,0"
100110045,"40,9",331.0,"19,8",4.0,"9,8"
100110054,"20,8",128.0,"14,0",9.0,"20,5"
100110063,"22,7",126.0,"13,6",13.0,"31,7"
100110072,"29,1",226.0,"16,5",5.0,"10,6"
100110081,"11,0",62.0,"13,7",18.0,"43,9"
100110099,"11,8",56.0,"11,5",18.0,"43,9"
100110115,"13,2",104.0,"18,7",17.0,"41,5"
100110124,"16,0",48.0,"13,6",8.0,"38,1"
100110133,"20,0",139.0,"16,6",4.0,"9,8"
100110142,"16,0",153.0,"17,7",6.0,"11,5"
100110151,"23,5",389.0,"25,9",12.0,"18,8"
100110169,"19,8",121.0,"19,1",11.0,"34,4"
100110178,"15,2",102.0,"20,9",11.0,"34,4"
100110187,"12,3",61.0,"15,5",12.0,"37,5"
100110196,"38,4",341.0,"12,0",9.0,"12,5"
100110203,"42,3",409.0,"13,1",10.0,"13,9"
100110212,"29,8",314.0,"16,4",19.0,"30,6"
100110221,"29,5",230.0,"14,4",11.0,"21,2"
100110239,"7,6",8.0,"5,0",2.0,"9,5"
100110257,"28,1",619.0,"11,9",26.0,"14,1"
100110399,"33,2",163.0,"9,4",5.0,"9,6"
100110406,"14,2",48.0,"6,5",9.0,"17,3"
100110415,"46,3",192.0,"10,1",2.0,"4,9"
100110433,"39,9",233.0,"9,4",1.0,"1,6"
100110451,"38,0",464.0,"19,1",10.0,"16,1"
100110478,"12,5",241.0,"20,1",41.0,"42,7"
100110503,"20,8",83.0,"12,5",9.0,"28,1"
100110512,"8,0",0.0,"0,0",0.0,"0,0"
100110618,"24,6",122.0,"15,5",6.0,"18,8"
100110627,"13,3",58.0,"25,7",9.0,"52,9"
100110636,"19,1",122.0,"15,2",6.0,"14,6"
100110645,"17,5",220.0,"14,3",13.0,"14,8"
100110654,"18,8",99.0,"16,4",4.0,"12,9"
100110663,"20,4",192.0,"13,6",5.0,"7,5"
100110672,"34,6",275.0,"15,3",10.0,"19,2"
100110681,"19,1",79.0,"12,9",5.0,"15,6"
100110706,"23,6",171.0,"17,3",9.0,"21,4"
100190116,"4,0",0.0,"0,0",,
100190120,"29,8",179.0,"18,8",6.0,"18,8"
100190121,"15,2",63.0,"18,9",7.0,"31,8"
100190151,"22,8",133.0,"13,9",10.0,"24,4"
100190153,"34,8",831.0,"16,2",25.0,"16,9"
100190154,"26,7",510.0,"27,7",14.0,"20,3"
100190155,"23,6",99.0,"11,3",6.0,"16,7"
100190156,"35,9",280.0,"14,5",11.0,"20,4"
100190170,"39,5",34.0,"4,1",2.0,"9,5"
100190171,"16,4",184.0,"13,4",9.0,"11,0"
100190206,"2,0",0.0,"0,0",,
100190208,"67,7",567.0,"13,5",1.0,"1,6"
100190209,"29,7",59.0,"18,0",4.0,"36,4"
100190211,"9,6",81.0,"22,3",17.0,"44,7"
100190212,"18,8",20.0,"21,3",1.0,"25,0"
100190213,"22,9",111.0,"13,4",8.0,"22,2"
100190222,"10,0",5.0,"25,0",1.0,"50,0"
100190229,"28,4",151.0,"18,3",4.0,"13,8"
100190271,"49,5",235.0,"11,3",10.0,"23,8"
100190278,"27,5",218.0,"14,7",10.0,"18,9"
100190285,"27,4",99.0,"11,3",1.0,"3,2"
100190292,"25,3",162.0,"20,0",14.0,"45,2"
100210017,"1,5",3.0,"16,7",0.0,"0,0"
100210026,"5,2",21.0,"11,8",14.0,"41,2"
100210035,"28,8",218.0,"22,2",18.0,"52,9"
100210044,"8,0",65.0,"23,8",21.0,"61,8"
100210053,"12,1",79.0,"17,7",13.0,"35,1"
100210062,"8,2",44.0,"19,1",13.0,"46,4"
