yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
100110027,49.0,-1.0,25.0
100110036,773.0,91.0,21.0
100110045,686.0,274.0,17.0
100110054,908.0,100.0,22.0
100110063,620.0,364.0,15.0
100110072,926.0,154.0,21.0
100110081,817.0,167.0,20.0
100110099,855.0,129.0,21.0
100110115,680.0,304.0,17.0
100110124,395.0,109.0,19.0
100110133,879.0,105.0,21.0
100110142,910.0,338.0,18.0
100110151,1081.0,359.0,18.0
100110169,702.0,42.0,23.0
100110178,552.0,192.0,18.0
100110187,646.0,98.0,21.0
100110196,1338.0,366.0,19.0
100110203,1267.0,461.0,18.0
100110212,977.0,511.0,16.0
100110221,857.0,391.0,16.0
100110239,449.0,55.0,21.0
100110257,3740.0,580.0,21.0
100110399,1046.0,202.0,20.0
100110406,876.0,372.0,17.0
100110415,668.0,292.0,17.0
100110433,1546.0,-106.0,26.0
100110451,951.0,537.0,15.0
100110478,1360.0,800.0,15.0
100110503,696.0,48.0,22.0
100110512,12.0,12.0,12.0
100110618,526.0,218.0,17.0
100110627,277.0,107.0,17.0
100110636,800.0,184.0,20.0
100110645,1759.0,281.0,21.0
100110654,669.0,51.0,22.0
100110663,1124.0,460.0,17.0
100110672,1018.0,182.0,20.0
100110681,592.0,152.0,19.0
100110706,695.0,289.0,17.0
100190116,,,
100190120,566.0,178.0,18.0
100190121,456.0,48.0,22.0
100190151,575.0,385.0,14.0
100190153,2343.0,1017.0,17.0
100190154,953.0,607.0,15.0
100190155,633.0,231.0,18.0
100190156,859.0,341.0,17.0
100190170,345.0,159.0,16.0
100190171,1565.0,403.0,19.0
100190206,,,
100190208,1099.0,341.0,18.0
100190209,150.0,90.0,15.0
100190211,785.0,79.0,22.0
100190212,71.0,25.0,18.0
100190213,520.0,320.0,15.0
100190222,24.0,24.0,12.0
100190229,528.0,120.0,20.0
100190271,560.0,424.0,14.0
100190278,823.0,377.0,16.0
100190285,509.0,235.0,16.0
100190292,408.0,336.0,13.0
100210017,19.0,5.0,19.0
100210026,694.0,50.0,22.0
100210035,635.0,85.0,21.0
100210044,666.0,78.0,21.0
100210053,587.0,205.0,18.0
100210062,543.0,57.0,22.0
100210071,921.0,159.0,20.0
100210089,722.0,478.0,14.0
100210098,539.0,61.0,22.0
100210105,678.0,66.0,22.0
100210114,615.0,129.0,20.0
100210132,548.0,76.0,21.0
100210141,494.0,202.0,17.0
100210168,2429.0,-29.0,24.0
100210177,413.0,91.0,20.0
100210186,533.0,67.0,21.0
100210195,846.0,138.0,21.0
100210202,535.0,329.0,15.0
100210283,456.0,288.0,15.0
100210308,132.0,132.0,12.0
100210317,659.0,85.0,21.0
100210326,200.0,64.0,18.0
100210353,1150.0,-190.0,29.0
100210362,978.0,-18.0,24.0
100290057,595.0,149.0,19.0
100290058,682.0,182.0,19.0
100290059,974.0,154.0,21.0
100290060,36.0,12.0,18.0
100290069,774.0,-174.0,31.0
100290086,956.0,172.0,20.0
100290088,619.0,125.0,20.0
100290095,1048.0,80.0,22.0
100290165,632.0,88.0,21.0
100290172,584.0,136.0,19.0
100290179,496.0,224.0,17.0
100310016,81.0,15.0,20.0
100310025,989.0,19.0,24.0
100310034,904.0,176.0,20.0
100310043,908.0,76.0,22.0
100310052,672.0,72.0,22.0
100310061,869.0,115.0,21.0
100310079,671.0,193.0,19.0
100310088,364.0,140.0,17.0
100310097,1283.0,325.0,19.0
100310104,488.0,136.0,19.0
100310113,1267.0,197.0,21.0
100310122,672.0,312.0,16.0
100310131,521.0,223.0,17.0
100310149,568.0,176.0,18.0
100310158,4966.0,794.0,21.0
100310167,984.0,696.0,14.0
100310219,1200.0,288.0,19.0
100310228,900.0,324.0,18.0
100310237,1174.0,314.0,19.0
100310246,1122.0,366.0,18.0
100310264,646.0,338.0,16.0
100310334,660.0,324.0,16.0
100310343,468.0,252.0,16.0
100310379,751.0,233.0,18.0
100310388,769.0,71.0,22.0
100310397,755.0,85.0,22.0
100310422,670.0,314.0,16.0
100310431,808.0,152.0,20.0
100310449,514.0,230.0,17.0
100310458,685.0,299.0,17.0
100310476,763.0,221.0,19.0
100310519,1064.0,424.0,17.0
100310528,1244.0,436.0,18.0
100310537,1277.0,451.0,18.0
100310546,504.0,240.0,16.0
100310573,1205.0,475.0,17.0
100310591,809.0,175.0,20.0
100310607,959.0,241.0,19.0
100310616,946.0,254.0,19.0
100310634,681.0,303.0,17.0
100310643,755.0,109.0,21.0
100310652,705.0,543.0,14.0
100310661,1116.0,228.0,20.0
100310697,1522.0,206.0,21.0
100310713,1568.0,-128.0,26.0
100310722,916.0,332.0,18.0
100310846,1347.0,93.0,22.0
100310855,723.0,261.0,18.0
100310864,1476.0,444.0,18.0
100310873,1274.0,334.0,19.0
100310916,605.0,19.0,23.0
100310925,923.0,61.0,23.0
100310943,3588.0,1212.0,18.0
100310952,1810.0,110.0,23.0
100310961,502.0,146.0,19.0
100310979,547.0,173.0,18.0
100310997,761.0,223.0,19.0
100390138,797.0,187.0,19.0
100390139,753.0,447.0,15.0
100390177,1015.0,-55.0,25.0
100390222,1433.0,415.0,19.0
100390223,996.0,252.0,19.0
100390224,557.0,307.0,15.0
100390229,1354.0,470.0,18.0
100390230,1304.0,400.0,18.0
100390390,1147.0,341.0,19.0
100390397,601.0,143.0,19.0
100390404,682.0,302.0,17.0
100390411,875.0,373.0,17.0
100390418,909.0,339.0,17.0
100410015,972.0,36.0,23.0
100410024,975.0,105.0,22.0
100410033,898.0,86.0,22.0
100410042,953.0,295.0,18.0
100410069,886.0,98.0,22.0
100410078,2110.0,-502.0,31.0
100410103,495.0,105.0,20.0
100410112,953.0,295.0,18.0
100410121,802.0,182.0,20.0
100410139,721.0,23.0,23.0
100410148,645.0,75.0,22.0
100410157,866.0,118.0,21.0
100410166,1232.0,232.0,20.0
100410175,1032.0,432.0,17.0
100410184,673.0,287.0,17.0
100410193,1184.0,304.0,19.0
100410218,226.0,38.0,21.0
100410236,203.0,13.0,23.0
100410324,1034.0,646.0,15.0
100410493,524.0,220.0,17.0
100410563,71.0,25.0,18.0
100410572,343.0,65.0,20.0
100410599,405.0,99.0,19.0
100410615,966.0,282.0,19.0
100410624,404.0,100.0,19.0
100410633,977.0,247.0,19.0
100410651,1060.0,284.0,19.0
100410669,131.0,37.0,19.0
100410678,517.0,-13.0,25.0
100410687,24.0,,24.0
100410696,224.0,40.0,20.0
100410712,1047.0,81.0,22.0
100410784,565.0,347.0,15.0
100410809,1019.0,229.0,20.0
100410818,795.0,189.0,19.0
100410827,575.0,385.0,14.0
100410836,1515.0,405.0,19.0
100410872,,,
100410924,845.0,19.0,23.0
100410933,952.0,296.0,18.0
100410978,886.0,362.0,17.0
100410987,829.0,155.0,20.0
100490191,597.0,123.0,20.0
100490197,969.0,231.0,19.0
100490202,1151.0,97.0,22.0
100490203,653.0,91.0,21.0
100490204,1487.0,361.0,19.0
100490212,21.0,3.0,21.0
100490213,10.0,14.0,10.0
100490215,947.0,13.0,24.0
100490216,1080.0,168.0,21.0
100490218,551.0,193.0,18.0
100490219,809.0,175.0,20.0
100490220,712.0,-88.0,27.0
100490222,1568.0,400.0,19.0
100490242,1274.0,166.0,21.0
100490249,861.0,123.0,21.0
100490256,562.0,38.0,22.0
100490277,491.0,229.0,16.0
100490284,1515.0,669.0,17.0
100490291,178.0,62.0,18.0
100490298,112.0,32.0,19.0
100490305,812.0,172.0,20.0
100510023,832.0,128.0,21.0
100510032,687.0,297.0,17.0
100510041,908.0,340.0,17.0
100510077,148.0,20.0,21.0
100510086,895.0,113.0,21.0
100510095,1385.0,103.0,22.0
100510129,672.0,72.0,22.0
100510138,988.0,-244.0,32.0
100510174,724.0,20.0,23.0
100510183,613.0,131.0,20.0
100510208,649.0,-25.0,25.0
100510217,3147.0,189.0,23.0
100510235,1095.0,-135.0,27.0
100510253,738.0,246.0,18.0
100510262,1278.0,-150.0,27.0
100590058,578.0,46.0,22.0
100590061,1586.0,-146.0,26.0
100590064,858.0,-114.0,28.0
100590075,1227.0,21.0,24.0
100590077,989.0,-245.0,32.0
100590078,935.0,49.0,23.0
100590083,648.0,216.0,18.0
100590084,895.0,65.0,22.0
100590085,262.0,98.0,17.0
100590106,,,
100590120,2235.0,-1107.0,48.0
100590127,674.0,-26.0,25.0
100590141,1565.0,-125.0,26.0
100590148,755.0,445.0,15.0
100590162,1364.0,124.0,22.0
100610013,,,
100610022,1147.0,101.0,22.0
100610031,904.0,176.0,20.0
100610049,823.0,161.0,20.0
100610058,1312.0,-64.0,25.0
100610085,511.0,473.0,12.0
100610094,726.0,18.0,23.0
100610101,759.0,-15.0,24.0
100610119,1196.0,724.0,15.0
100610137,973.0,35.0,23.0
100610146,344.0,40.0,22.0
100610155,769.0,-25.0,25.0
100610191,1016.0,-56.0,25.0
100610207,1063.0,-199.0,30.0
100610216,862.0,266.0,18.0
100610225,1324.0,164.0,21.0
100610243,646.0,194.0,18.0
100610252,1779.0,141.0,22.0
100610261,1534.0,26.0,24.0
100610279,644.0,100.0,21.0
100610288,680.0,64.0,22.0
100610304,900.0,324.0,18.0
100610313,654.0,330.0,16.0
100610322,532.0,188.0,18.0
100610331,3151.0,209.0,23.0
100610349,214.0,50.0,19.0
100610358,631.0,233.0,18.0
100610367,902.0,-38.0,25.0
100610376,1049.0,199.0,20.0
100610385,188.0,76.0,17.0
100690069,1609.0,239.0,21.0
100690070,998.0,250.0,19.0
100690072,525.0,219.0,17.0
100690077,1130.0,118.0,22.0
100690095,487.0,113.0,19.0
100690114,675.0,69.0,22.0
100690116,689.0,31.0,23.0
100690117,679.0,65.0,22.0
100690143,1190.0,514.0,17.0
100690150,214.0,-22.0,27.0
100710012,562.0,398.0,14.0
100710021,776.0,232.0,18.0
