yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
201490083,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,21,"180,38196","329,12890",52.835,135.910,4,True
201490082,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,5,"376,89368","380,19740",29.807,31.190,5,True
201410189,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,42,"306,17729","382,40051",121.690,286.896,28,True
201410171,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,9,"415,93220","434,34593",60.985,80.549,8,True
201490157,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Bilim Tarihi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,5,"218,24988","272,64199",567.457,1.176.148,3,True
201410453,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Bilim Tarihi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,26,"280,70404","310,25992",286.181,494.846,25,True
201410665,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,30,"302,50669","387,70069",114.541,299.717,13,True
201410656,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,6,"409,17812","417,79981",78.478,88.059,5,True
201490290,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Grafik Tasarımı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"179,51873","289,09477",425.828,1.471.754,21,True
201490276,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,"Sanat, Tasarım ve Mimarlık Fakültesi",Grafik Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"333,01407","367,26411",82.638,181.074,9,True
201490241,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Havacılık Yönetimi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"175,95470","263,60925",657.530,1.480.549,36,True
