yop_kodu,year,il,tercih_sayisi
201490083,2025,ISPARTA,1
201490083,2025,İSTANBUL,34
201490083,2025,KONYA,1
201490082,2025,ANKARA,2
201490082,2025,BOLU,1
201490082,2025,ESKİŞEHİR,1
201490082,2025,İSTANBUL,20
201490082,2025,KAYSERİ,3
201490082,2025,NEVŞEHİR,2
201410189,2025,AFYONKARAHİSAR,2
201410189,2025,AMASYA,1
201410189,2025,ANKARA,3
201410189,2025,BALIKESİR,2
201410189,2025,BARTIN,1
201410189,2025,BURSA,4
201410189,2025,ÇANAKKALE,3
201410189,2025,DÜZCE,2
201410189,2025,EDİRNE,3
201410189,2025,ERZİNCAN,1
201410189,2025,ESKİŞEHİR,3
201410189,2025,GAZİANTEP,1
201410189,2025,ISPARTA,1
201410189,2025,İSTANBUL,260
201410189,2025,İZMİR,3
201410189,2025,KARABÜK,3
201410189,2025,KARAMAN,2
201410189,2025,KIRKLARELİ,3
201410189,2025,KOCAELİ,8
201410189,2025,KONYA,2
201410189,2025,KÜTAHYA,1
201410189,2025,MANİSA,3
201410189,2025,SAKARYA,6
201410189,2025,TEKİRDAĞ,1
201410189,2025,UŞAK,1
201410189,2025,YALOVA,3
201410171,2025,ANKARA,1
201410171,2025,BURSA,5
201410171,2025,DÜZCE,1
201410171,2025,ESKİŞEHİR,3
201410171,2025,GAZİANTEP,1
201410171,2025,İSTANBUL,108
201410171,2025,İZMİR,2
201410171,2025,KAYSERİ,1
201410171,2025,KIRIKKALE,1
201410171,2025,KONYA,2
201410171,2025,SAKARYA,1
201410171,2025,SAMSUN,3
201410171,2025,SİVAS,1
201490157,2025,İSTANBUL,41
201410453,2025,BURSA,4
201410453,2025,ÇANAKKALE,3
201410453,2025,EDİRNE,1
201410453,2025,ERZURUM,3
201410453,2025,ESKİŞEHİR,2
201410453,2025,İSTANBUL,349
201410453,2025,İZMİR,1
201410453,2025,KOCAELİ,6
201410453,2025,SAKARYA,6
201410453,2025,ŞANLIURFA,1
201410453,2025,TEKİRDAĞ,1
201410665,2025,AMASYA,1
201410665,2025,ANKARA,1
201410665,2025,BALIKESİR,3
201410665,2025,BARTIN,1
201410665,2025,BİLECİK,1
201410665,2025,BURSA,2
201410665,2025,ÇANKIRI,1
201410665,2025,DENİZLİ,3
201410665,2025,DÜZCE,4
201410665,2025,EDİRNE,2
201410665,2025,ERZİNCAN,1
201410665,2025,ERZURUM,4
201410665,2025,ESKİŞEHİR,1
201410665,2025,GİRESUN,1
201410665,2025,ISPARTA,2
201410665,2025,İSTANBUL,107
201410665,2025,KARABÜK,2
201410665,2025,KASTAMONU,1
201410665,2025,KAYSERİ,1
201410665,2025,KIRKLARELİ,2
201410665,2025,KOCAELİ,11
201410665,2025,KONYA,3
201410665,2025,KÜTAHYA,1
201410665,2025,MALATYA,1
201410665,2025,MANİSA,2
201410665,2025,NEVŞEHİR,1
201410665,2025,SAKARYA,1
201410665,2025,SAMSUN,1
201410665,2025,SİVAS,1
201410665,2025,ŞANLIURFA,1
201410665,2025,TEKİRDAĞ,2
201410665,2025,TOKAT,1
201410665,2025,YALOVA,1
201410665,2025,ZONGULDAK,3
201410656,2025,BURSA,2
201410656,2025,ÇANAKKALE,1
201410656,2025,İSTANBUL,51
201410656,2025,KOCAELİ,5
201410656,2025,SAKARYA,1
201490290,2025,AMASYA,1
201490290,2025,ANKARA,3
201490290,2025,BOLU,1
201490290,2025,ÇANAKKALE,3
201490290,2025,DÜZCE,1
201490290,2025,EDİRNE,2
201490290,2025,ERZURUM,3
201490290,2025,ISPARTA,4
201490290,2025,İSTANBUL,162
201490290,2025,KAYSERİ,2
201490290,2025,KIRKLARELİ,1
201490290,2025,KOCAELİ,2
201490290,2025,KONYA,1
201490290,2025,ORDU,2
201490290,2025,SAMSUN,3
201490290,2025,SİVAS,2
201490290,2025,TOKAT,2
201490276,2025,ANKARA,1
201490276,2025,BURSA,2
201490276,2025,ESKİŞEHİR,2
201490276,2025,İSTANBUL,63
201490276,2025,İZMİR,2
201490276,2025,KONYA,1
201490241,2025,ADANA,1
201490241,2025,AKSARAY,1
201490241,2025,AMASYA,1
201490241,2025,ANKARA,10
201490241,2025,ANTALYA,1
201490241,2025,AYDIN,1
201490241,2025,BALIKESİR,5
201490241,2025,BARTIN,1
201490241,2025,BOLU,3
