yop_kodu,year,program,scholarship,puan_type,faculty,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
201990481,2025,Bilgisayar Mühendisliği,Burslu,say,Mühendislik Fakültesi,8.8,6.4,1.38
201990477,2025,Endüstri Mühendisliği,Burslu,say,Mühendislik Fakültesi,9.6,10.4,0.92
201990507,2025,Yazılım Mühendisliği,Burslu,say,Mühendislik Fakültesi,9.8,6.3,1.56
201990483,2025,Elektrik-Elektronik Mühendisliği,Burslu,say,Mühendislik Fakültesi,11.3,12.4,0.91
201990479,2025,Makine Mühendisliği,Burslu,say,Mühendislik Fakültesi,11.7,11.7,1.0
201910218,2025,Mimarlık,Burslu,say,Mimarlık Fakültesi,10.1,9.8,1.03
201990475,2025,Moleküler Biyoloji ve Genetik,Burslu,say,Fen-Edebiyat Fakültesi,9.5,8.1,1.17
201990559,2025,Dijital Oyun Tasarımı,Burslu,say,Güzel Sanatlar Fakültesi,9.0,7.0,1.29
201910306,2025,Hemşirelik,Burslu,say,Sağlık Bilimleri Fakültesi,10.9,8.4,1.3
201990515,2025,Hemşirelik,Burslu,say,Sağlık Bilimleri Fakültesi,11.3,9.7,1.16
201990496,2025,Endüstriyel Tasarım,Burslu,say,Mimarlık Fakültesi,11.1,9.8,1.13
201910103,2025,Matematik,Burslu,say,Fen-Edebiyat Fakültesi,10.5,6.6,1.59
201910324,2025,Beslenme ve Diyetetik,Burslu,say,Sağlık Bilimleri Fakültesi,10.2,11.7,0.87
201990505,2025,Beslenme ve Diyetetik,Burslu,say,Sağlık Bilimleri Fakültesi,10.2,6.0,1.7
201910351,2025,Ebelik,Burslu,say,Sağlık Bilimleri Fakültesi,10.5,10.7,0.98
201990487,2025,Fizyoterapi ve Rehabilitasyon,Burslu,say,Sağlık Bilimleri Fakültesi,11.6,9.0,1.29
201910387,2025,Fizyoterapi ve Rehabilitasyon,Burslu,say,Sağlık Bilimleri Fakültesi,10.7,10.6,1.01
201991014,2025,Hemşirelik,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,6.0,1.2,5.0
201990972,2025,Ebelik,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,6.6,1.8,3.67
201990944,2025,Beslenme ve Diyetetik,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,7.3,1.5,4.87
201990846,2025,Endüstriyel Tasarım,%25 İndirimli,say,Mimarlık Fakültesi,6.0,1.4,4.29
201991007,2025,Hemşirelik,Ücretli,say,Sağlık Bilimleri Fakültesi,6.6,2.1,3.14
201990986,2025,Fizyoterapi ve Rehabilitasyon,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,6.7,1.9,3.53
201990769,2025,Dijital Oyun Tasarımı,Ücretli,say,Güzel Sanatlar Fakültesi,9.4,9.7,0.97
201991028,2025,Hemşirelik,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,7.0,2.5,2.8
201990965,2025,Ebelik,Ücretli,say,Sağlık Bilimleri Fakültesi,8.6,5.1,1.69
201991021,2025,Hemşirelik,Ücretli,say,Sağlık Bilimleri Fakültesi,9.1,4.9,1.86
201990958,2025,Beslenme ve Diyetetik,%25 İndirimli,say,Sağlık Bilimleri Fakültesi,8.2,1.7,4.82
201990776,2025,Dijital Oyun Tasarımı,%25 İndirimli,say,Güzel Sanatlar Fakültesi,7.0,1.3,5.38
201990937,2025,Beslenme ve Diyetetik,Ücretli,say,Sağlık Bilimleri Fakültesi,8.7,3.4,2.56
