yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,yerlesen_2025,taban_2025,tbs_2025,tavan_2025,tavan_bs_2025,has_2025
201990481,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,14,12,"428,20262",67.235,"438,00067",57.401,True
201990477,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Endüstri Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,12,11,"427,97547",67.459,"445,81560",49.954,True
201990507,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Yazılım Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,14,12,"413,00966",83.815,"426,73756",68.777,True
201990483,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,10,9,"419,83389",76.197,"425,67529",69.935,True
201990479,HALİÇ ÜNİVERSİTESİ,Mühendislik Fakültesi,Makine Mühendisliği,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,7,6,"410,23508",86.863,"419,01631",77.124,True
201910218,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Mimarlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,4,4,"400,58749",98.259,"404,72976",93.176,True
201990475,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,9,8,"387,23474",115.117,"398,76899",100.416,True
201990559,HALİÇ ÜNİVERSİTESİ,Güzel Sanatlar Fakültesi,Dijital Oyun Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,7,6,"363,37129",150.162,"389,73232",111.860,True
201910306,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,15,15,"371,89942",136.677,"387,07189",115.329,True
201990515,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,12,11,"363,50234",149.932,"378,07098",127.731,True
201990496,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Endüstriyel Tasarım,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,10,9,"357,20921",160.798,"380,65267",124.079,True
201910103,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Matematik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,6,5,"361,43590",153.452,"369,58771",140.267,True
201910324,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,12,11,"330,96656",215.421,"355,20254",164.481,True
201990505,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,10,9,"338,24334",198.614,"386,45578",116.164,True
201910351,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Ebelik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,13,11,"338,99047",196.993,"357,39398",160.478,True
201990487,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,7,6,"341,15458",192.226,"351,43009",171.531,True
