yop_kodu,year,program,tercih_sayisi
201990481,2025,Bilgi Güvenliği Teknolojisi,1
201990481,2025,Bilgisayar Mühendisliği,186
201990481,2025,Bilişim Sistemleri Ve Teknolojileri,1
201990481,2025,Biyomedikal Mühendisliği,1
201990481,2025,Biyomühendislik,2
201990481,2025,Deniz Ulaştırma İşletme Mühendisliği,1
201990481,2025,Dijital Oyun Tasarımı,1
201990481,2025,Diş Hekimliği,13
201990481,2025,Eczacılık,2
201990481,2025,Elektrik-elektronik Mühendisliği,43
201990481,2025,Endüstri Mühendisliği,9
201990481,2025,Gemi İnşaatı Ve Gemi Makineleri Mühendisliği,1
201990481,2025,Hemşirelik,2
201990481,2025,İnşaat Mühendisliği,10
201990481,2025,Makine Mühendisliği,29
201990481,2025,Malzeme Bilimi Ve Mühendisliği,1
201990481,2025,Matematik,3
201990481,2025,Mekatronik Mühendisliği,1
201990481,2025,Metalurji Ve Malzeme Mühendisliği,4
201990481,2025,Mimarlık,1
201990481,2025,Nükleer Enerji Mühendisliği,1
201990481,2025,Otomotiv Mühendisliği,1
201990481,2025,Siber Güvenlik Mühendisliği,2
201990481,2025,Uçak Gövde Ve Motor Bakımı,1
201990481,2025,Uçak Mühendisliği,1
201990481,2025,Yapay Zeka Ve Veri Mühendisliği,9
201990481,2025,Yazılım Mühendisliği,45
201990477,2025,Beslenme Ve Diyetetik,3
201990477,2025,Bilgisayar Bilimleri,1
201990477,2025,Bilgisayar Mühendisliği,5
201990477,2025,Biyomedikal Mühendisliği,4
201990477,2025,Biyomühendislik,9
201990477,2025,Deniz Ulaştırma İşletme Mühendisliği,1
201990477,2025,Dil Ve Konuşma Terapisi,9
201990477,2025,Diş Hekimliği,23
201990477,2025,Eczacılık,26
201990477,2025,Elektrik-elektronik Mühendisliği,15
201990477,2025,Elektronik Ve Haberleşme Mühendisliği,1
201990477,2025,Endüstri Mühendisliği,208
201990477,2025,Fizyoterapi Ve Rehabilitasyon,1
201990477,2025,Gıda Mühendisliği,1
201990477,2025,Havacılık Elektrik Ve Elektroniği,1
201990477,2025,Hemşirelik,11
201990477,2025,İktisat,1
201990477,2025,İnşaat Mühendisliği,5
201990477,2025,İstatistik,7
201990477,2025,İşletme Mühendisliği,1
201990477,2025,Kimya,1
201990477,2025,Kimya Mühendisliği,10
201990477,2025,Kontrol Ve Otomasyon Mühendisliği,3
201990477,2025,Makine Mühendisliği,1
201990477,2025,Matematik,3
201990477,2025,Mimarlık,3
201990477,2025,Moleküler Biyoloji Ve Genetik,6
201990477,2025,Yapay Zeka Mühendisliği,2
201990477,2025,Yazılım Mühendisliği,1
201990477,2025,Çevre Mühendisliği,2
201990507,2025,Beslenme Ve Diyetetik,1
201990507,2025,Bilgisayar Bilimleri,1
201990507,2025,Bilgisayar Mühendisliği,102
201990507,2025,Bilgisayar Ve Öğretim Teknolojileri Öğretmenliği,1
201990507,2025,Bilişim Sistemleri Ve Teknolojileri,1
201990507,2025,Biyomedikal Mühendisliği,4
201990507,2025,Biyomühendislik,2
201990507,2025,Dijital Oyun Tasarımı,1
201990507,2025,Dil Ve Konuşma Terapisi,3
201990507,2025,Diş Hekimliği,3
201990507,2025,Eczacılık,10
201990507,2025,Elektrik-elektronik Mühendisliği,30
201990507,2025,Endüstri Mühendisliği,38
201990507,2025,Endüstriyel Tasarım,1
201990507,2025,Fen Bilgisi Öğretmenliği,1
201990507,2025,Fizik,1
201990507,2025,Fizik Mühendisliği,1
201990507,2025,Fizik Öğretmenliği,1
201990507,2025,Fizyoterapi Ve Rehabilitasyon,1
201990507,2025,Gemi İnşaatı Ve Gemi Makineleri Mühendisliği,2
201990507,2025,Gıda Mühendisliği,4
201990507,2025,Havacılık Ve Uzay Mühendisliği,2
201990507,2025,Hemşirelik,8
201990507,2025,İnşaat Mühendisliği,4
201990507,2025,İstatistik,5
201990507,2025,Kimya Mühendisliği,3
201990507,2025,Kimya Öğretmenliği,1
201990507,2025,Kontrol Ve Otomasyon Mühendisliği,2
201990507,2025,Maden Mühendisliği,1
201990507,2025,Makine Mühendisliği,16
201990507,2025,Matematik,2
201990507,2025,Matematik Mühendisliği,2
201990507,2025,Mekatronik Mühendisliği,3
201990507,2025,Metalurji Ve Malzeme Mühendisliği,3
201990507,2025,Nükleer Enerji Mühendisliği,1
201990507,2025,Siber Güvenlik Mühendisliği,3
201990507,2025,Uçak Gövde Ve Motor Bakımı,1
201990507,2025,Uçak Mühendisliği,1
201990507,2025,Veri Bilimi Ve Analitiği,3
201990507,2025,Veteriner,1
201990507,2025,Yapay Zeka Mühendisliği,4
201990507,2025,Yapay Zeka Ve Makine Öğrenmesi,1
201990507,2025,Yapay Zeka Ve Veri Mühendisliği,19
201990507,2025,Yazılım Geliştirme,3
201990507,2025,Yazılım Mühendisliği,105
201990507,2025,Çevre Mühendisliği,2
201990483,2025,Bilgisayar Mühendisliği,19
201990483,2025,Biyomedikal Mühendisliği,2
201990483,2025,Cevher Hazırlama Mühendisliği,1
201990483,2025,Deniz Ulaştırma İşletme Mühendisliği,2
201990483,2025,Dijital Oyun Tasarımı,3
201990483,2025,Dil Ve Konuşma Terapisi,6
201990483,2025,Eczacılık,1
201990483,2025,Elektrik-elektronik Mühendisliği,164
201990483,2025,Elektronik Ve Haberleşme Mühendisliği,1
201990483,2025,Endüstri Mühendisliği,9
201990483,2025,Enerji Bilimi Ve Teknolojileri,2
201990483,2025,Fizik Mühendisliği,1
201990483,2025,Gemi Makineleri İşletme Mühendisliği,1
201990483,2025,Gemi Ve Deniz Teknolojisi Mühendisliği,1
201990483,2025,Gıda Mühendisliği,1
201990483,2025,Harita Mühendisliği,3
201990483,2025,Havacılık Elektrik Ve Elektroniği,2
201990483,2025,Havacılık Ve Uzay Mühendisliği,2
201990483,2025,İnşaat Mühendisliği,7
201990483,2025,Jeoloji Mühendisliği,1
201990483,2025,Kimya Mühendisliği,4
201990483,2025,Kontrol Ve Otomasyon Mühendisliği,1
201990483,2025,Makine Mühendisliği,19
201990483,2025,Malzeme Bilimi Ve Mühendisliği,1
201990483,2025,Malzeme Bilimi Ve Teknolojileri,1
201990483,2025,Mekatronik Mühendisliği,11
201990483,2025,Metalurji Ve Malzeme Mühendisliği,5
201990483,2025,Mimarlık,10
201990483,2025,Petrol Ve Doğalgaz Mühendisliği,1
201990483,2025,Pilotaj,1
201990483,2025,Siber Güvenlik Mühendisliği,1
201990483,2025,Uçak Elektrik Ve Elektroniği (yüksekokul),1
201990483,2025,Uçak Mühendisliği,4
201990483,2025,Veri Bilimi Ve Analitiği,1
201990483,2025,Yapay Zeka Ve Veri Mühendisliği,6
201990483,2025,Yazılım Mühendisliği,1
201990483,2025,Çevre Mühendisliği,3
201990479,2025,Bilgisayar Mühendisliği,8
201990479,2025,Bilgisayar Mühendisliği (m.t.o.k),1
201990479,2025,Biyomedikal Mühendisliği,1
201990479,2025,Eczacılık,4
201990479,2025,Elektrik-elektronik Mühendisliği,27
201990479,2025,Elektronik Mühendisliği,1
201990479,2025,Endüstri Mühendisliği,14
201990479,2025,Enerji Bilimi Ve Teknolojileri,1
201990479,2025,Fizik,1
201990479,2025,Gemi İnşaatı Ve Gemi Makineleri Mühendisliği,2
201990479,2025,Gemi Makineleri İşletme Mühendisliği,2
201990479,2025,Harita Mühendisliği,2
201990479,2025,Havacılık Elektrik Ve Elektroniği,1
201990479,2025,Havacılık Ve Uzay Mühendisliği,2
201990479,2025,İnşaat Mühendisliği,6
201990479,2025,İstatistik,2
201990479,2025,İç Mimarlık,1
201990479,2025,Kimya,4
201990479,2025,Kimya Mühendisliği,4
201990479,2025,Makine Mühendisliği,58
201990479,2025,Makine Mühendisliği (m.t.o.k),1
201990479,2025,Matematik,1
201990479,2025,Mekatronik Mühendisliği,7
201990479,2025,Mekatronik Mühendisliği (m.t.o.k),1
201990479,2025,Metalurji Ve Malzeme Mühendisliği,3
201990479,2025,Moleküler Biyoloji Ve Genetik,1
201990479,2025,Otomotiv Mühendisliği,1
201990479,2025,Uçak Gövde Ve Motor Bakımı,2
201990479,2025,Uçak Mühendisliği,1
201990479,2025,Veteriner,3
201990479,2025,Yapay Zeka Ve Makine Öğrenmesi,1
201990479,2025,Yazılım Mühendisliği,1
201910218,2025,Bilgisayar Mühendisliği,3
201910218,2025,Deniz Ulaştırma İşletme Mühendisliği,1
201910218,2025,Eczacılık,8
201910218,2025,Elektrik-elektronik Mühendisliği,2
201910218,2025,Endüstri Mühendisliği,4
201910218,2025,Hemşirelik,5
201910218,2025,İnşaat Mühendisliği,4
201910218,2025,Makine Mühendisliği,1
201910218,2025,Matematik,2
201910218,2025,Mekatronik Mühendisliği,4
201910218,2025,Metalurji Ve Malzeme Mühendisliği,3
201910218,2025,Mimarlık,81
201990475,2025,Bilgisayar Mühendisliği,4
201990475,2025,Biyoloji,4
201990475,2025,Biyomedikal Mühendisliği,21
201990475,2025,Biyomühendislik,12
201990475,2025,Deniz Ulaştırma İşletme Mühendisliği,1
201990475,2025,Elektrik-elektronik Mühendisliği,8
201990475,2025,Elektronik Ve Haberleşme Mühendisliği,1
201990475,2025,Endüstri Mühendisliği,3
201990475,2025,Endüstriyel Tasarım,7
201990475,2025,Fen Bilgisi Öğretmenliği,1
201990475,2025,Fizik,3
201990475,2025,Fizyoterapi Ve Rehabilitasyon,2
201990475,2025,Gemi İnşaatı Ve Gemi Makineleri Mühendisliği,1
201990475,2025,Genetik Ve Biyomühendislik,2
201990475,2025,Gıda Mühendisliği,1
201990475,2025,Harita Mühendisliği,2
201990475,2025,Havacılık Elektrik Ve Elektroniği,2
201990475,2025,Havacılık Ve Uzay Mühendisliği,1
201990475,2025,İnşaat Mühendisliği,3
201990475,2025,İstatistik,1
201990475,2025,Jeofizik Mühendisliği,1
201990475,2025,Kimya,7
201990475,2025,Kimya Mühendisliği,1
201990475,2025,Maden Mühendisliği,1
201990475,2025,Makine Mühendisliği,7
201990475,2025,Malzeme Bilimi Ve Mühendisliği,1
201990475,2025,Matematik,7
201990475,2025,Matematik Öğretmenliği,1
201990475,2025,Mekatronik Mühendisliği,2
201990475,2025,Metalurji Ve Malzeme Mühendisliği,4
201990475,2025,Mimarlık,19
201990475,2025,Moleküler Biyoloji Ve Genetik,97
201990475,2025,Siber Güvenlik Mühendisliği,1
201990475,2025,Veri Bilimi Ve Analitiği,1
201990475,2025,Veteriner,3
201990475,2025,Yapay Zeka Mühendisliği,1
201990475,2025,Yapay Zeka Ve Makine Öğrenmesi,1
201990475,2025,Yapay Zeka Ve Veri Mühendisliği,1
201990475,2025,Yazılım Mühendisliği,6
201990559,2025,Bilgisayar Mühendisliği,24
201990559,2025,Bilgisayar Mühendisliği (m.t.o.k),1
201990559,2025,Bilgisayar Ve Öğretim Teknolojileri Öğretmenliği,3
201990559,2025,Bilişim Sistemleri Mühendisliği,2
201990559,2025,Bilişim Sistemleri Ve Teknolojileri,2
201990559,2025,Deniz Ulaştırma İşletme Mühendisliği,1
201990559,2025,Dijital Oyun Tasarımı,54
201990559,2025,Elektrik-elektronik Mühendisliği,12
201990559,2025,Elektrik-elektronik Mühendisliği (m.t.o.k),1
201990559,2025,Endüstri Mühendisliği,5
201990559,2025,İstatistik,1
201990559,2025,Kimya Mühendisliği,1
201990559,2025,Makine Mühendisliği,1
201990559,2025,Matematik,6
201990559,2025,Mekatronik Mühendisliği,2
201990559,2025,Metalurji Ve Malzeme Mühendisliği,2
201990559,2025,Mimarlık,4
201990559,2025,Siber Güvenlik Mühendisliği,1
201990559,2025,Tekstil Mühendisliği,1
201990559,2025,Veri Bilimi Ve Analitiği,2
201990559,2025,Yapay Zeka Mühendisliği,2
201990559,2025,Yapay Zeka Ve Makine Öğrenmesi,5
201990559,2025,Yapay Zeka Ve Veri Mühendisliği,5
201990559,2025,Yazılım Geliştirme,2
