yop_kodu,year,il,tercih_sayisi
208610015,2025,ANKARA,24
208610015,2025,BURSA,2
208610015,2025,GAZİANTEP,1
208610015,2025,İSTANBUL,89
208610015,2025,İZMİR,4
208610015,2025,KAYSERİ,1
208610015,2025,KOCAELİ,2
208610015,2025,KONYA,2
208610015,2025,SAKARYA,1
208610015,2025,SAMSUN,1
208610087,2025,AKSARAY,1
208610087,2025,ANKARA,13
208610087,2025,ANTALYA,2
208610087,2025,BURSA,1
208610087,2025,ESKİŞEHİR,2
208610087,2025,İSTANBUL,64
208610087,2025,İZMİR,1
208610087,2025,KAYSERİ,4
208610087,2025,KIRIKKALE,1
208610087,2025,KONYA,6
208610087,2025,NEVŞEHİR,5
208610087,2025,NİĞDE,1
208610087,2025,SAKARYA,1
208610087,2025,SAMSUN,2
208610024,2025,ANKARA,16
208610024,2025,BURSA,1
208610024,2025,İSTANBUL,80
208610024,2025,İZMİR,1
208610024,2025,KARAMAN,1
208610024,2025,KONYA,7
208610096,2025,ANKARA,9
208610096,2025,BALIKESİR,1
208610096,2025,BOLU,1
208610096,2025,BURSA,1
208610096,2025,ERZURUM,1
208610096,2025,İSTANBUL,57
208610096,2025,İZMİR,1
208610096,2025,KAYSERİ,1
208610096,2025,KOCAELİ,1
208610096,2025,KONYA,2
208610096,2025,SAKARYA,1
208610096,2025,SAMSUN,1
208610096,2025,YALOVA,1
208610112,2025,ANKARA,5
208610112,2025,İSTANBUL,77
208610103,2025,ANKARA,12
208610103,2025,İSTANBUL,70
208610114,2025,AFYONKARAHİSAR,1
208610114,2025,ANKARA,9
208610114,2025,BURSA,1
208610114,2025,ÇANKIRI,1
208610114,2025,DİYARBAKIR,1
208610114,2025,ERZİNCAN,1
208610114,2025,ERZURUM,1
208610114,2025,GAZİANTEP,1
208610114,2025,ISPARTA,1
208610114,2025,İSTANBUL,82
208610114,2025,İZMİR,3
208610114,2025,KIBRIS,9
208610114,2025,KIRKLARELİ,1
208610114,2025,MALATYA,1
208610114,2025,RİZE,1
208610114,2025,SİVAS,1
208610114,2025,TOKAT,1
208610114,2025,TRABZON,1
208610121,2025,ANKARA,10
208610121,2025,BURSA,1
208610121,2025,İSTANBUL,69
208610121,2025,KOCAELİ,1
208610121,2025,KONYA,1
208610121,2025,SAKARYA,1
208610033,2025,ADANA,2
208610033,2025,ANKARA,3
208610033,2025,BURSA,1
208610033,2025,ERZURUM,1
208610033,2025,İSTANBUL,84
208610033,2025,SAMSUN,2
208610078,2025,ANKARA,14
208610078,2025,BURSA,1
208610078,2025,İSTANBUL,90
208610078,2025,KOCAELİ,1
208610078,2025,KONYA,1
208610078,2025,SAKARYA,1
