yop_kodu,year,program,tercih_sayisi
208610015,2022,Ekonomi,1
208610015,2022,Hukuk,116
208610015,2022,İktisat,1
208610015,2022,İşletme,2
208610015,2022,Psikoloji,8
208610015,2022,Siyaset Bilimi ve Uluslararası İlişkiler,3
208610015,2022,Uluslararası İlişkiler,1
208610015,2023,Bilgisayar Mühendisliği,4
208610015,2023,Ekonomi,5
208610015,2023,Hukuk,163
208610015,2023,İktisat,3
208610015,2023,İşletme,5
208610015,2023,Psikoloji,7
208610015,2023,Sanat ve Sosyal Bilimler Programları,1
208610015,2023,Siyaset Bilimi,3
208610015,2023,Siyaset Bilimi ve Kamu Yönetimi,2
208610015,2023,Siyaset Bilimi ve Uluslararası İlişkiler,6
208610015,2023,Sosyoloji,2
208610015,2023,Uluslararası İlişkiler,5
208610015,2023,Uluslararası Ticaret (Fakülte),1
208610015,2023,Yazılım Mühendisliği,2
208610015,2023,Yönetim Bilimleri Programları,1
208610015,2023,Yönetim Bilişim Sistemleri (Fakülte),1
208610015,2024,Ekonomi,2
208610015,2024,Ekonomi Ve Finans,1
208610015,2024,Felsefe,1
208610015,2024,Havacılık Yönetimi,1
208610015,2024,Hukuk,257
208610015,2024,İktisat,3
208610015,2024,İlahiyat,6
208610015,2024,İletişim Ve Tasarımı,1
208610015,2024,İslami İlimler,2
208610015,2024,İç Mimarlık Ve Çevre Tasarımı,1
208610015,2024,İşletme,10
208610015,2024,Lojistik Yönetimi,1
208610015,2024,Psikoloji,1
208610015,2024,Rehberlik Ve Psikolojik Danışmanlık,1
208610015,2024,Siyaset Bilimi,1
208610015,2024,Siyaset Bilimi Ve Kamu Yönetimi,1
208610015,2024,Siyaset Bilimi Ve Uluslararası İlişkiler,12
208610015,2024,Sosyoloji,1
208610015,2024,Tarih,3
208610015,2024,Turizm İşletmeciliği,1
208610015,2024,Uluslararası İlişkiler,2
208610015,2024,Uluslararası Ticaret,2
208610015,2024,Uluslararası Ticaret Ve İşletmecilik,1
208610015,2024,Yönetim Bilişim Sistemleri,6
208610024,2022,Hukuk,25
208610024,2022,İlahiyat,1
208610024,2022,İslami İlimler,2
