yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
208610015,"15,3",87.0,"35,7",12.0,"75,0"
208610024,"9,3",54.0,"52,9",10.0,"90,9"
208610033,"8,4",92.0,"52,0",20.0,"100,0"
208610078,"11,3",40.0,"39,2",7.0,"77,8"
208610087,"10,5",71.0,"51,8",13.0,"100,0"
208610096,"11,8",47.0,"44,3",6.0,"66,7"
208610103,"8,2",42.0,"46,7",10.0,"90,9"
208610112,"6,0",34.0,"63,0",8.0,"88,9"
208610114,"8,1",52.0,"49,5",11.0,"84,6"
208610121,"12,1",49.0,"45,0",7.0,"77,8"
