yop_kodu,year,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
203210025,2025,8.3,5.2,1.6
203210113,2025,9.2,7.1,1.3
203210149,2025,8.0,7.7,1.04
203210185,2025,7.8,5.3,1.47
203210194,2025,3.9,1.2,3.25
203210228,2025,8.0,5.4,1.48
203210237,2025,5.2,1.6,3.25
203210264,2025,9.7,6.5,1.49
203210273,2025,5.5,1.8,3.06
203210307,2025,8.2,4.7,1.74
203210325,2025,5.4,1.5,3.6
203210343,2025,9.8,9.3,1.05
203210352,2025,5.2,2.4,2.17
203210388,2025,10.0,6.2,1.61
203210397,2025,8.7,3.0,2.9
203210413,2025,5.6,1.6,3.5
203210449,2025,8.6,4.1,2.1
203210458,2025,6.1,3.7,1.65
203210476,2025,3.3,1.9,1.74
203210485,2025,4.5,1.5,3.0
203210519,2025,6.5,1.3,5.0
203210573,2025,8.4,8.6,0.98
203210591,2025,4.9,1.4,3.5
203210679,2025,9.4,6.9,1.36
203210731,2025,7.9,6.9,1.14
203210749,2025,6.3,4.8,1.31
203210934,2025,8.9,6.0,1.48
203210952,2025,9.7,7.0,1.39
203210979,2025,6.5,1.6,4.06
203211014,2025,7.8,5.6,1.39
203211068,2025,9.3,8.8,1.06
203211086,2025,7.3,1.4,5.21
203211095,2025,5.8,4.7,1.23
203211111,2025,4.7,1.2,3.92
203211129,2025,8.1,3.3,2.45
203211138,2025,10.4,6.3,1.65
203211156,2025,6.8,2.9,2.34
203211165,2025,8.3,1.6,5.19
203211226,2025,7.3,1.8,4.06
203211235,2025,6.9,3.5,1.97
203211244,2025,3.9,1.9,2.05
203211277,2025,10.3,6.0,1.72
203211279,2025,11.0,6.0,1.83
203211283,2025,6.8,3.2,2.12
203211285,2025,4.1,2.2,1.86
203211288,2025,4.6,1.2,3.83
203211289,2025,6.3,3.8,1.66
203211290,2025,7.1,4.6,1.54
203211291,2025,8.6,9.6,0.9
203211292,2025,5.3,2.4,2.21
203211293,2025,8.1,3.9,2.08
203211294,2025,4.6,2.4,1.92
203211295,2025,10.1,5.0,2.02
203211296,2025,6.6,1.5,4.4
203211297,2025,6.5,3.1,2.1
203211298,2025,8.9,6.8,1.31
203211299,2025,9.9,6.0,1.65
203211300,2025,6.8,2.3,2.96
203211302,2025,7.7,4.5,1.71
203211303,2025,4.2,1.3,3.23
203211312,2025,6.2,1.2,5.17
203211319,2025,5.6,1.4,4.0
203211326,2025,4.9,1.5,3.27
203211347,2025,8.0,2.1,3.81
203211354,2025,6.8,1.6,4.25
203211361,2025,5.7,1.0,5.7
203211368,2025,4.8,1.9,2.53
203211382,2025,8.3,1.3,6.38
203211389,2025,6.9,2.8,2.46
203211396,2025,7.9,2.0,3.95
203211403,2025,6.5,2.1,3.1
203211417,2025,7.2,1.5,4.8
203211424,2025,7.8,3.1,2.52
203211431,2025,5.5,1.5,3.67
203211438,2025,9.7,4.5,2.16
203211459,2025,7.0,3.0,2.33
203211466,2025,11.3,4.5,2.51
203211480,2025,5.3,1.5,3.53
203211487,2025,11.0,1.8,6.11
