yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
203211111,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,20,"168,18924","354,62929",41.044,138.889,13,True
203211095,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,6,"372,55536","453,20000",6.000,33.012,6,True
203210979,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,43,"177,65557","251,31470",585.049,1.277.958,35,True
203210952,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,11,"337,41724","404,11134",93.897,200.477,10,True
203211459,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Beslenme ve Diyetetik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,16,"181,58659","203,85097",1.116.846,1.267.354,4,True
203211403,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Bilgisayar Mühendisliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,51,"304,30835","427,18043",68.316,293.350,33,True
203210149,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Bilgisayar Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,11,"434,42839","451,16725",45.096,60.890,10,True
203211396,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Bilgisayar Mühendisliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,8,"364,92449","364,92449",147.594,147.594,1,True
203211156,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Elektrik-Elektronik Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,40,"303,30130","419,14163",76.967,296.890,30,True
203211138,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Elektrik-Elektronik Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,8,"424,33049","429,78602",65.680,71.379,7,True
203211417,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Endüstri Mühendisliği,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,40,"303,10564","381,94078",122.312,297.583,23,True
203210679,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Endüstri Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,8,"419,59549","430,01169",65.439,76.484,7,True
203211410,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Endüstri Mühendisliği,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,2,Dolmadı,"290,84975",297.280,Dolmadı,1,True
203211303,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Görsel İletişim Tasarımı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,37,"229,14137","332,70971",100.333,857.061,28,True
203211302,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Görsel İletişim Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,7,"392,13532","442,28250",1.043,11.479,6,True
203211288,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Gıda Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,10,"304,81031","363,10117",150.623,291.566,5,True
