yop_kodu,year,program,tercih_sayisi
203210025,2022,Alman Dili ve Edebiyatı,2
203210025,2022,Amerikan Kültürü ve Edebiyatı,3
203210025,2022,Arap Dili ve Edebiyatı,1
203210025,2022,Fransız Dili ve Edebiyatı,1
203210025,2022,Fransızca Mütercim ve Tercümanlık,1
203210025,2022,İngiliz Dili ve Edebiyatı,16
203210025,2022,İngilizce Mütercim ve Tercümanlık (Fakülte),13
203210025,2022,İngilizce Mütercim ve Tercümanlık (Yüksekokul),1
203210025,2022,İngilizce Öğretmenliği,66
203210025,2022,İspanyol Dili ve Edebiyatı,3
203210025,2022,Ön Lisans,2
203210025,2023,Amerikan Kültürü ve Edebiyatı,1
203210025,2023,İngiliz Dili ve Edebiyatı,14
203210025,2023,İngilizce Mütercim ve Tercümanlık (Fakülte),30
203210025,2023,İngilizce Mütercim ve Tercümanlık (Yüksekokul),3
203210025,2023,İngilizce Öğretmenliği,58
203210025,2023,Odyoloji (Fakülte),3
203210025,2024,Amerikan Kültürü Ve Edebiyatı,1
203210025,2024,Fransızca Mütercim Ve Tercümanlık,1
203210025,2024,Gastronomi Ve Mutfak Sanatları (yüksekokul),1
203210025,2024,İngiliz Dili Ve Edebiyatı,4
203210025,2024,İngilizce Mütercim Ve Tercümanlık,13
203210025,2024,İngilizce Öğretmenliği,147
203210025,2024,Rusça Mütercim Ve Tercümanlık,1
203210025,2024,Çizgi Film Ve Animasyon,2
203210113,2022,Bilgisayar Mühendisliği (M.T.O.K.),1
203210113,2022,Biyomühendislik,5
203210113,2022,Çevre Mühendisliği,3
203210113,2022,Elektrik-Elektronik Mühendisliği (M.T.O.K.),1
203210113,2022,Endüstri Mühendisliği,2
203210113,2022,Gıda Mühendisliği,16
203210113,2022,İstatistik,2
203210113,2022,Jeofizik Mühendisliği,1
203210113,2022,Kimya,5
203210113,2022,Kimya Mühendisliği,5
203210113,2022,Matematik,5
203210113,2022,Matematik ve Bilgisayar Bilimleri,1
203210113,2022,Metalurji ve Malzeme Mühendisliği,6
203210113,2023,Beslenme ve Diyetetik (Fakülte),4
203210113,2023,Biyomedikal Mühendisliği,2
203210113,2023,Çevre Mühendisliği,1
203210113,2023,Dil ve Konuşma Terapisi (Fakülte),1
203210113,2023,Endüstri Mühendisliği,3
203210113,2023,Geomatik Mühendisliği,1
203210113,2023,Gıda Mühendisliği,6
203210113,2023,Harita Mühendisliği,1
203210113,2023,Hemşirelik (Fakülte),12
203210113,2023,İnşaat Mühendisliği,2
203210113,2023,Kimya,3
203210113,2023,Kimya Mühendisliği,2
203210113,2024,Beslenme Ve Diyetetik,5
203210113,2024,Bilgisayar Bilimleri,1
203210113,2024,Bilgisayar Mühendisliği,9
203210113,2024,Biyomedikal Mühendisliği,5
203210113,2024,Biyomühendislik,5
203210113,2024,Dil Ve Konuşma Terapisi,4
203210113,2024,Ebelik,2
203210113,2024,Eczacılık,3
203210113,2024,Elektrik Mühendisliği,1
203210113,2024,Elektrik-elektronik Mühendisliği,19
203210113,2024,Elektronik Ve Haberleşme Mühendisliği,1
203210113,2024,Endüstri Mühendisliği,32
203210113,2024,Endüstriyel Tasarım,4
203210113,2024,Ergoterapi,1
203210113,2024,Gıda Mühendisliği,36
203210113,2024,Harita Mühendisliği,5
203210113,2024,Havacılık Elektrik Ve Elektroniği,1
203210113,2024,Havacılık Ve Uzay Mühendisliği,1
203210113,2024,İklim Bilimi Ve Meteoroloji Mühendisliği,1
203210113,2024,İlköğretim Matematik Öğretmenliği,6
203210113,2024,İnşaat Mühendisliği,3
203210113,2024,İstatistik,1
203210113,2024,Kentsel Tasarım Ve Peyzaj Mimarlığı,1
203210113,2024,Kimya,4
203210113,2024,Kimya Mühendisliği,22
203210113,2024,Kontrol Ve Otomasyon Mühendisliği,1
203210113,2024,Makine Mühendisliği,6
203210113,2024,Malzeme Bilimi Ve Mühendisliği,2
203210113,2024,Matematik,5
203210113,2024,Mekatronik Mühendisliği,1
203210113,2024,Mekatronik Mühendisliği (m.t.o.k),1
203210113,2024,Metalurji Ve Malzeme Mühendisliği,6
203210113,2024,Mimarlık,6
203210113,2024,Moleküler Biyoloji Ve Genetik,2
203210113,2024,Peyzaj Mimarlığı,1
203210113,2024,Tekstil Mühendisliği,1
203210113,2024,Uçak Mühendisliği,1
203210113,2024,Veri Bilimi Ve Analitiği,1
203210113,2024,Veteriner,1
203210113,2024,Yazılım Mühendisliği,3
203210113,2024,Çevre Mühendisliği,9
203210113,2024,Şehir Ve Bölge Planlama,1
203210149,2022,Bilgisayar Mühendisliği,88
203210149,2022,Elektrik Mühendisliği,2
203210149,2022,Elektrik-Elektronik Mühendisliği,2
203210149,2022,Elektronik Mühendisliği,1
203210149,2022,Elektronik ve Haberleşme Mühendisliği,2
203210149,2022,Endüstri Mühendisliği,4
203210149,2022,Fizik Mühendisliği,1
