yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106510014,2025,0,1,4
106510014,2025,1,1,4
106510014,2025,2,1,4
106510014,2025,3,2,2
106510014,2025,4,2,4
106510014,2025,5,1,4
106510014,2025,6,1,4
106510014,2025,7,1,4
106510014,2025,8,3,4
106510014,2025,9,1,5
106510014,2025,10,4,8
106510014,2025,11,1,3
106510014,2025,12,2,3
106510014,2025,13,3,5
106510014,2025,14,1,3
106510014,2025,15,1,3
106510014,2025,16,1,3
106510014,2025,17,1,3
106510014,2025,18,1,5
106510014,2025,19,1,5
106510014,2025,20,1,3
106510014,2025,21,1,2
106510014,2025,22,1,5
106510014,2025,23,1,3
106510014,2025,24,1,5
106510014,2025,25,1,4
106510014,2025,26,1,4
106510014,2025,27,1,4
106510014,2025,28,1,4
106510014,2025,29,1,2
106510014,2025,30,1,2
106510014,2025,31,1,2
106510014,2025,32,1,4
106510014,2025,33,2,4
106510014,2025,34,1,4
106510014,2025,35,1,4
106510014,2025,36,1,4
106510014,2025,37,1,4
106510014,2025,38,1,4
106510014,2025,39,1,4
106510014,2025,40,1,4
106510023,2025,41,1,2
106510023,2025,42,1,2
106510023,2025,43,1,4
106510023,2025,44,1,2
106510023,2025,45,1,2
106510023,2025,46,1,0
106510023,2025,47,1,4
106510023,2025,48,1,2
106510023,2025,49,2,2
106510023,2025,50,1,4
106510023,2025,51,1,4
106510023,2025,52,1,4
106510023,2025,53,1,4
106510023,2025,54,1,4
106510023,2025,55,1,2
106510023,2025,56,1,4
106510023,2025,57,1,4
106510023,2025,58,1,4
106510023,2025,3,3,2
106510023,2025,59,1,4
106510023,2025,4,1,4
106510023,2025,60,1,2
106510023,2025,61,1,2
106510023,2025,62,1,4
106510023,2025,63,1,4
106510023,2025,6,6,4
106510023,2025,64,2,4
106510023,2025,65,1,4
106510023,2025,8,2,4
106510023,2025,66,1,5
106510023,2025,67,1,3
106510023,2025,68,1,5
106510023,2025,10,6,8
106510023,2025,69,1,5
106510023,2025,70,1,5
106510023,2025,71,1,5
106510023,2025,13,1,5
106510023,2025,72,1,5
106510023,2025,73,1,5
106510023,2025,74,1,3
106510023,2025,75,1,5
106510023,2025,76,1,3
106510023,2025,77,1,4
106510023,2025,78,1,4
106510023,2025,79,1,4
106510023,2025,80,1,4
106510023,2025,81,1,4
106510023,2025,26,2,4
106510023,2025,82,1,4
106510023,2025,83,1,4
106510023,2025,33,2,4
106510023,2025,84,1,4
106510023,2025,85,1,4
106510023,2025,86,1,2
106510023,2025,32,2,4
106510023,2025,87,1,2
106510023,2025,88,1,4
106510023,2025,89,1,4
106510023,2025,90,1,4
106510032,2025,91,1,4
106510032,2025,8,1,4
106510032,2025,92,1,4
106510032,2025,93,1,3
106510032,2025,94,1,5
106510032,2025,12,1,3
106510032,2025,13,1,5
106510032,2025,74,1,3
106510032,2025,95,1,3
106510032,2025,96,1,7
106510032,2025,10,1,8
106510032,2025,17,1,3
106510032,2025,97,1,3
106510032,2025,25,1,4
106510032,2025,98,1,4
106510032,2025,28,1,4
106510032,2025,99,1,2
106510032,2025,100,2,1
106510032,2025,101,1,4
106510032,2025,34,2,4
106510032,2025,102,1,2
106510032,2025,103,1,4
106510032,2025,50,1,4
106510032,2025,104,1,4
106510032,2025,105,1,4
106510032,2025,5,2,4
106510032,2025,106,1,4
106510032,2025,107,1,4
106510041,2025,108,1,2
106510041,2025,47,1,4
106510041,2025,109,1,4
106510041,2025,110,1,4
106510041,2025,111,1,4
106510041,2025,112,1,4
106510041,2025,113,1,4
106510041,2025,3,3,2
106510041,2025,114,1,4
106510041,2025,115,1,4
106510041,2025,10,2,8
106510041,2025,116,1,2
106510041,2025,117,1,4
106510041,2025,118,1,4
106510041,2025,119,1,4
106510041,2025,120,1,4
106510041,2025,5,1,4
106510041,2025,121,1,2
106510041,2025,6,2,4
106510041,2025,122,1,2
106510041,2025,123,1,3
106510041,2025,32,1,4
106510041,2025,124,1,5
106510041,2025,125,1,5
106510041,2025,126,1,5
106510041,2025,127,1,5
106510041,2025,128,1,5
106510041,2025,72,1,5
106510041,2025,129,1,5
106510041,2025,96,1,7
106510041,2025,20,1,3
106510041,2025,130,1,5
106510041,2025,131,2,4
106510041,2025,132,1,4
106510041,2025,133,1,4
106510041,2025,81,1,4
106510041,2025,134,1,4
106510041,2025,33,1,4
