yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301410015,2025,809,1,4
301410015,2025,810,1,4
301410015,2025,811,1,4
301410015,2025,812,1,4
301410015,2025,813,1,4
301410027,2025,814,1,4
301410027,2025,815,1,4
301410027,2025,816,1,0
301410035,2025,10,1,8
301410035,2025,817,1,4
301410035,2025,818,1,4
301410035,2025,819,1,4
301410035,2025,820,1,2
301410035,2025,796,1,3
301410035,2025,670,1,4
301410035,2025,821,1,4
301410036,2025,822,1,4
301410036,2025,823,1,5
301410036,2025,824,1,7
301410036,2025,825,1,5
301410036,2025,826,1,5
301410036,2025,827,1,3
301410036,2025,828,1,3
301410036,2025,829,1,5
301410036,2025,830,1,4
301410036,2025,831,1,2
301410036,2025,10,2,8
301410036,2025,832,1,4
301410036,2025,833,1,2
301410036,2025,804,1,4
301410036,2025,834,1,4
301410036,2025,835,1,4
301410036,2025,836,1,4
301410038,2025,10,1,8
301410038,2025,837,1,4
301410038,2025,838,1,3
301410038,2025,839,1,2
301410038,2025,151,1,4
301410045,2025,840,1,4
301410045,2025,841,1,4
301410045,2025,842,1,4
301410045,2025,843,1,5
301410045,2025,844,1,5
301410052,2025,845,1,5
301410052,2025,846,1,5
301410052,2025,847,1,4
301410052,2025,10,2,8
301410052,2025,848,1,4
301410052,2025,849,1,4
301410052,2025,850,1,4
301410052,2025,851,1,8
301410052,2025,852,1,5
301410052,2025,853,1,5
301410059,2025,10,1,8
301410059,2025,854,1,4
301410059,2025,855,1,4
301410059,2025,856,1,4
301410066,2025,857,1,0
301410066,2025,858,1,5
301410066,2025,859,1,2
