yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112610315,2025,939,3,2
112610315,2025,2403,2,5
112610315,2025,2175,1,3
112610315,2025,2851,1,5
112610315,2025,2852,1,3
112610315,2025,795,2,3
112610315,2025,2853,1,3
112610315,2025,2182,1,5
112610315,2025,2854,1,3
112610315,2025,2855,1,2
112610315,2025,1088,1,2
112610315,2025,2856,3,2
112610315,2025,2218,1,2
112610315,2025,79,1,4
112610315,2025,1773,1,4
112610315,2025,178,4,2
112610315,2025,1433,2,2
112610315,2025,2243,8,2
112610315,2025,1013,1,4
112610315,2025,2857,3,4
112610315,2025,2858,1,2
112610315,2025,31,1,2
112610315,2025,2859,1,4
112610315,2025,1017,1,2
112610315,2025,2860,1,4
112610315,2025,657,1,4
112610315,2025,2861,1,4
112610315,2025,2185,1,4
112610315,2025,316,1,4
112610315,2025,2300,1,2
112610315,2025,2862,1,5
112610315,2025,84,3,4
112610315,2025,2863,1,2
112610315,2025,324,1,0
112610315,2025,2319,1,4
112610315,2025,2389,1,4
112610315,2025,2864,5,2
112610315,2025,2754,2,2
112610315,2025,2865,1,2
112610315,2025,2866,1,2
112610315,2025,977,5,4
112610315,2025,2867,1,4
112610315,2025,377,2,0
112610315,2025,520,1,0
112610315,2025,2868,2,2
112610315,2025,2869,2,0
112610315,2025,831,1,2
112610315,2025,1209,1,2
112610315,2025,281,1,4
112610315,2025,2729,1,2
112610315,2025,2870,3,4
112610315,2025,1560,1,2
112610315,2025,1784,1,2
112610315,2025,2871,2,4
112610315,2025,2872,2,4
112610315,2025,2873,1,6
112610315,2025,2227,1,4
112610315,2025,301,1,8
112610315,2025,805,3,2
112610315,2025,693,4,2
112610315,2025,49,2,2
112610315,2025,2874,1,2
112610315,2025,111,1,4
112610315,2025,1042,1,4
112610315,2025,248,1,2
112610315,2025,2875,2,2
112610315,2025,731,1,4
112610315,2025,990,1,2
112610315,2025,10,5,8
112610315,2025,161,2,2
112610315,2025,40,1,4
112610315,2025,900,1,2
112610315,2025,2876,2,2
112610315,2025,2560,1,4
112610315,2025,2877,1,2
112610315,2025,2878,8,2
112610315,2025,193,1,2
112610315,2025,2879,2,2
112610315,2025,865,1,2
112610315,2025,2169,3,4
112610315,2025,313,1,4
112610315,2025,2880,1,4
112610315,2025,2881,3,2
112610315,2025,2706,1,4
112610315,2025,2224,1,4
112610315,2025,163,1,2
112610315,2025,2882,1,4
112610315,2025,2883,1,2
112610315,2025,196,1,4
112610315,2025,1735,1,4
112610315,2025,2884,1,4
112610315,2025,2885,3,2
112610315,2025,533,1,4
112610315,2025,534,1,2
112610315,2025,2886,1,4
112610315,2025,2887,1,6
112610315,2025,2888,1,2
112610315,2025,2310,2,4
112610315,2025,958,2,4
112610315,2025,197,3,2
112610315,2025,120,1,4
112610315,2025,938,1,0
112610315,2025,2429,1,4
112610315,2025,2889,1,4
112610315,2025,1543,6,4
112610315,2025,2890,1,6
112610315,2025,695,1,2
112610315,2025,538,2,6
112610315,2025,353,2,2
112610315,2025,1765,1,4
112610315,2025,2891,3,2
112610315,2025,6,1,4
112610315,2025,549,2,4
112610315,2025,527,2,2
112610315,2025,1415,1,4
112610315,2025,2892,1,4
112610315,2025,2076,1,5
112610315,2025,2893,1,3
112610315,2025,2052,3,5
112610315,2025,784,1,3
112610315,2025,2894,1,5
112610315,2025,2895,1,3
112610315,2025,543,1,3
112610315,2025,2896,2,2
112610315,2025,169,1,5
112610315,2025,680,1,7
112610315,2025,2897,1,3
112610315,2025,2898,1,3
112610315,2025,2899,1,3
112610315,2025,1852,1,5
112610315,2025,2900,1,5
112610315,2025,1083,1,3
112610315,2025,2436,1,3
112610315,2025,231,1,3
112610333,2025,1753,5,4
112610333,2025,102,1,2
112610333,2025,1658,1,4
112610333,2025,2552,1,4
112610333,2025,2112,1,0
112610333,2025,2901,1,4
112610333,2025,1209,2,2
112610333,2025,2902,1,4
112610333,2025,2409,1,4
112610333,2025,1192,1,4
112610333,2025,1193,1,4
112610333,2025,716,1,0
112610333,2025,1701,1,2
112610333,2025,2903,1,4
112610333,2025,1724,1,4
112610333,2025,2118,3,4
112610333,2025,1985,1,4
112610333,2025,1783,1,4
112610333,2025,1931,1,4
112610333,2025,2904,1,2
112610333,2025,2278,1,6
112610333,2025,44,1,2
112610333,2025,1784,3,2
112610333,2025,2556,2,2
112610333,2025,10,4,8
