yop_kodu,year,lise_id,yerlesen_sayisi,school_type
100510023,2025,2976,1,4
100510023,2025,2977,1,4
100510023,2025,2978,1,4
100510023,2025,1674,1,4
100510023,2025,2820,1,4
100510023,2025,2979,1,4
100510023,2025,2980,1,0
100510023,2025,2654,1,4
100510023,2025,1444,1,4
100510023,2025,2981,1,4
100510023,2025,51,2,4
100510023,2025,2982,1,4
100510023,2025,2983,1,5
100510023,2025,1205,1,4
100510023,2025,2984,1,4
100510023,2025,1012,1,4
100510023,2025,2920,1,4
100510023,2025,2313,1,4
100510023,2025,2985,1,4
100510023,2025,1017,1,2
100510023,2025,2090,1,4
100510023,2025,10,1,8
100510023,2025,2939,2,4
100510023,2025,2986,2,4
100510023,2025,2141,3,0
100510023,2025,2451,1,0
100510023,2025,2987,1,4
100510023,2025,2988,1,4
100510023,2025,642,4,4
100510023,2025,2989,1,2
100510023,2025,1550,1,4
100510023,2025,2990,1,0
100510023,2025,1463,1,4
100510032,2025,2976,1,4
100510032,2025,2991,1,4
100510032,2025,2992,1,4
100510032,2025,2993,1,4
100510032,2025,2579,1,4
100510032,2025,2994,1,4
100510032,2025,1572,1,4
100510032,2025,2995,1,4
100510032,2025,1674,1,4
100510032,2025,2996,1,4
100510032,2025,10,4,8
100510032,2025,1330,1,4
100510032,2025,2981,4,4
100510032,2025,2997,1,4
100510032,2025,2766,1,4
100510032,2025,2998,1,4
100510032,2025,2999,1,4
100510032,2025,3000,1,4
100510032,2025,3001,2,5
100510032,2025,3002,1,4
100510032,2025,3003,1,4
100510032,2025,2988,1,4
100510032,2025,2939,2,4
100510032,2025,3004,2,4
100510032,2025,2986,2,4
100510032,2025,642,1,4
100510032,2025,3005,1,4
100510032,2025,1193,1,4
100510032,2025,3006,1,4
100510032,2025,2117,1,4
100510032,2025,3007,1,4
100510041,2025,3008,1,4
100510041,2025,2993,1,4
100510041,2025,1406,1,0
100510041,2025,3009,1,4
100510041,2025,3010,1,4
100510041,2025,3011,1,4
100510041,2025,1231,1,4
100510041,2025,2978,2,4
100510041,2025,1674,1,4
100510041,2025,1626,1,4
100510041,2025,3012,1,4
100510041,2025,3013,1,4
100510041,2025,2654,3,4
100510041,2025,2463,1,4
100510041,2025,3014,1,4
100510041,2025,3015,1,4
100510041,2025,2981,4,4
100510041,2025,3016,1,4
100510041,2025,2771,1,4
100510041,2025,3017,2,4
100510041,2025,1205,1,4
100510041,2025,10,1,8
100510041,2025,3000,1,4
100510041,2025,3018,1,4
100510041,2025,3019,1,4
100510041,2025,2090,2,4
100510041,2025,3020,1,4
100510041,2025,3004,3,4
100510041,2025,3021,2,4
100510041,2025,2986,2,4
100510041,2025,3022,1,4
100510041,2025,3023,1,4
100510041,2025,1176,1,4
100510041,2025,3024,1,4
100510041,2025,1550,1,4
100510041,2025,3025,1,4
100510041,2025,3026,1,4
100510041,2025,2976,2,4
100510041,2025,3027,1,4
100510077,2025,2161,1,4
100510077,2025,3028,1,4
100510077,2025,2978,1,4
100510077,2025,1674,1,4
100510077,2025,3029,1,4
100510077,2025,1558,1,4
100510077,2025,3021,1,4
100510086,2025,3030,2,4
100510086,2025,635,1,0
100510086,2025,3031,1,4
100510086,2025,1625,1,4
100510086,2025,3032,1,4
100510086,2025,1674,1,4
100510086,2025,2820,1,4
100510086,2025,412,1,4
100510086,2025,1300,3,4
100510086,2025,2981,3,4
100510086,2025,3033,1,4
100510086,2025,3034,1,4
100510086,2025,3035,1,1
100510086,2025,3017,1,4
100510086,2025,3000,2,4
100510086,2025,3036,1,0
100510086,2025,3037,2,4
100510086,2025,2920,1,4
100510086,2025,2313,1,4
100510086,2025,3038,1,4
100510086,2025,2090,2,4
100510086,2025,51,1,4
100510086,2025,3039,1,4
100510086,2025,3021,1,4
100510086,2025,2986,1,4
100510086,2025,3040,1,4
100510086,2025,3022,1,4
100510086,2025,3041,1,4
100510086,2025,3042,1,4
100510086,2025,10,2,8
100510086,2025,2988,1,4
100510086,2025,642,1,4
100510086,2025,1550,1,4
100510086,2025,3043,1,4
100510086,2025,1343,1,4
100510095,2025,3026,1,4
100510095,2025,730,1,4
100510095,2025,3030,1,4
100510095,2025,3044,1,4
100510095,2025,1702,1,4
100510095,2025,1641,1,4
100510095,2025,2994,1,4
100510095,2025,3045,1,0
100510095,2025,3046,1,4
100510095,2025,3047,1,4
100510095,2025,51,4,4
100510095,2025,1254,1,4
100510095,2025,1108,1,4
100510095,2025,2978,1,4
100510095,2025,1674,1,4
100510095,2025,3048,1,4
100510095,2025,3049,1,4
100510095,2025,3050,1,4
100510095,2025,908,1,4
100510095,2025,3051,1,4
100510095,2025,3052,1,4
100510095,2025,10,5,8
100510095,2025,3053,1,4
100510095,2025,3054,1,4
100510095,2025,1233,1,4
100510095,2025,2766,1,4
100510095,2025,3029,1,4
100510095,2025,1478,1,5
100510095,2025,3055,1,5
100510095,2025,3017,2,4
100510095,2025,1205,2,4
100510095,2025,3056,1,4
100510095,2025,201,1,2
100510095,2025,1281,1,4
100510095,2025,2750,1,2
100510095,2025,3057,1,4
100510095,2025,3020,1,4
100510095,2025,1065,1,4
100510095,2025,2939,1,4
100510095,2025,3058,1,4
100510095,2025,276,1,4
100510095,2025,2141,1,0
100510095,2025,3059,1,4
100510095,2025,642,1,4
100510095,2025,3060,1,4
100510095,2025,3061,1,4
100510095,2025,1461,1,4
100510095,2025,3062,1,4
100510095,2025,3063,1,4
100510095,2025,1722,1,2
100510095,2025,2792,1,4
100510095,2025,3064,1,4
100510095,2025,1693,1,4
100510129,2025,1231,1,4
100510129,2025,2978,1,4
100510129,2025,1674,1,4
100510129,2025,2022,1,4
100510129,2025,3065,1,4
100510129,2025,3066,1,4
100510129,2025,3067,1,4
100510129,2025,2981,3,4
100510129,2025,3068,1,5
100510129,2025,1205,1,4
100510129,2025,10,3,8
100510129,2025,3069,1,4
100510129,2025,1374,1,4
100510129,2025,3070,1,4
100510129,2025,2090,1,4
100510129,2025,3020,1,4
100510129,2025,1618,1,4
100510129,2025,3004,1,4
100510129,2025,2987,1,4
100510129,2025,3071,1,4
100510129,2025,642,1,4
100510129,2025,3072,1,4
100510129,2025,3073,1,4
100510129,2025,2976,1,4
100510129,2025,3074,1,4
100510129,2025,1624,1,4
100510129,2025,3075,1,4
100510138,2025,2978,1,4
100510138,2025,3076,1,4
100510138,2025,3077,1,0
100510138,2025,2654,3,4
100510138,2025,851,1,8
100510138,2025,2998,1,4
100510138,2025,3078,1,5
100510138,2025,3079,1,1
100510138,2025,3080,1,4
100510138,2025,3081,1,4
100510138,2025,51,1,4
100510138,2025,3082,1,4
100510138,2025,3083,1,4
100510138,2025,2920,1,4
100510138,2025,1172,1,4
100510138,2025,3084,2,4
100510138,2025,3085,1,4
100510138,2025,2986,1,4
100510138,2025,3086,1,4
100510138,2025,10,1,8
100510138,2025,1248,1,4
100510138,2025,2646,1,4
100510138,2025,2976,4,4
100510138,2025,3087,1,4
100510138,2025,3088,1,4
100510174,2025,3089,1,4
100510174,2025,3090,1,1
100510174,2025,3091,1,4
100510174,2025,760,1,0
100510174,2025,3092,1,4
100510174,2025,3093,1,4
100510174,2025,3094,1,4
100510174,2025,2432,1,2
100510174,2025,3095,1,5
100510174,2025,498,1,5
100510174,2025,3096,1,4
100510174,2025,1421,1,5
100510174,2025,3097,1,5
100510174,2025,3098,1,5
100510174,2025,1499,1,5
100510174,2025,3099,1,3
100510174,2025,3100,1,4
100510174,2025,3057,1,4
100510174,2025,2939,2,4
100510174,2025,2986,2,4
100510174,2025,1143,1,4
100510174,2025,51,1,4
100510174,2025,1461,2,4
100510174,2025,10,1,8
100510174,2025,1671,1,4
100510174,2025,3101,1,4
100510174,2025,3102,1,2
100510174,2025,3103,1,4
100510174,2025,2117,1,4
100510183,2025,3048,1,4
100510183,2025,1926,1,4
100510183,2025,851,2,8
100510183,2025,3104,1,4
100510183,2025,3105,1,4
100510183,2025,3106,1,5
100510183,2025,3035,1,1
100510183,2025,3078,2,5
100510183,2025,3107,1,5
100510183,2025,3108,1,5
100510183,2025,51,1,4
100510183,2025,737,1,7
100510183,2025,3109,1,5
100510183,2025,3110,1,5
100510183,2025,508,1,5
100510183,2025,1323,1,4
100510183,2025,3111,1,4
100510183,2025,2939,4,4
100510183,2025,10,2,8
100510183,2025,3007,1,4
100510183,2025,2976,1,4
100510183,2025,3112,1,4
100510183,2025,3113,1,4
100510183,2025,516,1,1
100510183,2025,2978,2,4
100510208,2025,1624,1,4
100510208,2025,3114,1,4
100510208,2025,412,1,4
100510208,2025,3115,1,4
100510208,2025,3116,1,4
100510208,2025,2981,1,4
100510208,2025,3029,1,4
100510208,2025,1976,1,4
100510208,2025,2244,1,4
100510208,2025,3117,1,4
100510208,2025,1953,1,4
100510208,2025,1065,1,4
100510208,2025,1618,1,4
100510208,2025,2939,1,4
100510208,2025,1243,1,4
100510208,2025,3118,1,4
100510208,2025,10,4,8
100510208,2025,186,1,4
100510208,2025,3119,1,4
100510208,2025,2439,1,4
100510208,2025,3120,1,4
100510208,2025,861,1,4
100510208,2025,1406,1,0
100510217,2025,2726,1,4
100510217,2025,2976,1,4
100510217,2025,3121,1,4
100510217,2025,3008,1,4
100510217,2025,2993,2,4
100510217,2025,3010,1,4
100510217,2025,3122,1,4
100510217,2025,3123,1,4
100510217,2025,3124,1,4
100510217,2025,2978,2,4
100510217,2025,3012,2,4
100510217,2025,1674,1,4
100510217,2025,3125,1,4
100510217,2025,1729,1,4
100510217,2025,3126,1,4
100510217,2025,3127,1,4
100510217,2025,3128,1,4
100510217,2025,3129,1,4
100510217,2025,3130,1,4
100510217,2025,3131,1,4
100510217,2025,3132,1,4
100510217,2025,51,1,4
100510217,2025,3133,1,4
100510217,2025,2414,1,4
100510217,2025,3134,1,4
100510217,2025,3135,1,4
100510217,2025,3053,1,4
100510217,2025,2654,3,4
100510217,2025,3136,1,4
100510217,2025,3137,1,4
100510217,2025,2981,4,4
100510217,2025,3138,1,0
100510217,2025,301,39,8
100510217,2025,3139,3,4
100510217,2025,3140,1,4
100510217,2025,3141,1,4
100510217,2025,3105,2,4
100510217,2025,3142,1,5
100510217,2025,3143,1,4
100510217,2025,1997,1,4
100510217,2025,3000,2,4
100510217,2025,3144,1,4
100510217,2025,383,1,4
100510217,2025,10,13,8
100510217,2025,3145,1,4
100510217,2025,3146,1,4
100510217,2025,3147,1,4
100510217,2025,3148,1,4
100510217,2025,3149,1,4
100510217,2025,3020,3,4
100510217,2025,3150,1,4
100510217,2025,3151,1,4
100510217,2025,3004,7,4
100510217,2025,3021,3,4
100510217,2025,2988,8,4
100510217,2025,2986,1,4
100510217,2025,3152,2,4
100510217,2025,2784,1,4
100510217,2025,3153,1,4
100510217,2025,3154,1,4
100510217,2025,2512,1,4
100510217,2025,2013,1,4
100510217,2025,3155,1,4
100510235,2025,318,1,4
100510235,2025,2869,1,0
100510235,2025,139,1,4
100510235,2025,1560,1,2
100510235,2025,108,1,2
100510235,2025,3156,1,2
100510235,2025,3157,1,4
100510235,2025,3158,1,2
100510235,2025,1200,1,2
100510235,2025,3159,1,2
100510235,2025,3012,1,4
100510235,2025,3160,1,2
100510235,2025,1202,1,4
100510235,2025,3161,1,3
100510235,2025,3162,1,5
100510235,2025,3163,1,3
100510235,2025,3164,1,5
100510235,2025,3165,1,3
100510235,2025,530,1,4
100510235,2025,1742,1,4
100510235,2025,79,1,4
100510235,2025,3166,1,4
100510235,2025,2527,1,4
100510235,2025,3167,1,4
100510235,2025,655,1,4
100510235,2025,3168,1,4
100510235,2025,2090,1,4
100510235,2025,276,1,4
100510235,2025,2451,1,0
100510235,2025,1122,1,4
100510235,2025,184,1,4
100510235,2025,888,1,4
100510235,2025,3169,1,0
100510235,2025,1541,1,4
100510235,2025,10,4,8
100510235,2025,2169,1,4
100510235,2025,2988,1,4
100510235,2025,1117,1,4
100510253,2025,3170,1,4
100510253,2025,2993,2,4
100510253,2025,3171,1,4
100510253,2025,3172,1,4
100510253,2025,1231,1,4
100510253,2025,2978,3,4
100510253,2025,1674,1,4
100510253,2025,3173,1,4
100510253,2025,3048,1,4
100510253,2025,3174,1,4
