yop_kodu,year,lise_id,yerlesen_sayisi,school_type
210100171,2025,4924,1,0
210100171,2025,4737,1,5
210100171,2025,4925,1,4
210100171,2025,4874,1,4
210100178,2025,4926,1,5
210100178,2025,1741,1,4
210100178,2025,4927,1,4
210100178,2025,1594,1,4
210100178,2025,1212,1,4
210100178,2025,851,1,8
210100178,2025,4857,1,5
210100178,2025,4928,1,7
210100178,2025,94,1,5
210100178,2025,3762,1,5
210100185,2025,4929,1,4
210100185,2025,1603,1,4
210100185,2025,4737,1,5
210100185,2025,1516,1,4
210100185,2025,4930,1,4
210100192,2025,4781,1,3
210100192,2025,4931,1,5
210100192,2025,4932,1,5
210100192,2025,2973,1,5
210100192,2025,4933,1,4
210100192,2025,1961,1,4
210100192,2025,1338,1,4
210100192,2025,1977,1,4
210100192,2025,10,1,8
210100192,2025,3758,1,0
210100192,2025,3456,1,4
210100192,2025,3258,1,4
210100192,2025,2322,1,4
210100192,2025,1937,1,4
210100192,2025,4934,1,4
210100192,2025,2606,1,4
210100199,2025,10,2,8
210100199,2025,2288,1,4
210100199,2025,3497,1,5
210100199,2025,1777,1,4
210100206,2025,4935,1,4
210100206,2025,2054,3,5
210100206,2025,4936,1,1
210100206,2025,4781,1,3
210100206,2025,4937,1,5
210100206,2025,3491,1,4
210100206,2025,10,2,8
210100206,2025,4240,1,4
210100206,2025,3456,1,4
210100206,2025,2323,1,4
210100206,2025,3044,1,4
210100206,2025,4938,1,4
210100206,2025,4939,1,4
210100213,2025,1659,1,4
210100213,2025,620,1,4
210100213,2025,2409,1,4
210100213,2025,3822,1,5
210100213,2025,4940,1,4
210100220,2025,4469,1,4
210100220,2025,2054,2,5
210100255,2025,10,1,8
210100255,2025,2120,1,4
210100255,2025,4941,1,5
210100255,2025,1706,1,5
210100255,2025,3801,1,5
210100255,2025,4137,1,3
210100262,2025,2431,1,4
210100262,2025,2633,1,5
210100262,2025,2054,1,5
210100262,2025,4778,1,5
210100262,2025,4942,1,5
210100262,2025,1421,1,5
210100262,2025,2403,1,5
210100262,2025,3394,1,5
210100262,2025,4943,1,5
210100262,2025,1834,1,4
210100262,2025,3491,2,4
210100262,2025,1775,2,4
210100262,2025,4944,1,4
210100262,2025,1284,1,4
210100262,2025,10,2,8
210100262,2025,3758,1,0
210100262,2025,2340,1,4
210100262,2025,3406,1,4
210100262,2025,4387,1,4
210100262,2025,311,1,4
210100262,2025,4945,1,4
210100269,2025,3894,1,4
210100269,2025,10,2,8
210100269,2025,3730,1,3
210100269,2025,1169,1,5
210100269,2025,664,1,4
210100276,2025,10,1,8
210100276,2025,3605,1,5
210100276,2025,567,1,4
210100276,2025,4946,1,4
210100276,2025,2054,1,5
210100276,2025,232,1,3
210100276,2025,969,1,4
210100283,2025,48,1,2
210100283,2025,257,1,4
210100283,2025,815,1,4
210100283,2025,1857,1,4
210100290,2025,4947,1,4
210100290,2025,4948,1,0
210100290,2025,10,1,8
210100290,2025,3758,1,0
210100290,2025,4949,1,4
210100290,2025,1136,1,4
210100290,2025,3768,1,5
210100290,2025,3981,1,5
210100290,2025,4950,1,5
210100290,2025,3394,1,5
210100297,2025,10,1,8
210100297,2025,192,1,0
210100297,2025,4951,1,3
210100297,2025,4952,1,5
210100297,2025,4953,1,7
210100297,2025,4954,1,5
210100304,2025,10,1,8
210100304,2025,4955,1,4
210100304,2025,1645,1,4
210100304,2025,4832,1,3
210100311,2025,10,1,8
210100311,2025,4559,1,4
210100311,2025,4956,1,4
210100311,2025,3009,1,4
210100311,2025,4957,1,4
210100318,2025,2054,1,5
210100318,2025,4857,1,5
210100318,2025,4781,1,3
210100318,2025,961,1,5
210100318,2025,4958,1,3
210100318,2025,943,1,5
210100318,2025,2131,1,5
210100318,2025,4959,1,5
210100318,2025,486,1,5
210100318,2025,4960,1,4
210100318,2025,2903,1,4
210100318,2025,950,1,4
210100318,2025,10,1,8
210100318,2025,3101,1,4
210100318,2025,3758,1,0
210100318,2025,3605,2,5
210100318,2025,3771,1,4
210100318,2025,815,2,4
210100318,2025,4752,1,5
210100339,2025,1039,1,4
210100339,2025,4656,1,4
210100339,2025,1742,1,4
210100339,2025,269,1,4
210100339,2025,1440,1,4
210100346,2025,2054,2,5
210100346,2025,2401,1,5
210100346,2025,678,1,5
210100346,2025,1168,1,5
210100346,2025,3789,1,5
210100346,2025,436,1,5
210100346,2025,3790,1,5
210100346,2025,2403,1,5
210100346,2025,4832,1,3
210100346,2025,2590,1,4
210100346,2025,3491,1,4
210100346,2025,4195,1,4
210100346,2025,2903,2,4
210100346,2025,1191,1,4
210100346,2025,4961,1,4
210100346,2025,4962,1,4
210100346,2025,3432,1,4
210100346,2025,257,1,4
210100346,2025,1047,1,4
