yop_kodu,year,lise_id,yerlesen_sayisi,school_type
100910028,2025,5092,1,0
100910028,2025,5093,1,4
100910028,2025,2654,1,4
100910028,2025,1563,1,4
100910028,2025,1631,1,4
100910028,2025,4376,1,4
100910028,2025,447,1,5
100910028,2025,5094,1,3
100910028,2025,1062,1,2
100910028,2025,3454,1,4
100910028,2025,5095,1,4
100910028,2025,4337,1,0
100910028,2025,186,2,4
100910028,2025,2113,1,4
100910028,2025,2348,1,4
100910028,2025,5096,1,4
100910028,2025,1131,1,4
100910028,2025,1348,1,4
100910037,2025,5097,1,4
100910037,2025,293,1,4
100910037,2025,5098,1,4
100910037,2025,1574,1,4
100910037,2025,5099,1,4
100910037,2025,5100,1,4
100910037,2025,4154,1,0
100910037,2025,1199,1,4
100910037,2025,5101,1,4
100910037,2025,2820,1,4
100910037,2025,1279,1,4
100910037,2025,1714,1,4
100910037,2025,5102,1,4
100910037,2025,1331,1,4
100910037,2025,5103,1,4
100910037,2025,5104,1,0
100910037,2025,1150,1,4
100910037,2025,5105,1,4
100910037,2025,3296,1,2
100910037,2025,3993,1,4
100910037,2025,839,1,2
100910037,2025,10,4,8
100910037,2025,3664,1,0
100910037,2025,5106,2,4
100910037,2025,5107,1,4
100910037,2025,5108,1,4
100910037,2025,5109,1,4
100910037,2025,305,1,4
100910037,2025,3851,1,4
100910037,2025,5110,1,4
100910037,2025,1311,2,4
100910037,2025,1385,1,4
100910037,2025,1620,1,4
100910037,2025,5111,1,4
100910037,2025,893,1,4
100910037,2025,4875,1,0
100910037,2025,5112,1,4
100910037,2025,5113,1,4
100910037,2025,1708,1,4
100910046,2025,53,1,4
100910046,2025,3699,1,4
100910046,2025,4027,1,0
100910046,2025,4887,1,0
100910046,2025,3966,1,4
100910046,2025,4247,1,4
100910046,2025,954,1,4
100910046,2025,5114,1,4
100910046,2025,5115,1,3
100910046,2025,4158,1,5
100910046,2025,251,1,4
100910046,2025,3529,1,5
100910046,2025,5116,1,5
100910046,2025,5117,1,4
100910046,2025,81,1,4
100910046,2025,5106,1,4
100910046,2025,5118,1,4
100910046,2025,3705,1,4
100910046,2025,5119,1,4
100910046,2025,949,1,0
100910046,2025,1440,1,4
100910046,2025,1598,1,4
100910046,2025,307,1,4
100910046,2025,4890,1,4
100910046,2025,2344,1,4
100910046,2025,10,1,8
100910046,2025,5120,1,4
100910046,2025,5121,1,0
100910046,2025,320,1,2
100910046,2025,5122,1,4
100910046,2025,4471,1,4
100910055,2025,5123,1,4
100910055,2025,5124,1,4
100910055,2025,3882,1,4
100910055,2025,1359,1,4
100910055,2025,5125,1,4
100910055,2025,5126,1,4
100910055,2025,245,1,4
100910055,2025,2515,1,4
100910055,2025,5127,1,4
100910055,2025,5128,1,4
100910055,2025,5095,3,4
100910055,2025,142,1,4
100910055,2025,3676,1,2
100910055,2025,2348,2,4
100910055,2025,5129,1,4
100910055,2025,1328,1,4
100910055,2025,3091,1,4
100910055,2025,3050,1,4
100910055,2025,5130,1,4
100910055,2025,4586,1,4
100910055,2025,2108,1,5
100910055,2025,5131,1,4
100910055,2025,5132,1,5
100910055,2025,5133,1,4
100910055,2025,4091,2,4
100910055,2025,5134,1,4
100910055,2025,5135,1,4
100910055,2025,1398,1,4
100910055,2025,5136,1,4
100910055,2025,5137,2,4
100910055,2025,10,2,8
100910055,2025,5138,1,4
100910055,2025,2535,1,4
100910055,2025,2113,1,4
100910055,2025,5139,1,4
100910064,2025,3804,1,4
100910064,2025,5140,1,4
100910064,2025,4750,1,4
100910064,2025,5079,1,4
100910064,2025,5128,1,4
100910064,2025,3008,1,4
100910064,2025,3009,1,4
100910064,2025,3460,1,4
100910064,2025,1551,1,2
100910064,2025,5141,1,4
100910064,2025,10,1,8
100910064,2025,2559,1,4
100910064,2025,5142,1,4
100910064,2025,901,1,4
100910064,2025,3091,1,4
100910064,2025,1077,1,4
100910064,2025,5092,1,0
100910064,2025,1275,1,4
100910064,2025,5143,1,4
100910064,2025,4761,1,4
100910064,2025,5102,1,4
100910064,2025,5144,1,4
100910064,2025,5145,1,4
100910064,2025,5103,1,4
100910064,2025,3434,1,4
100910064,2025,2630,1,4
100910064,2025,4204,1,4
100910064,2025,1949,1,5
100910064,2025,5146,1,5
100910064,2025,2217,1,5
100910064,2025,3017,1,4
100910064,2025,5147,1,4
100910064,2025,5148,1,4
100910064,2025,2085,1,0
100910064,2025,5107,1,4
100910064,2025,4392,1,4
100910064,2025,3147,1,4
100910064,2025,5149,1,4
100910064,2025,5150,1,4
100910064,2025,5151,1,4
100910064,2025,3956,1,4
100910064,2025,4162,1,4
100910064,2025,5152,1,4
100910064,2025,5153,1,4
100910064,2025,4740,1,4
100910064,2025,1311,1,4
100910064,2025,1242,1,4
100910064,2025,3901,1,4
100910064,2025,5154,1,4
100910064,2025,4828,1,4
100910064,2025,186,1,4
100910064,2025,309,1,4
100910082,2025,4300,1,4
100910082,2025,88,1,4
100910082,2025,3708,1,4
100910082,2025,3503,1,0
100910082,2025,3385,1,0
100910082,2025,2317,1,4
100910082,2025,5155,1,4
100910082,2025,4395,1,4
100910082,2025,2733,1,4
100910082,2025,3009,1,4
100910082,2025,5095,2,4
100910082,2025,3291,1,0
100910082,2025,4013,1,4
100910082,2025,5156,1,4
100910082,2025,3173,1,4
100910082,2025,1133,1,4
100910082,2025,2909,1,4
100910082,2025,5157,1,4
100910082,2025,5158,1,4
100910082,2025,3885,1,4
100910082,2025,5159,1,4
100910082,2025,3240,1,4
100910082,2025,2048,1,4
100910082,2025,3967,1,0
100910082,2025,5160,1,4
100910082,2025,5161,1,4
100910082,2025,144,1,4
100910082,2025,3247,1,5
100910082,2025,3768,1,5
100910082,2025,5162,1,5
100910082,2025,5163,1,5
100910082,2025,5164,1,4
100910082,2025,10,5,8
100910082,2025,5165,1,4
100910082,2025,3705,1,4
100910082,2025,4965,1,4
100910082,2025,3359,1,4
100910082,2025,5166,1,4
100910082,2025,3983,1,4
100910082,2025,2419,1,4
100910082,2025,5167,1,4
100910082,2025,5168,1,2
100910082,2025,3863,1,4
100910082,2025,5169,1,4
100910082,2025,2113,1,4
100910082,2025,4875,1,0
100910082,2025,1090,1,4
100910143,2025,104,1,4
