yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101010016,2025,982,1,4
101010016,2025,5378,1,2
101010016,2025,1192,1,4
101010016,2025,140,1,2
101010016,2025,4876,1,2
101010016,2025,716,2,0
101010016,2025,45,2,2
101010016,2025,2099,1,4
101010016,2025,49,1,2
101010016,2025,3511,1,2
101010016,2025,3523,1,4
101010016,2025,39,2,4
101010016,2025,2874,1,2
101010016,2025,1813,1,4
101010016,2025,3679,1,2
101010016,2025,863,1,4
101010016,2025,248,1,2
101010016,2025,864,1,4
101010016,2025,1213,1,4
101010016,2025,1163,1,2
101010016,2025,40,1,4
101010016,2025,10,3,8
101010016,2025,2151,2,4
101010016,2025,2371,1,4
101010016,2025,636,1,4
101010016,2025,3905,1,4
101010016,2025,2877,1,2
101010016,2025,3681,1,2
101010016,2025,904,1,4
101010016,2025,866,1,4
101010016,2025,1200,1,2
101010016,2025,313,1,4
101010016,2025,891,1,4
101010016,2025,996,1,4
101010016,2025,1110,1,2
101010016,2025,2104,1,4
101010016,2025,1763,1,4
101010016,2025,1410,1,4
101010016,2025,3390,1,4
101010016,2025,2429,1,4
101010016,2025,2152,1,4
101010016,2025,1444,1,4
101010016,2025,538,2,6
101010016,2025,2169,1,4
101010016,2025,225,1,6
101010016,2025,2288,1,4
101010016,2025,1766,1,6
101010016,2025,202,1,2
101010016,2025,610,1,2
101010016,2025,999,1,2
101010016,2025,64,1,4
101010016,2025,227,1,3
101010016,2025,784,1,3
101010016,2025,5379,1,5
101010016,2025,1838,1,4
101010016,2025,3910,1,3
101010016,2025,475,1,3
101010016,2025,5380,1,3
101010016,2025,1418,1,3
101010016,2025,5381,1,3
101010016,2025,5382,1,5
101010016,2025,5383,1,3
101010016,2025,5384,1,1
101010016,2025,555,1,5
101010016,2025,2083,1,3
101010016,2025,36,1,4
101010016,2025,5385,1,2
101010016,2025,236,1,2
101010016,2025,3424,1,2
101010016,2025,2243,1,2
101010016,2025,881,1,2
101010016,2025,2089,1,4
101010016,2025,613,1,2
101010016,2025,2185,1,4
101010016,2025,886,1,4
101010016,2025,316,1,4
101010016,2025,318,1,4
101010016,2025,5386,1,5
101010016,2025,2862,1,5
101010016,2025,2571,1,2
101010016,2025,218,1,2
101010016,2025,2864,2,2
101010016,2025,3414,1,2
101010016,2025,5010,1,4
101010016,2025,187,1,2
101010025,2025,810,1,4
101010025,2025,5387,1,4
101010025,2025,2099,1,4
101010025,2025,46,1,0
101010025,2025,1072,1,0
101010025,2025,3582,1,0
101010025,2025,162,1,4
101010025,2025,5388,1,4
101010025,2025,1849,1,4
101010025,2025,2105,1,4
101010025,2025,10,4,8
101010025,2025,2153,1,4
101010025,2025,1766,1,6
101010025,2025,5389,1,1
101010025,2025,2712,1,4
101010025,2025,1011,1,4
101010025,2025,2218,1,2
101010025,2025,2243,1,2
101010025,2025,5390,1,4
101010025,2025,2405,1,4
101010025,2025,2939,1,4
101010025,2025,5064,1,4
101010025,2025,3202,1,5
101010025,2025,3253,1,4
101010025,2025,5391,1,4
101010025,2025,1984,1,4
101010025,2025,1404,1,2
101010025,2025,2223,1,4
101010025,2025,5392,1,4
101010034,2025,3809,1,4
101010034,2025,5393,1,4
101010034,2025,2874,1,2
101010034,2025,4045,1,4
101010034,2025,1552,1,6
101010034,2025,222,1,4
101010034,2025,413,1,4
101010034,2025,4289,1,0
101010034,2025,256,1,4
101010034,2025,1542,1,4
101010034,2025,3201,1,4
101010034,2025,2153,1,4
101010034,2025,5238,1,4
101010034,2025,4123,1,0
101010034,2025,5394,1,5
101010034,2025,1852,1,5
101010034,2025,5395,1,5
101010034,2025,5396,1,1
101010034,2025,2311,1,3
101010034,2025,2506,1,4
101010034,2025,4322,1,4
101010034,2025,3204,1,4
101010034,2025,1310,1,4
101010034,2025,657,1,4
101010034,2025,5397,1,0
101010034,2025,1837,1,4
101010034,2025,3851,1,4
101010034,2025,3757,1,4
101010034,2025,10,5,8
101010034,2025,3101,1,4
101010034,2025,4469,1,4
101010034,2025,5398,1,0
101010034,2025,810,1,4
101010043,2025,1072,1,0
101010043,2025,3211,1,4
101010043,2025,5399,1,0
101010043,2025,4012,1,4
101010043,2025,5400,1,4
101010043,2025,5401,1,4
101010043,2025,3512,1,0
101010043,2025,3229,1,4
101010043,2025,1133,1,4
101010043,2025,1941,1,4
101010043,2025,1847,1,4
101010043,2025,959,1,4
101010043,2025,1544,1,4
101010043,2025,4101,1,4
101010043,2025,2564,1,4
101010043,2025,5402,1,5
101010043,2025,5403,1,3
101010043,2025,5404,1,5
