yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209510010,2025,10,1,8
209510010,2025,162,1,4
209510010,2025,7640,1,5
209510010,2025,7641,1,5
209510011,2025,7642,1,3
209510011,2025,2079,1,5
209510011,2025,2592,1,4
209510011,2025,182,1,4
209510011,2025,3396,1,4
209510011,2025,4519,1,4
209510011,2025,157,1,0
209510011,2025,3620,1,4
209510011,2025,2481,1,4
209510011,2025,1972,1,4
209510011,2025,6140,1,5
209510011,2025,4480,1,5
209510014,2025,230,1,3
209510014,2025,3424,1,2
209510014,2025,10,2,8
209510014,2025,978,1,4
209510014,2025,1560,1,2
209510014,2025,160,1,4
209510014,2025,4059,1,4
209510014,2025,2878,1,2
209510014,2025,7643,1,5
209510014,2025,7644,1,5
209510015,2025,7645,1,1
209510015,2025,1085,2,5
209510015,2025,4683,1,5
209510015,2025,5163,1,5
209510015,2025,7646,1,5
209510015,2025,3567,1,5
209510015,2025,3787,1,5
209510015,2025,7647,1,3
209510015,2025,4237,1,5
209510015,2025,1115,1,5
209510015,2025,10,1,8
209510015,2025,5620,1,4
209510015,2025,3632,1,4
209510015,2025,6720,1,4
209510015,2025,4572,1,5
209510015,2025,6126,1,5
209510015,2025,7648,1,5
209510015,2025,7649,1,3
209510015,2025,7650,1,5
209510015,2025,7182,1,5
209510015,2025,6209,2,5
209510017,2025,10,1,8
209510017,2025,1680,1,5
209510017,2025,7651,1,5
209510017,2025,4286,1,4
209510018,2025,10,1,8
209510018,2025,6760,1,4
209510018,2025,7652,1,5
209510018,2025,7653,1,0
209510020,2025,10,2,8
209510020,2025,5482,1,4
209510020,2025,3686,1,4
209510020,2025,1201,1,2
209510020,2025,7654,1,5
209510020,2025,3098,1,5
209510021,2025,10,1,8
209510021,2025,7655,1,0
209510021,2025,7656,1,3
209510021,2025,3821,1,5
209510021,2025,7657,1,5
209510021,2025,7658,1,1
209510023,2025,160,1,4
209510023,2025,2371,1,4
209510023,2025,7659,1,4
209510023,2025,261,1,5
209510023,2025,4216,1,5
209510023,2025,943,1,5
209510023,2025,3793,1,3
209510023,2025,945,1,5
209510024,2025,10,1,8
209510024,2025,1768,1,5
209510024,2025,6375,1,5
209510025,2025,7660,2,4
209510025,2025,7140,1,5
209510025,2025,7661,1,3
209510025,2025,7662,1,3
209510025,2025,2855,1,2
209510025,2025,7331,1,4
209510025,2025,2860,1,4
209510027,2025,4707,1,0
209510027,2025,281,1,4
209510027,2025,160,1,4
209510027,2025,855,1,4
209510027,2025,5114,1,4
209510027,2025,2380,1,5
209510027,2025,1054,1,3
209510027,2025,3761,1,3
209510028,2025,1018,1,4
209510028,2025,7663,1,4
209510028,2025,10,1,8
209510028,2025,3820,1,4
209510028,2025,785,1,3
209510028,2025,7664,1,5
209510028,2025,7665,1,3
209510028,2025,5519,1,3
209510028,2025,486,1,5
209510029,2025,7666,1,5
209510029,2025,5466,1,4
209510030,2025,1175,1,4
209510030,2025,1812,1,4
209510030,2025,2768,1,5
209510030,2025,5379,1,5
209510030,2025,4284,1,5
209510031,2025,5361,1,5
209510031,2025,7667,1,5
209510031,2025,7668,1,5
209510031,2025,4344,1,7
209510031,2025,2380,1,5
209510031,2025,3690,1,5
209510031,2025,7669,1,3
209510031,2025,6209,1,5
209510031,2025,3641,1,5
209510031,2025,6263,1,5
209510031,2025,10,2,8
209510031,2025,3618,1,5
209510031,2025,7670,1,5
209510031,2025,6319,1,5
209510031,2025,2744,1,5
209510031,2025,6356,1,5
209510031,2025,7671,1,5
209510031,2025,4148,1,5
209510031,2025,1742,1,4
209510031,2025,7672,1,5
209510031,2025,1640,1,4
209510031,2025,2872,1,4
209510031,2025,4590,1,4
209510031,2025,4428,1,4
209510031,2025,688,1,3
209510031,2025,4778,1,5
209510032,2025,2046,1,4
209510032,2025,3330,1,4
209510033,2025,1150,1,4
209510033,2025,136,1,4
209510033,2025,1953,1,4
209510033,2025,10,1,8
209510033,2025,4707,1,0
209510033,2025,2164,1,4
209510033,2025,53,1,4
209510033,2025,531,1,0
209510033,2025,7673,1,4
209510033,2025,2821,1,4
209510034,2025,5115,1,3
209510034,2025,7182,1,5
209510034,2025,7635,1,5
209510034,2025,1169,1,5
209510034,2025,7674,1,5
209510034,2025,3641,1,5
209510034,2025,5163,1,5
209510034,2025,853,1,5
209510034,2025,648,1,5
209510034,2025,5709,1,3
209510034,2025,10,3,8
209510034,2025,3098,1,5
209510034,2025,7675,1,5
209510034,2025,6338,1,5
209510034,2025,2747,1,5
209510034,2025,3425,1,4
209510034,2025,7676,1,5
209510034,2025,2439,1,4
209510034,2025,4275,1,4
209510034,2025,487,1,4
209510034,2025,7677,1,4
209510034,2025,2843,1,7
209510034,2025,5503,1,5
209510036,2025,886,1,4
209510036,2025,892,1,4
209510036,2025,5128,1,4
209510036,2025,3489,1,4
209510036,2025,3242,1,4
209510036,2025,1820,1,4
209510036,2025,7678,1,5
209510036,2025,7679,1,7
209510036,2025,3315,1,5
209510037,2025,631,1,0
209510037,2025,4459,1,4
209510037,2025,1074,1,4
209510037,2025,52,1,4
209510037,2025,1643,1,4
209510037,2025,3872,1,5
209510037,2025,4428,1,4
209510037,2025,1994,1,4
209510037,2025,5993,1,4
209510037,2025,2076,1,5
209510037,2025,10,6,8
209510037,2025,1949,1,5
209510037,2025,7648,1,5
209510037,2025,7680,1,5
209510037,2025,7681,1,5
209510037,2025,4500,1,5
209510037,2025,7682,1,5
209510037,2025,6194,1,5
209510037,2025,5381,1,3
209510037,2025,7683,1,5
209510037,2025,3529,1,5
209510037,2025,4178,1,4
209510037,2025,1182,1,5
209510037,2025,7684,1,5
209510037,2025,4355,1,5
209510037,2025,7685,1,5
209510037,2025,6382,1,5
209510037,2025,3422,1,4
209510037,2025,6478,1,4
209510037,2025,4779,1,4
209510037,2025,7686,1,4
209510037,2025,2572,1,4
209510037,2025,1867,1,4
209510037,2025,6717,1,4
209510037,2025,6744,1,4
209510037,2025,6805,1,0
209510037,2025,1782,1,4
209510037,2025,2576,1,4
209510037,2025,6908,1,4
209510037,2025,2689,1,4
209510039,2025,2088,1,4
209510039,2025,2849,1,4
209510039,2025,949,1,0
209510039,2025,666,1,4
209510039,2025,4590,1,4
209510039,2025,3410,1,0
209510039,2025,2206,1,4
209510039,2025,2564,1,4
209510039,2025,5709,1,3
209510039,2025,22,1,5
209510039,2025,1186,1,4
209510042,2025,5476,1,5
209510042,2025,10,1,8
209510042,2025,4707,1,0
209510042,2025,1070,1,4
209510042,2025,4048,1,4
209510042,2025,4004,1,4
209510042,2025,7687,1,5
209510042,2025,1495,1,5
209510042,2025,3109,1,5
209510043,2025,7688,1,4
209510043,2025,239,1,4
209510043,2025,10,2,8
209510043,2025,5208,1,4
209510043,2025,3455,1,0
209510043,2025,3456,1,4
209510043,2025,4372,1,5
209510043,2025,6126,1,5
209510043,2025,126,1,5
209510043,2025,128,1,5
209510046,2025,10,3,8
209510046,2025,5366,1,4
209510046,2025,2764,1,0
209510046,2025,2397,1,5
209510046,2025,4624,1,5
209510046,2025,7171,1,5
209510054,2025,7665,1,3
209510054,2025,2188,1,4
209510054,2025,4351,1,4
209510054,2025,784,1,3
209510054,2025,5672,1,5
209510054,2025,3616,1,5
209510054,2025,171,1,5
209510054,2025,7689,1,5
209510054,2025,5163,1,5
209510054,2025,5477,1,7
209510061,2025,631,1,0
209510061,2025,7687,1,5
209510061,2025,2636,1,5
209510061,2025,4858,1,4
209510068,2025,3474,1,4
209510068,2025,3405,1,0
209510068,2025,10,3,8
209510068,2025,4118,1,0
209510068,2025,162,1,4
209510068,2025,3620,1,4
209510068,2025,2126,1,4
209510068,2025,444,1,5
209510068,2025,4148,1,5
209510068,2025,3484,1,4
209510075,2025,5114,1,4
209510075,2025,4329,1,5
209510075,2025,1001,1,1
209510075,2025,4572,1,5
209510075,2025,7690,1,5
209510075,2025,7691,1,5
209510075,2025,7692,1,5
209510075,2025,69,1,5
209510075,2025,4479,1,5
209510075,2025,4871,1,5
209510075,2025,1632,1,4
209510075,2025,126,1,5
209510075,2025,843,1,5
209510075,2025,7668,1,5
209510075,2025,5073,2,5
209510075,2025,3247,1,5
209510075,2025,7635,1,5
209510075,2025,7693,1,5
209510075,2025,1495,1,5
209510075,2025,7666,1,5
209510075,2025,172,1,5
209510075,2025,301,1,8
209510075,2025,6268,1,5
209510075,2025,3589,1,5
209510075,2025,6303,1,5
209510075,2025,3567,1,5
209510075,2025,2354,1,5
209510075,2025,648,1,5
209510075,2025,1974,1,5
209510075,2025,3845,1,5
209510075,2025,2744,1,5
209510075,2025,7694,1,5
209510075,2025,10,9,8
209510075,2025,3703,1,5
209510075,2025,4685,1,5
209510075,2025,265,1,7
209510075,2025,6417,1,4
209510075,2025,2714,1,4
209510075,2025,3298,1,4
209510075,2025,5183,1,4
209510075,2025,2572,1,4
209510075,2025,5208,1,4
209510075,2025,979,1,4
209510075,2025,2439,1,4
209510075,2025,2969,1,4
209510075,2025,2047,1,4
209510089,2025,10,1,8
209510089,2025,1419,1,2
209510089,2025,2896,1,2
209510089,2025,103,1,4
209510089,2025,2872,2,4
209510096,2025,1867,1,4
209510096,2025,613,1,2
209510103,2025,7666,1,5
209510103,2025,7695,1,5
209510103,2025,6209,1,5
209510103,2025,94,1,5
209510103,2025,7696,1,5
209510103,2025,7697,1,5
209510103,2025,1680,1,5
209510103,2025,3098,1,5
209510103,2025,7698,1,1
209510103,2025,5314,1,5
209510103,2025,10,4,8
209510103,2025,7699,1,5
209510103,2025,7700,1,5
209510103,2025,7651,1,5
209510103,2025,7701,1,3
209510103,2025,6382,1,5
209510103,2025,459,1,4
209510103,2025,2612,1,4
209510103,2025,2491,1,4
209510103,2025,662,1,4
209510103,2025,6289,1,0
209510103,2025,983,1,4
209510103,2025,7702,1,5
209510103,2025,7703,1,5
209510103,2025,7668,1,5
209510103,2025,7635,1,5
209510103,2025,2636,1,5
209510124,2025,1867,1,4
209510124,2025,3397,1,4
209510124,2025,2363,1,4
209510124,2025,2118,1,4
209510124,2025,4013,1,4
209510124,2025,344,1,4
209510124,2025,162,1,4
209510124,2025,1645,1,4
209510124,2025,55,1,2
209510124,2025,5772,1,4
209510124,2025,6064,1,4
209510124,2025,1493,1,4
209510124,2025,164,1,4
209510124,2025,3964,1,4
209510124,2025,4,1,4
209510124,2025,4887,1,0
209510124,2025,5,1,4
209510124,2025,4350,1,4
209510124,2025,539,1,0
209510124,2025,2767,1,4
209510124,2025,5686,1,2
209510124,2025,10,8,8
209510124,2025,2290,1,4
209510124,2025,3106,1,5
209510124,2025,1031,1,5
209510124,2025,4231,1,5
209510124,2025,7179,1,5
209510124,2025,2055,1,5
209510124,2025,2435,2,5
209510124,2025,964,1,3
209510124,2025,2637,1,5
209510124,2025,3625,1,5
209510124,2025,939,1,2
209510124,2025,7689,1,5
209510124,2025,944,1,5
209510124,2025,3618,1,5
209510124,2025,7704,1,5
209510124,2025,5619,1,5
209510124,2025,1666,1,5
209510124,2025,3098,1,5
209510124,2025,4105,1,5
209510124,2025,945,1,5
209510124,2025,7705,1,5
209510124,2025,4178,1,4
209510124,2025,7706,2,5
209510124,2025,7707,1,5
209510124,2025,5267,1,5
209510124,2025,4128,1,0
209510124,2025,7708,1,4
209510124,2025,7709,1,4
209510124,2025,3004,1,4
209510124,2025,324,1,0
209510124,2025,4707,1,0
209510124,2025,4118,1,0
209510124,2025,5322,1,4
209510131,2025,391,2,5
209510131,2025,4547,2,5
209510131,2025,7643,1,5
209510131,2025,2235,1,7
209510131,2025,7702,1,5
209510131,2025,7710,1,5
209510131,2025,4479,1,5
209510131,2025,7711,1,5
209510131,2025,7693,1,5
209510131,2025,436,1,5
209510131,2025,10,2,8
209510131,2025,2269,1,5
209510131,2025,6263,1,5
209510131,2025,1171,1,5
209510131,2025,7712,1,5
209510131,2025,7640,1,5
209510131,2025,3801,1,5
209510131,2025,7713,1,5
209510131,2025,7714,1,5
209510131,2025,6356,1,5
209510131,2025,7715,1,5
209510131,2025,2145,1,4
209510131,2025,7716,1,5
209510131,2025,6478,1,4
209510131,2025,801,1,1
209510131,2025,1782,1,4
209510131,2025,2317,1,4
209510131,2025,7717,1,4
209510131,2025,1872,1,4
209510131,2025,3054,1,4
209510131,2025,2288,1,4
209510152,2025,10,1,8
209510152,2025,16,1,3
209510159,2025,10,2,8
209510159,2025,2433,1,0
209510159,2025,956,1,2
209510159,2025,4609,1,4
209510159,2025,2842,1,4
209510159,2025,2434,1,0
209510159,2025,7718,1,0
209510159,2025,182,2,4
209510166,2025,4479,1,5
209510166,2025,126,1,5
209510166,2025,5432,1,7
209510166,2025,7719,1,5
209510166,2025,7179,1,5
209510166,2025,2174,1,5
209510166,2025,7635,1,5
209510166,2025,2055,1,5
209510166,2025,7197,1,5
209510166,2025,6209,1,5
209510166,2025,10,11,8
209510166,2025,7237,1,5
209510166,2025,5477,1,7
209510166,2025,7720,1,1
209510166,2025,1680,1,5
209510166,2025,7670,1,5
209510166,2025,7721,1,5
209510166,2025,7722,1,5
209510166,2025,7707,1,5
209510166,2025,1009,1,7
209510166,2025,2312,1,4
209510166,2025,5393,1,4
209510166,2025,6449,1,4
209510166,2025,1092,1,4
209510166,2025,2419,1,4
209510166,2025,2734,1,4
209510166,2025,7723,1,4
209510166,2025,5458,1,4
209510166,2025,2374,1,4
209510166,2025,4586,1,4
209510166,2025,3979,1,5
209510222,2025,7724,1,3
209510222,2025,1559,1,4
209510222,2025,136,1,4
209510222,2025,2113,1,4
209510222,2025,4141,1,4
209510222,2025,2689,1,4
209510222,2025,2872,1,4
209510222,2025,3682,1,2
209510222,2025,996,1,4
209510222,2025,226,1,2
209510222,2025,3637,1,3
209510229,2025,7680,1,5
209510229,2025,366,1,5
209510229,2025,232,1,3
209510229,2025,130,1,5
