yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209210010,2025,2434,1,0
209210010,2025,1916,1,5
209210010,2025,7699,1,5
209210010,2025,1035,1,5
209210010,2025,182,1,4
209210010,2025,10,1,8
209210010,2025,131,1,4
209210010,2025,4677,1,4
209210010,2025,994,1,4
209210010,2025,255,1,4
209210010,2025,2072,1,4
209210010,2025,3620,1,4
209210010,2025,353,1,2
209210011,2025,319,1,4
209210011,2025,3997,1,4
209210011,2025,1791,1,4
209210011,2025,4653,1,4
209210011,2025,38,1,4
209210011,2025,2394,1,4
209210011,2025,3339,1,4
209210011,2025,311,1,4
209210011,2025,698,1,4
209210011,2025,2880,1,4
209210011,2025,6064,1,4
209210011,2025,2397,1,5
209210011,2025,7985,1,3
209210011,2025,4572,1,5
209210011,2025,5540,1,5
209210011,2025,1826,1,5
209210011,2025,3215,1,5
209210011,2025,4479,1,5
209210011,2025,5073,1,5
209210011,2025,5472,1,5
209210011,2025,1054,1,3
209210011,2025,6758,1,4
209210011,2025,7693,1,5
209210011,2025,3652,1,5
209210011,2025,706,1,5
209210011,2025,5541,1,5
209210011,2025,170,1,5
209210011,2025,6209,1,5
209210011,2025,1085,1,5
209210011,2025,746,1,5
209210011,2025,2677,1,5
209210011,2025,2505,1,5
209210011,2025,7986,1,4
209210011,2025,5163,1,5
209210011,2025,7987,1,5
209210011,2025,683,1,5
209210011,2025,3567,1,5
209210011,2025,7988,2,5
209210011,2025,3098,1,5
209210011,2025,3845,1,5
209210011,2025,7989,1,5
209210011,2025,5267,1,5
209210011,2025,3704,1,7
209210011,2025,10,9,8
209210011,2025,3055,1,5
209210011,2025,2242,1,4
209210011,2025,3554,1,4
209210011,2025,212,1,4
209210011,2025,5494,1,1
209210011,2025,7990,1,5
209210011,2025,2093,1,4
209210011,2025,7686,1,4
209210011,2025,2145,1,4
209210011,2025,6190,1,2
209210011,2025,5364,2,4
209210011,2025,7676,1,5
209210041,2025,217,1,4
209210041,2025,2762,1,2
209210041,2025,1049,1,3
209210041,2025,4079,1,5
209210041,2025,2933,1,5
209210041,2025,291,1,4
209210042,2025,1881,1,4
209210042,2025,7953,1,3
209210042,2025,2270,1,3
209210042,2025,1186,1,4
209210042,2025,80,1,4
209210042,2025,2088,1,4
209210042,2025,2860,1,4
209210042,2025,212,1,4
209210042,2025,217,1,4
209210042,2025,5364,1,4
209210042,2025,2346,1,4
209210042,2025,188,1,2
209210042,2025,2689,1,4
209210042,2025,312,1,4
209210042,2025,163,1,2
209210042,2025,3390,1,4
209210044,2025,61,1,2
209210044,2025,3567,1,5
209210044,2025,7991,1,7
209210044,2025,7992,1,5
209210044,2025,3221,1,2
209210044,2025,4708,1,4
209210044,2025,10,1,8
209210044,2025,324,1,0
209210044,2025,3227,1,2
209210044,2025,280,1,4
209210044,2025,559,1,4
209210044,2025,2150,1,4
209210044,2025,4002,1,0
209210044,2025,2914,1,4
209210045,2025,3682,1,2
209210045,2025,7993,1,2
209210045,2025,7994,1,3
209210045,2025,2206,1,4
209210045,2025,7995,1,2
209210045,2025,4242,1,1
209210045,2025,540,1,3
209210045,2025,67,1,3
209210045,2025,7678,1,5
209210045,2025,7153,1,5
209210045,2025,10,3,8
209210045,2025,4623,1,3
209210045,2025,7643,1,5
209210045,2025,7996,1,3
209210045,2025,3709,1,5
209210045,2025,7681,1,5
209210045,2025,7775,1,5
209210045,2025,4703,1,5
209210045,2025,5503,1,5
209210045,2025,127,1,5
209210045,2025,5178,1,5
209210045,2025,3426,1,4
209210045,2025,7997,1,3
209210045,2025,7182,1,5
209210045,2025,7998,1,3
209210045,2025,1416,1,3
209210045,2025,7999,1,3
209210045,2025,8000,1,3
209210045,2025,170,1,5
209210045,2025,5435,1,5
209210045,2025,5511,1,5
209210045,2025,3217,1,3
209210045,2025,2869,1,0
209210045,2025,1583,1,3
209210045,2025,1423,1,5
209210045,2025,8001,1,5
209210045,2025,8002,1,3
