yop_kodu,year,lise_id,yerlesen_sayisi,school_type
210200297,2025,10,3,8
210200297,2025,4173,1,4
210200297,2025,7259,1,1
210200304,2025,3782,1,5
210200304,2025,128,1,5
210200304,2025,7197,1,5
210200304,2025,4089,1,5
210200304,2025,2972,1,5
210200304,2025,8742,1,5
210200304,2025,3981,1,5
210200304,2025,853,1,5
210200304,2025,3879,1,5
210200304,2025,3775,2,5
210200304,2025,10,1,8
210200304,2025,3792,1,5
210200304,2025,3509,1,5
210200304,2025,3497,1,5
210200304,2025,8743,1,5
210200304,2025,3455,1,0
210200304,2025,6894,1,4
210200304,2025,7619,1,5
210200304,2025,3565,2,5
210200304,2025,3636,1,3
210200304,2025,3549,2,5
210200304,2025,3419,1,5
210200311,2025,40,1,4
210200311,2025,4050,1,0
210200311,2025,9,1,5
210200311,2025,2610,1,6
210200311,2025,6470,1,4
210200318,2025,7445,1,4
210200318,2025,3410,1,0
210200318,2025,2500,1,4
210200318,2025,3464,1,4
210200318,2025,2633,1,5
210200318,2025,4305,1,5
210200318,2025,784,1,3
210200318,2025,3480,1,5
210200318,2025,4744,1,5
210200318,2025,7188,1,5
210200318,2025,3166,1,4
210200318,2025,2403,1,5
210200318,2025,2846,1,5
210200318,2025,2781,1,5
210200318,2025,1775,1,4
210200318,2025,7330,1,4
210200318,2025,884,1,4
210200318,2025,5280,1,4
210200318,2025,10,1,8
210200318,2025,3101,1,4
210200318,2025,3455,1,0
210200318,2025,4287,1,4
210200318,2025,469,1,4
210200318,2025,1588,1,4
210200318,2025,4883,1,4
210200325,2025,10,1,8
210200325,2025,1752,1,0
210200325,2025,8744,1,4
210200325,2025,2227,1,4
210200325,2025,3432,1,4
210200325,2025,1050,1,5
210200325,2025,3590,1,3
210200325,2025,1689,1,4
210200332,2025,6831,1,4
210200332,2025,1965,1,4
210200332,2025,5373,1,4
210200332,2025,3418,1,1
210200332,2025,8745,1,5
210200332,2025,2405,1,4
210200339,2025,250,1,4
210200339,2025,4886,1,4
210200339,2025,5868,1,4
210200339,2025,869,1,4
210200339,2025,2195,1,4
210200339,2025,1910,1,4
210200339,2025,6043,1,4
210200339,2025,1764,1,4
210200339,2025,590,1,4
210200339,2025,2126,1,4
210200339,2025,10,4,8
210200339,2025,918,1,5
210200339,2025,2127,1,5
210200339,2025,3701,2,5
