yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101310013,2025,3009,1,4
101310013,2025,3045,1,0
101310013,2025,191,1,4
101310013,2025,2122,1,4
101310013,2025,1199,1,4
101310013,2025,901,1,4
101310013,2025,3242,1,4
101310013,2025,7620,1,4
101310013,2025,2910,1,4
101310013,2025,285,1,4
101310013,2025,7283,1,4
101310013,2025,1079,1,2
101310013,2025,5889,1,4
101310013,2025,1411,1,4
101310013,2025,3548,1,4
101310013,2025,8675,1,4
101310013,2025,8901,1,4
101310013,2025,4925,1,4
101310013,2025,1089,1,2
101310013,2025,81,1,4
101310013,2025,1140,1,4
101310013,2025,8902,1,4
101310013,2025,1222,1,0
101310013,2025,1373,1,4
101310013,2025,3233,1,4
101310013,2025,3057,1,4
101310013,2025,3536,1,4
101310013,2025,1094,1,4
101310013,2025,4434,1,4
101310013,2025,859,1,2
101310013,2025,2451,1,0
101310013,2025,1461,1,4
101310013,2025,10,2,8
101310013,2025,6726,1,4
101310013,2025,1671,1,4
101310013,2025,2990,2,0
101310013,2025,2118,1,4
101310013,2025,2554,1,4
101310013,2025,1293,1,4
101310022,2025,8684,1,4
101310022,2025,7835,2,4
101310022,2025,6493,1,4
101310022,2025,6795,1,0
101310022,2025,8903,1,4
101310022,2025,3520,1,4
101310022,2025,987,1,4
101310022,2025,4471,1,4
101310022,2025,343,1,4
101310022,2025,3511,1,2
101310022,2025,4470,3,4
101310022,2025,8904,1,4
101310022,2025,7849,1,4
101310022,2025,1297,1,4
101310022,2025,851,1,8
101310022,2025,3434,1,4
101310022,2025,2010,1,4
101310022,2025,2213,1,4
101310022,2025,5369,1,4
101310022,2025,5338,1,5
101310022,2025,8068,1,5
101310022,2025,10,3,8
101310022,2025,4746,1,5
101310022,2025,2296,1,3
101310022,2025,8905,1,3
101310022,2025,8658,1,5
101310022,2025,7834,1,4
101310022,2025,1322,1,2
101310022,2025,7968,1,4
101310022,2025,8089,1,4
101310022,2025,937,1,4
101310022,2025,180,1,4
101310022,2025,4768,1,4
101310022,2025,8756,1,4
101310022,2025,1090,1,4
101310022,2025,8906,1,4
101310022,2025,5711,1,4
101310031,2025,1693,1,4
101310031,2025,2098,1,4
101310031,2025,3112,1,4
101310031,2025,1130,1,4
101310031,2025,2994,1,4
101310031,2025,7041,1,4
101310031,2025,3544,1,4
101310031,2025,8225,1,4
101310031,2025,4386,1,4
101310031,2025,3431,1,2
101310031,2025,8831,1,4
101310031,2025,5859,1,4
101310031,2025,2793,1,4
101310031,2025,5988,1,4
101310031,2025,537,1,4
101310031,2025,2487,1,4
101310031,2025,7797,1,5
101310031,2025,773,1,5
101310031,2025,3628,1,5
101310031,2025,4183,1,4
101310031,2025,5107,1,4
101310031,2025,7283,1,4
101310031,2025,2775,1,4
101310031,2025,1570,1,4
101310031,2025,8907,1,4
101310031,2025,3376,1,4
101310031,2025,986,1,4
101310031,2025,4017,1,4
101310031,2025,10,1,8
101310031,2025,5711,1,4
101310031,2025,8908,1,4
101310031,2025,2472,1,4
101310058,2025,5736,1,4
101310058,2025,8284,1,4
101310058,2025,8909,1,4
101310058,2025,8910,1,4
101310058,2025,998,1,4
101310058,2025,8911,1,3
101310058,2025,773,1,5
101310058,2025,578,1,5
101310058,2025,8138,1,5
101310058,2025,3272,1,4
101310058,2025,2949,1,4
101310058,2025,6582,1,4
101310058,2025,6646,1,4
101310058,2025,5305,1,2
101310058,2025,6064,1,4
101310058,2025,10,2,8
101310058,2025,7835,1,4
101310058,2025,2499,1,4
101310058,2025,8074,1,4
101310058,2025,3485,1,4
101310058,2025,3046,1,4
101310101,2025,8912,1,4
101310101,2025,8913,1,4
101310101,2025,8694,1,4
101310101,2025,8914,1,4
101310101,2025,346,1,0
101310101,2025,2541,1,4
101310101,2025,8915,1,4
101310101,2025,8916,1,0
101310101,2025,8917,1,4
101310101,2025,256,1,4
101310101,2025,4751,1,0
101310101,2025,5960,1,4
101310101,2025,8918,1,4
101310101,2025,8545,1,4
101310101,2025,8919,1,4
101310101,2025,6415,1,4
101310101,2025,3348,1,4
101310101,2025,2590,1,4
101310101,2025,8920,1,4
101310101,2025,1124,1,4
101310101,2025,1707,1,4
101310101,2025,10,5,8
101310101,2025,8921,1,4
101310101,2025,8674,1,4
101310101,2025,3206,1,4
101310101,2025,4082,1,4
101310101,2025,3676,1,2
101310101,2025,8922,1,4
101310128,2025,8674,1,4
101310128,2025,5203,3,4
101310128,2025,1162,1,4
101310128,2025,2991,1,4
101310128,2025,7478,1,4
101310128,2025,4084,1,0
101310128,2025,1467,1,4
101310128,2025,2122,1,4
101310128,2025,8923,1,4
101310128,2025,8803,2,4
101310128,2025,10,4,8
101310128,2025,2309,1,4
101310128,2025,4634,1,4
101310128,2025,5890,1,4
101310128,2025,4635,1,4
101310128,2025,8924,1,4
101310128,2025,1302,1,4
101310128,2025,6095,1,4
101310128,2025,5162,1,5
101310128,2025,6258,1,5
101310128,2025,8925,1,1
101310128,2025,5711,1,4
101310128,2025,1568,1,4
101310128,2025,4296,1,4
101310128,2025,6570,1,4
101310128,2025,8790,1,4
101310128,2025,6582,1,4
101310128,2025,6590,1,4
101310128,2025,1482,1,4
101310128,2025,2493,1,4
