yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200210025,2025,10,1,8
200210025,2025,1969,1,4
200210025,2025,1372,1,4
200210025,2025,2768,1,5
200210025,2025,4404,1,3
200210025,2025,2199,1,4
200210034,2025,921,1,5
200210034,2025,3109,1,5
200210034,2025,2271,1,5
200210034,2025,648,1,5
200210034,2025,9885,1,3
200210034,2025,7852,1,5
200210034,2025,1742,1,4
200210034,2025,10,1,8
200210034,2025,6805,1,0
200210034,2025,985,1,0
200210034,2025,1069,1,4
200210034,2025,1443,1,0
200210034,2025,851,1,8
200210034,2025,5540,1,5
200210034,2025,1051,1,5
200210052,2025,5638,1,4
200210052,2025,7710,1,5
200210052,2025,126,1,5
200210052,2025,6268,1,5
200210104,2025,3635,1,5
200210104,2025,1484,1,4
200210104,2025,10,2,8
200210104,2025,1117,1,4
200210104,2025,4695,1,4
200210104,2025,7179,1,5
200210104,2025,2380,1,5
200210104,2025,1085,1,5
200210104,2025,7925,1,5
200210104,2025,7779,1,5
200210113,2025,8063,1,5
200210113,2025,3551,1,5
200210113,2025,2746,1,5
200210113,2025,8099,1,5
200210113,2025,10,1,8
200210113,2025,4924,1,0
200210113,2025,2226,1,4
200210113,2025,4547,1,5
200210113,2025,5171,1,5
200210113,2025,966,1,3
200210113,2025,8428,1,5
200210113,2025,5163,1,5
200210131,2025,10,1,8
200210131,2025,5024,1,0
200210131,2025,6140,1,5
200210131,2025,8695,1,5
200210149,2025,6908,1,4
200210149,2025,259,1,5
200210167,2025,10,1,8
200210167,2025,1620,1,4
200210167,2025,801,1,1
200210167,2025,2572,1,4
200210176,2025,7811,1,5
200210176,2025,7925,1,5
200210176,2025,1092,1,4
200210176,2025,801,2,1
200210176,2025,532,1,4
200210176,2025,5429,1,5
200210176,2025,8060,1,5
200210176,2025,3493,1,5
200210176,2025,228,1,5
200210176,2025,7635,1,5
200210176,2025,7693,1,5
200210176,2025,9886,1,3
200210194,2025,3385,1,0
200210194,2025,0,1,4
200210194,2025,6317,1,5
200210194,2025,4322,1,4
200210194,2025,2343,1,4
200210194,2025,185,1,4
200210201,2025,4135,1,5
200210201,2025,7763,1,5
200210201,2025,7775,1,5
200210201,2025,5503,1,5
200210201,2025,261,1,5
200210201,2025,3529,1,5
200210201,2025,1085,1,5
200210201,2025,7652,1,5
200210201,2025,72,1,5
200210201,2025,172,1,5
200210201,2025,10,2,8
200210201,2025,2216,1,5
200210201,2025,749,1,5
200210201,2025,2851,1,5
200210201,2025,648,1,5
200210201,2025,3787,1,5
200210201,2025,7988,1,5
200210201,2025,8041,1,5
200210201,2025,4775,1,5
200210201,2025,3794,1,3
200210201,2025,5007,1,5
200210201,2025,6908,1,4
200210201,2025,7982,1,5
200210201,2025,801,1,1
200210201,2025,918,1,5
200210201,2025,2583,1,5
200210201,2025,7153,1,5
200210201,2025,7734,1,1
200210201,2025,7865,1,5
200210201,2025,3493,1,5
200210228,2025,131,1,4
200210228,2025,4553,1,2
200210228,2025,1051,1,5
200210228,2025,7635,1,5
200210228,2025,717,1,5
200210282,2025,10,1,8
200210282,2025,6092,1,4
200210282,2025,1680,1,5
200210282,2025,3098,1,5
200210282,2025,208,1,5
200210291,2025,7696,1,5
200210291,2025,8125,1,5
200210291,2025,5163,1,5
200210291,2025,7779,1,5
200210291,2025,1974,1,5
200210291,2025,7793,1,5
200210291,2025,22,1,5
200210291,2025,2570,1,5
200210291,2025,488,1,5
200210291,2025,7992,1,5
200210291,2025,7865,1,5
200210291,2025,801,1,1
200210291,2025,4079,1,5
200210291,2025,2584,1,1
200210291,2025,3419,1,5
200210291,2025,4403,1,5
200210291,2025,4344,1,7
200210291,2025,7182,1,5
200210291,2025,3641,1,5
200210316,2025,1559,1,4
200210316,2025,2863,1,2
200210316,2025,549,1,4
200210316,2025,324,1,0
200210316,2025,1109,1,4
200210316,2025,3884,1,4
200210316,2025,8019,1,3
200210316,2025,8103,1,3
200210316,2025,1083,1,3
200210316,2025,8146,1,5
200210343,2025,3540,1,0
200210343,2025,43,1,4
200210343,2025,8021,1,3
200210343,2025,2857,1,4
200210343,2025,134,1,4
200210352,2025,913,1,5
200210352,2025,8060,1,5
200210352,2025,7719,1,5
200210352,2025,9887,1,5
200210352,2025,2188,1,4
200210352,2025,8073,1,4
200210379,2025,10,1,8
200210379,2025,280,1,4
200210379,2025,2717,1,2
200210379,2025,1163,1,2
200210379,2025,8007,1,3
200210379,2025,261,1,5
200210379,2025,9888,1,5
200210379,2025,1060,1,4
200210404,2025,7956,1,4
200210404,2025,10,1,8
200210404,2025,5572,1,2
200210404,2025,3207,1,4
200210404,2025,3511,1,2
200210404,2025,3884,1,4
200210404,2025,7656,1,3
200210404,2025,791,1,3
200210404,2025,6204,1,5
200210413,2025,7626,1,2
200210413,2025,2072,1,4
200210413,2025,8102,1,3
200210413,2025,8132,2,5
200210413,2025,8016,1,7
200210413,2025,2128,1,5
200210413,2025,6140,1,5
200210413,2025,4703,1,5
200210413,2025,7171,1,5
200210413,2025,3730,1,3
200210413,2025,10,1,8
200210413,2025,2055,1,5
200210413,2025,9889,1,5
200210413,2025,3641,1,5
200210413,2025,7815,1,5
200210413,2025,7652,1,5
200210413,2025,8653,1,3
200210413,2025,875,1,3
200210413,2025,5477,1,7
200210413,2025,876,1,5
200210413,2025,232,1,3
200210413,2025,8058,1,5
200210413,2025,3567,1,5
200210413,2025,7925,3,5
200210413,2025,5619,1,5
200210413,2025,3787,1,5
200210413,2025,4971,1,1
200210413,2025,7833,1,5
200210413,2025,1653,1,5
200210413,2025,4038,1,7
200210413,2025,5007,1,5
200210413,2025,2747,1,5
200210413,2025,1188,1,1
200210413,2025,4716,1,3
200210413,2025,380,1,5
200210413,2025,5358,2,5
200210413,2025,8050,1,1
200210413,2025,185,1,4
200210413,2025,4066,1,2
200210413,2025,281,1,4
200210413,2025,2730,1,2
200210413,2025,5522,1,4
200210413,2025,160,1,4
200210413,2025,2165,1,4
200210431,2025,368,1,5
200210431,2025,6194,1,5
200210431,2025,2255,1,2
200210431,2025,8050,1,1
200210449,2025,1499,1,5
200210449,2025,8034,1,3
200210449,2025,4487,1,4
200210449,2025,10,1,8
200210449,2025,7153,1,5
200210449,2025,8132,1,5
200210449,2025,8121,1,3
200210449,2025,8110,1,3
200210449,2025,2216,1,5
200210449,2025,9890,1,5
200210449,2025,1974,1,5
200210467,2025,2877,1,2
200210467,2025,7731,1,5
200210467,2025,212,1,4
200210494,2025,57,1,4
200210494,2025,5506,1,5
200210494,2025,2851,1,5
200210494,2025,3673,1,2
200210501,2025,4703,1,5
200210501,2025,8641,1,3
200210555,2025,1073,1,4
200210555,2025,3960,1,0
200210555,2025,163,1,2
200210555,2025,8037,1,3
200210555,2025,212,1,4
200210555,2025,4708,1,4
200210582,2025,7938,1,5
200210582,2025,5361,1,5
200210582,2025,4624,1,5
200210582,2025,5511,1,5
200210582,2025,72,1,5
200210582,2025,8227,1,5
200210582,2025,6356,1,5
200210582,2025,5007,1,5
200210582,2025,7685,1,5
200210582,2025,2357,1,0
200210582,2025,10,5,8
200210582,2025,3535,1,4
200210582,2025,654,1,4
200210582,2025,2860,1,4
200210582,2025,393,1,2
200210582,2025,2093,1,4
200210582,2025,4924,1,0
200210582,2025,8058,1,5
200210582,2025,88,1,4
200210582,2025,2439,1,4
200210582,2025,4002,1,0
200210582,2025,522,1,2
200210582,2025,7678,1,5
200210661,2025,10,2,8
200210661,2025,3444,1,0
200210688,2025,324,1,0
200210688,2025,103,1,4
200210688,2025,2872,1,4
200210688,2025,244,1,4
200210688,2025,785,1,3
200210688,2025,4624,1,5
200210688,2025,2188,1,4
200210704,2025,3541,1,4
200210704,2025,8097,1,4
200210704,2025,881,1,2
200210722,2025,10,1,8
200210722,2025,324,1,0
200210722,2025,3624,1,5
200210722,2025,185,1,4
200210749,2025,2380,1,5
200210749,2025,4406,1,5
200210749,2025,8644,1,3
200210749,2025,3567,1,5
200210758,2025,324,1,0
200210758,2025,3608,1,4
200210758,2025,226,1,2
200210758,2025,7644,1,5
200210776,2025,10,1,8
200210776,2025,1560,1,2
200210776,2025,2526,1,5
200210776,2025,5491,1,5
200210776,2025,8051,1,7
200210785,2025,228,1,5
200210785,2025,4034,2,5
200210785,2025,8113,1,5
200210785,2025,127,1,5
200210785,2025,7182,1,5
200210785,2025,7635,1,5
200210785,2025,7693,1,5
200210785,2025,6263,2,5
200210785,2025,4481,1,5
200210785,2025,3657,1,5
200210785,2025,10,2,8
200210785,2025,3787,1,5
200210785,2025,5591,1,1
200210785,2025,9891,1,5
200210785,2025,8158,1,5
200210785,2025,7982,2,5
200210785,2025,4148,1,5
200210785,2025,2219,1,4
200210785,2025,2188,1,4
200210785,2025,403,1,4
200210785,2025,5429,2,5
200210785,2025,4242,1,1
200210785,2025,4547,1,5
200210785,2025,4135,1,5
200210785,2025,4403,1,5
200210785,2025,7763,1,5
200210794,2025,8132,1,5
200210794,2025,569,1,5
200210794,2025,5361,2,5
200210794,2025,5178,2,5
200210794,2025,7693,1,5
200210794,2025,7811,1,5
200210794,2025,5673,1,5
200210794,2025,8051,1,7
200210794,2025,1680,1,5
200210794,2025,1499,1,5
200210794,2025,2297,1,4
200210794,2025,2588,1,5
200210794,2025,2747,1,5
200210794,2025,488,1,5
200210794,2025,7671,1,5
200210794,2025,2314,1,4
200210794,2025,10,1,8
200210794,2025,2391,1,4
200210794,2025,6270,1,4
200210794,2025,2597,1,4
200210794,2025,7055,1,0
200210794,2025,1178,1,5
200210794,2025,7865,1,5
200210819,2025,8133,1,1
200210819,2025,4404,1,3
200210819,2025,7827,1,5
200210819,2025,3109,1,5
200210819,2025,8110,1,3
200210819,2025,8051,1,7
200210819,2025,5173,1,5
200210819,2025,7925,1,5
200210819,2025,3787,1,5
200210819,2025,7641,1,5
200210819,2025,10,1,8
200210819,2025,8071,1,5
200210819,2025,6319,1,5
200210819,2025,2973,1,5
200210819,2025,7795,1,5
200210819,2025,8041,1,5
200210819,2025,7982,1,5
200210819,2025,5358,1,5
200210819,2025,4629,1,4
200210819,2025,291,1,4
200210819,2025,2936,1,4
200210819,2025,8058,1,5
200210819,2025,2968,1,4
200210819,2025,2206,1,4
200210819,2025,7710,1,5
200210819,2025,4403,1,5
200210819,2025,7763,1,5
200210828,2025,4318,1,2
200210828,2025,7678,1,5
200210828,2025,3567,1,5
200210828,2025,7833,1,5
200210828,2025,1006,1,5
200210828,2025,801,1,1
200210828,2025,4796,1,4
200211377,2025,2124,1,4
200211377,2025,10,2,8
200211377,2025,2902,1,4
200211377,2025,7193,1,5
200211377,2025,8051,1,7
200211377,2025,4450,1,4
200211395,2025,10,2,8
200211395,2025,4040,1,4
200211395,2025,7171,1,5
200211395,2025,3657,1,5
200211402,2025,2265,1,3
200211402,2025,170,1,5
200211402,2025,6209,1,5
200211402,2025,8011,1,7
200211402,2025,8051,1,7
200211402,2025,3657,1,5
200211402,2025,3098,1,5
200211402,2025,10,4,8
200211402,2025,5732,1,4
200211402,2025,8417,1,4
200211402,2025,8481,1,4
200211402,2025,7015,1,4
200211402,2025,2843,1,7
200211402,2025,2380,1,5
200211402,2025,128,1,5
200211456,2025,8021,1,3
200211456,2025,4950,1,5
200211456,2025,749,1,5
200211456,2025,5436,1,5
200211456,2025,7925,2,5
200211456,2025,9892,1,3
200211456,2025,8402,1,3
200211456,2025,485,1,3
200211456,2025,7685,1,5
