yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200310069,2025,5414,1,4
200310069,2025,4390,1,5
200310069,2025,6518,1,4
200310087,2025,10,1,8
200310087,2025,4255,1,4
200310209,2025,10,1,8
200310209,2025,5843,1,4
200310209,2025,5938,1,4
200310315,2025,2876,1,2
200310315,2025,6192,1,5
200310315,2025,171,1,5
200310315,2025,3661,1,3
200310315,2025,4130,1,4
200310315,2025,1899,1,4
200310412,2025,2949,1,4
200310412,2025,4017,1,4
200310412,2025,10,2,8
200310412,2025,1401,1,4
200310412,2025,8190,1,4
200310412,2025,976,1,4
200310412,2025,5450,1,4
200310527,2025,6903,1,4
200310527,2025,8275,1,4
200310527,2025,1194,1,4
200310527,2025,3362,1,4
200310527,2025,1925,1,4
200310527,2025,1199,1,4
200310527,2025,3840,1,4
200310527,2025,3333,1,4
200310527,2025,7627,1,5
200310527,2025,5070,1,5
200310527,2025,4470,1,4
200310527,2025,8335,1,5
200310527,2025,9055,1,5
200310527,2025,5179,1,5
200310527,2025,7695,1,5
200310527,2025,5285,1,5
200310527,2025,9915,1,5
200310527,2025,3626,2,5
200310527,2025,3710,1,5
200310527,2025,3442,1,3
200310527,2025,9912,1,5
200310527,2025,301,1,8
200310527,2025,4390,1,5
200310527,2025,9916,1,5
200310527,2025,9917,1,5
200310527,2025,5314,1,5
200310527,2025,9891,1,5
200310527,2025,1057,1,5
200310527,2025,8135,1,5
200310527,2025,8032,1,3
200310527,2025,8138,1,5
200310527,2025,2589,1,5
200310527,2025,10,8,8
200310527,2025,9918,1,5
200310527,2025,1114,1,5
200310527,2025,8351,1,4
200310527,2025,4130,1,4
200310527,2025,6522,1,4
200310527,2025,8099,1,5
200310527,2025,3734,1,2
200310527,2025,2753,1,4
200310527,2025,8208,1,4
200310527,2025,9919,1,4
200310527,2025,3119,1,4
200310527,2025,3871,1,0
200310527,2025,6826,1,4
200310527,2025,3865,1,4
200310536,2025,9920,1,5
200310536,2025,8138,1,5
200310536,2025,3734,1,2
200310536,2025,4017,1,4
200310536,2025,847,1,4
200310536,2025,10,1,8
200310536,2025,5334,1,4
200310536,2025,5483,1,4
200310536,2025,3156,1,2
200310536,2025,5070,1,5
200310536,2025,8656,1,5
200310599,2025,10,1,8
200310599,2025,3362,2,4
200310599,2025,2055,1,5
200310599,2025,9918,1,5
200310599,2025,5316,1,4
200310606,2025,6827,1,4
200310606,2025,8508,1,4
200310606,2025,2733,1,4
200310606,2025,1551,1,2
200310606,2025,1074,1,4
200310606,2025,3362,1,4
200310606,2025,635,1,0
200310606,2025,4918,1,4
200310606,2025,636,1,4
200310606,2025,2,1,4
200310606,2025,2622,1,4
200310606,2025,1348,1,4
200310606,2025,2910,1,4
200310606,2025,1494,1,4
200310606,2025,5965,1,4
200310606,2025,1202,1,4
200310606,2025,1392,1,5
200310606,2025,7996,1,3
200310606,2025,71,1,5
200310606,2025,5394,1,5
200310606,2025,3626,1,5
200310606,2025,10,3,8
200310606,2025,4823,1,3
200310606,2025,9921,1,3
200310606,2025,4390,1,5
200310606,2025,9916,1,5
200310606,2025,5479,1,3
200310606,2025,4160,1,5
200310606,2025,7721,1,5
200310606,2025,8339,1,5
200310606,2025,9918,1,5
200310606,2025,1438,1,2
200310606,2025,5414,1,4
200310606,2025,778,1,1
200310606,2025,3670,1,4
200310606,2025,4030,1,4
200310606,2025,7900,1,4
200310606,2025,5317,1,4
200310606,2025,1025,1,2
200310606,2025,1326,1,2
200310606,2025,4748,3,4
200310606,2025,9012,1,4
200310606,2025,5304,1,4
200310606,2025,5622,1,4
200310606,2025,2203,1,4
200310606,2025,3179,1,5
200310606,2025,8674,1,4
200310615,2025,4748,2,4
200310615,2025,10,1,8
200310615,2025,1401,1,4
200310615,2025,1343,1,4
200310615,2025,220,1,4
200310615,2025,5572,1,2
200310615,2025,396,1,4
200310615,2025,409,1,4
200310615,2025,8905,1,3
200310669,2025,10,3,8
200310669,2025,3520,1,4
200310669,2025,3260,1,4
200310669,2025,3834,1,4
200310669,2025,6389,1,4
200310669,2025,273,1,4
200310669,2025,393,1,2
200310669,2025,4748,1,4
200310696,2025,10,1,8
200310696,2025,3156,1,2
200310696,2025,2480,1,4
200310696,2025,9022,1,4
200310696,2025,6418,1,4
200310757,2025,9188,1,4
200310757,2025,3287,1,4
200310757,2025,9922,1,4
200310757,2025,4211,1,4
200310757,2025,1333,1,5
200310757,2025,5090,1,4
200310766,2025,10,3,8
200310766,2025,3626,1,5
200310766,2025,9912,3,5
200310766,2025,8138,1,5
200310766,2025,5444,1,4
200310863,2025,7263,1,5
200310863,2025,4030,2,4
200310863,2025,5414,1,4
200310863,2025,1039,1,4
200310863,2025,1213,1,4
200310863,2025,3156,1,2
200310863,2025,4918,1,4
200310863,2025,2232,1,4
200310863,2025,5380,1,3
200310863,2025,3710,1,5
200310881,2025,1040,1,4
200310881,2025,3156,1,2
200310881,2025,53,1,4
200310881,2025,1077,1,4
200310881,2025,8316,1,2
