yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101710027,2025,10,1,8
101710027,2025,1796,1,4
101710027,2025,5338,1,5
101710027,2025,1082,1,5
101710027,2025,1129,1,5
101710027,2025,3017,1,4
101710027,2025,3672,1,2
101710081,2025,5663,1,4
101710081,2025,5156,1,4
101710081,2025,1513,1,4
101710081,2025,1272,1,4
101710081,2025,5793,2,4
101710081,2025,1274,1,4
101710081,2025,5964,1,4
101710081,2025,10383,1,4
101710081,2025,3034,1,4
101710081,2025,8830,2,5
101710081,2025,10,3,8
101710081,2025,459,1,4
101710081,2025,6446,1,4
101710081,2025,8156,1,4
101710081,2025,8066,2,4
101710081,2025,3412,1,4
101710081,2025,4538,1,4
101710081,2025,6720,1,4
101710081,2025,6735,1,4
101710081,2025,5120,1,4
101710081,2025,4855,2,0
101710081,2025,8458,1,4
101710081,2025,10384,1,4
101710081,2025,4077,1,4
101710081,2025,6954,1,4
101710081,2025,3339,1,4
101710099,2025,5224,1,4
101710099,2025,1364,1,4
101710099,2025,9619,1,4
101710099,2025,3739,1,4
101710099,2025,1411,1,4
101710099,2025,2376,1,4
101710099,2025,2795,1,4
101710099,2025,2841,1,4
101710099,2025,7613,1,4
101710099,2025,3367,1,4
101710099,2025,10,3,8
101710099,2025,2984,2,4
101710099,2025,6446,1,4
101710099,2025,1516,1,4
101710099,2025,7348,1,4
101710099,2025,1669,1,4
101710099,2025,2939,1,4
101710099,2025,6665,1,4
101710099,2025,4538,1,4
101710099,2025,1657,1,4
101710099,2025,975,1,4
101710099,2025,2701,2,4
101710099,2025,4828,1,4
101710099,2025,1673,1,4
101710099,2025,3112,1,4
101710099,2025,7480,1,4
101710099,2025,1641,1,4
101710115,2025,10385,1,4
101710115,2025,5663,1,4
101710115,2025,8784,1,4
101710115,2025,5580,1,4
101710115,2025,3343,1,4
101710115,2025,5964,1,4
101710115,2025,851,1,8
101710115,2025,9256,1,4
101710115,2025,7291,1,4
101710115,2025,2984,2,4
101710115,2025,614,1,2
101710115,2025,6675,1,4
101710115,2025,1532,1,4
101710115,2025,2663,1,4
101710115,2025,10,5,8
